Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Accomack,Virginia,0,0,US
2020-01-23,Accomack,Virginia,0,0,US
2020-01-24,Accomack,Virginia,0,0,US
2020-01-25,Accomack,Virginia,0,0,US
2020-01-26,Accomack,Virginia,0,0,US
2020-01-27,Accomack,Virginia,0,0,US
2020-01-28,Accomack,Virginia,0,0,US
2020-01-29,Accomack,Virginia,0,0,US
2020-01-30,Accomack,Virginia,0,0,US
2020-01-31,Accomack,Virginia,0,0,US
2020-02-01,Accomack,Virginia,0,0,US
2020-02-02,Accomack,Virginia,0,0,US
2020-02-03,Accomack,Virginia,0,0,US
2020-02-04,Accomack,Virginia,0,0,US
2020-02-05,Accomack,Virginia,0,0,US
2020-02-06,Accomack,Virginia,0,0,US
2020-02-07,Accomack,Virginia,0,0,US
2020-02-08,Accomack,Virginia,0,0,US
2020-02-09,Accomack,Virginia,0,0,US
2020-02-10,Accomack,Virginia,0,0,US
2020-02-11,Accomack,Virginia,0,0,US
2020-02-12,Accomack,Virginia,0,0,US
2020-02-13,Accomack,Virginia,0,0,US
2020-02-14,Accomack,Virginia,0,0,US
2020-02-15,Accomack,Virginia,0,0,US
2020-02-16,Accomack,Virginia,0,0,US
2020-02-17,Accomack,Virginia,0,0,US
2020-02-18,Accomack,Virginia,0,0,US
2020-02-19,Accomack,Virginia,0,0,US
2020-02-20,Accomack,Virginia,0,0,US
2020-02-21,Accomack,Virginia,0,0,US
2020-02-22,Accomack,Virginia,0,0,US
2020-02-23,Accomack,Virginia,0,0,US
2020-02-24,Accomack,Virginia,0,0,US
2020-02-25,Accomack,Virginia,0,0,US
2020-02-26,Accomack,Virginia,0,0,US
2020-02-27,Accomack,Virginia,0,0,US
2020-02-28,Accomack,Virginia,0,0,US
2020-02-29,Accomack,Virginia,0,0,US
2020-03-01,Accomack,Virginia,0,0,US
2020-03-02,Accomack,Virginia,0,0,US
2020-03-03,Accomack,Virginia,0,0,US
2020-03-04,Accomack,Virginia,0,0,US
2020-03-05,Accomack,Virginia,0,0,US
2020-03-06,Accomack,Virginia,0,0,US
2020-03-07,Accomack,Virginia,0,0,US
2020-03-08,Accomack,Virginia,0,0,US
2020-03-09,Accomack,Virginia,0,0,US
2020-03-10,Accomack,Virginia,0,0,US
2020-03-11,Accomack,Virginia,0,0,US
2020-03-12,Accomack,Virginia,0,0,US
2020-03-13,Accomack,Virginia,0,0,US
2020-03-14,Accomack,Virginia,0,0,US
2020-03-15,Accomack,Virginia,0,0,US
2020-03-16,Accomack,Virginia,0,0,US
2020-03-17,Accomack,Virginia,0,0,US
2020-03-18,Accomack,Virginia,0,0,US
2020-03-19,Accomack,Virginia,0,0,US
2020-03-20,Accomack,Virginia,1,0,US
2020-03-21,Accomack,Virginia,1,0,US
2020-03-22,Accomack,Virginia,1,0,US
2020-03-23,Accomack,Virginia,1,0,US
2020-03-24,Accomack,Virginia,1,0,US
2020-03-25,Accomack,Virginia,2,0,US
2020-03-26,Accomack,Virginia,2,0,US
2020-03-27,Accomack,Virginia,2,0,US
2020-03-28,Accomack,Virginia,2,0,US
2020-03-29,Accomack,Virginia,3,0,US
2020-03-30,Accomack,Virginia,6,0,US
2020-03-31,Accomack,Virginia,7,0,US
2020-04-01,Accomack,Virginia,7,0,US
2020-04-02,Accomack,Virginia,10,0,US
2020-04-03,Accomack,Virginia,8,0,US
2020-04-04,Accomack,Virginia,8,0,US
2020-04-05,Accomack,Virginia,11,0,US
2020-04-06,Accomack,Virginia,11,0,US
2020-04-07,Accomack,Virginia,11,0,US
2020-04-08,Accomack,Virginia,11,0,US
2020-04-09,Accomack,Virginia,11,0,US
2020-04-10,Accomack,Virginia,12,0,US
2020-04-11,Accomack,Virginia,15,0,US
2020-04-12,Accomack,Virginia,15,0,US
2020-04-13,Accomack,Virginia,15,0,US
2020-04-14,Accomack,Virginia,15,0,US
2020-04-15,Accomack,Virginia,15,0,US
2020-04-16,Accomack,Virginia,19,0,US
2020-04-17,Accomack,Virginia,28,0,US
2020-04-18,Accomack,Virginia,33,0,US
2020-04-19,Accomack,Virginia,42,0,US
2020-04-20,Accomack,Virginia,52,0,US
2020-04-21,Accomack,Virginia,52,0,US
2020-04-22,Accomack,Virginia,59,1,US
2020-04-23,Accomack,Virginia,76,2,US
2020-04-24,Accomack,Virginia,100,3,US
2020-04-25,Accomack,Virginia,146,3,US
2020-04-26,Accomack,Virginia,187,3,US
2020-04-27,Accomack,Virginia,195,3,US
2020-04-28,Accomack,Virginia,223,4,US
2020-04-29,Accomack,Virginia,229,4,US
2020-04-30,Accomack,Virginia,264,4,US
2020-05-01,Accomack,Virginia,303,5,US
2020-05-02,Accomack,Virginia,353,5,US
2020-05-03,Accomack,Virginia,400,6,US
2020-05-04,Accomack,Virginia,425,6,US
2020-05-05,Accomack,Virginia,429,7,US
2020-05-06,Accomack,Virginia,433,7,US
2020-05-07,Accomack,Virginia,463,7,US
2020-05-08,Accomack,Virginia,463,7,US
2020-05-09,Accomack,Virginia,496,7,US
2020-05-10,Accomack,Virginia,508,7,US
2020-05-11,Accomack,Virginia,524,7,US
2020-05-12,Accomack,Virginia,530,7,US
2020-05-13,Accomack,Virginia,545,7,US
2020-05-14,Accomack,Virginia,593,8,US
2020-05-15,Accomack,Virginia,648,9,US
2020-05-16,Accomack,Virginia,668,9,US
2020-05-17,Accomack,Virginia,688,9,US
2020-05-18,Accomack,Virginia,690,9,US
2020-05-19,Accomack,Virginia,701,9,US
2020-05-20,Accomack,Virginia,709,11,US
2020-05-21,Accomack,Virginia,709,11,US
2020-05-22,Accomack,Virginia,711,11,US
2020-05-23,Accomack,Virginia,722,11,US
2020-05-24,Accomack,Virginia,727,11,US
2020-05-25,Accomack,Virginia,731,11,US
2020-05-26,Accomack,Virginia,758,11,US
2020-05-27,Accomack,Virginia,780,12,US
2020-05-28,Accomack,Virginia,807,12,US
2020-05-29,Accomack,Virginia,827,12,US
2020-05-30,Accomack,Virginia,863,12,US
2020-05-31,Accomack,Virginia,909,12,US
2020-06-01,Accomack,Virginia,917,12,US
2020-06-02,Accomack,Virginia,939,12,US
2020-06-03,Accomack,Virginia,953,12,US
2020-06-04,Accomack,Virginia,966,12,US
2020-06-05,Accomack,Virginia,969,12,US
2020-06-06,Accomack,Virginia,970,13,US
2020-06-07,Accomack,Virginia,983,13,US
2020-06-08,Accomack,Virginia,983,13,US
2020-06-09,Accomack,Virginia,983,13,US
2020-06-10,Accomack,Virginia,984,13,US
2020-06-11,Accomack,Virginia,984,13,US
2020-06-12,Accomack,Virginia,987,13,US
2020-06-13,Accomack,Virginia,989,14,US
2020-06-14,Accomack,Virginia,993,14,US
2020-06-15,Accomack,Virginia,996,14,US
2020-06-16,Accomack,Virginia,1007,14,US
2020-06-17,Accomack,Virginia,1018,14,US
2020-06-18,Accomack,Virginia,1018,14,US
2020-06-19,Accomack,Virginia,1022,14,US
2020-06-20,Accomack,Virginia,1024,14,US
2020-06-21,Accomack,Virginia,1031,14,US
2020-06-22,Accomack,Virginia,1032,14,US
2020-06-23,Accomack,Virginia,1033,14,US
2020-06-24,Accomack,Virginia,1034,14,US
2020-06-25,Accomack,Virginia,1037,14,US
2020-06-26,Accomack,Virginia,1037,14,US
2020-06-27,Accomack,Virginia,1039,14,US
2020-06-28,Accomack,Virginia,1039,14,US
2020-06-29,Accomack,Virginia,1039,14,US
2020-06-30,Accomack,Virginia,1042,14,US
2020-07-01,Accomack,Virginia,1043,14,US
2020-07-02,Accomack,Virginia,1042,14,US
2020-07-03,Accomack,Virginia,1042,14,US
2020-07-04,Accomack,Virginia,1043,14,US
2020-07-05,Accomack,Virginia,1044,14,US
2020-07-06,Accomack,Virginia,1044,14,US
2020-07-07,Accomack,Virginia,1042,14,US
2020-07-08,Accomack,Virginia,1042,14,US
2020-07-09,Accomack,Virginia,1042,14,US
2020-07-10,Accomack,Virginia,1042,14,US
2020-07-11,Accomack,Virginia,1042,14,US
2020-07-12,Accomack,Virginia,1042,14,US
2020-07-13,Accomack,Virginia,1041,14,US
2020-07-14,Accomack,Virginia,1045,14,US
2020-07-15,Accomack,Virginia,1045,14,US
2020-07-16,Accomack,Virginia,1045,14,US
2020-07-17,Accomack,Virginia,1048,14,US
2020-07-18,Accomack,Virginia,1051,15,US
2020-07-19,Accomack,Virginia,1052,15,US
2020-07-20,Accomack,Virginia,1053,15,US
2020-07-21,Accomack,Virginia,1057,15,US
