Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Adams,Nebraska,0,0,US
2020-01-23,Adams,Nebraska,0,0,US
2020-01-24,Adams,Nebraska,0,0,US
2020-01-25,Adams,Nebraska,0,0,US
2020-01-26,Adams,Nebraska,0,0,US
2020-01-27,Adams,Nebraska,0,0,US
2020-01-28,Adams,Nebraska,0,0,US
2020-01-29,Adams,Nebraska,0,0,US
2020-01-30,Adams,Nebraska,0,0,US
2020-01-31,Adams,Nebraska,0,0,US
2020-02-01,Adams,Nebraska,0,0,US
2020-02-02,Adams,Nebraska,0,0,US
2020-02-03,Adams,Nebraska,0,0,US
2020-02-04,Adams,Nebraska,0,0,US
2020-02-05,Adams,Nebraska,0,0,US
2020-02-06,Adams,Nebraska,0,0,US
2020-02-07,Adams,Nebraska,0,0,US
2020-02-08,Adams,Nebraska,0,0,US
2020-02-09,Adams,Nebraska,0,0,US
2020-02-10,Adams,Nebraska,0,0,US
2020-02-11,Adams,Nebraska,0,0,US
2020-02-12,Adams,Nebraska,0,0,US
2020-02-13,Adams,Nebraska,0,0,US
2020-02-14,Adams,Nebraska,0,0,US
2020-02-15,Adams,Nebraska,0,0,US
2020-02-16,Adams,Nebraska,0,0,US
2020-02-17,Adams,Nebraska,0,0,US
2020-02-18,Adams,Nebraska,0,0,US
2020-02-19,Adams,Nebraska,0,0,US
2020-02-20,Adams,Nebraska,0,0,US
2020-02-21,Adams,Nebraska,0,0,US
2020-02-22,Adams,Nebraska,0,0,US
2020-02-23,Adams,Nebraska,0,0,US
2020-02-24,Adams,Nebraska,0,0,US
2020-02-25,Adams,Nebraska,0,0,US
2020-02-26,Adams,Nebraska,0,0,US
2020-02-27,Adams,Nebraska,0,0,US
2020-02-28,Adams,Nebraska,0,0,US
2020-02-29,Adams,Nebraska,0,0,US
2020-03-01,Adams,Nebraska,0,0,US
2020-03-02,Adams,Nebraska,0,0,US
2020-03-03,Adams,Nebraska,0,0,US
2020-03-04,Adams,Nebraska,0,0,US
2020-03-05,Adams,Nebraska,0,0,US
2020-03-06,Adams,Nebraska,0,0,US
2020-03-07,Adams,Nebraska,0,0,US
2020-03-08,Adams,Nebraska,0,0,US
2020-03-09,Adams,Nebraska,0,0,US
2020-03-10,Adams,Nebraska,0,0,US
2020-03-11,Adams,Nebraska,0,0,US
2020-03-12,Adams,Nebraska,0,0,US
2020-03-13,Adams,Nebraska,0,0,US
2020-03-14,Adams,Nebraska,0,0,US
2020-03-15,Adams,Nebraska,0,0,US
2020-03-16,Adams,Nebraska,0,0,US
2020-03-17,Adams,Nebraska,0,0,US
2020-03-18,Adams,Nebraska,0,0,US
2020-03-19,Adams,Nebraska,1,0,US
2020-03-20,Adams,Nebraska,1,0,US
2020-03-21,Adams,Nebraska,1,0,US
2020-03-22,Adams,Nebraska,1,0,US
2020-03-23,Adams,Nebraska,1,0,US
2020-03-24,Adams,Nebraska,1,0,US
2020-03-25,Adams,Nebraska,1,0,US
2020-03-26,Adams,Nebraska,1,0,US
2020-03-27,Adams,Nebraska,1,0,US
2020-03-28,Adams,Nebraska,2,0,US
2020-03-29,Adams,Nebraska,2,0,US
2020-03-30,Adams,Nebraska,3,0,US
2020-03-31,Adams,Nebraska,3,0,US
2020-04-01,Adams,Nebraska,4,0,US
2020-04-02,Adams,Nebraska,6,0,US
2020-04-03,Adams,Nebraska,6,0,US
2020-04-04,Adams,Nebraska,8,0,US
2020-04-05,Adams,Nebraska,11,0,US
2020-04-06,Adams,Nebraska,13,0,US
2020-04-07,Adams,Nebraska,15,0,US
2020-04-08,Adams,Nebraska,27,0,US
2020-04-09,Adams,Nebraska,28,0,US
2020-04-10,Adams,Nebraska,38,0,US
2020-04-11,Adams,Nebraska,45,0,US
2020-04-12,Adams,Nebraska,54,0,US
2020-04-13,Adams,Nebraska,54,0,US
2020-04-14,Adams,Nebraska,62,0,US
2020-04-15,Adams,Nebraska,62,0,US
2020-04-16,Adams,Nebraska,65,0,US
2020-04-17,Adams,Nebraska,64,0,US
2020-04-18,Adams,Nebraska,85,0,US
2020-04-19,Adams,Nebraska,98,0,US
2020-04-20,Adams,Nebraska,100,0,US
2020-04-21,Adams,Nebraska,101,0,US
2020-04-22,Adams,Nebraska,103,0,US
2020-04-23,Adams,Nebraska,111,2,US
2020-04-24,Adams,Nebraska,120,2,US
2020-04-25,Adams,Nebraska,125,2,US
2020-04-26,Adams,Nebraska,129,2,US
2020-04-27,Adams,Nebraska,141,2,US
2020-04-28,Adams,Nebraska,143,2,US
2020-04-29,Adams,Nebraska,147,2,US
2020-04-30,Adams,Nebraska,164,3,US
2020-05-01,Adams,Nebraska,187,3,US
2020-05-02,Adams,Nebraska,202,3,US
2020-05-03,Adams,Nebraska,203,3,US
2020-05-04,Adams,Nebraska,204,3,US
2020-05-05,Adams,Nebraska,204,3,US
2020-05-06,Adams,Nebraska,212,3,US
2020-05-07,Adams,Nebraska,216,3,US
2020-05-08,Adams,Nebraska,218,3,US
2020-05-09,Adams,Nebraska,223,3,US
2020-05-10,Adams,Nebraska,223,3,US
2020-05-11,Adams,Nebraska,227,3,US
2020-05-12,Adams,Nebraska,228,3,US
2020-05-13,Adams,Nebraska,236,3,US
2020-05-14,Adams,Nebraska,238,3,US
2020-05-15,Adams,Nebraska,246,3,US
2020-05-16,Adams,Nebraska,251,3,US
2020-05-17,Adams,Nebraska,252,3,US
2020-05-18,Adams,Nebraska,252,3,US
2020-05-19,Adams,Nebraska,255,3,US
2020-05-20,Adams,Nebraska,256,11,US
2020-05-21,Adams,Nebraska,258,11,US
2020-05-22,Adams,Nebraska,258,11,US
2020-05-23,Adams,Nebraska,264,11,US
2020-05-24,Adams,Nebraska,265,11,US
2020-05-25,Adams,Nebraska,265,11,US
2020-05-26,Adams,Nebraska,265,11,US
2020-05-27,Adams,Nebraska,264,11,US
2020-05-28,Adams,Nebraska,265,11,US
2020-05-29,Adams,Nebraska,268,11,US
2020-05-30,Adams,Nebraska,270,11,US
2020-05-31,Adams,Nebraska,270,11,US
2020-06-01,Adams,Nebraska,272,11,US
2020-06-02,Adams,Nebraska,272,11,US
2020-06-03,Adams,Nebraska,273,11,US
2020-06-04,Adams,Nebraska,275,11,US
2020-06-05,Adams,Nebraska,275,11,US
2020-06-06,Adams,Nebraska,275,11,US
2020-06-07,Adams,Nebraska,275,11,US
2020-06-08,Adams,Nebraska,276,11,US
2020-06-09,Adams,Nebraska,277,11,US
2020-06-10,Adams,Nebraska,277,11,US
2020-06-11,Adams,Nebraska,277,11,US
2020-06-12,Adams,Nebraska,278,11,US
2020-06-13,Adams,Nebraska,278,11,US
2020-06-14,Adams,Nebraska,278,11,US
2020-06-15,Adams,Nebraska,278,11,US
2020-06-16,Adams,Nebraska,278,11,US
2020-06-17,Adams,Nebraska,278,11,US
2020-06-18,Adams,Nebraska,278,11,US
2020-06-19,Adams,Nebraska,280,11,US
2020-06-20,Adams,Nebraska,281,11,US
2020-06-21,Adams,Nebraska,282,11,US
2020-06-22,Adams,Nebraska,282,11,US
2020-06-23,Adams,Nebraska,282,11,US
2020-06-24,Adams,Nebraska,283,11,US
2020-06-25,Adams,Nebraska,285,11,US
2020-06-26,Adams,Nebraska,287,11,US
2020-06-27,Adams,Nebraska,287,11,US
2020-06-28,Adams,Nebraska,288,11,US
2020-06-29,Adams,Nebraska,292,11,US
2020-06-30,Adams,Nebraska,294,11,US
2020-07-01,Adams,Nebraska,296,11,US
2020-07-02,Adams,Nebraska,296,11,US
2020-07-03,Adams,Nebraska,298,11,US
2020-07-04,Adams,Nebraska,299,11,US
2020-07-05,Adams,Nebraska,299,11,US
2020-07-06,Adams,Nebraska,301,11,US
2020-07-07,Adams,Nebraska,302,11,US
2020-07-08,Adams,Nebraska,304,11,US
