Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Allegany,Maryland,0,0,US
2020-01-23,Allegany,Maryland,0,0,US
2020-01-24,Allegany,Maryland,0,0,US
2020-01-25,Allegany,Maryland,0,0,US
2020-01-26,Allegany,Maryland,0,0,US
2020-01-27,Allegany,Maryland,0,0,US
2020-01-28,Allegany,Maryland,0,0,US
2020-01-29,Allegany,Maryland,0,0,US
2020-01-30,Allegany,Maryland,0,0,US
2020-01-31,Allegany,Maryland,0,0,US
2020-02-01,Allegany,Maryland,0,0,US
2020-02-02,Allegany,Maryland,0,0,US
2020-02-03,Allegany,Maryland,0,0,US
2020-02-04,Allegany,Maryland,0,0,US
2020-02-05,Allegany,Maryland,0,0,US
2020-02-06,Allegany,Maryland,0,0,US
2020-02-07,Allegany,Maryland,0,0,US
2020-02-08,Allegany,Maryland,0,0,US
2020-02-09,Allegany,Maryland,0,0,US
2020-02-10,Allegany,Maryland,0,0,US
2020-02-11,Allegany,Maryland,0,0,US
2020-02-12,Allegany,Maryland,0,0,US
2020-02-13,Allegany,Maryland,0,0,US
2020-02-14,Allegany,Maryland,0,0,US
2020-02-15,Allegany,Maryland,0,0,US
2020-02-16,Allegany,Maryland,0,0,US
2020-02-17,Allegany,Maryland,0,0,US
2020-02-18,Allegany,Maryland,0,0,US
2020-02-19,Allegany,Maryland,0,0,US
2020-02-20,Allegany,Maryland,0,0,US
2020-02-21,Allegany,Maryland,0,0,US
2020-02-22,Allegany,Maryland,0,0,US
2020-02-23,Allegany,Maryland,0,0,US
2020-02-24,Allegany,Maryland,0,0,US
2020-02-25,Allegany,Maryland,0,0,US
2020-02-26,Allegany,Maryland,0,0,US
2020-02-27,Allegany,Maryland,0,0,US
2020-02-28,Allegany,Maryland,0,0,US
2020-02-29,Allegany,Maryland,0,0,US
2020-03-01,Allegany,Maryland,0,0,US
2020-03-02,Allegany,Maryland,0,0,US
2020-03-03,Allegany,Maryland,0,0,US
2020-03-04,Allegany,Maryland,0,0,US
2020-03-05,Allegany,Maryland,0,0,US
2020-03-06,Allegany,Maryland,0,0,US
2020-03-07,Allegany,Maryland,0,0,US
2020-03-08,Allegany,Maryland,0,0,US
2020-03-09,Allegany,Maryland,0,0,US
2020-03-10,Allegany,Maryland,0,0,US
2020-03-11,Allegany,Maryland,0,0,US
2020-03-12,Allegany,Maryland,0,0,US
2020-03-13,Allegany,Maryland,0,0,US
2020-03-14,Allegany,Maryland,0,0,US
2020-03-15,Allegany,Maryland,0,0,US
2020-03-16,Allegany,Maryland,0,0,US
2020-03-17,Allegany,Maryland,0,0,US
2020-03-18,Allegany,Maryland,0,0,US
2020-03-19,Allegany,Maryland,0,0,US
2020-03-20,Allegany,Maryland,0,0,US
2020-03-21,Allegany,Maryland,0,0,US
2020-03-22,Allegany,Maryland,0,0,US
2020-03-23,Allegany,Maryland,0,0,US
2020-03-24,Allegany,Maryland,0,0,US
2020-03-25,Allegany,Maryland,0,0,US
2020-03-26,Allegany,Maryland,0,0,US
2020-03-27,Allegany,Maryland,0,0,US
2020-03-28,Allegany,Maryland,0,0,US
