Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Alleghany,Virginia,0,0,US
2020-01-23,Alleghany,Virginia,0,0,US
2020-01-24,Alleghany,Virginia,0,0,US
2020-01-25,Alleghany,Virginia,0,0,US
2020-01-26,Alleghany,Virginia,0,0,US
2020-01-27,Alleghany,Virginia,0,0,US
2020-01-28,Alleghany,Virginia,0,0,US
2020-01-29,Alleghany,Virginia,0,0,US
2020-01-30,Alleghany,Virginia,0,0,US
2020-01-31,Alleghany,Virginia,0,0,US
2020-02-01,Alleghany,Virginia,0,0,US
2020-02-02,Alleghany,Virginia,0,0,US
2020-02-03,Alleghany,Virginia,0,0,US
2020-02-04,Alleghany,Virginia,0,0,US
2020-02-05,Alleghany,Virginia,0,0,US
2020-02-06,Alleghany,Virginia,0,0,US
2020-02-07,Alleghany,Virginia,0,0,US
2020-02-08,Alleghany,Virginia,0,0,US
2020-02-09,Alleghany,Virginia,0,0,US
2020-02-10,Alleghany,Virginia,0,0,US
2020-02-11,Alleghany,Virginia,0,0,US
2020-02-12,Alleghany,Virginia,0,0,US
2020-02-13,Alleghany,Virginia,0,0,US
2020-02-14,Alleghany,Virginia,0,0,US
2020-02-15,Alleghany,Virginia,0,0,US
2020-02-16,Alleghany,Virginia,0,0,US
2020-02-17,Alleghany,Virginia,0,0,US
2020-02-18,Alleghany,Virginia,0,0,US
2020-02-19,Alleghany,Virginia,0,0,US
2020-02-20,Alleghany,Virginia,0,0,US
2020-02-21,Alleghany,Virginia,0,0,US
2020-02-22,Alleghany,Virginia,0,0,US
2020-02-23,Alleghany,Virginia,0,0,US
2020-02-24,Alleghany,Virginia,0,0,US
2020-02-25,Alleghany,Virginia,0,0,US
2020-02-26,Alleghany,Virginia,0,0,US
2020-02-27,Alleghany,Virginia,0,0,US
2020-02-28,Alleghany,Virginia,0,0,US
2020-02-29,Alleghany,Virginia,0,0,US
2020-03-01,Alleghany,Virginia,0,0,US
2020-03-02,Alleghany,Virginia,0,0,US
2020-03-03,Alleghany,Virginia,0,0,US
2020-03-04,Alleghany,Virginia,0,0,US
2020-03-05,Alleghany,Virginia,0,0,US
2020-03-06,Alleghany,Virginia,0,0,US
2020-03-07,Alleghany,Virginia,0,0,US
2020-03-08,Alleghany,Virginia,0,0,US
2020-03-09,Alleghany,Virginia,0,0,US
2020-03-10,Alleghany,Virginia,0,0,US
