Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Amador,California,0,0,US
2020-01-23,Amador,California,0,0,US
2020-01-24,Amador,California,0,0,US
2020-01-25,Amador,California,0,0,US
2020-01-26,Amador,California,0,0,US
2020-01-27,Amador,California,0,0,US
2020-01-28,Amador,California,0,0,US
2020-01-29,Amador,California,0,0,US
2020-01-30,Amador,California,0,0,US
2020-01-31,Amador,California,0,0,US
2020-02-01,Amador,California,0,0,US
2020-02-02,Amador,California,0,0,US
2020-02-03,Amador,California,0,0,US
2020-02-04,Amador,California,0,0,US
2020-02-05,Amador,California,0,0,US
2020-02-06,Amador,California,0,0,US
2020-02-07,Amador,California,0,0,US
2020-02-08,Amador,California,0,0,US
2020-02-09,Amador,California,0,0,US
2020-02-10,Amador,California,0,0,US
2020-02-11,Amador,California,0,0,US
2020-02-12,Amador,California,0,0,US
2020-02-13,Amador,California,0,0,US
2020-02-14,Amador,California,0,0,US
2020-02-15,Amador,California,0,0,US
2020-02-16,Amador,California,0,0,US
2020-02-17,Amador,California,0,0,US
2020-02-18,Amador,California,0,0,US
2020-02-19,Amador,California,0,0,US
2020-02-20,Amador,California,0,0,US
2020-02-21,Amador,California,0,0,US
2020-02-22,Amador,California,0,0,US
2020-02-23,Amador,California,0,0,US
2020-02-24,Amador,California,0,0,US
2020-02-25,Amador,California,0,0,US
2020-02-26,Amador,California,0,0,US
2020-02-27,Amador,California,0,0,US
2020-02-28,Amador,California,0,0,US
2020-02-29,Amador,California,0,0,US
2020-03-01,Amador,California,0,0,US
2020-03-02,Amador,California,0,0,US
2020-03-03,Amador,California,0,0,US
2020-03-04,Amador,California,0,0,US
2020-03-05,Amador,California,0,0,US
2020-03-06,Amador,California,0,0,US
2020-03-07,Amador,California,0,0,US
2020-03-08,Amador,California,0,0,US
2020-03-09,Amador,California,0,0,US
2020-03-10,Amador,California,0,0,US
2020-03-11,Amador,California,0,0,US
2020-03-12,Amador,California,0,0,US
2020-03-13,Amador,California,0,0,US
2020-03-14,Amador,California,0,0,US
2020-03-15,Amador,California,0,0,US
2020-03-16,Amador,California,0,0,US
2020-03-17,Amador,California,0,0,US
2020-03-18,Amador,California,0,0,US
2020-03-19,Amador,California,0,0,US
2020-03-20,Amador,California,0,0,US
2020-03-21,Amador,California,1,0,US
2020-03-22,Amador,California,1,0,US
2020-03-23,Amador,California,1,0,US
2020-03-24,Amador,California,1,0,US
2020-03-25,Amador,California,1,0,US
2020-03-26,Amador,California,1,0,US
2020-03-27,Amador,California,1,0,US
2020-03-28,Amador,California,2,0,US
2020-03-29,Amador,California,1,0,US
2020-03-30,Amador,California,1,0,US
2020-03-31,Amador,California,1,0,US
2020-04-01,Amador,California,1,0,US
2020-04-02,Amador,California,2,0,US
2020-04-03,Amador,California,2,0,US
2020-04-04,Amador,California,2,0,US
2020-04-05,Amador,California,2,0,US
2020-04-06,Amador,California,2,0,US
2020-04-07,Amador,California,2,0,US
2020-04-08,Amador,California,2,0,US
2020-04-09,Amador,California,2,0,US
2020-04-10,Amador,California,5,0,US
2020-04-11,Amador,California,6,0,US
2020-04-12,Amador,California,6,0,US
2020-04-13,Amador,California,6,0,US
2020-04-14,Amador,California,6,0,US
2020-04-15,Amador,California,7,0,US
2020-04-16,Amador,California,7,0,US
2020-04-17,Amador,California,7,0,US
2020-04-18,Amador,California,7,0,US
2020-04-19,Amador,California,7,0,US
2020-04-20,Amador,California,7,0,US
2020-04-21,Amador,California,7,0,US
2020-04-22,Amador,California,7,0,US
2020-04-23,Amador,California,8,0,US
2020-04-24,Amador,California,8,0,US
2020-04-25,Amador,California,8,0,US
2020-04-26,Amador,California,8,0,US
2020-04-27,Amador,California,8,0,US
2020-04-28,Amador,California,8,0,US
2020-04-29,Amador,California,8,0,US
2020-04-30,Amador,California,8,0,US
2020-05-01,Amador,California,8,0,US
2020-05-02,Amador,California,8,0,US
2020-05-03,Amador,California,8,0,US
2020-05-04,Amador,California,8,0,US
2020-05-05,Amador,California,8,0,US
2020-05-06,Amador,California,8,0,US
2020-05-07,Amador,California,8,0,US
2020-05-08,Amador,California,8,0,US
2020-05-09,Amador,California,8,0,US
2020-05-10,Amador,California,8,0,US
2020-05-11,Amador,California,8,0,US
2020-05-12,Amador,California,8,0,US
2020-05-13,Amador,California,8,0,US
2020-05-14,Amador,California,8,0,US
2020-05-15,Amador,California,8,0,US
2020-05-16,Amador,California,8,0,US
2020-05-17,Amador,California,8,0,US
2020-05-18,Amador,California,8,0,US
2020-05-19,Amador,California,9,0,US
2020-05-20,Amador,California,9,0,US
2020-05-21,Amador,California,9,0,US
2020-05-22,Amador,California,9,0,US
2020-05-23,Amador,California,9,0,US
2020-05-24,Amador,California,9,0,US
2020-05-25,Amador,California,10,0,US
2020-05-26,Amador,California,10,0,US
2020-05-27,Amador,California,10,0,US
2020-05-28,Amador,California,10,0,US
2020-05-29,Amador,California,10,0,US
2020-05-30,Amador,California,10,0,US
2020-05-31,Amador,California,10,0,US
2020-06-01,Amador,California,10,0,US
2020-06-02,Amador,California,10,0,US
2020-06-03,Amador,California,10,0,US
2020-06-04,Amador,California,10,0,US
2020-06-05,Amador,California,10,0,US
2020-06-06,Amador,California,10,0,US
2020-06-07,Amador,California,10,0,US
2020-06-08,Amador,California,10,0,US
2020-06-09,Amador,California,10,0,US
2020-06-10,Amador,California,10,0,US
2020-06-11,Amador,California,10,0,US
2020-06-12,Amador,California,10,0,US
2020-06-13,Amador,California,10,0,US
2020-06-14,Amador,California,10,0,US
2020-06-15,Amador,California,10,0,US
2020-06-16,Amador,California,10,0,US
2020-06-17,Amador,California,10,0,US
2020-06-18,Amador,California,12,0,US
2020-06-19,Amador,California,12,0,US
2020-06-20,Amador,California,12,0,US
2020-06-21,Amador,California,12,0,US
2020-06-22,Amador,California,12,0,US
2020-06-23,Amador,California,13,0,US
2020-06-24,Amador,California,16,0,US
2020-06-25,Amador,California,18,0,US
2020-06-26,Amador,California,20,0,US
2020-06-27,Amador,California,20,0,US
2020-06-28,Amador,California,20,0,US
2020-06-29,Amador,California,20,0,US
2020-06-30,Amador,California,21,0,US
2020-07-01,Amador,California,22,0,US
2020-07-02,Amador,California,23,0,US
2020-07-03,Amador,California,25,0,US
2020-07-04,Amador,California,31,0,US
2020-07-05,Amador,California,31,0,US
2020-07-06,Amador,California,33,0,US
2020-07-07,Amador,California,33,0,US
2020-07-08,Amador,California,35,0,US
2020-07-09,Amador,California,36,0,US
2020-07-10,Amador,California,37,0,US
2020-07-11,Amador,California,37,0,US
2020-07-12,Amador,California,40,0,US
2020-07-13,Amador,California,42,0,US
2020-07-14,Amador,California,44,0,US
2020-07-15,Amador,California,44,0,US
2020-07-16,Amador,California,46,0,US
2020-07-17,Amador,California,48,0,US
2020-07-18,Amador,California,49,0,US
2020-07-19,Amador,California,51,0,US
2020-07-20,Amador,California,53,0,US
2020-07-21,Amador,California,55,0,US
2020-07-22,Amador,California,58,0,US
2020-07-23,Amador,California,61,0,US
2020-07-24,Amador,California,66,0,US
2020-07-25,Amador,California,67,0,US
2020-07-26,Amador,California,67,0,US
2020-07-27,Amador,California,72,0,US
2020-07-28,Amador,California,77,0,US
2020-07-29,Amador,California,80,0,US
2020-07-30,Amador,California,97,0,US
2020-07-31,Amador,California,98,0,US
2020-08-01,Amador,California,109,0,US
2020-08-02,Amador,California,117,0,US
2020-08-03,Amador,California,119,0,US
2020-08-04,Amador,California,123,0,US
2020-08-05,Amador,California,123,0,US
2020-08-06,Amador,California,125,0,US
2020-08-07,Amador,California,125,2,US
2020-08-08,Amador,California,139,2,US
2020-08-09,Amador,California,153,2,US
2020-08-10,Amador,California,172,2,US
2020-08-11,Amador,California,187,3,US
2020-08-12,Amador,California,197,8,US
2020-08-13,Amador,California,198,8,US
2020-08-14,Amador,California,209,9,US
2020-08-15,Amador,California,210,9,US
2020-08-16,Amador,California,215,9,US
2020-08-17,Amador,California,215,9,US
2020-08-18,Amador,California,215,9,US
2020-08-19,Amador,California,219,9,US
2020-08-20,Amador,California,222,11,US
2020-08-21,Amador,California,223,11,US
2020-08-22,Amador,California,224,13,US
2020-08-23,Amador,California,227,13,US
2020-08-24,Amador,California,227,13,US
2020-08-25,Amador,California,227,13,US
2020-08-26,Amador,California,229,13,US
2020-08-27,Amador,California,233,13,US
2020-08-28,Amador,California,234,13,US
2020-08-29,Amador,California,239,13,US
2020-08-30,Amador,California,240,13,US
2020-08-31,Amador,California,243,13,US
2020-09-01,Amador,California,244,13,US
2020-09-02,Amador,California,245,14,US
2020-09-03,Amador,California,274,16,US
2020-09-04,Amador,California,274,16,US
2020-09-05,Amador,California,274,16,US
2020-09-06,Amador,California,275,16,US
2020-09-07,Amador,California,276,16,US
2020-09-08,Amador,California,276,16,US
2020-09-09,Amador,California,276,16,US
2020-09-10,Amador,California,277,16,US
2020-09-11,Amador,California,277,16,US
2020-09-12,Amador,California,278,16,US
2020-09-13,Amador,California,279,16,US
2020-09-14,Amador,California,281,16,US
2020-09-15,Amador,California,282,16,US
2020-09-16,Amador,California,284,16,US
2020-09-17,Amador,California,284,16,US
2020-09-18,Amador,California,285,16,US
2020-09-19,Amador,California,285,16,US
2020-09-20,Amador,California,286,16,US
2020-09-21,Amador,California,286,16,US
2020-09-22,Amador,California,287,16,US
2020-09-23,Amador,California,288,16,US
2020-09-24,Amador,California,288,16,US
2020-09-25,Amador,California,289,16,US
2020-09-26,Amador,California,291,16,US
2020-09-27,Amador,California,291,16,US
2020-09-28,Amador,California,294,16,US
2020-09-29,Amador,California,294,16,US
2020-09-30,Amador,California,294,16,US
2020-10-01,Amador,California,294,16,US
2020-10-02,Amador,California,296,16,US
2020-10-03,Amador,California,296,16,US
2020-10-04,Amador,California,297,16,US
2020-10-05,Amador,California,299,16,US
2020-10-06,Amador,California,301,16,US
2020-10-07,Amador,California,302,16,US
2020-10-08,Amador,California,302,16,US
2020-10-09,Amador,California,303,16,US
2020-10-10,Amador,California,304,16,US
2020-10-11,Amador,California,305,16,US
2020-10-12,Amador,California,305,16,US
2020-10-13,Amador,California,306,16,US
2020-10-14,Amador,California,308,16,US
2020-10-15,Amador,California,309,16,US
2020-10-16,Amador,California,309,16,US
2020-10-17,Amador,California,309,16,US
2020-10-18,Amador,California,313,16,US
2020-10-19,Amador,California,313,16,US
2020-10-20,Amador,California,313,16,US
2020-10-21,Amador,California,313,16,US
2020-10-22,Amador,California,317,16,US
2020-10-23,Amador,California,324,16,US
2020-10-24,Amador,California,328,16,US
2020-10-25,Amador,California,330,16,US
2020-10-26,Amador,California,331,16,US
2020-10-27,Amador,California,335,16,US
2020-10-28,Amador,California,337,16,US
2020-10-29,Amador,California,338,16,US
2020-10-30,Amador,California,344,16,US
2020-10-31,Amador,California,347,16,US
2020-11-01,Amador,California,352,16,US
2020-11-02,Amador,California,357,16,US
2020-11-03,Amador,California,361,16,US
2020-11-04,Amador,California,362,16,US
2020-11-05,Amador,California,363,16,US
2020-11-06,Amador,California,369,16,US
2020-11-07,Amador,California,375,16,US
2020-11-08,Amador,California,376,16,US
2020-11-09,Amador,California,380,16,US
2020-11-10,Amador,California,384,16,US
2020-11-11,Amador,California,389,16,US
2020-11-12,Amador,California,392,16,US
2020-11-13,Amador,California,397,16,US
2020-11-14,Amador,California,404,16,US
2020-11-15,Amador,California,410,16,US
2020-11-16,Amador,California,415,16,US
2020-11-17,Amador,California,424,16,US
2020-11-18,Amador,California,431,16,US
2020-11-19,Amador,California,437,16,US
2020-11-20,Amador,California,447,16,US
2020-11-21,Amador,California,451,16,US
2020-11-22,Amador,California,451,16,US
2020-11-23,Amador,California,458,16,US
2020-11-24,Amador,California,471,16,US
2020-11-25,Amador,California,485,16,US
2020-11-26,Amador,California,489,16,US
2020-11-27,Amador,California,499,16,US
2020-11-28,Amador,California,538,16,US
2020-11-29,Amador,California,550,16,US
2020-11-30,Amador,California,561,16,US
2020-12-01,Amador,California,577,16,US
2020-12-02,Amador,California,588,16,US
2020-12-03,Amador,California,656,16,US
