Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Anderson,Texas,0,0,US
2020-01-23,Anderson,Texas,0,0,US
2020-01-24,Anderson,Texas,0,0,US
2020-01-25,Anderson,Texas,0,0,US
2020-01-26,Anderson,Texas,0,0,US
2020-01-27,Anderson,Texas,0,0,US
2020-01-28,Anderson,Texas,0,0,US
2020-01-29,Anderson,Texas,0,0,US
2020-01-30,Anderson,Texas,0,0,US
2020-01-31,Anderson,Texas,0,0,US
2020-02-01,Anderson,Texas,0,0,US
2020-02-02,Anderson,Texas,0,0,US
2020-02-03,Anderson,Texas,0,0,US
2020-02-04,Anderson,Texas,0,0,US
2020-02-05,Anderson,Texas,0,0,US
2020-02-06,Anderson,Texas,0,0,US
2020-02-07,Anderson,Texas,0,0,US
2020-02-08,Anderson,Texas,0,0,US
2020-02-09,Anderson,Texas,0,0,US
2020-02-10,Anderson,Texas,0,0,US
2020-02-11,Anderson,Texas,0,0,US
2020-02-12,Anderson,Texas,0,0,US
2020-02-13,Anderson,Texas,0,0,US
2020-02-14,Anderson,Texas,0,0,US
2020-02-15,Anderson,Texas,0,0,US
2020-02-16,Anderson,Texas,0,0,US
2020-02-17,Anderson,Texas,0,0,US
2020-02-18,Anderson,Texas,0,0,US
2020-02-19,Anderson,Texas,0,0,US
2020-02-20,Anderson,Texas,0,0,US
2020-02-21,Anderson,Texas,0,0,US
2020-02-22,Anderson,Texas,0,0,US
2020-02-23,Anderson,Texas,0,0,US
2020-02-24,Anderson,Texas,0,0,US
2020-02-25,Anderson,Texas,0,0,US
2020-02-26,Anderson,Texas,0,0,US
2020-02-27,Anderson,Texas,0,0,US
2020-02-28,Anderson,Texas,0,0,US
2020-02-29,Anderson,Texas,0,0,US
2020-03-01,Anderson,Texas,0,0,US
2020-03-02,Anderson,Texas,0,0,US
2020-03-03,Anderson,Texas,0,0,US
2020-03-04,Anderson,Texas,0,0,US
2020-03-05,Anderson,Texas,0,0,US
2020-03-06,Anderson,Texas,0,0,US
2020-03-07,Anderson,Texas,0,0,US
2020-03-08,Anderson,Texas,0,0,US
2020-03-09,Anderson,Texas,0,0,US
2020-03-10,Anderson,Texas,0,0,US
2020-03-11,Anderson,Texas,0,0,US
2020-03-12,Anderson,Texas,0,0,US
2020-03-13,Anderson,Texas,0,0,US
2020-03-14,Anderson,Texas,0,0,US
2020-03-15,Anderson,Texas,0,0,US
2020-03-16,Anderson,Texas,0,0,US
2020-03-17,Anderson,Texas,0,0,US
2020-03-18,Anderson,Texas,0,0,US
2020-03-19,Anderson,Texas,0,0,US
2020-03-20,Anderson,Texas,0,0,US
2020-03-21,Anderson,Texas,0,0,US
2020-03-22,Anderson,Texas,0,0,US
2020-03-23,Anderson,Texas,0,0,US
2020-03-24,Anderson,Texas,0,0,US
2020-03-25,Anderson,Texas,0,0,US
2020-03-26,Anderson,Texas,0,0,US
2020-03-27,Anderson,Texas,0,0,US
2020-03-28,Anderson,Texas,0,0,US
2020-03-29,Anderson,Texas,0,0,US
2020-03-30,Anderson,Texas,0,0,US
2020-03-31,Anderson,Texas,1,0,US
2020-04-01,Anderson,Texas,1,0,US
2020-04-02,Anderson,Texas,1,0,US
2020-04-03,Anderson,Texas,1,0,US
2020-04-04,Anderson,Texas,2,0,US
2020-04-05,Anderson,Texas,6,0,US
2020-04-06,Anderson,Texas,6,0,US
2020-04-07,Anderson,Texas,7,0,US
2020-04-08,Anderson,Texas,14,0,US
2020-04-09,Anderson,Texas,28,0,US
2020-04-10,Anderson,Texas,33,0,US
2020-04-11,Anderson,Texas,40,0,US
2020-04-12,Anderson,Texas,40,0,US
2020-04-13,Anderson,Texas,51,0,US
2020-04-14,Anderson,Texas,62,0,US
2020-04-15,Anderson,Texas,65,0,US
2020-04-16,Anderson,Texas,77,0,US
2020-04-17,Anderson,Texas,85,0,US
2020-04-18,Anderson,Texas,87,0,US
2020-04-19,Anderson,Texas,87,0,US
2020-04-20,Anderson,Texas,136,0,US
2020-04-21,Anderson,Texas,141,0,US
2020-04-22,Anderson,Texas,147,0,US
2020-04-23,Anderson,Texas,182,0,US
2020-04-24,Anderson,Texas,186,0,US
2020-04-25,Anderson,Texas,186,0,US
2020-04-26,Anderson,Texas,187,0,US
2020-04-27,Anderson,Texas,206,0,US
2020-04-28,Anderson,Texas,209,0,US
2020-04-29,Anderson,Texas,213,0,US
2020-04-30,Anderson,Texas,223,0,US
2020-05-01,Anderson,Texas,228,0,US
2020-05-02,Anderson,Texas,230,0,US
2020-05-03,Anderson,Texas,230,0,US
2020-05-04,Anderson,Texas,245,0,US
2020-05-05,Anderson,Texas,259,0,US
2020-05-06,Anderson,Texas,272,0,US
2020-05-07,Anderson,Texas,314,0,US
2020-05-08,Anderson,Texas,326,0,US
2020-05-09,Anderson,Texas,334,0,US
2020-05-10,Anderson,Texas,339,0,US
2020-05-11,Anderson,Texas,340,0,US
2020-05-12,Anderson,Texas,345,0,US
2020-05-13,Anderson,Texas,351,0,US
2020-05-14,Anderson,Texas,362,0,US
2020-05-15,Anderson,Texas,371,0,US
2020-05-16,Anderson,Texas,371,0,US
2020-05-17,Anderson,Texas,371,0,US
2020-05-18,Anderson,Texas,375,0,US
2020-05-19,Anderson,Texas,375,0,US
2020-05-20,Anderson,Texas,376,0,US
2020-05-21,Anderson,Texas,380,0,US
2020-05-22,Anderson,Texas,380,0,US
2020-05-23,Anderson,Texas,380,0,US
2020-05-24,Anderson,Texas,380,0,US
2020-05-25,Anderson,Texas,380,0,US
2020-05-26,Anderson,Texas,380,0,US
2020-05-27,Anderson,Texas,381,0,US
2020-05-28,Anderson,Texas,381,0,US
2020-05-29,Anderson,Texas,385,0,US
2020-05-30,Anderson,Texas,385,0,US
2020-05-31,Anderson,Texas,385,0,US
2020-06-01,Anderson,Texas,385,0,US
2020-06-02,Anderson,Texas,422,0,US
2020-06-03,Anderson,Texas,422,0,US
2020-06-04,Anderson,Texas,439,0,US
2020-06-05,Anderson,Texas,448,0,US
2020-06-06,Anderson,Texas,449,0,US
2020-06-07,Anderson,Texas,449,0,US
2020-06-08,Anderson,Texas,450,0,US
2020-06-09,Anderson,Texas,454,0,US
2020-06-10,Anderson,Texas,459,0,US
2020-06-11,Anderson,Texas,460,0,US
2020-06-12,Anderson,Texas,461,0,US
2020-06-13,Anderson,Texas,461,0,US
2020-06-14,Anderson,Texas,461,0,US
2020-06-15,Anderson,Texas,572,0,US
2020-06-16,Anderson,Texas,613,2,US
2020-06-17,Anderson,Texas,614,2,US
2020-06-18,Anderson,Texas,618,2,US
2020-06-19,Anderson,Texas,618,2,US
2020-06-20,Anderson,Texas,619,2,US
2020-06-21,Anderson,Texas,619,2,US
2020-06-22,Anderson,Texas,622,2,US
2020-06-23,Anderson,Texas,840,2,US
2020-06-24,Anderson,Texas,902,2,US
2020-06-25,Anderson,Texas,904,2,US
2020-06-26,Anderson,Texas,918,2,US
2020-06-27,Anderson,Texas,943,2,US
