Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Arkansas,Arkansas,0,0,US
2020-01-23,Arkansas,Arkansas,0,0,US
2020-01-24,Arkansas,Arkansas,0,0,US
2020-01-25,Arkansas,Arkansas,0,0,US
2020-01-26,Arkansas,Arkansas,0,0,US
2020-01-27,Arkansas,Arkansas,0,0,US
2020-01-28,Arkansas,Arkansas,0,0,US
2020-01-29,Arkansas,Arkansas,0,0,US
2020-01-30,Arkansas,Arkansas,0,0,US
2020-01-31,Arkansas,Arkansas,0,0,US
2020-02-01,Arkansas,Arkansas,0,0,US
2020-02-02,Arkansas,Arkansas,0,0,US
2020-02-03,Arkansas,Arkansas,0,0,US
2020-02-04,Arkansas,Arkansas,0,0,US
2020-02-05,Arkansas,Arkansas,0,0,US
2020-02-06,Arkansas,Arkansas,0,0,US
2020-02-07,Arkansas,Arkansas,0,0,US
2020-02-08,Arkansas,Arkansas,0,0,US
2020-02-09,Arkansas,Arkansas,0,0,US
2020-02-10,Arkansas,Arkansas,0,0,US
2020-02-11,Arkansas,Arkansas,0,0,US
2020-02-12,Arkansas,Arkansas,0,0,US
2020-02-13,Arkansas,Arkansas,0,0,US
2020-02-14,Arkansas,Arkansas,0,0,US
2020-02-15,Arkansas,Arkansas,0,0,US
2020-02-16,Arkansas,Arkansas,0,0,US
2020-02-17,Arkansas,Arkansas,0,0,US
2020-02-18,Arkansas,Arkansas,0,0,US
2020-02-19,Arkansas,Arkansas,0,0,US
2020-02-20,Arkansas,Arkansas,0,0,US
2020-02-21,Arkansas,Arkansas,0,0,US
2020-02-22,Arkansas,Arkansas,0,0,US
2020-02-23,Arkansas,Arkansas,0,0,US
2020-02-24,Arkansas,Arkansas,0,0,US
2020-02-25,Arkansas,Arkansas,0,0,US
2020-02-26,Arkansas,Arkansas,0,0,US
2020-02-27,Arkansas,Arkansas,0,0,US
2020-02-28,Arkansas,Arkansas,0,0,US
2020-02-29,Arkansas,Arkansas,0,0,US
2020-03-01,Arkansas,Arkansas,0,0,US
2020-03-02,Arkansas,Arkansas,0,0,US
2020-03-03,Arkansas,Arkansas,0,0,US
2020-03-04,Arkansas,Arkansas,0,0,US
2020-03-05,Arkansas,Arkansas,0,0,US
2020-03-06,Arkansas,Arkansas,0,0,US
2020-03-07,Arkansas,Arkansas,0,0,US
2020-03-08,Arkansas,Arkansas,0,0,US
2020-03-09,Arkansas,Arkansas,0,0,US
2020-03-10,Arkansas,Arkansas,0,0,US
2020-03-11,Arkansas,Arkansas,0,0,US
2020-03-12,Arkansas,Arkansas,0,0,US
2020-03-13,Arkansas,Arkansas,0,0,US
2020-03-14,Arkansas,Arkansas,0,0,US
2020-03-15,Arkansas,Arkansas,0,0,US
2020-03-16,Arkansas,Arkansas,0,0,US
2020-03-17,Arkansas,Arkansas,0,0,US
2020-03-18,Arkansas,Arkansas,0,0,US
2020-03-19,Arkansas,Arkansas,0,0,US
2020-03-20,Arkansas,Arkansas,0,0,US
2020-03-21,Arkansas,Arkansas,0,0,US
2020-03-22,Arkansas,Arkansas,0,0,US
2020-03-23,Arkansas,Arkansas,0,0,US
2020-03-24,Arkansas,Arkansas,0,0,US
2020-03-25,Arkansas,Arkansas,0,0,US
2020-03-26,Arkansas,Arkansas,0,0,US
2020-03-27,Arkansas,Arkansas,0,0,US
2020-03-28,Arkansas,Arkansas,0,0,US
2020-03-29,Arkansas,Arkansas,0,0,US
2020-03-30,Arkansas,Arkansas,1,0,US
2020-03-31,Arkansas,Arkansas,1,0,US
2020-04-01,Arkansas,Arkansas,1,0,US
2020-04-02,Arkansas,Arkansas,1,0,US
2020-04-03,Arkansas,Arkansas,1,0,US
2020-04-04,Arkansas,Arkansas,1,0,US
2020-04-05,Arkansas,Arkansas,1,0,US
2020-04-06,Arkansas,Arkansas,1,0,US
2020-04-07,Arkansas,Arkansas,1,0,US
2020-04-08,Arkansas,Arkansas,1,0,US
2020-04-09,Arkansas,Arkansas,2,0,US
2020-04-10,Arkansas,Arkansas,2,0,US
2020-04-11,Arkansas,Arkansas,2,0,US
2020-04-12,Arkansas,Arkansas,2,0,US
2020-04-13,Arkansas,Arkansas,2,0,US
2020-04-14,Arkansas,Arkansas,2,0,US
2020-04-15,Arkansas,Arkansas,2,0,US
2020-04-16,Arkansas,Arkansas,2,0,US
2020-04-17,Arkansas,Arkansas,2,0,US
2020-04-18,Arkansas,Arkansas,2,0,US
2020-04-19,Arkansas,Arkansas,2,0,US
2020-04-20,Arkansas,Arkansas,2,0,US
2020-04-21,Arkansas,Arkansas,2,0,US
2020-04-22,Arkansas,Arkansas,2,0,US
2020-04-23,Arkansas,Arkansas,2,0,US
2020-04-24,Arkansas,Arkansas,2,0,US
2020-04-25,Arkansas,Arkansas,2,0,US
2020-04-26,Arkansas,Arkansas,2,0,US
2020-04-27,Arkansas,Arkansas,2,0,US
2020-04-28,Arkansas,Arkansas,2,0,US
2020-04-29,Arkansas,Arkansas,2,0,US
2020-04-30,Arkansas,Arkansas,2,0,US
2020-05-01,Arkansas,Arkansas,2,0,US
2020-05-02,Arkansas,Arkansas,2,0,US
2020-05-03,Arkansas,Arkansas,3,0,US
2020-05-04,Arkansas,Arkansas,3,0,US
