Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Asotin,Washington,0,0,US
2020-01-23,Asotin,Washington,0,0,US
2020-01-24,Asotin,Washington,0,0,US
2020-01-25,Asotin,Washington,0,0,US
2020-01-26,Asotin,Washington,0,0,US
2020-01-27,Asotin,Washington,0,0,US
2020-01-28,Asotin,Washington,0,0,US
2020-01-29,Asotin,Washington,0,0,US
2020-01-30,Asotin,Washington,0,0,US
2020-01-31,Asotin,Washington,0,0,US
2020-02-01,Asotin,Washington,0,0,US
2020-02-02,Asotin,Washington,0,0,US
2020-02-03,Asotin,Washington,0,0,US
2020-02-04,Asotin,Washington,0,0,US
2020-02-05,Asotin,Washington,0,0,US
2020-02-06,Asotin,Washington,0,0,US
2020-02-07,Asotin,Washington,0,0,US
2020-02-08,Asotin,Washington,0,0,US
2020-02-09,Asotin,Washington,0,0,US
2020-02-10,Asotin,Washington,0,0,US
2020-02-11,Asotin,Washington,0,0,US
2020-02-12,Asotin,Washington,0,0,US
2020-02-13,Asotin,Washington,0,0,US
2020-02-14,Asotin,Washington,0,0,US
2020-02-15,Asotin,Washington,0,0,US
2020-02-16,Asotin,Washington,0,0,US
2020-02-17,Asotin,Washington,0,0,US
2020-02-18,Asotin,Washington,0,0,US
2020-02-19,Asotin,Washington,0,0,US
2020-02-20,Asotin,Washington,0,0,US
2020-02-21,Asotin,Washington,0,0,US
2020-02-22,Asotin,Washington,0,0,US
2020-02-23,Asotin,Washington,0,0,US
2020-02-24,Asotin,Washington,0,0,US
2020-02-25,Asotin,Washington,0,0,US
2020-02-26,Asotin,Washington,0,0,US
2020-02-27,Asotin,Washington,0,0,US
2020-02-28,Asotin,Washington,0,0,US
2020-02-29,Asotin,Washington,0,0,US
2020-03-01,Asotin,Washington,0,0,US
2020-03-02,Asotin,Washington,0,0,US
2020-03-03,Asotin,Washington,0,0,US
2020-03-04,Asotin,Washington,0,0,US
2020-03-05,Asotin,Washington,0,0,US
2020-03-06,Asotin,Washington,0,0,US
2020-03-07,Asotin,Washington,0,0,US
2020-03-08,Asotin,Washington,0,0,US
2020-03-09,Asotin,Washington,0,0,US
2020-03-10,Asotin,Washington,0,0,US
2020-03-11,Asotin,Washington,0,0,US
2020-03-12,Asotin,Washington,0,0,US
2020-03-13,Asotin,Washington,0,0,US
2020-03-14,Asotin,Washington,0,0,US
2020-03-15,Asotin,Washington,0,0,US
2020-03-16,Asotin,Washington,0,0,US
2020-03-17,Asotin,Washington,0,0,US
2020-03-18,Asotin,Washington,0,0,US
2020-03-19,Asotin,Washington,0,0,US
2020-03-20,Asotin,Washington,0,0,US
2020-03-21,Asotin,Washington,0,0,US
2020-03-22,Asotin,Washington,0,0,US
2020-03-23,Asotin,Washington,0,0,US
2020-03-24,Asotin,Washington,0,0,US
2020-03-25,Asotin,Washington,0,0,US
2020-03-26,Asotin,Washington,0,0,US
2020-03-27,Asotin,Washington,0,0,US
2020-03-28,Asotin,Washington,0,0,US
2020-03-29,Asotin,Washington,0,0,US
2020-03-30,Asotin,Washington,0,0,US
2020-03-31,Asotin,Washington,0,0,US
2020-04-01,Asotin,Washington,0,0,US
2020-04-02,Asotin,Washington,0,0,US
2020-04-03,Asotin,Washington,0,0,US
2020-04-04,Asotin,Washington,1,0,US
2020-04-05,Asotin,Washington,2,0,US
2020-04-06,Asotin,Washington,3,0,US
2020-04-07,Asotin,Washington,4,0,US
2020-04-08,Asotin,Washington,4,0,US
2020-04-09,Asotin,Washington,4,0,US
2020-04-10,Asotin,Washington,4,0,US
2020-04-11,Asotin,Washington,4,0,US
2020-04-12,Asotin,Washington,5,0,US
2020-04-13,Asotin,Washington,5,0,US
2020-04-14,Asotin,Washington,6,0,US
2020-04-15,Asotin,Washington,6,0,US
2020-04-16,Asotin,Washington,10,0,US
2020-04-17,Asotin,Washington,11,1,US
2020-04-18,Asotin,Washington,11,1,US
2020-04-19,Asotin,Washington,13,1,US
2020-04-20,Asotin,Washington,13,1,US
2020-04-21,Asotin,Washington,13,1,US
2020-04-22,Asotin,Washington,14,1,US
2020-04-23,Asotin,Washington,16,1,US
2020-04-24,Asotin,Washington,16,1,US
2020-04-25,Asotin,Washington,17,2,US
2020-04-26,Asotin,Washington,17,2,US
2020-04-27,Asotin,Washington,17,2,US
2020-04-28,Asotin,Washington,17,2,US
2020-04-29,Asotin,Washington,17,2,US
2020-04-30,Asotin,Washington,18,2,US
2020-05-01,Asotin,Washington,18,2,US
2020-05-02,Asotin,Washington,18,2,US
2020-05-03,Asotin,Washington,18,2,US
2020-05-04,Asotin,Washington,18,2,US
2020-05-05,Asotin,Washington,18,2,US
2020-05-06,Asotin,Washington,18,2,US
2020-05-07,Asotin,Washington,18,2,US
2020-05-08,Asotin,Washington,18,2,US
2020-05-09,Asotin,Washington,18,2,US
2020-05-10,Asotin,Washington,18,2,US
2020-05-11,Asotin,Washington,18,2,US
2020-05-12,Asotin,Washington,18,2,US
2020-05-13,Asotin,Washington,18,2,US
2020-05-14,Asotin,Washington,18,2,US
2020-05-15,Asotin,Washington,18,2,US
2020-05-16,Asotin,Washington,18,2,US
2020-05-17,Asotin,Washington,18,2,US
2020-05-18,Asotin,Washington,18,2,US
2020-05-19,Asotin,Washington,18,2,US
2020-05-20,Asotin,Washington,18,2,US
2020-05-21,Asotin,Washington,18,2,US
2020-05-22,Asotin,Washington,18,2,US
2020-05-23,Asotin,Washington,18,2,US
2020-05-24,Asotin,Washington,18,2,US
2020-05-25,Asotin,Washington,19,2,US
2020-05-26,Asotin,Washington,19,2,US
2020-05-27,Asotin,Washington,19,2,US
2020-05-28,Asotin,Washington,19,2,US
2020-05-29,Asotin,Washington,19,2,US
2020-05-30,Asotin,Washington,19,2,US
2020-05-31,Asotin,Washington,19,2,US
2020-06-01,Asotin,Washington,19,2,US
2020-06-02,Asotin,Washington,19,2,US
2020-06-03,Asotin,Washington,19,2,US
2020-06-04,Asotin,Washington,19,2,US
2020-06-05,Asotin,Washington,19,2,US
2020-06-06,Asotin,Washington,19,2,US
2020-06-07,Asotin,Washington,19,2,US
2020-06-08,Asotin,Washington,19,2,US
2020-06-09,Asotin,Washington,20,2,US
2020-06-10,Asotin,Washington,20,2,US
2020-06-11,Asotin,Washington,20,2,US
2020-06-12,Asotin,Washington,20,2,US
2020-06-13,Asotin,Washington,20,2,US
2020-06-14,Asotin,Washington,20,2,US
2020-06-15,Asotin,Washington,20,2,US
2020-06-16,Asotin,Washington,20,2,US
2020-06-17,Asotin,Washington,20,2,US
2020-06-18,Asotin,Washington,20,2,US
2020-06-19,Asotin,Washington,20,2,US
2020-06-20,Asotin,Washington,20,2,US
2020-06-21,Asotin,Washington,20,2,US
2020-06-22,Asotin,Washington,20,2,US
2020-06-23,Asotin,Washington,20,2,US
2020-06-24,Asotin,Washington,20,2,US
2020-06-25,Asotin,Washington,20,2,US
2020-06-26,Asotin,Washington,20,2,US
2020-06-27,Asotin,Washington,21,2,US
2020-06-28,Asotin,Washington,21,2,US
2020-06-29,Asotin,Washington,21,2,US
