Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Assumption,Louisiana,0,0,US
2020-01-23,Assumption,Louisiana,0,0,US
2020-01-24,Assumption,Louisiana,0,0,US
2020-01-25,Assumption,Louisiana,0,0,US
2020-01-26,Assumption,Louisiana,0,0,US
2020-01-27,Assumption,Louisiana,0,0,US
2020-01-28,Assumption,Louisiana,0,0,US
2020-01-29,Assumption,Louisiana,0,0,US
2020-01-30,Assumption,Louisiana,0,0,US
2020-01-31,Assumption,Louisiana,0,0,US
2020-02-01,Assumption,Louisiana,0,0,US
2020-02-02,Assumption,Louisiana,0,0,US
2020-02-03,Assumption,Louisiana,0,0,US
2020-02-04,Assumption,Louisiana,0,0,US
2020-02-05,Assumption,Louisiana,0,0,US
2020-02-06,Assumption,Louisiana,0,0,US
2020-02-07,Assumption,Louisiana,0,0,US
2020-02-08,Assumption,Louisiana,0,0,US
2020-02-09,Assumption,Louisiana,0,0,US
2020-02-10,Assumption,Louisiana,0,0,US
2020-02-11,Assumption,Louisiana,0,0,US
2020-02-12,Assumption,Louisiana,0,0,US
2020-02-13,Assumption,Louisiana,0,0,US
2020-02-14,Assumption,Louisiana,0,0,US
2020-02-15,Assumption,Louisiana,0,0,US
2020-02-16,Assumption,Louisiana,0,0,US
2020-02-17,Assumption,Louisiana,0,0,US
2020-02-18,Assumption,Louisiana,0,0,US
2020-02-19,Assumption,Louisiana,0,0,US
2020-02-20,Assumption,Louisiana,0,0,US
2020-02-21,Assumption,Louisiana,0,0,US
2020-02-22,Assumption,Louisiana,0,0,US
2020-02-23,Assumption,Louisiana,0,0,US
2020-02-24,Assumption,Louisiana,0,0,US
2020-02-25,Assumption,Louisiana,0,0,US
2020-02-26,Assumption,Louisiana,0,0,US
2020-02-27,Assumption,Louisiana,0,0,US
2020-02-28,Assumption,Louisiana,0,0,US
2020-02-29,Assumption,Louisiana,0,0,US
2020-03-01,Assumption,Louisiana,0,0,US
2020-03-02,Assumption,Louisiana,0,0,US
2020-03-03,Assumption,Louisiana,0,0,US
2020-03-04,Assumption,Louisiana,0,0,US
2020-03-05,Assumption,Louisiana,0,0,US
2020-03-06,Assumption,Louisiana,0,0,US
2020-03-07,Assumption,Louisiana,0,0,US
2020-03-08,Assumption,Louisiana,0,0,US
2020-03-09,Assumption,Louisiana,0,0,US
2020-03-10,Assumption,Louisiana,0,0,US
2020-03-11,Assumption,Louisiana,0,0,US
2020-03-12,Assumption,Louisiana,0,0,US
2020-03-13,Assumption,Louisiana,0,0,US
2020-03-14,Assumption,Louisiana,0,0,US
2020-03-15,Assumption,Louisiana,0,0,US
2020-03-16,Assumption,Louisiana,0,0,US
2020-03-17,Assumption,Louisiana,0,0,US
2020-03-18,Assumption,Louisiana,0,0,US
2020-03-19,Assumption,Louisiana,0,0,US
2020-03-20,Assumption,Louisiana,1,0,US
2020-03-21,Assumption,Louisiana,1,0,US
2020-03-22,Assumption,Louisiana,1,0,US
2020-03-23,Assumption,Louisiana,1,0,US
2020-03-24,Assumption,Louisiana,2,0,US
2020-03-25,Assumption,Louisiana,2,0,US
2020-03-26,Assumption,Louisiana,5,0,US
2020-03-27,Assumption,Louisiana,8,0,US
2020-03-28,Assumption,Louisiana,8,0,US
2020-03-29,Assumption,Louisiana,14,0,US
2020-03-30,Assumption,Louisiana,17,0,US
2020-03-31,Assumption,Louisiana,20,0,US
2020-04-01,Assumption,Louisiana,25,0,US
2020-04-02,Assumption,Louisiana,31,0,US
2020-04-03,Assumption,Louisiana,33,0,US
2020-04-04,Assumption,Louisiana,56,0,US
2020-04-05,Assumption,Louisiana,59,0,US
2020-04-06,Assumption,Louisiana,77,0,US
2020-04-07,Assumption,Louisiana,84,1,US
2020-04-08,Assumption,Louisiana,89,0,US
2020-04-09,Assumption,Louisiana,94,0,US
2020-04-10,Assumption,Louisiana,105,1,US
2020-04-11,Assumption,Louisiana,109,1,US
