Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Audubon,Iowa,0,0,US
2020-01-23,Audubon,Iowa,0,0,US
2020-01-24,Audubon,Iowa,0,0,US
2020-01-25,Audubon,Iowa,0,0,US
2020-01-26,Audubon,Iowa,0,0,US
2020-01-27,Audubon,Iowa,0,0,US
2020-01-28,Audubon,Iowa,0,0,US
2020-01-29,Audubon,Iowa,0,0,US
2020-01-30,Audubon,Iowa,0,0,US
2020-01-31,Audubon,Iowa,0,0,US
2020-02-01,Audubon,Iowa,0,0,US
2020-02-02,Audubon,Iowa,0,0,US
2020-02-03,Audubon,Iowa,0,0,US
2020-02-04,Audubon,Iowa,0,0,US
2020-02-05,Audubon,Iowa,0,0,US
2020-02-06,Audubon,Iowa,0,0,US
2020-02-07,Audubon,Iowa,0,0,US
2020-02-08,Audubon,Iowa,0,0,US
2020-02-09,Audubon,Iowa,0,0,US
2020-02-10,Audubon,Iowa,0,0,US
2020-02-11,Audubon,Iowa,0,0,US
2020-02-12,Audubon,Iowa,0,0,US
2020-02-13,Audubon,Iowa,0,0,US
2020-02-14,Audubon,Iowa,0,0,US
2020-02-15,Audubon,Iowa,0,0,US
2020-02-16,Audubon,Iowa,0,0,US
2020-02-17,Audubon,Iowa,0,0,US
2020-02-18,Audubon,Iowa,0,0,US
2020-02-19,Audubon,Iowa,0,0,US
2020-02-20,Audubon,Iowa,0,0,US
2020-02-21,Audubon,Iowa,0,0,US
2020-02-22,Audubon,Iowa,0,0,US
2020-02-23,Audubon,Iowa,0,0,US
2020-02-24,Audubon,Iowa,0,0,US
2020-02-25,Audubon,Iowa,0,0,US
2020-02-26,Audubon,Iowa,0,0,US
2020-02-27,Audubon,Iowa,0,0,US
2020-02-28,Audubon,Iowa,0,0,US
2020-02-29,Audubon,Iowa,0,0,US
2020-03-01,Audubon,Iowa,0,0,US
2020-03-02,Audubon,Iowa,0,0,US
2020-03-03,Audubon,Iowa,0,0,US
2020-03-04,Audubon,Iowa,0,0,US
2020-03-05,Audubon,Iowa,0,0,US
2020-03-06,Audubon,Iowa,0,0,US
2020-03-07,Audubon,Iowa,0,0,US
2020-03-08,Audubon,Iowa,0,0,US
2020-03-09,Audubon,Iowa,0,0,US
2020-03-10,Audubon,Iowa,0,0,US
2020-03-11,Audubon,Iowa,0,0,US
2020-03-12,Audubon,Iowa,0,0,US
2020-03-13,Audubon,Iowa,0,0,US
2020-03-14,Audubon,Iowa,0,0,US
2020-03-15,Audubon,Iowa,0,0,US
2020-03-16,Audubon,Iowa,0,0,US
2020-03-17,Audubon,Iowa,0,0,US
2020-03-18,Audubon,Iowa,0,0,US
2020-03-19,Audubon,Iowa,0,0,US
2020-03-20,Audubon,Iowa,0,0,US
2020-03-21,Audubon,Iowa,0,0,US
2020-03-22,Audubon,Iowa,0,0,US
2020-03-23,Audubon,Iowa,0,0,US
2020-03-24,Audubon,Iowa,0,0,US
2020-03-25,Audubon,Iowa,0,0,US
2020-03-26,Audubon,Iowa,0,0,US
2020-03-27,Audubon,Iowa,0,0,US
2020-03-28,Audubon,Iowa,0,0,US
2020-03-29,Audubon,Iowa,0,0,US
2020-03-30,Audubon,Iowa,1,0,US
2020-03-31,Audubon,Iowa,1,0,US
2020-04-01,Audubon,Iowa,1,0,US
2020-04-02,Audubon,Iowa,1,0,US
2020-04-03,Audubon,Iowa,1,0,US
2020-04-04,Audubon,Iowa,1,0,US
2020-04-05,Audubon,Iowa,1,0,US
2020-04-06,Audubon,Iowa,1,0,US
2020-04-07,Audubon,Iowa,1,0,US
2020-04-08,Audubon,Iowa,1,0,US
2020-04-09,Audubon,Iowa,1,0,US
2020-04-10,Audubon,Iowa,1,0,US
2020-04-11,Audubon,Iowa,1,0,US
2020-04-12,Audubon,Iowa,1,0,US
2020-04-13,Audubon,Iowa,1,0,US
2020-04-14,Audubon,Iowa,1,0,US
2020-04-15,Audubon,Iowa,1,0,US
2020-04-16,Audubon,Iowa,1,0,US
2020-04-17,Audubon,Iowa,1,0,US
2020-04-18,Audubon,Iowa,1,0,US
2020-04-19,Audubon,Iowa,1,0,US
2020-04-20,Audubon,Iowa,1,0,US
2020-04-21,Audubon,Iowa,1,0,US
2020-04-22,Audubon,Iowa,1,0,US
2020-04-23,Audubon,Iowa,1,0,US
2020-04-24,Audubon,Iowa,1,0,US
2020-04-25,Audubon,Iowa,1,0,US
2020-04-26,Audubon,Iowa,1,0,US
2020-04-27,Audubon,Iowa,1,0,US
2020-04-28,Audubon,Iowa,1,0,US
2020-04-29,Audubon,Iowa,1,0,US
2020-04-30,Audubon,Iowa,1,0,US
2020-05-01,Audubon,Iowa,2,0,US
2020-05-02,Audubon,Iowa,2,0,US
2020-05-03,Audubon,Iowa,5,0,US
2020-05-04,Audubon,Iowa,5,0,US
2020-05-05,Audubon,Iowa,8,0,US
2020-05-06,Audubon,Iowa,8,0,US
2020-05-07,Audubon,Iowa,8,0,US
2020-05-08,Audubon,Iowa,9,0,US
2020-05-09,Audubon,Iowa,9,0,US
2020-05-10,Audubon,Iowa,10,0,US
2020-05-11,Audubon,Iowa,10,0,US
2020-05-12,Audubon,Iowa,10,1,US
2020-05-13,Audubon,Iowa,10,1,US
2020-05-14,Audubon,Iowa,11,1,US
2020-05-15,Audubon,Iowa,11,1,US
2020-05-16,Audubon,Iowa,11,1,US
2020-05-17,Audubon,Iowa,11,1,US
2020-05-18,Audubon,Iowa,11,1,US
2020-05-19,Audubon,Iowa,11,1,US
2020-05-20,Audubon,Iowa,11,1,US
2020-05-21,Audubon,Iowa,11,1,US
2020-05-22,Audubon,Iowa,11,1,US
2020-05-23,Audubon,Iowa,11,1,US
2020-05-24,Audubon,Iowa,11,1,US
2020-05-25,Audubon,Iowa,11,1,US
2020-05-26,Audubon,Iowa,12,1,US
2020-05-27,Audubon,Iowa,12,1,US
2020-05-28,Audubon,Iowa,12,1,US
2020-05-29,Audubon,Iowa,12,1,US
2020-05-30,Audubon,Iowa,12,1,US
2020-05-31,Audubon,Iowa,12,1,US
2020-06-01,Audubon,Iowa,12,1,US
2020-06-02,Audubon,Iowa,13,1,US
2020-06-03,Audubon,Iowa,13,1,US
2020-06-04,Audubon,Iowa,13,1,US
2020-06-05,Audubon,Iowa,13,1,US
2020-06-06,Audubon,Iowa,13,1,US
2020-06-07,Audubon,Iowa,13,1,US
2020-06-08,Audubon,Iowa,13,1,US
2020-06-09,Audubon,Iowa,13,1,US
2020-06-10,Audubon,Iowa,13,1,US
2020-06-11,Audubon,Iowa,13,1,US
2020-06-12,Audubon,Iowa,13,1,US
2020-06-13,Audubon,Iowa,13,1,US
2020-06-14,Audubon,Iowa,14,1,US
2020-06-15,Audubon,Iowa,14,1,US
2020-06-16,Audubon,Iowa,14,1,US
2020-06-17,Audubon,Iowa,14,1,US
2020-06-18,Audubon,Iowa,14,1,US
2020-06-19,Audubon,Iowa,15,1,US
2020-06-20,Audubon,Iowa,15,1,US
2020-06-21,Audubon,Iowa,15,1,US
2020-06-22,Audubon,Iowa,15,1,US
2020-06-23,Audubon,Iowa,15,1,US
2020-06-24,Audubon,Iowa,15,1,US
2020-06-25,Audubon,Iowa,16,1,US
2020-06-26,Audubon,Iowa,18,1,US
2020-06-27,Audubon,Iowa,17,1,US
2020-06-28,Audubon,Iowa,17,1,US
2020-06-29,Audubon,Iowa,17,1,US
2020-06-30,Audubon,Iowa,17,1,US
2020-07-01,Audubon,Iowa,16,1,US
2020-07-02,Audubon,Iowa,16,1,US
2020-07-03,Audubon,Iowa,16,1,US
2020-07-04,Audubon,Iowa,16,1,US
2020-07-05,Audubon,Iowa,16,1,US
2020-07-06,Audubon,Iowa,16,1,US
2020-07-07,Audubon,Iowa,16,1,US
2020-07-08,Audubon,Iowa,16,1,US
2020-07-09,Audubon,Iowa,16,1,US
2020-07-10,Audubon,Iowa,16,1,US
2020-07-11,Audubon,Iowa,18,1,US
2020-07-12,Audubon,Iowa,18,1,US
2020-07-13,Audubon,Iowa,18,1,US
2020-07-14,Audubon,Iowa,17,1,US
2020-07-15,Audubon,Iowa,17,1,US
2020-07-16,Audubon,Iowa,19,1,US
2020-07-17,Audubon,Iowa,19,1,US
2020-07-18,Audubon,Iowa,19,1,US
2020-07-19,Audubon,Iowa,21,1,US
2020-07-20,Audubon,Iowa,21,1,US
2020-07-21,Audubon,Iowa,22,1,US
2020-07-22,Audubon,Iowa,22,1,US
2020-07-23,Audubon,Iowa,22,1,US
2020-07-24,Audubon,Iowa,24,1,US
2020-07-25,Audubon,Iowa,26,1,US
2020-07-26,Audubon,Iowa,25,1,US
2020-07-27,Audubon,Iowa,25,1,US
2020-07-28,Audubon,Iowa,25,1,US
2020-07-29,Audubon,Iowa,27,1,US
