Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Avoyelles,Louisiana,0,0,US
2020-01-23,Avoyelles,Louisiana,0,0,US
2020-01-24,Avoyelles,Louisiana,0,0,US
2020-01-25,Avoyelles,Louisiana,0,0,US
2020-01-26,Avoyelles,Louisiana,0,0,US
2020-01-27,Avoyelles,Louisiana,0,0,US
2020-01-28,Avoyelles,Louisiana,0,0,US
2020-01-29,Avoyelles,Louisiana,0,0,US
2020-01-30,Avoyelles,Louisiana,0,0,US
2020-01-31,Avoyelles,Louisiana,0,0,US
2020-02-01,Avoyelles,Louisiana,0,0,US
2020-02-02,Avoyelles,Louisiana,0,0,US
2020-02-03,Avoyelles,Louisiana,0,0,US
2020-02-04,Avoyelles,Louisiana,0,0,US
2020-02-05,Avoyelles,Louisiana,0,0,US
2020-02-06,Avoyelles,Louisiana,0,0,US
2020-02-07,Avoyelles,Louisiana,0,0,US
2020-02-08,Avoyelles,Louisiana,0,0,US
2020-02-09,Avoyelles,Louisiana,0,0,US
2020-02-10,Avoyelles,Louisiana,0,0,US
2020-02-11,Avoyelles,Louisiana,0,0,US
2020-02-12,Avoyelles,Louisiana,0,0,US
2020-02-13,Avoyelles,Louisiana,0,0,US
2020-02-14,Avoyelles,Louisiana,0,0,US
2020-02-15,Avoyelles,Louisiana,0,0,US
2020-02-16,Avoyelles,Louisiana,0,0,US
2020-02-17,Avoyelles,Louisiana,0,0,US
2020-02-18,Avoyelles,Louisiana,0,0,US
2020-02-19,Avoyelles,Louisiana,0,0,US
2020-02-20,Avoyelles,Louisiana,0,0,US
2020-02-21,Avoyelles,Louisiana,0,0,US
2020-02-22,Avoyelles,Louisiana,0,0,US
2020-02-23,Avoyelles,Louisiana,0,0,US
2020-02-24,Avoyelles,Louisiana,0,0,US
2020-02-25,Avoyelles,Louisiana,0,0,US
2020-02-26,Avoyelles,Louisiana,0,0,US
2020-02-27,Avoyelles,Louisiana,0,0,US
2020-02-28,Avoyelles,Louisiana,0,0,US
2020-02-29,Avoyelles,Louisiana,0,0,US
2020-03-01,Avoyelles,Louisiana,0,0,US
2020-03-02,Avoyelles,Louisiana,0,0,US
2020-03-03,Avoyelles,Louisiana,0,0,US
2020-03-04,Avoyelles,Louisiana,0,0,US
2020-03-05,Avoyelles,Louisiana,0,0,US
2020-03-06,Avoyelles,Louisiana,0,0,US
2020-03-07,Avoyelles,Louisiana,0,0,US
2020-03-08,Avoyelles,Louisiana,0,0,US
2020-03-09,Avoyelles,Louisiana,0,0,US
2020-03-10,Avoyelles,Louisiana,0,0,US
2020-03-11,Avoyelles,Louisiana,0,0,US
2020-03-12,Avoyelles,Louisiana,0,0,US
2020-03-13,Avoyelles,Louisiana,0,0,US
2020-03-14,Avoyelles,Louisiana,0,0,US
2020-03-15,Avoyelles,Louisiana,0,0,US
2020-03-16,Avoyelles,Louisiana,0,0,US
2020-03-17,Avoyelles,Louisiana,0,0,US
2020-03-18,Avoyelles,Louisiana,0,0,US
2020-03-19,Avoyelles,Louisiana,0,0,US
2020-03-20,Avoyelles,Louisiana,0,0,US
2020-03-21,Avoyelles,Louisiana,1,0,US
2020-03-22,Avoyelles,Louisiana,1,0,US
2020-03-23,Avoyelles,Louisiana,1,0,US
2020-03-24,Avoyelles,Louisiana,3,0,US
2020-03-25,Avoyelles,Louisiana,5,0,US
2020-03-26,Avoyelles,Louisiana,7,0,US
2020-03-27,Avoyelles,Louisiana,10,0,US
2020-03-28,Avoyelles,Louisiana,12,0,US
2020-03-29,Avoyelles,Louisiana,13,0,US
2020-03-30,Avoyelles,Louisiana,14,0,US
2020-03-31,Avoyelles,Louisiana,19,0,US
2020-04-01,Avoyelles,Louisiana,31,2,US
2020-04-02,Avoyelles,Louisiana,34,1,US
2020-04-03,Avoyelles,Louisiana,37,1,US
2020-04-04,Avoyelles,Louisiana,36,1,US
2020-04-05,Avoyelles,Louisiana,37,1,US
2020-04-06,Avoyelles,Louisiana,40,1,US
2020-04-07,Avoyelles,Louisiana,45,1,US
2020-04-08,Avoyelles,Louisiana,48,1,US
2020-04-09,Avoyelles,Louisiana,56,1,US
2020-04-10,Avoyelles,Louisiana,56,1,US
2020-04-11,Avoyelles,Louisiana,61,1,US
2020-04-12,Avoyelles,Louisiana,61,1,US
2020-04-13,Avoyelles,Louisiana,64,1,US
2020-04-14,Avoyelles,Louisiana,65,2,US
2020-04-15,Avoyelles,Louisiana,64,3,US
2020-04-16,Avoyelles,Louisiana,66,3,US
2020-04-17,Avoyelles,Louisiana,68,3,US
2020-04-18,Avoyelles,Louisiana,68,3,US
2020-04-19,Avoyelles,Louisiana,69,3,US
2020-04-20,Avoyelles,Louisiana,69,3,US
2020-04-21,Avoyelles,Louisiana,69,7,US
2020-04-22,Avoyelles,Louisiana,71,7,US
2020-04-23,Avoyelles,Louisiana,71,7,US
2020-04-24,Avoyelles,Louisiana,69,7,US
2020-04-25,Avoyelles,Louisiana,69,7,US
2020-04-26,Avoyelles,Louisiana,69,7,US
2020-04-27,Avoyelles,Louisiana,69,7,US
2020-04-28,Avoyelles,Louisiana,71,7,US
2020-04-29,Avoyelles,Louisiana,71,7,US
2020-04-30,Avoyelles,Louisiana,71,7,US
2020-05-01,Avoyelles,Louisiana,73,7,US
2020-05-02,Avoyelles,Louisiana,72,7,US
2020-05-03,Avoyelles,Louisiana,74,7,US
2020-05-04,Avoyelles,Louisiana,74,7,US
2020-05-05,Avoyelles,Louisiana,73,7,US
2020-05-06,Avoyelles,Louisiana,74,7,US
2020-05-07,Avoyelles,Louisiana,74,7,US
2020-05-08,Avoyelles,Louisiana,74,7,US
2020-05-09,Avoyelles,Louisiana,74,7,US
2020-05-10,Avoyelles,Louisiana,74,7,US
2020-05-11,Avoyelles,Louisiana,75,7,US
2020-05-12,Avoyelles,Louisiana,76,8,US
2020-05-13,Avoyelles,Louisiana,79,9,US
2020-05-14,Avoyelles,Louisiana,79,9,US
2020-05-15,Avoyelles,Louisiana,80,9,US
2020-05-16,Avoyelles,Louisiana,89,9,US
2020-05-17,Avoyelles,Louisiana,92,9,US
2020-05-18,Avoyelles,Louisiana,93,9,US
2020-05-19,Avoyelles,Louisiana,94,9,US
2020-05-20,Avoyelles,Louisiana,96,9,US
2020-05-21,Avoyelles,Louisiana,99,9,US
2020-05-22,Avoyelles,Louisiana,101,9,US
2020-05-23,Avoyelles,Louisiana,101,9,US
2020-05-24,Avoyelles,Louisiana,104,9,US
2020-05-25,Avoyelles,Louisiana,113,9,US
2020-05-26,Avoyelles,Louisiana,115,9,US
2020-05-27,Avoyelles,Louisiana,117,9,US
2020-05-28,Avoyelles,Louisiana,120,9,US
2020-05-29,Avoyelles,Louisiana,120,9,US
2020-05-30,Avoyelles,Louisiana,125,9,US
2020-05-31,Avoyelles,Louisiana,128,9,US
2020-06-01,Avoyelles,Louisiana,130,9,US
2020-06-02,Avoyelles,Louisiana,136,9,US
2020-06-03,Avoyelles,Louisiana,141,9,US
2020-06-04,Avoyelles,Louisiana,149,9,US
2020-06-05,Avoyelles,Louisiana,151,9,US
2020-06-06,Avoyelles,Louisiana,155,9,US
2020-06-07,Avoyelles,Louisiana,161,9,US
2020-06-08,Avoyelles,Louisiana,165,9,US
2020-06-09,Avoyelles,Louisiana,175,9,US
2020-06-10,Avoyelles,Louisiana,178,9,US
2020-06-11,Avoyelles,Louisiana,178,9,US
2020-06-12,Avoyelles,Louisiana,181,9,US
2020-06-13,Avoyelles,Louisiana,184,9,US
2020-06-14,Avoyelles,Louisiana,185,9,US
2020-06-15,Avoyelles,Louisiana,188,9,US
2020-06-16,Avoyelles,Louisiana,188,9,US
2020-06-17,Avoyelles,Louisiana,193,10,US
2020-06-18,Avoyelles,Louisiana,193,10,US
2020-06-19,Avoyelles,Louisiana,200,10,US
2020-06-20,Avoyelles,Louisiana,204,11,US
2020-06-21,Avoyelles,Louisiana,204,11,US
2020-06-22,Avoyelles,Louisiana,206,11,US
2020-06-23,Avoyelles,Louisiana,238,11,US
2020-06-24,Avoyelles,Louisiana,254,11,US
2020-06-25,Avoyelles,Louisiana,277,11,US
2020-06-26,Avoyelles,Louisiana,294,11,US
2020-06-27,Avoyelles,Louisiana,294,11,US
2020-06-28,Avoyelles,Louisiana,308,11,US
2020-06-29,Avoyelles,Louisiana,309,11,US
2020-06-30,Avoyelles,Louisiana,319,13,US
2020-07-01,Avoyelles,Louisiana,341,14,US
2020-07-02,Avoyelles,Louisiana,375,14,US
2020-07-03,Avoyelles,Louisiana,378,14,US
2020-07-04,Avoyelles,Louisiana,378,14,US
2020-07-05,Avoyelles,Louisiana,386,14,US
2020-07-06,Avoyelles,Louisiana,390,14,US
2020-07-07,Avoyelles,Louisiana,402,15,US
2020-07-08,Avoyelles,Louisiana,418,15,US
2020-07-09,Avoyelles,Louisiana,447,16,US
2020-07-10,Avoyelles,Louisiana,460,16,US
2020-07-11,Avoyelles,Louisiana,475,16,US
2020-07-12,Avoyelles,Louisiana,482,17,US
2020-07-13,Avoyelles,Louisiana,489,17,US
2020-07-14,Avoyelles,Louisiana,512,17,US
2020-07-15,Avoyelles,Louisiana,549,17,US
2020-07-16,Avoyelles,Louisiana,565,17,US
2020-07-17,Avoyelles,Louisiana,588,18,US
2020-07-18,Avoyelles,Louisiana,588,18,US
2020-07-19,Avoyelles,Louisiana,619,20,US
2020-07-20,Avoyelles,Louisiana,655,20,US
2020-07-21,Avoyelles,Louisiana,699,20,US
2020-07-22,Avoyelles,Louisiana,741,23,US
2020-07-23,Avoyelles,Louisiana,754,23,US
2020-07-24,Avoyelles,Louisiana,781,23,US
2020-07-25,Avoyelles,Louisiana,781,23,US
2020-07-26,Avoyelles,Louisiana,827,24,US
2020-07-27,Avoyelles,Louisiana,842,24,US
2020-07-28,Avoyelles,Louisiana,851,24,US
2020-07-29,Avoyelles,Louisiana,867,26,US
2020-07-30,Avoyelles,Louisiana,895,26,US
2020-07-31,Avoyelles,Louisiana,907,26,US
2020-08-01,Avoyelles,Louisiana,907,26,US
2020-08-02,Avoyelles,Louisiana,939,27,US
2020-08-03,Avoyelles,Louisiana,951,27,US
2020-08-04,Avoyelles,Louisiana,981,27,US
2020-08-05,Avoyelles,Louisiana,987,29,US
2020-08-06,Avoyelles,Louisiana,1002,29,US
2020-08-07,Avoyelles,Louisiana,1021,31,US
2020-08-08,Avoyelles,Louisiana,1021,31,US
2020-08-09,Avoyelles,Louisiana,1070,32,US
2020-08-10,Avoyelles,Louisiana,1070,32,US
2020-08-11,Avoyelles,Louisiana,1096,32,US
2020-08-12,Avoyelles,Louisiana,1107,34,US
2020-08-13,Avoyelles,Louisiana,1128,34,US
2020-08-14,Avoyelles,Louisiana,1138,36,US
2020-08-15,Avoyelles,Louisiana,1138,36,US
2020-08-16,Avoyelles,Louisiana,1143,37,US
2020-08-17,Avoyelles,Louisiana,1149,37,US
2020-08-18,Avoyelles,Louisiana,1157,38,US
2020-08-19,Avoyelles,Louisiana,1172,40,US
2020-08-20,Avoyelles,Louisiana,1178,40,US
2020-08-21,Avoyelles,Louisiana,1196,40,US
2020-08-22,Avoyelles,Louisiana,1196,40,US
2020-08-23,Avoyelles,Louisiana,1211,42,US
2020-08-24,Avoyelles,Louisiana,1218,43,US
2020-08-25,Avoyelles,Louisiana,1248,43,US
2020-08-26,Avoyelles,Louisiana,1255,43,US
2020-08-27,Avoyelles,Louisiana,1261,43,US
2020-08-28,Avoyelles,Louisiana,1268,43,US
2020-08-29,Avoyelles,Louisiana,1268,43,US
2020-08-30,Avoyelles,Louisiana,1279,44,US
2020-08-31,Avoyelles,Louisiana,1285,45,US
2020-09-01,Avoyelles,Louisiana,1294,45,US
2020-09-02,Avoyelles,Louisiana,1303,46,US
2020-09-03,Avoyelles,Louisiana,1305,46,US
2020-09-04,Avoyelles,Louisiana,1320,46,US
2020-09-05,Avoyelles,Louisiana,1320,46,US
2020-09-06,Avoyelles,Louisiana,1327,47,US
2020-09-07,Avoyelles,Louisiana,1331,47,US
2020-09-08,Avoyelles,Louisiana,1335,47,US
2020-09-09,Avoyelles,Louisiana,1396,47,US
2020-09-10,Avoyelles,Louisiana,1399,47,US
2020-09-11,Avoyelles,Louisiana,1398,49,US
2020-09-12,Avoyelles,Louisiana,1398,49,US
2020-09-13,Avoyelles,Louisiana,1419,49,US
2020-09-14,Avoyelles,Louisiana,1426,49,US
2020-09-15,Avoyelles,Louisiana,1431,49,US
2020-09-16,Avoyelles,Louisiana,1440,52,US
2020-09-17,Avoyelles,Louisiana,1441,52,US
2020-09-18,Avoyelles,Louisiana,1461,53,US
2020-09-19,Avoyelles,Louisiana,1461,53,US
2020-09-20,Avoyelles,Louisiana,1468,53,US
2020-09-21,Avoyelles,Louisiana,1469,53,US
2020-09-22,Avoyelles,Louisiana,1483,53,US
2020-09-23,Avoyelles,Louisiana,1491,53,US
2020-09-24,Avoyelles,Louisiana,1497,54,US
2020-09-25,Avoyelles,Louisiana,1514,54,US
2020-09-26,Avoyelles,Louisiana,1514,54,US
2020-09-27,Avoyelles,Louisiana,1526,55,US
2020-09-28,Avoyelles,Louisiana,1528,55,US
2020-09-29,Avoyelles,Louisiana,1528,55,US
2020-09-30,Avoyelles,Louisiana,1529,57,US
2020-10-01,Avoyelles,Louisiana,1536,57,US
2020-10-02,Avoyelles,Louisiana,1564,57,US
2020-10-03,Avoyelles,Louisiana,1564,57,US
2020-10-04,Avoyelles,Louisiana,1571,58,US
2020-10-05,Avoyelles,Louisiana,1572,58,US
2020-10-06,Avoyelles,Louisiana,1592,58,US
2020-10-07,Avoyelles,Louisiana,1599,58,US
2020-10-08,Avoyelles,Louisiana,1610,58,US
2020-10-09,Avoyelles,Louisiana,1617,59,US
2020-10-10,Avoyelles,Louisiana,1617,59,US
2020-10-11,Avoyelles,Louisiana,1628,61,US
2020-10-12,Avoyelles,Louisiana,1632,62,US
2020-10-13,Avoyelles,Louisiana,1631,62,US
2020-10-14,Avoyelles,Louisiana,1646,62,US
2020-10-15,Avoyelles,Louisiana,1652,62,US
2020-10-16,Avoyelles,Louisiana,1656,62,US
2020-10-17,Avoyelles,Louisiana,1656,62,US
2020-10-18,Avoyelles,Louisiana,1664,62,US
2020-10-19,Avoyelles,Louisiana,1667,62,US
2020-10-20,Avoyelles,Louisiana,1676,62,US
2020-10-21,Avoyelles,Louisiana,1679,62,US
