Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Barnwell,South Carolina,0,0,US
2020-01-23,Barnwell,South Carolina,0,0,US
2020-01-24,Barnwell,South Carolina,0,0,US
2020-01-25,Barnwell,South Carolina,0,0,US
2020-01-26,Barnwell,South Carolina,0,0,US
2020-01-27,Barnwell,South Carolina,0,0,US
2020-01-28,Barnwell,South Carolina,0,0,US
2020-01-29,Barnwell,South Carolina,0,0,US
2020-01-30,Barnwell,South Carolina,0,0,US
2020-01-31,Barnwell,South Carolina,0,0,US
2020-02-01,Barnwell,South Carolina,0,0,US
2020-02-02,Barnwell,South Carolina,0,0,US
2020-02-03,Barnwell,South Carolina,0,0,US
2020-02-04,Barnwell,South Carolina,0,0,US
2020-02-05,Barnwell,South Carolina,0,0,US
2020-02-06,Barnwell,South Carolina,0,0,US
2020-02-07,Barnwell,South Carolina,0,0,US
2020-02-08,Barnwell,South Carolina,0,0,US
2020-02-09,Barnwell,South Carolina,0,0,US
2020-02-10,Barnwell,South Carolina,0,0,US
2020-02-11,Barnwell,South Carolina,0,0,US
2020-02-12,Barnwell,South Carolina,0,0,US
2020-02-13,Barnwell,South Carolina,0,0,US
2020-02-14,Barnwell,South Carolina,0,0,US
2020-02-15,Barnwell,South Carolina,0,0,US
2020-02-16,Barnwell,South Carolina,0,0,US
2020-02-17,Barnwell,South Carolina,0,0,US
2020-02-18,Barnwell,South Carolina,0,0,US
2020-02-19,Barnwell,South Carolina,0,0,US
2020-02-20,Barnwell,South Carolina,0,0,US
2020-02-21,Barnwell,South Carolina,0,0,US
2020-02-22,Barnwell,South Carolina,0,0,US
2020-02-23,Barnwell,South Carolina,0,0,US
2020-02-24,Barnwell,South Carolina,0,0,US
2020-02-25,Barnwell,South Carolina,0,0,US
2020-02-26,Barnwell,South Carolina,0,0,US
2020-02-27,Barnwell,South Carolina,0,0,US
2020-02-28,Barnwell,South Carolina,0,0,US
2020-02-29,Barnwell,South Carolina,0,0,US
2020-03-01,Barnwell,South Carolina,0,0,US
2020-03-02,Barnwell,South Carolina,0,0,US
2020-03-03,Barnwell,South Carolina,0,0,US
2020-03-04,Barnwell,South Carolina,0,0,US
2020-03-05,Barnwell,South Carolina,0,0,US
2020-03-06,Barnwell,South Carolina,0,0,US
2020-03-07,Barnwell,South Carolina,0,0,US
2020-03-08,Barnwell,South Carolina,0,0,US
2020-03-09,Barnwell,South Carolina,0,0,US
2020-03-10,Barnwell,South Carolina,0,0,US
2020-03-11,Barnwell,South Carolina,0,0,US
2020-03-12,Barnwell,South Carolina,0,0,US
2020-03-13,Barnwell,South Carolina,0,0,US
2020-03-14,Barnwell,South Carolina,0,0,US
2020-03-15,Barnwell,South Carolina,0,0,US
2020-03-16,Barnwell,South Carolina,0,0,US
2020-03-17,Barnwell,South Carolina,0,0,US
2020-03-18,Barnwell,South Carolina,0,0,US
2020-03-19,Barnwell,South Carolina,0,0,US
2020-03-20,Barnwell,South Carolina,0,0,US
2020-03-21,Barnwell,South Carolina,0,0,US
2020-03-22,Barnwell,South Carolina,0,0,US
2020-03-23,Barnwell,South Carolina,0,0,US
2020-03-24,Barnwell,South Carolina,0,0,US
2020-03-25,Barnwell,South Carolina,0,0,US
2020-03-26,Barnwell,South Carolina,0,0,US
2020-03-27,Barnwell,South Carolina,0,0,US
2020-03-28,Barnwell,South Carolina,0,0,US
2020-03-29,Barnwell,South Carolina,0,0,US
2020-03-30,Barnwell,South Carolina,1,0,US
2020-03-31,Barnwell,South Carolina,1,0,US
2020-04-01,Barnwell,South Carolina,2,0,US
2020-04-02,Barnwell,South Carolina,2,0,US
2020-04-03,Barnwell,South Carolina,2,0,US
2020-04-04,Barnwell,South Carolina,2,0,US
2020-04-05,Barnwell,South Carolina,3,0,US
2020-04-06,Barnwell,South Carolina,3,0,US
2020-04-07,Barnwell,South Carolina,3,0,US
2020-04-08,Barnwell,South Carolina,3,0,US
2020-04-09,Barnwell,South Carolina,4,0,US
2020-04-10,Barnwell,South Carolina,5,0,US
2020-04-11,Barnwell,South Carolina,5,0,US
2020-04-12,Barnwell,South Carolina,5,0,US
2020-04-13,Barnwell,South Carolina,5,0,US
2020-04-14,Barnwell,South Carolina,5,0,US
2020-04-15,Barnwell,South Carolina,5,0,US
2020-04-16,Barnwell,South Carolina,5,0,US
2020-04-17,Barnwell,South Carolina,5,0,US
2020-04-18,Barnwell,South Carolina,5,0,US
2020-04-19,Barnwell,South Carolina,5,0,US
2020-04-20,Barnwell,South Carolina,6,0,US
2020-04-21,Barnwell,South Carolina,6,0,US
2020-04-22,Barnwell,South Carolina,8,0,US
2020-04-23,Barnwell,South Carolina,10,0,US
2020-04-24,Barnwell,South Carolina,10,0,US
2020-04-25,Barnwell,South Carolina,14,0,US
2020-04-26,Barnwell,South Carolina,15,0,US
2020-04-27,Barnwell,South Carolina,15,0,US
2020-04-28,Barnwell,South Carolina,17,0,US
2020-04-29,Barnwell,South Carolina,17,0,US
2020-04-30,Barnwell,South Carolina,20,0,US
2020-05-01,Barnwell,South Carolina,21,0,US
2020-05-02,Barnwell,South Carolina,24,0,US
2020-05-03,Barnwell,South Carolina,25,0,US
2020-05-04,Barnwell,South Carolina,25,0,US
2020-05-05,Barnwell,South Carolina,27,0,US
2020-05-06,Barnwell,South Carolina,28,0,US
2020-05-07,Barnwell,South Carolina,29,0,US
2020-05-08,Barnwell,South Carolina,32,0,US
2020-05-09,Barnwell,South Carolina,33,0,US
2020-05-10,Barnwell,South Carolina,33,0,US
2020-05-11,Barnwell,South Carolina,33,0,US
2020-05-12,Barnwell,South Carolina,35,0,US
2020-05-13,Barnwell,South Carolina,36,0,US
2020-05-14,Barnwell,South Carolina,36,0,US
2020-05-15,Barnwell,South Carolina,39,1,US
2020-05-16,Barnwell,South Carolina,40,1,US
2020-05-17,Barnwell,South Carolina,40,1,US
2020-05-18,Barnwell,South Carolina,40,1,US
2020-05-19,Barnwell,South Carolina,41,1,US
2020-05-20,Barnwell,South Carolina,41,1,US
2020-05-21,Barnwell,South Carolina,41,1,US
2020-05-22,Barnwell,South Carolina,41,1,US
2020-05-23,Barnwell,South Carolina,43,1,US
2020-05-24,Barnwell,South Carolina,43,1,US
2020-05-25,Barnwell,South Carolina,43,1,US
2020-05-26,Barnwell,South Carolina,43,1,US
2020-05-27,Barnwell,South Carolina,43,1,US
2020-05-28,Barnwell,South Carolina,44,1,US
2020-05-29,Barnwell,South Carolina,44,1,US
2020-05-30,Barnwell,South Carolina,45,1,US
2020-05-31,Barnwell,South Carolina,46,1,US
2020-06-01,Barnwell,South Carolina,48,1,US
2020-06-02,Barnwell,South Carolina,48,1,US
2020-06-03,Barnwell,South Carolina,48,1,US
2020-06-04,Barnwell,South Carolina,48,1,US
2020-06-05,Barnwell,South Carolina,52,1,US
2020-06-06,Barnwell,South Carolina,52,1,US
2020-06-07,Barnwell,South Carolina,54,1,US
2020-06-08,Barnwell,South Carolina,54,1,US
2020-06-09,Barnwell,South Carolina,54,1,US
2020-06-10,Barnwell,South Carolina,54,1,US
2020-06-11,Barnwell,South Carolina,54,1,US
2020-06-12,Barnwell,South Carolina,54,1,US
2020-06-13,Barnwell,South Carolina,54,1,US
2020-06-14,Barnwell,South Carolina,54,1,US
2020-06-15,Barnwell,South Carolina,55,1,US
2020-06-16,Barnwell,South Carolina,56,1,US
2020-06-17,Barnwell,South Carolina,56,1,US
2020-06-18,Barnwell,South Carolina,56,1,US
2020-06-19,Barnwell,South Carolina,57,1,US
2020-06-20,Barnwell,South Carolina,59,1,US
2020-06-21,Barnwell,South Carolina,59,1,US
2020-06-22,Barnwell,South Carolina,60,1,US
2020-06-23,Barnwell,South Carolina,62,1,US
2020-06-24,Barnwell,South Carolina,66,1,US
2020-06-25,Barnwell,South Carolina,67,1,US
2020-06-26,Barnwell,South Carolina,69,1,US
2020-06-27,Barnwell,South Carolina,73,1,US
2020-06-28,Barnwell,South Carolina,75,1,US
2020-06-29,Barnwell,South Carolina,77,1,US
2020-06-30,Barnwell,South Carolina,79,1,US
2020-07-01,Barnwell,South Carolina,82,1,US
2020-07-02,Barnwell,South Carolina,86,1,US
2020-07-03,Barnwell,South Carolina,88,1,US
2020-07-04,Barnwell,South Carolina,91,1,US
2020-07-05,Barnwell,South Carolina,95,1,US
2020-07-06,Barnwell,South Carolina,99,1,US
2020-07-07,Barnwell,South Carolina,101,1,US
2020-07-08,Barnwell,South Carolina,101,1,US
2020-07-09,Barnwell,South Carolina,106,1,US
2020-07-10,Barnwell,South Carolina,114,1,US
2020-07-11,Barnwell,South Carolina,130,1,US
2020-07-12,Barnwell,South Carolina,133,1,US
2020-07-13,Barnwell,South Carolina,135,1,US
2020-07-14,Barnwell,South Carolina,153,1,US
2020-07-15,Barnwell,South Carolina,156,1,US
2020-07-16,Barnwell,South Carolina,169,1,US
2020-07-17,Barnwell,South Carolina,176,1,US
2020-07-18,Barnwell,South Carolina,183,1,US
2020-07-19,Barnwell,South Carolina,207,1,US
2020-07-20,Barnwell,South Carolina,214,1,US
2020-07-21,Barnwell,South Carolina,225,1,US
2020-07-22,Barnwell,South Carolina,231,1,US
2020-07-23,Barnwell,South Carolina,240,2,US
2020-07-24,Barnwell,South Carolina,252,2,US
2020-07-25,Barnwell,South Carolina,269,2,US
2020-07-26,Barnwell,South Carolina,281,2,US
2020-07-27,Barnwell,South Carolina,294,2,US
2020-07-28,Barnwell,South Carolina,295,3,US
2020-07-29,Barnwell,South Carolina,300,3,US
2020-07-30,Barnwell,South Carolina,313,4,US
2020-07-31,Barnwell,South Carolina,320,4,US
2020-08-01,Barnwell,South Carolina,328,4,US
2020-08-02,Barnwell,South Carolina,340,4,US
2020-08-03,Barnwell,South Carolina,369,4,US
2020-08-04,Barnwell,South Carolina,372,5,US
2020-08-05,Barnwell,South Carolina,379,5,US
2020-08-06,Barnwell,South Carolina,390,5,US
2020-08-07,Barnwell,South Carolina,402,5,US
2020-08-08,Barnwell,South Carolina,409,5,US
2020-08-09,Barnwell,South Carolina,413,5,US
2020-08-10,Barnwell,South Carolina,420,5,US
2020-08-11,Barnwell,South Carolina,431,7,US
