Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Bastrop,Texas,0,0,US
2020-01-23,Bastrop,Texas,0,0,US
2020-01-24,Bastrop,Texas,0,0,US
2020-01-25,Bastrop,Texas,0,0,US
2020-01-26,Bastrop,Texas,0,0,US
2020-01-27,Bastrop,Texas,0,0,US
2020-01-28,Bastrop,Texas,0,0,US
2020-01-29,Bastrop,Texas,0,0,US
2020-01-30,Bastrop,Texas,0,0,US
2020-01-31,Bastrop,Texas,0,0,US
2020-02-01,Bastrop,Texas,0,0,US
2020-02-02,Bastrop,Texas,0,0,US
2020-02-03,Bastrop,Texas,0,0,US
2020-02-04,Bastrop,Texas,0,0,US
2020-02-05,Bastrop,Texas,0,0,US
2020-02-06,Bastrop,Texas,0,0,US
2020-02-07,Bastrop,Texas,0,0,US
2020-02-08,Bastrop,Texas,0,0,US
2020-02-09,Bastrop,Texas,0,0,US
2020-02-10,Bastrop,Texas,0,0,US
2020-02-11,Bastrop,Texas,0,0,US
2020-02-12,Bastrop,Texas,0,0,US
2020-02-13,Bastrop,Texas,0,0,US
2020-02-14,Bastrop,Texas,0,0,US
2020-02-15,Bastrop,Texas,0,0,US
2020-02-16,Bastrop,Texas,0,0,US
2020-02-17,Bastrop,Texas,0,0,US
2020-02-18,Bastrop,Texas,0,0,US
2020-02-19,Bastrop,Texas,0,0,US
2020-02-20,Bastrop,Texas,0,0,US
2020-02-21,Bastrop,Texas,0,0,US
2020-02-22,Bastrop,Texas,0,0,US
2020-02-23,Bastrop,Texas,0,0,US
2020-02-24,Bastrop,Texas,0,0,US
2020-02-25,Bastrop,Texas,0,0,US
2020-02-26,Bastrop,Texas,0,0,US
2020-02-27,Bastrop,Texas,0,0,US
2020-02-28,Bastrop,Texas,0,0,US
2020-02-29,Bastrop,Texas,0,0,US
2020-03-01,Bastrop,Texas,0,0,US
2020-03-02,Bastrop,Texas,0,0,US
2020-03-03,Bastrop,Texas,0,0,US
2020-03-04,Bastrop,Texas,0,0,US
2020-03-05,Bastrop,Texas,0,0,US
2020-03-06,Bastrop,Texas,0,0,US
2020-03-07,Bastrop,Texas,0,0,US
2020-03-08,Bastrop,Texas,0,0,US
2020-03-09,Bastrop,Texas,0,0,US
2020-03-10,Bastrop,Texas,0,0,US
2020-03-11,Bastrop,Texas,0,0,US
2020-03-12,Bastrop,Texas,0,0,US
2020-03-13,Bastrop,Texas,0,0,US
2020-03-14,Bastrop,Texas,0,0,US
2020-03-15,Bastrop,Texas,0,0,US
2020-03-16,Bastrop,Texas,0,0,US
2020-03-17,Bastrop,Texas,0,0,US
2020-03-18,Bastrop,Texas,0,0,US
2020-03-19,Bastrop,Texas,0,0,US
2020-03-20,Bastrop,Texas,0,0,US
2020-03-21,Bastrop,Texas,0,0,US
2020-03-22,Bastrop,Texas,0,0,US
2020-03-23,Bastrop,Texas,0,0,US
2020-03-24,Bastrop,Texas,1,0,US
2020-03-25,Bastrop,Texas,1,0,US
2020-03-26,Bastrop,Texas,2,0,US
2020-03-27,Bastrop,Texas,2,0,US
2020-03-28,Bastrop,Texas,4,0,US
2020-03-29,Bastrop,Texas,5,0,US
2020-03-30,Bastrop,Texas,6,0,US
2020-03-31,Bastrop,Texas,6,0,US
2020-04-01,Bastrop,Texas,2,0,US
2020-04-02,Bastrop,Texas,2,0,US
2020-04-03,Bastrop,Texas,2,0,US
2020-04-04,Bastrop,Texas,3,0,US
2020-04-05,Bastrop,Texas,4,0,US
2020-04-06,Bastrop,Texas,4,0,US
2020-04-07,Bastrop,Texas,4,0,US
2020-04-08,Bastrop,Texas,4,1,US
2020-04-09,Bastrop,Texas,4,1,US
2020-04-10,Bastrop,Texas,4,1,US
2020-04-11,Bastrop,Texas,4,1,US
2020-04-12,Bastrop,Texas,4,1,US
2020-04-13,Bastrop,Texas,7,1,US
2020-04-14,Bastrop,Texas,11,1,US
2020-04-15,Bastrop,Texas,13,1,US
2020-04-16,Bastrop,Texas,14,1,US
2020-04-17,Bastrop,Texas,14,1,US
2020-04-18,Bastrop,Texas,14,1,US
2020-04-19,Bastrop,Texas,14,2,US
2020-04-20,Bastrop,Texas,15,2,US
2020-04-21,Bastrop,Texas,15,2,US
2020-04-22,Bastrop,Texas,16,2,US
2020-04-23,Bastrop,Texas,18,2,US
2020-04-24,Bastrop,Texas,18,2,US
2020-04-25,Bastrop,Texas,18,2,US
2020-04-26,Bastrop,Texas,18,2,US
2020-04-27,Bastrop,Texas,18,2,US
2020-04-28,Bastrop,Texas,20,2,US
2020-04-29,Bastrop,Texas,26,2,US
2020-04-30,Bastrop,Texas,31,2,US
2020-05-01,Bastrop,Texas,34,2,US
2020-05-02,Bastrop,Texas,34,2,US
2020-05-03,Bastrop,Texas,34,2,US
2020-05-04,Bastrop,Texas,36,2,US
2020-05-05,Bastrop,Texas,36,2,US
2020-05-06,Bastrop,Texas,38,2,US
2020-05-07,Bastrop,Texas,39,2,US
2020-05-08,Bastrop,Texas,40,2,US
2020-05-09,Bastrop,Texas,40,2,US
2020-05-10,Bastrop,Texas,41,2,US
2020-05-11,Bastrop,Texas,44,2,US
2020-05-12,Bastrop,Texas,49,2,US
2020-05-13,Bastrop,Texas,52,2,US
2020-05-14,Bastrop,Texas,59,2,US
2020-05-15,Bastrop,Texas,59,2,US
2020-05-16,Bastrop,Texas,61,2,US
2020-05-17,Bastrop,Texas,62,2,US
2020-05-18,Bastrop,Texas,71,2,US
2020-05-19,Bastrop,Texas,74,2,US
2020-05-20,Bastrop,Texas,82,2,US
2020-05-21,Bastrop,Texas,87,2,US
2020-05-22,Bastrop,Texas,97,2,US
2020-05-23,Bastrop,Texas,99,2,US
2020-05-24,Bastrop,Texas,105,2,US
2020-05-25,Bastrop,Texas,108,2,US
2020-05-26,Bastrop,Texas,114,2,US
