Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Ben Hill,Georgia,0,0,US
2020-01-23,Ben Hill,Georgia,0,0,US
2020-01-24,Ben Hill,Georgia,0,0,US
2020-01-25,Ben Hill,Georgia,0,0,US
2020-01-26,Ben Hill,Georgia,0,0,US
2020-01-27,Ben Hill,Georgia,0,0,US
2020-01-28,Ben Hill,Georgia,0,0,US
2020-01-29,Ben Hill,Georgia,0,0,US
2020-01-30,Ben Hill,Georgia,0,0,US
2020-01-31,Ben Hill,Georgia,0,0,US
2020-02-01,Ben Hill,Georgia,0,0,US
2020-02-02,Ben Hill,Georgia,0,0,US
2020-02-03,Ben Hill,Georgia,0,0,US
2020-02-04,Ben Hill,Georgia,0,0,US
2020-02-05,Ben Hill,Georgia,0,0,US
2020-02-06,Ben Hill,Georgia,0,0,US
2020-02-07,Ben Hill,Georgia,0,0,US
2020-02-08,Ben Hill,Georgia,0,0,US
2020-02-09,Ben Hill,Georgia,0,0,US
2020-02-10,Ben Hill,Georgia,0,0,US
2020-02-11,Ben Hill,Georgia,0,0,US
2020-02-12,Ben Hill,Georgia,0,0,US
2020-02-13,Ben Hill,Georgia,0,0,US
2020-02-14,Ben Hill,Georgia,0,0,US
2020-02-15,Ben Hill,Georgia,0,0,US
2020-02-16,Ben Hill,Georgia,0,0,US
2020-02-17,Ben Hill,Georgia,0,0,US
2020-02-18,Ben Hill,Georgia,0,0,US
2020-02-19,Ben Hill,Georgia,0,0,US
2020-02-20,Ben Hill,Georgia,0,0,US
2020-02-21,Ben Hill,Georgia,0,0,US
2020-02-22,Ben Hill,Georgia,0,0,US
2020-02-23,Ben Hill,Georgia,0,0,US
2020-02-24,Ben Hill,Georgia,0,0,US
2020-02-25,Ben Hill,Georgia,0,0,US
2020-02-26,Ben Hill,Georgia,0,0,US
2020-02-27,Ben Hill,Georgia,0,0,US
2020-02-28,Ben Hill,Georgia,0,0,US
2020-02-29,Ben Hill,Georgia,0,0,US
2020-03-01,Ben Hill,Georgia,0,0,US
2020-03-02,Ben Hill,Georgia,0,0,US
2020-03-03,Ben Hill,Georgia,0,0,US
2020-03-04,Ben Hill,Georgia,0,0,US
2020-03-05,Ben Hill,Georgia,0,0,US
2020-03-06,Ben Hill,Georgia,0,0,US
2020-03-07,Ben Hill,Georgia,0,0,US
2020-03-08,Ben Hill,Georgia,0,0,US
2020-03-09,Ben Hill,Georgia,0,0,US
2020-03-10,Ben Hill,Georgia,0,0,US
2020-03-11,Ben Hill,Georgia,0,0,US
2020-03-12,Ben Hill,Georgia,0,0,US
2020-03-13,Ben Hill,Georgia,0,0,US
2020-03-14,Ben Hill,Georgia,0,0,US
2020-03-15,Ben Hill,Georgia,0,0,US
2020-03-16,Ben Hill,Georgia,0,0,US
2020-03-17,Ben Hill,Georgia,0,0,US
2020-03-18,Ben Hill,Georgia,0,0,US
2020-03-19,Ben Hill,Georgia,0,0,US
2020-03-20,Ben Hill,Georgia,0,0,US
2020-03-21,Ben Hill,Georgia,0,0,US
2020-03-22,Ben Hill,Georgia,0,0,US
2020-03-23,Ben Hill,Georgia,0,0,US
2020-03-24,Ben Hill,Georgia,1,0,US
2020-03-25,Ben Hill,Georgia,1,0,US
2020-03-26,Ben Hill,Georgia,1,0,US
2020-03-27,Ben Hill,Georgia,2,0,US
2020-03-28,Ben Hill,Georgia,2,0,US
2020-03-29,Ben Hill,Georgia,2,0,US
2020-03-30,Ben Hill,Georgia,2,0,US
2020-03-31,Ben Hill,Georgia,3,0,US
2020-04-01,Ben Hill,Georgia,3,0,US
2020-04-02,Ben Hill,Georgia,3,0,US
2020-04-03,Ben Hill,Georgia,3,0,US
2020-04-04,Ben Hill,Georgia,4,0,US
2020-04-05,Ben Hill,Georgia,4,0,US
2020-04-06,Ben Hill,Georgia,5,0,US
2020-04-07,Ben Hill,Georgia,6,0,US
2020-04-08,Ben Hill,Georgia,6,0,US
2020-04-09,Ben Hill,Georgia,6,0,US
2020-04-10,Ben Hill,Georgia,8,0,US
2020-04-11,Ben Hill,Georgia,8,0,US
2020-04-12,Ben Hill,Georgia,8,0,US
2020-04-13,Ben Hill,Georgia,8,0,US
2020-04-14,Ben Hill,Georgia,10,0,US
2020-04-15,Ben Hill,Georgia,10,0,US
2020-04-16,Ben Hill,Georgia,10,0,US
2020-04-17,Ben Hill,Georgia,13,0,US
2020-04-18,Ben Hill,Georgia,13,0,US
2020-04-19,Ben Hill,Georgia,15,0,US
2020-04-20,Ben Hill,Georgia,15,0,US
2020-04-21,Ben Hill,Georgia,19,0,US
2020-04-22,Ben Hill,Georgia,20,0,US
2020-04-23,Ben Hill,Georgia,21,0,US
2020-04-24,Ben Hill,Georgia,21,0,US
2020-04-25,Ben Hill,Georgia,23,0,US
2020-04-26,Ben Hill,Georgia,23,0,US
2020-04-27,Ben Hill,Georgia,24,0,US
2020-04-28,Ben Hill,Georgia,25,0,US
2020-04-29,Ben Hill,Georgia,25,0,US
2020-04-30,Ben Hill,Georgia,25,0,US
2020-05-01,Ben Hill,Georgia,26,0,US
2020-05-02,Ben Hill,Georgia,28,0,US
2020-05-03,Ben Hill,Georgia,29,0,US
2020-05-04,Ben Hill,Georgia,29,0,US
2020-05-05,Ben Hill,Georgia,29,0,US
2020-05-06,Ben Hill,Georgia,36,0,US
2020-05-07,Ben Hill,Georgia,38,0,US
2020-05-08,Ben Hill,Georgia,39,0,US
2020-05-09,Ben Hill,Georgia,39,0,US
2020-05-10,Ben Hill,Georgia,39,0,US
2020-05-11,Ben Hill,Georgia,40,0,US
2020-05-12,Ben Hill,Georgia,43,0,US
2020-05-13,Ben Hill,Georgia,43,0,US
2020-05-14,Ben Hill,Georgia,44,1,US
2020-05-15,Ben Hill,Georgia,45,1,US
2020-05-16,Ben Hill,Georgia,45,1,US
2020-05-17,Ben Hill,Georgia,45,1,US
2020-05-18,Ben Hill,Georgia,47,1,US
2020-05-19,Ben Hill,Georgia,48,1,US
2020-05-20,Ben Hill,Georgia,48,1,US
2020-05-21,Ben Hill,Georgia,53,1,US
2020-05-22,Ben Hill,Georgia,55,1,US
2020-05-23,Ben Hill,Georgia,56,1,US
2020-05-24,Ben Hill,Georgia,58,1,US
2020-05-25,Ben Hill,Georgia,61,1,US
2020-05-26,Ben Hill,Georgia,65,1,US
