Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Berks,Pennsylvania,0,0,US
2020-01-23,Berks,Pennsylvania,0,0,US
2020-01-24,Berks,Pennsylvania,0,0,US
2020-01-25,Berks,Pennsylvania,0,0,US
2020-01-26,Berks,Pennsylvania,0,0,US
2020-01-27,Berks,Pennsylvania,0,0,US
2020-01-28,Berks,Pennsylvania,0,0,US
2020-01-29,Berks,Pennsylvania,0,0,US
2020-01-30,Berks,Pennsylvania,0,0,US
2020-01-31,Berks,Pennsylvania,0,0,US
2020-02-01,Berks,Pennsylvania,0,0,US
2020-02-02,Berks,Pennsylvania,0,0,US
2020-02-03,Berks,Pennsylvania,0,0,US
2020-02-04,Berks,Pennsylvania,0,0,US
2020-02-05,Berks,Pennsylvania,0,0,US
2020-02-06,Berks,Pennsylvania,0,0,US
2020-02-07,Berks,Pennsylvania,0,0,US
2020-02-08,Berks,Pennsylvania,0,0,US
2020-02-09,Berks,Pennsylvania,0,0,US
2020-02-10,Berks,Pennsylvania,0,0,US
2020-02-11,Berks,Pennsylvania,0,0,US
2020-02-12,Berks,Pennsylvania,0,0,US
2020-02-13,Berks,Pennsylvania,0,0,US
2020-02-14,Berks,Pennsylvania,0,0,US
2020-02-15,Berks,Pennsylvania,0,0,US
2020-02-16,Berks,Pennsylvania,0,0,US
2020-02-17,Berks,Pennsylvania,0,0,US
2020-02-18,Berks,Pennsylvania,0,0,US
2020-02-19,Berks,Pennsylvania,0,0,US
2020-02-20,Berks,Pennsylvania,0,0,US
2020-02-21,Berks,Pennsylvania,0,0,US
2020-02-22,Berks,Pennsylvania,0,0,US
2020-02-23,Berks,Pennsylvania,0,0,US
2020-02-24,Berks,Pennsylvania,0,0,US
2020-02-25,Berks,Pennsylvania,0,0,US
2020-02-26,Berks,Pennsylvania,0,0,US
2020-02-27,Berks,Pennsylvania,0,0,US
2020-02-28,Berks,Pennsylvania,0,0,US
2020-02-29,Berks,Pennsylvania,0,0,US
2020-03-01,Berks,Pennsylvania,0,0,US
2020-03-02,Berks,Pennsylvania,0,0,US
2020-03-03,Berks,Pennsylvania,0,0,US
2020-03-04,Berks,Pennsylvania,0,0,US
2020-03-05,Berks,Pennsylvania,0,0,US
2020-03-06,Berks,Pennsylvania,0,0,US
2020-03-07,Berks,Pennsylvania,0,0,US
2020-03-08,Berks,Pennsylvania,0,0,US
2020-03-09,Berks,Pennsylvania,0,0,US
2020-03-10,Berks,Pennsylvania,0,0,US
2020-03-11,Berks,Pennsylvania,0,0,US
2020-03-12,Berks,Pennsylvania,0,0,US
2020-03-13,Berks,Pennsylvania,0,0,US
2020-03-14,Berks,Pennsylvania,0,0,US
2020-03-15,Berks,Pennsylvania,0,0,US
2020-03-16,Berks,Pennsylvania,0,0,US
2020-03-17,Berks,Pennsylvania,0,0,US
2020-03-18,Berks,Pennsylvania,1,0,US
2020-03-19,Berks,Pennsylvania,1,0,US
2020-03-20,Berks,Pennsylvania,5,0,US
2020-03-21,Berks,Pennsylvania,7,0,US
2020-03-22,Berks,Pennsylvania,13,0,US
2020-03-23,Berks,Pennsylvania,14,0,US
