Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Boone,Illinois,0,0,US
2020-01-23,Boone,Illinois,0,0,US
2020-01-24,Boone,Illinois,0,0,US
2020-01-25,Boone,Illinois,0,0,US
2020-01-26,Boone,Illinois,0,0,US
2020-01-27,Boone,Illinois,0,0,US
2020-01-28,Boone,Illinois,0,0,US
2020-01-29,Boone,Illinois,0,0,US
2020-01-30,Boone,Illinois,0,0,US
2020-01-31,Boone,Illinois,0,0,US
2020-02-01,Boone,Illinois,0,0,US
2020-02-02,Boone,Illinois,0,0,US
2020-02-03,Boone,Illinois,0,0,US
2020-02-04,Boone,Illinois,0,0,US
2020-02-05,Boone,Illinois,0,0,US
2020-02-06,Boone,Illinois,0,0,US
2020-02-07,Boone,Illinois,0,0,US
2020-02-08,Boone,Illinois,0,0,US
2020-02-09,Boone,Illinois,0,0,US
2020-02-10,Boone,Illinois,0,0,US
2020-02-11,Boone,Illinois,0,0,US
2020-02-12,Boone,Illinois,0,0,US
2020-02-13,Boone,Illinois,0,0,US
2020-02-14,Boone,Illinois,0,0,US
2020-02-15,Boone,Illinois,0,0,US
2020-02-16,Boone,Illinois,0,0,US
2020-02-17,Boone,Illinois,0,0,US
2020-02-18,Boone,Illinois,0,0,US
2020-02-19,Boone,Illinois,0,0,US
2020-02-20,Boone,Illinois,0,0,US
2020-02-21,Boone,Illinois,0,0,US
2020-02-22,Boone,Illinois,0,0,US
2020-02-23,Boone,Illinois,0,0,US
2020-02-24,Boone,Illinois,0,0,US
2020-02-25,Boone,Illinois,0,0,US
2020-02-26,Boone,Illinois,0,0,US
2020-02-27,Boone,Illinois,0,0,US
2020-02-28,Boone,Illinois,0,0,US
2020-02-29,Boone,Illinois,0,0,US
2020-03-01,Boone,Illinois,0,0,US
2020-03-02,Boone,Illinois,0,0,US
2020-03-03,Boone,Illinois,0,0,US
2020-03-04,Boone,Illinois,0,0,US
2020-03-05,Boone,Illinois,0,0,US
2020-03-06,Boone,Illinois,0,0,US
2020-03-07,Boone,Illinois,0,0,US
2020-03-08,Boone,Illinois,0,0,US
2020-03-09,Boone,Illinois,0,0,US
2020-03-10,Boone,Illinois,0,0,US
2020-03-11,Boone,Illinois,0,0,US
2020-03-12,Boone,Illinois,0,0,US
2020-03-13,Boone,Illinois,0,0,US
2020-03-14,Boone,Illinois,0,0,US
2020-03-15,Boone,Illinois,0,0,US
2020-03-16,Boone,Illinois,0,0,US
2020-03-17,Boone,Illinois,0,0,US
2020-03-18,Boone,Illinois,0,0,US
2020-03-19,Boone,Illinois,0,0,US
2020-03-20,Boone,Illinois,0,0,US
2020-03-21,Boone,Illinois,0,0,US
2020-03-22,Boone,Illinois,0,0,US
2020-03-23,Boone,Illinois,0,0,US
2020-03-24,Boone,Illinois,0,0,US
2020-03-25,Boone,Illinois,0,0,US
2020-03-26,Boone,Illinois,0,0,US
2020-03-27,Boone,Illinois,0,0,US
2020-03-28,Boone,Illinois,0,0,US
2020-03-29,Boone,Illinois,0,0,US
2020-03-30,Boone,Illinois,0,0,US
2020-03-31,Boone,Illinois,0,0,US
2020-04-01,Boone,Illinois,0,0,US
2020-04-02,Boone,Illinois,0,0,US
2020-04-03,Boone,Illinois,0,0,US
2020-04-04,Boone,Illinois,0,0,US
2020-04-05,Boone,Illinois,3,0,US
2020-04-06,Boone,Illinois,4,0,US
2020-04-07,Boone,Illinois,6,0,US
2020-04-08,Boone,Illinois,7,1,US
2020-04-09,Boone,Illinois,7,1,US
2020-04-10,Boone,Illinois,7,1,US
2020-04-11,Boone,Illinois,7,1,US
2020-04-12,Boone,Illinois,7,1,US
2020-04-13,Boone,Illinois,13,1,US
