Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Boyd,Kentucky,0,0,US
2020-01-23,Boyd,Kentucky,0,0,US
2020-01-24,Boyd,Kentucky,0,0,US
2020-01-25,Boyd,Kentucky,0,0,US
2020-01-26,Boyd,Kentucky,0,0,US
2020-01-27,Boyd,Kentucky,0,0,US
2020-01-28,Boyd,Kentucky,0,0,US
2020-01-29,Boyd,Kentucky,0,0,US
2020-01-30,Boyd,Kentucky,0,0,US
2020-01-31,Boyd,Kentucky,0,0,US
2020-02-01,Boyd,Kentucky,0,0,US
2020-02-02,Boyd,Kentucky,0,0,US
2020-02-03,Boyd,Kentucky,0,0,US
2020-02-04,Boyd,Kentucky,0,0,US
2020-02-05,Boyd,Kentucky,0,0,US
2020-02-06,Boyd,Kentucky,0,0,US
2020-02-07,Boyd,Kentucky,0,0,US
2020-02-08,Boyd,Kentucky,0,0,US
2020-02-09,Boyd,Kentucky,0,0,US
2020-02-10,Boyd,Kentucky,0,0,US
2020-02-11,Boyd,Kentucky,0,0,US
2020-02-12,Boyd,Kentucky,0,0,US
2020-02-13,Boyd,Kentucky,0,0,US
2020-02-14,Boyd,Kentucky,0,0,US
2020-02-15,Boyd,Kentucky,0,0,US
2020-02-16,Boyd,Kentucky,0,0,US
2020-02-17,Boyd,Kentucky,0,0,US
2020-02-18,Boyd,Kentucky,0,0,US
2020-02-19,Boyd,Kentucky,0,0,US
2020-02-20,Boyd,Kentucky,0,0,US
2020-02-21,Boyd,Kentucky,0,0,US
2020-02-22,Boyd,Kentucky,0,0,US
2020-02-23,Boyd,Kentucky,0,0,US
2020-02-24,Boyd,Kentucky,0,0,US
2020-02-25,Boyd,Kentucky,0,0,US
2020-02-26,Boyd,Kentucky,0,0,US
2020-02-27,Boyd,Kentucky,0,0,US
2020-02-28,Boyd,Kentucky,0,0,US
2020-02-29,Boyd,Kentucky,0,0,US
2020-03-01,Boyd,Kentucky,0,0,US
2020-03-02,Boyd,Kentucky,0,0,US
2020-03-03,Boyd,Kentucky,0,0,US
2020-03-04,Boyd,Kentucky,0,0,US
2020-03-05,Boyd,Kentucky,0,0,US
2020-03-06,Boyd,Kentucky,0,0,US
2020-03-07,Boyd,Kentucky,0,0,US
2020-03-08,Boyd,Kentucky,0,0,US
2020-03-09,Boyd,Kentucky,0,0,US
2020-03-10,Boyd,Kentucky,0,0,US
2020-03-11,Boyd,Kentucky,0,0,US
2020-03-12,Boyd,Kentucky,0,0,US
2020-03-13,Boyd,Kentucky,0,0,US
2020-03-14,Boyd,Kentucky,0,0,US
2020-03-15,Boyd,Kentucky,0,0,US
2020-03-16,Boyd,Kentucky,0,0,US
2020-03-17,Boyd,Kentucky,0,0,US
2020-03-18,Boyd,Kentucky,0,0,US
2020-03-19,Boyd,Kentucky,0,0,US
2020-03-20,Boyd,Kentucky,0,0,US
2020-03-21,Boyd,Kentucky,0,0,US
2020-03-22,Boyd,Kentucky,0,0,US
