Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Breckinridge,Kentucky,0,0,US
2020-01-23,Breckinridge,Kentucky,0,0,US
2020-01-24,Breckinridge,Kentucky,0,0,US
2020-01-25,Breckinridge,Kentucky,0,0,US
2020-01-26,Breckinridge,Kentucky,0,0,US
2020-01-27,Breckinridge,Kentucky,0,0,US
2020-01-28,Breckinridge,Kentucky,0,0,US
2020-01-29,Breckinridge,Kentucky,0,0,US
2020-01-30,Breckinridge,Kentucky,0,0,US
2020-01-31,Breckinridge,Kentucky,0,0,US
2020-02-01,Breckinridge,Kentucky,0,0,US
2020-02-02,Breckinridge,Kentucky,0,0,US
2020-02-03,Breckinridge,Kentucky,0,0,US
2020-02-04,Breckinridge,Kentucky,0,0,US
2020-02-05,Breckinridge,Kentucky,0,0,US
2020-02-06,Breckinridge,Kentucky,0,0,US
2020-02-07,Breckinridge,Kentucky,0,0,US
2020-02-08,Breckinridge,Kentucky,0,0,US
2020-02-09,Breckinridge,Kentucky,0,0,US
2020-02-10,Breckinridge,Kentucky,0,0,US
2020-02-11,Breckinridge,Kentucky,0,0,US
2020-02-12,Breckinridge,Kentucky,0,0,US
2020-02-13,Breckinridge,Kentucky,0,0,US
2020-02-14,Breckinridge,Kentucky,0,0,US
2020-02-15,Breckinridge,Kentucky,0,0,US
2020-02-16,Breckinridge,Kentucky,0,0,US
2020-02-17,Breckinridge,Kentucky,0,0,US
2020-02-18,Breckinridge,Kentucky,0,0,US
2020-02-19,Breckinridge,Kentucky,0,0,US
2020-02-20,Breckinridge,Kentucky,0,0,US
2020-02-21,Breckinridge,Kentucky,0,0,US
2020-02-22,Breckinridge,Kentucky,0,0,US
2020-02-23,Breckinridge,Kentucky,0,0,US
2020-02-24,Breckinridge,Kentucky,0,0,US
2020-02-25,Breckinridge,Kentucky,0,0,US
2020-02-26,Breckinridge,Kentucky,0,0,US
2020-02-27,Breckinridge,Kentucky,0,0,US
2020-02-28,Breckinridge,Kentucky,0,0,US
2020-02-29,Breckinridge,Kentucky,0,0,US
2020-03-01,Breckinridge,Kentucky,0,0,US
2020-03-02,Breckinridge,Kentucky,0,0,US
2020-03-03,Breckinridge,Kentucky,0,0,US
2020-03-04,Breckinridge,Kentucky,0,0,US
2020-03-05,Breckinridge,Kentucky,0,0,US
2020-03-06,Breckinridge,Kentucky,0,0,US
2020-03-07,Breckinridge,Kentucky,0,0,US
2020-03-08,Breckinridge,Kentucky,0,0,US
2020-03-09,Breckinridge,Kentucky,0,0,US
2020-03-10,Breckinridge,Kentucky,0,0,US
2020-03-11,Breckinridge,Kentucky,0,0,US
2020-03-12,Breckinridge,Kentucky,0,0,US
2020-03-13,Breckinridge,Kentucky,0,0,US
2020-03-14,Breckinridge,Kentucky,0,0,US
2020-03-15,Breckinridge,Kentucky,0,0,US
2020-03-16,Breckinridge,Kentucky,0,0,US
2020-03-17,Breckinridge,Kentucky,0,0,US
2020-03-18,Breckinridge,Kentucky,0,0,US
2020-03-19,Breckinridge,Kentucky,0,0,US
2020-03-20,Breckinridge,Kentucky,0,0,US
