Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Bristol,Massachusetts,0,0,US
2020-01-23,Bristol,Massachusetts,0,0,US
2020-01-24,Bristol,Massachusetts,0,0,US
2020-01-25,Bristol,Massachusetts,0,0,US
2020-01-26,Bristol,Massachusetts,0,0,US
2020-01-27,Bristol,Massachusetts,0,0,US
2020-01-28,Bristol,Massachusetts,0,0,US
2020-01-29,Bristol,Massachusetts,0,0,US
2020-01-30,Bristol,Massachusetts,0,0,US
2020-01-31,Bristol,Massachusetts,0,0,US
2020-02-01,Bristol,Massachusetts,0,0,US
2020-02-02,Bristol,Massachusetts,0,0,US
2020-02-03,Bristol,Massachusetts,0,0,US
2020-02-04,Bristol,Massachusetts,0,0,US
2020-02-05,Bristol,Massachusetts,0,0,US
2020-02-06,Bristol,Massachusetts,0,0,US
2020-02-07,Bristol,Massachusetts,0,0,US
2020-02-08,Bristol,Massachusetts,0,0,US
2020-02-09,Bristol,Massachusetts,0,0,US
2020-02-10,Bristol,Massachusetts,0,0,US
2020-02-11,Bristol,Massachusetts,0,0,US
2020-02-12,Bristol,Massachusetts,0,0,US
2020-02-13,Bristol,Massachusetts,0,0,US
2020-02-14,Bristol,Massachusetts,0,0,US
2020-02-15,Bristol,Massachusetts,0,0,US
2020-02-16,Bristol,Massachusetts,0,0,US
2020-02-17,Bristol,Massachusetts,0,0,US
2020-02-18,Bristol,Massachusetts,0,0,US
2020-02-19,Bristol,Massachusetts,0,0,US
2020-02-20,Bristol,Massachusetts,0,0,US
2020-02-21,Bristol,Massachusetts,0,0,US
2020-02-22,Bristol,Massachusetts,0,0,US
2020-02-23,Bristol,Massachusetts,0,0,US
2020-02-24,Bristol,Massachusetts,0,0,US
2020-02-25,Bristol,Massachusetts,0,0,US
2020-02-26,Bristol,Massachusetts,0,0,US
2020-02-27,Bristol,Massachusetts,0,0,US
2020-02-28,Bristol,Massachusetts,0,0,US
2020-02-29,Bristol,Massachusetts,0,0,US
2020-03-01,Bristol,Massachusetts,0,0,US
2020-03-02,Bristol,Massachusetts,0,0,US
2020-03-03,Bristol,Massachusetts,0,0,US
2020-03-04,Bristol,Massachusetts,0,0,US
2020-03-05,Bristol,Massachusetts,0,0,US
2020-03-06,Bristol,Massachusetts,0,0,US
2020-03-07,Bristol,Massachusetts,0,0,US
2020-03-08,Bristol,Massachusetts,0,0,US
2020-03-09,Bristol,Massachusetts,0,0,US
2020-03-10,Bristol,Massachusetts,0,0,US
2020-03-11,Bristol,Massachusetts,0,0,US
2020-03-12,Bristol,Massachusetts,1,0,US
2020-03-13,Bristol,Massachusetts,2,0,US
2020-03-14,Bristol,Massachusetts,4,0,US
2020-03-15,Bristol,Massachusetts,6,0,US
2020-03-16,Bristol,Massachusetts,8,0,US
2020-03-17,Bristol,Massachusetts,15,0,US
2020-03-18,Bristol,Massachusetts,25,0,US
2020-03-19,Bristol,Massachusetts,37,0,US
2020-03-20,Bristol,Massachusetts,61,0,US
2020-03-21,Bristol,Massachusetts,75,0,US
2020-03-22,Bristol,Massachusetts,89,0,US
2020-03-23,Bristol,Massachusetts,117,0,US
2020-03-24,Bristol,Massachusetts,159,0,US
2020-03-25,Bristol,Massachusetts,190,0,US
2020-03-26,Bristol,Massachusetts,252,0,US
2020-03-27,Bristol,Massachusetts,305,1,US
2020-03-28,Bristol,Massachusetts,333,1,US
2020-03-29,Bristol,Massachusetts,366,1,US
2020-03-30,Bristol,Massachusetts,439,2,US
2020-03-31,Bristol,Massachusetts,517,2,US
2020-04-01,Bristol,Massachusetts,587,3,US
2020-04-02,Bristol,Massachusetts,663,3,US
2020-04-03,Bristol,Massachusetts,741,4,US
2020-04-04,Bristol,Massachusetts,783,5,US
