Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Brunswick,North Carolina,0,0,US
2020-01-23,Brunswick,North Carolina,0,0,US
2020-01-24,Brunswick,North Carolina,0,0,US
2020-01-25,Brunswick,North Carolina,0,0,US
2020-01-26,Brunswick,North Carolina,0,0,US
2020-01-27,Brunswick,North Carolina,0,0,US
2020-01-28,Brunswick,North Carolina,0,0,US
2020-01-29,Brunswick,North Carolina,0,0,US
2020-01-30,Brunswick,North Carolina,0,0,US
2020-01-31,Brunswick,North Carolina,0,0,US
2020-02-01,Brunswick,North Carolina,0,0,US
2020-02-02,Brunswick,North Carolina,0,0,US
2020-02-03,Brunswick,North Carolina,0,0,US
2020-02-04,Brunswick,North Carolina,0,0,US
2020-02-05,Brunswick,North Carolina,0,0,US
2020-02-06,Brunswick,North Carolina,0,0,US
2020-02-07,Brunswick,North Carolina,0,0,US
2020-02-08,Brunswick,North Carolina,0,0,US
2020-02-09,Brunswick,North Carolina,0,0,US
2020-02-10,Brunswick,North Carolina,0,0,US
2020-02-11,Brunswick,North Carolina,0,0,US
2020-02-12,Brunswick,North Carolina,0,0,US
2020-02-13,Brunswick,North Carolina,0,0,US
2020-02-14,Brunswick,North Carolina,0,0,US
2020-02-15,Brunswick,North Carolina,0,0,US
2020-02-16,Brunswick,North Carolina,0,0,US
2020-02-17,Brunswick,North Carolina,0,0,US
2020-02-18,Brunswick,North Carolina,0,0,US
2020-02-19,Brunswick,North Carolina,0,0,US
2020-02-20,Brunswick,North Carolina,0,0,US
2020-02-21,Brunswick,North Carolina,0,0,US
2020-02-22,Brunswick,North Carolina,0,0,US
2020-02-23,Brunswick,North Carolina,0,0,US
2020-02-24,Brunswick,North Carolina,0,0,US
2020-02-25,Brunswick,North Carolina,0,0,US
2020-02-26,Brunswick,North Carolina,0,0,US
2020-02-27,Brunswick,North Carolina,0,0,US
2020-02-28,Brunswick,North Carolina,0,0,US
2020-02-29,Brunswick,North Carolina,0,0,US
2020-03-01,Brunswick,North Carolina,0,0,US
2020-03-02,Brunswick,North Carolina,0,0,US
2020-03-03,Brunswick,North Carolina,0,0,US
2020-03-04,Brunswick,North Carolina,0,0,US
2020-03-05,Brunswick,North Carolina,0,0,US
2020-03-06,Brunswick,North Carolina,0,0,US
2020-03-07,Brunswick,North Carolina,0,0,US
2020-03-08,Brunswick,North Carolina,0,0,US
2020-03-09,Brunswick,North Carolina,0,0,US
2020-03-10,Brunswick,North Carolina,0,0,US
2020-03-11,Brunswick,North Carolina,0,0,US
2020-03-12,Brunswick,North Carolina,0,0,US
2020-03-13,Brunswick,North Carolina,1,0,US
2020-03-14,Brunswick,North Carolina,1,0,US
2020-03-15,Brunswick,North Carolina,1,0,US
2020-03-16,Brunswick,North Carolina,1,0,US
2020-03-17,Brunswick,North Carolina,1,0,US
2020-03-18,Brunswick,North Carolina,1,0,US
2020-03-19,Brunswick,North Carolina,2,0,US
2020-03-20,Brunswick,North Carolina,4,0,US
2020-03-21,Brunswick,North Carolina,6,0,US
2020-03-22,Brunswick,North Carolina,6,0,US
2020-03-23,Brunswick,North Carolina,8,0,US
2020-03-24,Brunswick,North Carolina,10,0,US
2020-03-25,Brunswick,North Carolina,11,0,US
2020-03-26,Brunswick,North Carolina,11,0,US
2020-03-27,Brunswick,North Carolina,12,0,US
2020-03-28,Brunswick,North Carolina,12,0,US
2020-03-29,Brunswick,North Carolina,12,0,US
2020-03-30,Brunswick,North Carolina,14,0,US
2020-03-31,Brunswick,North Carolina,15,0,US
2020-04-01,Brunswick,North Carolina,19,0,US
2020-04-02,Brunswick,North Carolina,23,0,US
2020-04-03,Brunswick,North Carolina,23,0,US
2020-04-04,Brunswick,North Carolina,24,1,US
2020-04-05,Brunswick,North Carolina,26,1,US
2020-04-06,Brunswick,North Carolina,26,1,US
2020-04-07,Brunswick,North Carolina,26,1,US
2020-04-08,Brunswick,North Carolina,28,1,US
2020-04-09,Brunswick,North Carolina,30,1,US
2020-04-10,Brunswick,North Carolina,31,1,US
2020-04-11,Brunswick,North Carolina,35,1,US
2020-04-12,Brunswick,North Carolina,35,1,US
2020-04-13,Brunswick,North Carolina,35,1,US
2020-04-14,Brunswick,North Carolina,35,1,US
2020-04-15,Brunswick,North Carolina,35,1,US
2020-04-16,Brunswick,North Carolina,36,2,US
2020-04-17,Brunswick,North Carolina,36,2,US
2020-04-18,Brunswick,North Carolina,36,2,US
2020-04-19,Brunswick,North Carolina,36,2,US
2020-04-20,Brunswick,North Carolina,37,2,US
2020-04-21,Brunswick,North Carolina,38,2,US
2020-04-22,Brunswick,North Carolina,38,2,US
2020-04-23,Brunswick,North Carolina,39,2,US
2020-04-24,Brunswick,North Carolina,39,2,US
2020-04-25,Brunswick,North Carolina,39,2,US
2020-04-26,Brunswick,North Carolina,40,2,US
2020-04-27,Brunswick,North Carolina,43,2,US
2020-04-28,Brunswick,North Carolina,44,2,US
2020-04-29,Brunswick,North Carolina,44,2,US
2020-04-30,Brunswick,North Carolina,44,2,US
2020-05-01,Brunswick,North Carolina,48,2,US
2020-05-02,Brunswick,North Carolina,48,2,US
2020-05-03,Brunswick,North Carolina,48,2,US
2020-05-04,Brunswick,North Carolina,49,2,US
2020-05-05,Brunswick,North Carolina,49,2,US
2020-05-06,Brunswick,North Carolina,49,2,US
2020-05-07,Brunswick,North Carolina,49,2,US
2020-05-08,Brunswick,North Carolina,49,2,US
2020-05-09,Brunswick,North Carolina,49,2,US
2020-05-10,Brunswick,North Carolina,49,2,US
2020-05-11,Brunswick,North Carolina,50,2,US
2020-05-12,Brunswick,North Carolina,51,2,US
2020-05-13,Brunswick,North Carolina,51,2,US
2020-05-14,Brunswick,North Carolina,51,2,US
2020-05-15,Brunswick,North Carolina,53,2,US
2020-05-16,Brunswick,North Carolina,55,2,US
2020-05-17,Brunswick,North Carolina,59,2,US
2020-05-18,Brunswick,North Carolina,59,2,US
2020-05-19,Brunswick,North Carolina,61,2,US
2020-05-20,Brunswick,North Carolina,64,2,US
2020-05-21,Brunswick,North Carolina,67,4,US
2020-05-22,Brunswick,North Carolina,70,2,US
2020-05-23,Brunswick,North Carolina,71,2,US
2020-05-24,Brunswick,North Carolina,76,2,US
2020-05-25,Brunswick,North Carolina,77,2,US
2020-05-26,Brunswick,North Carolina,79,2,US
2020-05-27,Brunswick,North Carolina,80,2,US
2020-05-28,Brunswick,North Carolina,83,2,US
2020-05-29,Brunswick,North Carolina,84,2,US
2020-05-30,Brunswick,North Carolina,85,2,US
2020-05-31,Brunswick,North Carolina,96,2,US
2020-06-01,Brunswick,North Carolina,96,2,US
2020-06-02,Brunswick,North Carolina,96,3,US
2020-06-03,Brunswick,North Carolina,119,3,US
2020-06-04,Brunswick,North Carolina,130,3,US
2020-06-05,Brunswick,North Carolina,132,3,US
2020-06-06,Brunswick,North Carolina,141,3,US
2020-06-07,Brunswick,North Carolina,152,3,US
2020-06-08,Brunswick,North Carolina,162,3,US
2020-06-09,Brunswick,North Carolina,167,3,US
2020-06-10,Brunswick,North Carolina,185,3,US
2020-06-11,Brunswick,North Carolina,196,3,US
2020-06-12,Brunswick,North Carolina,215,3,US
2020-06-13,Brunswick,North Carolina,234,3,US
2020-06-14,Brunswick,North Carolina,249,3,US
2020-06-15,Brunswick,North Carolina,272,3,US
2020-06-16,Brunswick,North Carolina,279,3,US
2020-06-17,Brunswick,North Carolina,307,3,US
2020-06-18,Brunswick,North Carolina,325,3,US
2020-06-19,Brunswick,North Carolina,339,3,US
2020-06-20,Brunswick,North Carolina,357,3,US
2020-06-21,Brunswick,North Carolina,372,5,US
2020-06-22,Brunswick,North Carolina,382,3,US
2020-06-23,Brunswick,North Carolina,407,3,US
2020-06-24,Brunswick,North Carolina,423,3,US
2020-06-25,Brunswick,North Carolina,454,3,US
2020-06-26,Brunswick,North Carolina,474,4,US
2020-06-27,Brunswick,North Carolina,500,4,US
2020-06-28,Brunswick,North Carolina,516,4,US
2020-06-29,Brunswick,North Carolina,526,5,US
2020-06-30,Brunswick,North Carolina,559,5,US
2020-07-01,Brunswick,North Carolina,582,6,US
2020-07-02,Brunswick,North Carolina,617,6,US
2020-07-03,Brunswick,North Carolina,643,6,US
2020-07-04,Brunswick,North Carolina,660,6,US
2020-07-05,Brunswick,North Carolina,671,6,US
2020-07-06,Brunswick,North Carolina,687,6,US
2020-07-07,Brunswick,North Carolina,708,7,US
2020-07-08,Brunswick,North Carolina,734,7,US
2020-07-09,Brunswick,North Carolina,748,7,US
2020-07-10,Brunswick,North Carolina,758,8,US
2020-07-11,Brunswick,North Carolina,786,8,US
2020-07-12,Brunswick,North Carolina,807,8,US
2020-07-13,Brunswick,North Carolina,839,8,US
2020-07-14,Brunswick,North Carolina,860,10,US
2020-07-15,Brunswick,North Carolina,879,10,US
2020-07-16,Brunswick,North Carolina,897,11,US
2020-07-17,Brunswick,North Carolina,929,11,US
2020-07-18,Brunswick,North Carolina,948,11,US
2020-07-19,Brunswick,North Carolina,955,11,US
2020-07-20,Brunswick,North Carolina,984,11,US
2020-07-21,Brunswick,North Carolina,996,11,US
2020-07-22,Brunswick,North Carolina,1015,12,US
2020-07-23,Brunswick,North Carolina,1028,12,US
2020-07-24,Brunswick,North Carolina,1040,12,US
2020-07-25,Brunswick,North Carolina,1059,13,US
2020-07-26,Brunswick,North Carolina,1076,13,US
2020-07-27,Brunswick,North Carolina,1102,13,US
2020-07-28,Brunswick,North Carolina,1115,13,US
2020-07-29,Brunswick,North Carolina,1148,13,US
2020-07-30,Brunswick,North Carolina,1163,16,US
2020-07-31,Brunswick,North Carolina,1177,16,US
2020-08-01,Brunswick,North Carolina,1186,16,US
2020-08-02,Brunswick,North Carolina,1199,17,US
2020-08-03,Brunswick,North Carolina,1202,17,US
2020-08-04,Brunswick,North Carolina,1217,17,US
2020-08-05,Brunswick,North Carolina,1229,17,US
2020-08-06,Brunswick,North Carolina,1239,19,US
2020-08-07,Brunswick,North Carolina,1252,20,US
2020-08-08,Brunswick,North Carolina,1258,21,US
2020-08-09,Brunswick,North Carolina,1263,21,US
2020-08-10,Brunswick,North Carolina,1275,21,US
2020-08-11,Brunswick,North Carolina,1292,22,US
2020-08-12,Brunswick,North Carolina,1306,22,US
2020-08-13,Brunswick,North Carolina,1309,22,US
2020-08-14,Brunswick,North Carolina,1323,22,US
2020-08-15,Brunswick,North Carolina,1332,22,US
2020-08-16,Brunswick,North Carolina,1335,22,US
2020-08-17,Brunswick,North Carolina,1344,22,US
2020-08-18,Brunswick,North Carolina,1350,22,US
2020-08-19,Brunswick,North Carolina,1355,22,US
2020-08-20,Brunswick,North Carolina,1363,22,US
2020-08-21,Brunswick,North Carolina,1370,22,US
2020-08-22,Brunswick,North Carolina,1374,22,US
2020-08-23,Brunswick,North Carolina,1378,22,US
2020-08-24,Brunswick,North Carolina,1380,23,US
2020-08-25,Brunswick,North Carolina,1383,24,US
2020-08-26,Brunswick,North Carolina,1389,24,US
2020-08-27,Brunswick,North Carolina,1393,24,US
2020-08-28,Brunswick,North Carolina,1401,24,US
2020-08-29,Brunswick,North Carolina,1407,24,US
2020-08-30,Brunswick,North Carolina,1411,24,US
