Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Buckingham,Virginia,0,0,US
2020-01-23,Buckingham,Virginia,0,0,US
2020-01-24,Buckingham,Virginia,0,0,US
2020-01-25,Buckingham,Virginia,0,0,US
2020-01-26,Buckingham,Virginia,0,0,US
2020-01-27,Buckingham,Virginia,0,0,US
2020-01-28,Buckingham,Virginia,0,0,US
2020-01-29,Buckingham,Virginia,0,0,US
2020-01-30,Buckingham,Virginia,0,0,US
2020-01-31,Buckingham,Virginia,0,0,US
2020-02-01,Buckingham,Virginia,0,0,US
2020-02-02,Buckingham,Virginia,0,0,US
2020-02-03,Buckingham,Virginia,0,0,US
2020-02-04,Buckingham,Virginia,0,0,US
2020-02-05,Buckingham,Virginia,0,0,US
2020-02-06,Buckingham,Virginia,0,0,US
2020-02-07,Buckingham,Virginia,0,0,US
2020-02-08,Buckingham,Virginia,0,0,US
2020-02-09,Buckingham,Virginia,0,0,US
2020-02-10,Buckingham,Virginia,0,0,US
2020-02-11,Buckingham,Virginia,0,0,US
2020-02-12,Buckingham,Virginia,0,0,US
2020-02-13,Buckingham,Virginia,0,0,US
2020-02-14,Buckingham,Virginia,0,0,US
2020-02-15,Buckingham,Virginia,0,0,US
2020-02-16,Buckingham,Virginia,0,0,US
2020-02-17,Buckingham,Virginia,0,0,US
2020-02-18,Buckingham,Virginia,0,0,US
2020-02-19,Buckingham,Virginia,0,0,US
2020-02-20,Buckingham,Virginia,0,0,US
2020-02-21,Buckingham,Virginia,0,0,US
2020-02-22,Buckingham,Virginia,0,0,US
2020-02-23,Buckingham,Virginia,0,0,US
2020-02-24,Buckingham,Virginia,0,0,US
2020-02-25,Buckingham,Virginia,0,0,US
2020-02-26,Buckingham,Virginia,0,0,US
2020-02-27,Buckingham,Virginia,0,0,US
2020-02-28,Buckingham,Virginia,0,0,US
2020-02-29,Buckingham,Virginia,0,0,US
2020-03-01,Buckingham,Virginia,0,0,US
2020-03-02,Buckingham,Virginia,0,0,US
2020-03-03,Buckingham,Virginia,0,0,US
2020-03-04,Buckingham,Virginia,0,0,US
2020-03-05,Buckingham,Virginia,0,0,US
2020-03-06,Buckingham,Virginia,0,0,US
2020-03-07,Buckingham,Virginia,0,0,US
2020-03-08,Buckingham,Virginia,0,0,US
2020-03-09,Buckingham,Virginia,0,0,US
2020-03-10,Buckingham,Virginia,0,0,US
2020-03-11,Buckingham,Virginia,0,0,US
2020-03-12,Buckingham,Virginia,0,0,US
2020-03-13,Buckingham,Virginia,0,0,US
2020-03-14,Buckingham,Virginia,0,0,US
2020-03-15,Buckingham,Virginia,0,0,US
2020-03-16,Buckingham,Virginia,0,0,US
2020-03-17,Buckingham,Virginia,0,0,US
2020-03-18,Buckingham,Virginia,0,0,US
2020-03-19,Buckingham,Virginia,0,0,US
2020-03-20,Buckingham,Virginia,0,0,US
2020-03-21,Buckingham,Virginia,0,0,US
2020-03-22,Buckingham,Virginia,0,0,US
2020-03-23,Buckingham,Virginia,0,0,US
2020-03-24,Buckingham,Virginia,0,0,US
2020-03-25,Buckingham,Virginia,0,0,US
2020-03-26,Buckingham,Virginia,0,0,US
2020-03-27,Buckingham,Virginia,0,0,US
2020-03-28,Buckingham,Virginia,0,0,US
2020-03-29,Buckingham,Virginia,0,0,US
2020-03-30,Buckingham,Virginia,0,0,US
2020-03-31,Buckingham,Virginia,2,0,US
2020-04-01,Buckingham,Virginia,2,0,US
2020-04-02,Buckingham,Virginia,2,0,US
2020-04-03,Buckingham,Virginia,3,0,US
