Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Burke,North Dakota,0,0,US
2020-01-23,Burke,North Dakota,0,0,US
2020-01-24,Burke,North Dakota,0,0,US
2020-01-25,Burke,North Dakota,0,0,US
2020-01-26,Burke,North Dakota,0,0,US
2020-01-27,Burke,North Dakota,0,0,US
2020-01-28,Burke,North Dakota,0,0,US
2020-01-29,Burke,North Dakota,0,0,US
2020-01-30,Burke,North Dakota,0,0,US
2020-01-31,Burke,North Dakota,0,0,US
2020-02-01,Burke,North Dakota,0,0,US
2020-02-02,Burke,North Dakota,0,0,US
2020-02-03,Burke,North Dakota,0,0,US
2020-02-04,Burke,North Dakota,0,0,US
2020-02-05,Burke,North Dakota,0,0,US
2020-02-06,Burke,North Dakota,0,0,US
2020-02-07,Burke,North Dakota,0,0,US
2020-02-08,Burke,North Dakota,0,0,US
2020-02-09,Burke,North Dakota,0,0,US
2020-02-10,Burke,North Dakota,0,0,US
2020-02-11,Burke,North Dakota,0,0,US
2020-02-12,Burke,North Dakota,0,0,US
2020-02-13,Burke,North Dakota,0,0,US
2020-02-14,Burke,North Dakota,0,0,US
2020-02-15,Burke,North Dakota,0,0,US
2020-02-16,Burke,North Dakota,0,0,US
2020-02-17,Burke,North Dakota,0,0,US
2020-02-18,Burke,North Dakota,0,0,US
2020-02-19,Burke,North Dakota,0,0,US
2020-02-20,Burke,North Dakota,0,0,US
2020-02-21,Burke,North Dakota,0,0,US
2020-02-22,Burke,North Dakota,0,0,US
2020-02-23,Burke,North Dakota,0,0,US
2020-02-24,Burke,North Dakota,0,0,US
2020-02-25,Burke,North Dakota,0,0,US
2020-02-26,Burke,North Dakota,0,0,US
2020-02-27,Burke,North Dakota,0,0,US
2020-02-28,Burke,North Dakota,0,0,US
2020-02-29,Burke,North Dakota,0,0,US
2020-03-01,Burke,North Dakota,0,0,US
2020-03-02,Burke,North Dakota,0,0,US
2020-03-03,Burke,North Dakota,0,0,US
2020-03-04,Burke,North Dakota,0,0,US
2020-03-05,Burke,North Dakota,0,0,US
2020-03-06,Burke,North Dakota,0,0,US
2020-03-07,Burke,North Dakota,0,0,US
2020-03-08,Burke,North Dakota,0,0,US
2020-03-09,Burke,North Dakota,0,0,US
2020-03-10,Burke,North Dakota,0,0,US
2020-03-11,Burke,North Dakota,0,0,US
2020-03-12,Burke,North Dakota,0,0,US
2020-03-13,Burke,North Dakota,0,0,US
2020-03-14,Burke,North Dakota,0,0,US
2020-03-15,Burke,North Dakota,0,0,US
2020-03-16,Burke,North Dakota,0,0,US
2020-03-17,Burke,North Dakota,0,0,US
2020-03-18,Burke,North Dakota,0,0,US
2020-03-19,Burke,North Dakota,0,0,US
2020-03-20,Burke,North Dakota,0,0,US
2020-03-21,Burke,North Dakota,0,0,US
2020-03-22,Burke,North Dakota,0,0,US
