Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Butte,South Dakota,0,0,US
2020-01-23,Butte,South Dakota,0,0,US
2020-01-24,Butte,South Dakota,0,0,US
2020-01-25,Butte,South Dakota,0,0,US
2020-01-26,Butte,South Dakota,0,0,US
2020-01-27,Butte,South Dakota,0,0,US
2020-01-28,Butte,South Dakota,0,0,US
2020-01-29,Butte,South Dakota,0,0,US
2020-01-30,Butte,South Dakota,0,0,US
2020-01-31,Butte,South Dakota,0,0,US
2020-02-01,Butte,South Dakota,0,0,US
2020-02-02,Butte,South Dakota,0,0,US
2020-02-03,Butte,South Dakota,0,0,US
2020-02-04,Butte,South Dakota,0,0,US
2020-02-05,Butte,South Dakota,0,0,US
2020-02-06,Butte,South Dakota,0,0,US
2020-02-07,Butte,South Dakota,0,0,US
2020-02-08,Butte,South Dakota,0,0,US
2020-02-09,Butte,South Dakota,0,0,US
2020-02-10,Butte,South Dakota,0,0,US
2020-02-11,Butte,South Dakota,0,0,US
2020-02-12,Butte,South Dakota,0,0,US
2020-02-13,Butte,South Dakota,0,0,US
2020-02-14,Butte,South Dakota,0,0,US
2020-02-15,Butte,South Dakota,0,0,US
2020-02-16,Butte,South Dakota,0,0,US
2020-02-17,Butte,South Dakota,0,0,US
2020-02-18,Butte,South Dakota,0,0,US
2020-02-19,Butte,South Dakota,0,0,US
2020-02-20,Butte,South Dakota,0,0,US
2020-02-21,Butte,South Dakota,0,0,US
2020-02-22,Butte,South Dakota,0,0,US
2020-02-23,Butte,South Dakota,0,0,US
2020-02-24,Butte,South Dakota,0,0,US
2020-02-25,Butte,South Dakota,0,0,US
2020-02-26,Butte,South Dakota,0,0,US
2020-02-27,Butte,South Dakota,0,0,US
2020-02-28,Butte,South Dakota,0,0,US
2020-02-29,Butte,South Dakota,0,0,US
2020-03-01,Butte,South Dakota,0,0,US
2020-03-02,Butte,South Dakota,0,0,US
2020-03-03,Butte,South Dakota,0,0,US
2020-03-04,Butte,South Dakota,0,0,US
2020-03-05,Butte,South Dakota,0,0,US
2020-03-06,Butte,South Dakota,0,0,US
2020-03-07,Butte,South Dakota,0,0,US
2020-03-08,Butte,South Dakota,0,0,US
2020-03-09,Butte,South Dakota,0,0,US
2020-03-10,Butte,South Dakota,0,0,US
2020-03-11,Butte,South Dakota,0,0,US
2020-03-12,Butte,South Dakota,0,0,US
2020-03-13,Butte,South Dakota,0,0,US
2020-03-14,Butte,South Dakota,0,0,US
2020-03-15,Butte,South Dakota,0,0,US
2020-03-16,Butte,South Dakota,0,0,US
2020-03-17,Butte,South Dakota,0,0,US
2020-03-18,Butte,South Dakota,0,0,US
2020-03-19,Butte,South Dakota,0,0,US
2020-03-20,Butte,South Dakota,0,0,US
2020-03-21,Butte,South Dakota,0,0,US
2020-03-22,Butte,South Dakota,0,0,US
2020-03-23,Butte,South Dakota,0,0,US
2020-03-24,Butte,South Dakota,0,0,US
2020-03-25,Butte,South Dakota,0,0,US
2020-03-26,Butte,South Dakota,0,0,US
2020-03-27,Butte,South Dakota,0,0,US
2020-03-28,Butte,South Dakota,0,0,US
2020-03-29,Butte,South Dakota,0,0,US
2020-03-30,Butte,South Dakota,1,0,US
2020-03-31,Butte,South Dakota,0,0,US
2020-04-01,Butte,South Dakota,0,0,US
2020-04-02,Butte,South Dakota,0,0,US
2020-04-03,Butte,South Dakota,0,0,US
2020-04-04,Butte,South Dakota,0,0,US
2020-04-05,Butte,South Dakota,0,0,US
2020-04-06,Butte,South Dakota,0,0,US
2020-04-07,Butte,South Dakota,0,0,US
2020-04-08,Butte,South Dakota,0,0,US
2020-04-09,Butte,South Dakota,0,0,US
2020-04-10,Butte,South Dakota,0,0,US
2020-04-11,Butte,South Dakota,0,0,US
2020-04-12,Butte,South Dakota,0,0,US
2020-04-13,Butte,South Dakota,0,0,US
2020-04-14,Butte,South Dakota,0,0,US
2020-04-15,Butte,South Dakota,0,0,US
2020-04-16,Butte,South Dakota,0,0,US
2020-04-17,Butte,South Dakota,0,0,US
2020-04-18,Butte,South Dakota,0,0,US
2020-04-19,Butte,South Dakota,0,0,US
2020-04-20,Butte,South Dakota,0,0,US
2020-04-21,Butte,South Dakota,0,0,US
2020-04-22,Butte,South Dakota,0,0,US
2020-04-23,Butte,South Dakota,0,0,US
2020-04-24,Butte,South Dakota,0,0,US
2020-04-25,Butte,South Dakota,0,0,US
2020-04-26,Butte,South Dakota,0,0,US
2020-04-27,Butte,South Dakota,0,0,US
2020-04-28,Butte,South Dakota,0,0,US
2020-04-29,Butte,South Dakota,0,0,US
2020-04-30,Butte,South Dakota,0,0,US
2020-05-01,Butte,South Dakota,0,0,US
2020-05-02,Butte,South Dakota,0,0,US
2020-05-03,Butte,South Dakota,0,0,US
2020-05-04,Butte,South Dakota,0,0,US
2020-05-05,Butte,South Dakota,0,0,US
2020-05-06,Butte,South Dakota,0,0,US
2020-05-07,Butte,South Dakota,0,0,US
2020-05-08,Butte,South Dakota,0,0,US
2020-05-09,Butte,South Dakota,0,0,US
2020-05-10,Butte,South Dakota,0,0,US
2020-05-11,Butte,South Dakota,0,0,US
2020-05-12,Butte,South Dakota,0,0,US
2020-05-13,Butte,South Dakota,0,0,US
2020-05-14,Butte,South Dakota,0,0,US
2020-05-15,Butte,South Dakota,0,0,US
2020-05-16,Butte,South Dakota,0,0,US
2020-05-17,Butte,South Dakota,0,0,US
2020-05-18,Butte,South Dakota,0,0,US
2020-05-19,Butte,South Dakota,0,0,US
2020-05-20,Butte,South Dakota,0,0,US
2020-05-21,Butte,South Dakota,0,0,US
2020-05-22,Butte,South Dakota,0,0,US
2020-05-23,Butte,South Dakota,0,0,US
2020-05-24,Butte,South Dakota,0,0,US
2020-05-25,Butte,South Dakota,0,0,US
2020-05-26,Butte,South Dakota,0,0,US
2020-05-27,Butte,South Dakota,0,0,US
2020-05-28,Butte,South Dakota,0,0,US
2020-05-29,Butte,South Dakota,0,0,US
2020-05-30,Butte,South Dakota,0,0,US
2020-05-31,Butte,South Dakota,0,0,US
2020-06-01,Butte,South Dakota,0,0,US
2020-06-02,Butte,South Dakota,0,0,US
2020-06-03,Butte,South Dakota,0,0,US
2020-06-04,Butte,South Dakota,0,0,US
2020-06-05,Butte,South Dakota,0,0,US
2020-06-06,Butte,South Dakota,0,0,US
2020-06-07,Butte,South Dakota,0,0,US
2020-06-08,Butte,South Dakota,0,0,US
2020-06-09,Butte,South Dakota,0,0,US
2020-06-10,Butte,South Dakota,0,0,US
2020-06-11,Butte,South Dakota,0,0,US
2020-06-12,Butte,South Dakota,0,0,US
2020-06-13,Butte,South Dakota,0,0,US
2020-06-14,Butte,South Dakota,0,0,US
2020-06-15,Butte,South Dakota,0,0,US
2020-06-16,Butte,South Dakota,0,0,US
2020-06-17,Butte,South Dakota,0,0,US
2020-06-18,Butte,South Dakota,0,0,US
2020-06-19,Butte,South Dakota,0,0,US
2020-06-20,Butte,South Dakota,0,0,US
2020-06-21,Butte,South Dakota,0,0,US
2020-06-22,Butte,South Dakota,0,0,US
2020-06-23,Butte,South Dakota,0,0,US
2020-06-24,Butte,South Dakota,0,0,US
2020-06-25,Butte,South Dakota,0,0,US
2020-06-26,Butte,South Dakota,0,0,US
2020-06-27,Butte,South Dakota,0,0,US
