Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Caldwell,Louisiana,0,0,US
2020-01-23,Caldwell,Louisiana,0,0,US
2020-01-24,Caldwell,Louisiana,0,0,US
2020-01-25,Caldwell,Louisiana,0,0,US
2020-01-26,Caldwell,Louisiana,0,0,US
2020-01-27,Caldwell,Louisiana,0,0,US
2020-01-28,Caldwell,Louisiana,0,0,US
2020-01-29,Caldwell,Louisiana,0,0,US
2020-01-30,Caldwell,Louisiana,0,0,US
2020-01-31,Caldwell,Louisiana,0,0,US
2020-02-01,Caldwell,Louisiana,0,0,US
2020-02-02,Caldwell,Louisiana,0,0,US
2020-02-03,Caldwell,Louisiana,0,0,US
2020-02-04,Caldwell,Louisiana,0,0,US
2020-02-05,Caldwell,Louisiana,0,0,US
2020-02-06,Caldwell,Louisiana,0,0,US
2020-02-07,Caldwell,Louisiana,0,0,US
2020-02-08,Caldwell,Louisiana,0,0,US
2020-02-09,Caldwell,Louisiana,0,0,US
2020-02-10,Caldwell,Louisiana,0,0,US
2020-02-11,Caldwell,Louisiana,0,0,US
2020-02-12,Caldwell,Louisiana,0,0,US
2020-02-13,Caldwell,Louisiana,0,0,US
2020-02-14,Caldwell,Louisiana,0,0,US
2020-02-15,Caldwell,Louisiana,0,0,US
2020-02-16,Caldwell,Louisiana,0,0,US
2020-02-17,Caldwell,Louisiana,0,0,US
2020-02-18,Caldwell,Louisiana,0,0,US
2020-02-19,Caldwell,Louisiana,0,0,US
2020-02-20,Caldwell,Louisiana,0,0,US
2020-02-21,Caldwell,Louisiana,0,0,US
2020-02-22,Caldwell,Louisiana,0,0,US
2020-02-23,Caldwell,Louisiana,0,0,US
2020-02-24,Caldwell,Louisiana,0,0,US
2020-02-25,Caldwell,Louisiana,0,0,US
2020-02-26,Caldwell,Louisiana,0,0,US
2020-02-27,Caldwell,Louisiana,0,0,US
2020-02-28,Caldwell,Louisiana,0,0,US
2020-02-29,Caldwell,Louisiana,0,0,US
2020-03-01,Caldwell,Louisiana,0,0,US
2020-03-02,Caldwell,Louisiana,0,0,US
2020-03-03,Caldwell,Louisiana,0,0,US
2020-03-04,Caldwell,Louisiana,0,0,US
2020-03-05,Caldwell,Louisiana,0,0,US
2020-03-06,Caldwell,Louisiana,0,0,US
2020-03-07,Caldwell,Louisiana,0,0,US
2020-03-08,Caldwell,Louisiana,0,0,US
2020-03-09,Caldwell,Louisiana,0,0,US
2020-03-10,Caldwell,Louisiana,0,0,US
2020-03-11,Caldwell,Louisiana,0,0,US
2020-03-12,Caldwell,Louisiana,0,0,US
2020-03-13,Caldwell,Louisiana,0,0,US
2020-03-14,Caldwell,Louisiana,0,0,US
2020-03-15,Caldwell,Louisiana,0,0,US
2020-03-16,Caldwell,Louisiana,0,0,US
2020-03-17,Caldwell,Louisiana,0,0,US
