Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Calumet,Wisconsin,0,0,US
2020-01-23,Calumet,Wisconsin,0,0,US
2020-01-24,Calumet,Wisconsin,0,0,US
2020-01-25,Calumet,Wisconsin,0,0,US
2020-01-26,Calumet,Wisconsin,0,0,US
2020-01-27,Calumet,Wisconsin,0,0,US
2020-01-28,Calumet,Wisconsin,0,0,US
2020-01-29,Calumet,Wisconsin,0,0,US
2020-01-30,Calumet,Wisconsin,0,0,US
2020-01-31,Calumet,Wisconsin,0,0,US
2020-02-01,Calumet,Wisconsin,0,0,US
2020-02-02,Calumet,Wisconsin,0,0,US
2020-02-03,Calumet,Wisconsin,0,0,US
2020-02-04,Calumet,Wisconsin,0,0,US
2020-02-05,Calumet,Wisconsin,0,0,US
2020-02-06,Calumet,Wisconsin,0,0,US
2020-02-07,Calumet,Wisconsin,0,0,US
2020-02-08,Calumet,Wisconsin,0,0,US
2020-02-09,Calumet,Wisconsin,0,0,US
2020-02-10,Calumet,Wisconsin,0,0,US
2020-02-11,Calumet,Wisconsin,0,0,US
2020-02-12,Calumet,Wisconsin,0,0,US
2020-02-13,Calumet,Wisconsin,0,0,US
2020-02-14,Calumet,Wisconsin,0,0,US
2020-02-15,Calumet,Wisconsin,0,0,US
2020-02-16,Calumet,Wisconsin,0,0,US
2020-02-17,Calumet,Wisconsin,0,0,US
2020-02-18,Calumet,Wisconsin,0,0,US
2020-02-19,Calumet,Wisconsin,0,0,US
2020-02-20,Calumet,Wisconsin,0,0,US
2020-02-21,Calumet,Wisconsin,0,0,US
2020-02-22,Calumet,Wisconsin,0,0,US
2020-02-23,Calumet,Wisconsin,0,0,US
2020-02-24,Calumet,Wisconsin,0,0,US
2020-02-25,Calumet,Wisconsin,0,0,US
2020-02-26,Calumet,Wisconsin,0,0,US
2020-02-27,Calumet,Wisconsin,0,0,US
2020-02-28,Calumet,Wisconsin,0,0,US
2020-02-29,Calumet,Wisconsin,0,0,US
2020-03-01,Calumet,Wisconsin,0,0,US
2020-03-02,Calumet,Wisconsin,0,0,US
2020-03-03,Calumet,Wisconsin,0,0,US
2020-03-04,Calumet,Wisconsin,0,0,US
2020-03-05,Calumet,Wisconsin,0,0,US
2020-03-06,Calumet,Wisconsin,0,0,US
2020-03-07,Calumet,Wisconsin,0,0,US
2020-03-08,Calumet,Wisconsin,0,0,US
2020-03-09,Calumet,Wisconsin,0,0,US
2020-03-10,Calumet,Wisconsin,0,0,US
2020-03-11,Calumet,Wisconsin,0,0,US
2020-03-12,Calumet,Wisconsin,0,0,US
2020-03-13,Calumet,Wisconsin,0,0,US
2020-03-14,Calumet,Wisconsin,0,0,US
2020-03-15,Calumet,Wisconsin,0,0,US
2020-03-16,Calumet,Wisconsin,0,0,US
2020-03-17,Calumet,Wisconsin,0,0,US
2020-03-18,Calumet,Wisconsin,0,0,US
2020-03-19,Calumet,Wisconsin,1,0,US
2020-03-20,Calumet,Wisconsin,1,0,US
2020-03-21,Calumet,Wisconsin,1,0,US
2020-03-22,Calumet,Wisconsin,1,0,US
2020-03-23,Calumet,Wisconsin,1,0,US
2020-03-24,Calumet,Wisconsin,1,0,US
2020-03-25,Calumet,Wisconsin,1,0,US
2020-03-26,Calumet,Wisconsin,1,0,US
2020-03-27,Calumet,Wisconsin,1,0,US
2020-03-28,Calumet,Wisconsin,1,0,US
2020-03-29,Calumet,Wisconsin,1,0,US
2020-03-30,Calumet,Wisconsin,1,0,US
