Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Canadian,Oklahoma,0,0,US
2020-01-23,Canadian,Oklahoma,0,0,US
2020-01-24,Canadian,Oklahoma,0,0,US
2020-01-25,Canadian,Oklahoma,0,0,US
2020-01-26,Canadian,Oklahoma,0,0,US
2020-01-27,Canadian,Oklahoma,0,0,US
2020-01-28,Canadian,Oklahoma,0,0,US
2020-01-29,Canadian,Oklahoma,0,0,US
2020-01-30,Canadian,Oklahoma,0,0,US
2020-01-31,Canadian,Oklahoma,0,0,US
2020-02-01,Canadian,Oklahoma,0,0,US
2020-02-02,Canadian,Oklahoma,0,0,US
2020-02-03,Canadian,Oklahoma,0,0,US
2020-02-04,Canadian,Oklahoma,0,0,US
2020-02-05,Canadian,Oklahoma,0,0,US
2020-02-06,Canadian,Oklahoma,0,0,US
2020-02-07,Canadian,Oklahoma,0,0,US
2020-02-08,Canadian,Oklahoma,0,0,US
2020-02-09,Canadian,Oklahoma,0,0,US
2020-02-10,Canadian,Oklahoma,0,0,US
2020-02-11,Canadian,Oklahoma,0,0,US
2020-02-12,Canadian,Oklahoma,0,0,US
2020-02-13,Canadian,Oklahoma,0,0,US
2020-02-14,Canadian,Oklahoma,0,0,US
2020-02-15,Canadian,Oklahoma,0,0,US
2020-02-16,Canadian,Oklahoma,0,0,US
2020-02-17,Canadian,Oklahoma,0,0,US
2020-02-18,Canadian,Oklahoma,0,0,US
2020-02-19,Canadian,Oklahoma,0,0,US
2020-02-20,Canadian,Oklahoma,0,0,US
2020-02-21,Canadian,Oklahoma,0,0,US
2020-02-22,Canadian,Oklahoma,0,0,US
2020-02-23,Canadian,Oklahoma,0,0,US
2020-02-24,Canadian,Oklahoma,0,0,US
2020-02-25,Canadian,Oklahoma,0,0,US
2020-02-26,Canadian,Oklahoma,0,0,US
2020-02-27,Canadian,Oklahoma,0,0,US
2020-02-28,Canadian,Oklahoma,0,0,US
2020-02-29,Canadian,Oklahoma,0,0,US
2020-03-01,Canadian,Oklahoma,0,0,US
2020-03-02,Canadian,Oklahoma,0,0,US
2020-03-03,Canadian,Oklahoma,0,0,US
2020-03-04,Canadian,Oklahoma,0,0,US
2020-03-05,Canadian,Oklahoma,0,0,US
2020-03-06,Canadian,Oklahoma,0,0,US
2020-03-07,Canadian,Oklahoma,0,0,US
2020-03-08,Canadian,Oklahoma,0,0,US
2020-03-09,Canadian,Oklahoma,0,0,US
2020-03-10,Canadian,Oklahoma,0,0,US
2020-03-11,Canadian,Oklahoma,0,0,US
2020-03-12,Canadian,Oklahoma,0,0,US
2020-03-13,Canadian,Oklahoma,0,0,US
2020-03-14,Canadian,Oklahoma,0,0,US
2020-03-15,Canadian,Oklahoma,0,0,US
2020-03-16,Canadian,Oklahoma,1,0,US
2020-03-17,Canadian,Oklahoma,1,0,US
2020-03-18,Canadian,Oklahoma,1,0,US
2020-03-19,Canadian,Oklahoma,2,0,US
2020-03-20,Canadian,Oklahoma,2,0,US
2020-03-21,Canadian,Oklahoma,2,0,US
2020-03-22,Canadian,Oklahoma,2,0,US
2020-03-23,Canadian,Oklahoma,2,0,US
2020-03-24,Canadian,Oklahoma,4,0,US
2020-03-25,Canadian,Oklahoma,5,0,US
2020-03-26,Canadian,Oklahoma,6,0,US
2020-03-27,Canadian,Oklahoma,11,0,US
2020-03-28,Canadian,Oklahoma,11,0,US
2020-03-29,Canadian,Oklahoma,12,0,US
2020-03-30,Canadian,Oklahoma,15,0,US
2020-03-31,Canadian,Oklahoma,19,1,US
2020-04-01,Canadian,Oklahoma,24,1,US
2020-04-02,Canadian,Oklahoma,28,1,US
2020-04-03,Canadian,Oklahoma,29,1,US
2020-04-04,Canadian,Oklahoma,32,1,US
2020-04-05,Canadian,Oklahoma,33,1,US
2020-04-06,Canadian,Oklahoma,35,1,US
2020-04-07,Canadian,Oklahoma,40,1,US
2020-04-08,Canadian,Oklahoma,40,1,US
2020-04-09,Canadian,Oklahoma,48,1,US
2020-04-10,Canadian,Oklahoma,52,1,US
2020-04-11,Canadian,Oklahoma,56,1,US
2020-04-12,Canadian,Oklahoma,56,1,US
2020-04-13,Canadian,Oklahoma,57,3,US
2020-04-14,Canadian,Oklahoma,62,3,US
2020-04-15,Canadian,Oklahoma,63,3,US
2020-04-16,Canadian,Oklahoma,65,3,US
2020-04-17,Canadian,Oklahoma,65,3,US
2020-04-18,Canadian,Oklahoma,65,3,US
2020-04-19,Canadian,Oklahoma,73,3,US
2020-04-20,Canadian,Oklahoma,75,3,US
2020-04-21,Canadian,Oklahoma,76,3,US
2020-04-22,Canadian,Oklahoma,82,3,US
2020-04-23,Canadian,Oklahoma,86,3,US
2020-04-24,Canadian,Oklahoma,88,3,US
2020-04-25,Canadian,Oklahoma,90,3,US
2020-04-26,Canadian,Oklahoma,91,3,US
2020-04-27,Canadian,Oklahoma,91,3,US
2020-04-28,Canadian,Oklahoma,96,3,US
2020-04-29,Canadian,Oklahoma,97,3,US
2020-04-30,Canadian,Oklahoma,98,3,US
2020-05-01,Canadian,Oklahoma,98,3,US
2020-05-02,Canadian,Oklahoma,98,3,US
2020-05-03,Canadian,Oklahoma,100,3,US
2020-05-04,Canadian,Oklahoma,102,3,US
2020-05-05,Canadian,Oklahoma,103,3,US
2020-05-06,Canadian,Oklahoma,103,3,US
2020-05-07,Canadian,Oklahoma,107,3,US
2020-05-08,Canadian,Oklahoma,107,3,US
2020-05-09,Canadian,Oklahoma,110,3,US
2020-05-10,Canadian,Oklahoma,111,3,US
2020-05-11,Canadian,Oklahoma,111,3,US
2020-05-12,Canadian,Oklahoma,114,3,US
2020-05-13,Canadian,Oklahoma,115,3,US
2020-05-14,Canadian,Oklahoma,116,3,US
2020-05-15,Canadian,Oklahoma,116,3,US
2020-05-16,Canadian,Oklahoma,116,3,US
2020-05-17,Canadian,Oklahoma,117,3,US
2020-05-18,Canadian,Oklahoma,118,3,US
2020-05-19,Canadian,Oklahoma,120,3,US
2020-05-20,Canadian,Oklahoma,120,3,US
2020-05-21,Canadian,Oklahoma,122,3,US
2020-05-22,Canadian,Oklahoma,123,3,US
2020-05-23,Canadian,Oklahoma,124,3,US
2020-05-24,Canadian,Oklahoma,126,3,US
2020-05-25,Canadian,Oklahoma,128,3,US
2020-05-26,Canadian,Oklahoma,128,3,US
2020-05-27,Canadian,Oklahoma,128,3,US
2020-05-28,Canadian,Oklahoma,128,3,US
2020-05-29,Canadian,Oklahoma,129,3,US
2020-05-30,Canadian,Oklahoma,132,3,US
2020-05-31,Canadian,Oklahoma,132,3,US
2020-06-01,Canadian,Oklahoma,133,3,US
2020-06-02,Canadian,Oklahoma,133,3,US
2020-06-03,Canadian,Oklahoma,133,3,US
2020-06-04,Canadian,Oklahoma,137,3,US
2020-06-05,Canadian,Oklahoma,141,3,US
2020-06-06,Canadian,Oklahoma,141,3,US
2020-06-07,Canadian,Oklahoma,142,3,US
2020-06-08,Canadian,Oklahoma,142,3,US
2020-06-09,Canadian,Oklahoma,143,3,US
2020-06-10,Canadian,Oklahoma,144,3,US
2020-06-11,Canadian,Oklahoma,144,3,US
2020-06-12,Canadian,Oklahoma,146,3,US
2020-06-13,Canadian,Oklahoma,148,3,US
2020-06-14,Canadian,Oklahoma,150,3,US
2020-06-15,Canadian,Oklahoma,156,3,US
2020-06-16,Canadian,Oklahoma,160,3,US
2020-06-17,Canadian,Oklahoma,167,3,US
2020-06-18,Canadian,Oklahoma,175,3,US
2020-06-19,Canadian,Oklahoma,186,3,US
2020-06-20,Canadian,Oklahoma,192,3,US
2020-06-21,Canadian,Oklahoma,197,3,US
2020-06-22,Canadian,Oklahoma,200,3,US
2020-06-23,Canadian,Oklahoma,207,3,US
2020-06-24,Canadian,Oklahoma,218,3,US
2020-06-25,Canadian,Oklahoma,227,3,US
2020-06-26,Canadian,Oklahoma,238,3,US
2020-06-27,Canadian,Oklahoma,249,3,US
2020-06-28,Canadian,Oklahoma,258,3,US
2020-06-29,Canadian,Oklahoma,266,3,US
2020-06-30,Canadian,Oklahoma,280,3,US
2020-07-01,Canadian,Oklahoma,289,3,US
2020-07-02,Canadian,Oklahoma,293,3,US
2020-07-03,Canadian,Oklahoma,307,3,US
2020-07-04,Canadian,Oklahoma,325,3,US
2020-07-05,Canadian,Oklahoma,337,3,US
2020-07-06,Canadian,Oklahoma,360,3,US
2020-07-07,Canadian,Oklahoma,387,3,US
2020-07-08,Canadian,Oklahoma,409,3,US
2020-07-09,Canadian,Oklahoma,430,3,US
2020-07-10,Canadian,Oklahoma,456,3,US
2020-07-11,Canadian,Oklahoma,479,3,US
2020-07-12,Canadian,Oklahoma,502,3,US
2020-07-13,Canadian,Oklahoma,519,3,US
2020-07-14,Canadian,Oklahoma,543,3,US
2020-07-15,Canadian,Oklahoma,594,3,US
2020-07-16,Canadian,Oklahoma,608,3,US
2020-07-17,Canadian,Oklahoma,631,3,US
2020-07-18,Canadian,Oklahoma,652,4,US
2020-07-19,Canadian,Oklahoma,667,4,US
2020-07-20,Canadian,Oklahoma,674,4,US
2020-07-21,Canadian,Oklahoma,686,4,US
2020-07-22,Canadian,Oklahoma,717,4,US
2020-07-23,Canadian,Oklahoma,744,4,US
2020-07-24,Canadian,Oklahoma,786,4,US
2020-07-25,Canadian,Oklahoma,795,4,US
2020-07-26,Canadian,Oklahoma,830,4,US
2020-07-27,Canadian,Oklahoma,877,4,US
2020-07-28,Canadian,Oklahoma,913,5,US
2020-07-29,Canadian,Oklahoma,941,5,US
2020-07-30,Canadian,Oklahoma,988,5,US
2020-07-31,Canadian,Oklahoma,1009,5,US
2020-08-01,Canadian,Oklahoma,1059,5,US
2020-08-02,Canadian,Oklahoma,1078,5,US
2020-08-03,Canadian,Oklahoma,1089,5,US
2020-08-04,Canadian,Oklahoma,1106,6,US
2020-08-05,Canadian,Oklahoma,1128,6,US
2020-08-06,Canadian,Oklahoma,1152,7,US
2020-08-07,Canadian,Oklahoma,1174,7,US
2020-08-08,Canadian,Oklahoma,1194,7,US
2020-08-09,Canadian,Oklahoma,1208,7,US
2020-08-10,Canadian,Oklahoma,1224,7,US
2020-08-11,Canadian,Oklahoma,1238,9,US
2020-08-12,Canadian,Oklahoma,1256,9,US
2020-08-13,Canadian,Oklahoma,1275,9,US
2020-08-14,Canadian,Oklahoma,1298,9,US
2020-08-15,Canadian,Oklahoma,1314,9,US
2020-08-16,Canadian,Oklahoma,1331,9,US
2020-08-17,Canadian,Oklahoma,1339,9,US
2020-08-18,Canadian,Oklahoma,1343,9,US
2020-08-19,Canadian,Oklahoma,1347,9,US
2020-08-20,Canadian,Oklahoma,1361,9,US
2020-08-21,Canadian,Oklahoma,1393,9,US
2020-08-22,Canadian,Oklahoma,1409,9,US
2020-08-23,Canadian,Oklahoma,1413,9,US
2020-08-24,Canadian,Oklahoma,1420,9,US
2020-08-25,Canadian,Oklahoma,1433,11,US
2020-08-26,Canadian,Oklahoma,1455,11,US
2020-08-27,Canadian,Oklahoma,1488,11,US
2020-08-28,Canadian,Oklahoma,1502,11,US
2020-08-29,Canadian,Oklahoma,1509,11,US
2020-08-30,Canadian,Oklahoma,1518,11,US
2020-08-31,Canadian,Oklahoma,1541,12,US
2020-09-01,Canadian,Oklahoma,1547,12,US
2020-09-02,Canadian,Oklahoma,1556,13,US
2020-09-03,Canadian,Oklahoma,1568,13,US
2020-09-04,Canadian,Oklahoma,1599,13,US
2020-09-05,Canadian,Oklahoma,1615,13,US
2020-09-06,Canadian,Oklahoma,1626,13,US
2020-09-07,Canadian,Oklahoma,1634,13,US
2020-09-08,Canadian,Oklahoma,1644,13,US
2020-09-09,Canadian,Oklahoma,1664,13,US
2020-09-10,Canadian,Oklahoma,1678,13,US
2020-09-11,Canadian,Oklahoma,1695,13,US
2020-09-12,Canadian,Oklahoma,1716,13,US
2020-09-13,Canadian,Oklahoma,1736,13,US
2020-09-14,Canadian,Oklahoma,1752,13,US
2020-09-15,Canadian,Oklahoma,1783,13,US
2020-09-16,Canadian,Oklahoma,1798,16,US
2020-09-17,Canadian,Oklahoma,1827,16,US
2020-09-18,Canadian,Oklahoma,1896,16,US
2020-09-19,Canadian,Oklahoma,1928,16,US
2020-09-20,Canadian,Oklahoma,1951,16,US
2020-09-21,Canadian,Oklahoma,1998,16,US
2020-09-22,Canadian,Oklahoma,2044,17,US
2020-09-23,Canadian,Oklahoma,2087,17,US
2020-09-24,Canadian,Oklahoma,2122,17,US
2020-09-25,Canadian,Oklahoma,2178,17,US
2020-09-26,Canadian,Oklahoma,2210,17,US
2020-09-27,Canadian,Oklahoma,2267,17,US
2020-09-28,Canadian,Oklahoma,2325,17,US
2020-09-29,Canadian,Oklahoma,2360,17,US
2020-09-30,Canadian,Oklahoma,2379,17,US
2020-10-01,Canadian,Oklahoma,2415,17,US
