Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Carroll,Illinois,0,0,US
2020-01-23,Carroll,Illinois,0,0,US
2020-01-24,Carroll,Illinois,0,0,US
2020-01-25,Carroll,Illinois,0,0,US
2020-01-26,Carroll,Illinois,0,0,US
2020-01-27,Carroll,Illinois,0,0,US
2020-01-28,Carroll,Illinois,0,0,US
2020-01-29,Carroll,Illinois,0,0,US
2020-01-30,Carroll,Illinois,0,0,US
2020-01-31,Carroll,Illinois,0,0,US
2020-02-01,Carroll,Illinois,0,0,US
2020-02-02,Carroll,Illinois,0,0,US
2020-02-03,Carroll,Illinois,0,0,US
2020-02-04,Carroll,Illinois,0,0,US
2020-02-05,Carroll,Illinois,0,0,US
2020-02-06,Carroll,Illinois,0,0,US
2020-02-07,Carroll,Illinois,0,0,US
2020-02-08,Carroll,Illinois,0,0,US
2020-02-09,Carroll,Illinois,0,0,US
2020-02-10,Carroll,Illinois,0,0,US
2020-02-11,Carroll,Illinois,0,0,US
2020-02-12,Carroll,Illinois,0,0,US
2020-02-13,Carroll,Illinois,0,0,US
2020-02-14,Carroll,Illinois,0,0,US
2020-02-15,Carroll,Illinois,0,0,US
2020-02-16,Carroll,Illinois,0,0,US
2020-02-17,Carroll,Illinois,0,0,US
2020-02-18,Carroll,Illinois,0,0,US
2020-02-19,Carroll,Illinois,0,0,US
2020-02-20,Carroll,Illinois,0,0,US
2020-02-21,Carroll,Illinois,0,0,US
2020-02-22,Carroll,Illinois,0,0,US
2020-02-23,Carroll,Illinois,0,0,US
2020-02-24,Carroll,Illinois,0,0,US
2020-02-25,Carroll,Illinois,0,0,US
2020-02-26,Carroll,Illinois,0,0,US
2020-02-27,Carroll,Illinois,0,0,US
2020-02-28,Carroll,Illinois,0,0,US
2020-02-29,Carroll,Illinois,0,0,US
2020-03-01,Carroll,Illinois,0,0,US
2020-03-02,Carroll,Illinois,0,0,US
2020-03-03,Carroll,Illinois,0,0,US
2020-03-04,Carroll,Illinois,0,0,US
2020-03-05,Carroll,Illinois,0,0,US
2020-03-06,Carroll,Illinois,0,0,US
2020-03-07,Carroll,Illinois,0,0,US
2020-03-08,Carroll,Illinois,0,0,US
2020-03-09,Carroll,Illinois,0,0,US
2020-03-10,Carroll,Illinois,0,0,US
2020-03-11,Carroll,Illinois,0,0,US
2020-03-12,Carroll,Illinois,0,0,US
2020-03-13,Carroll,Illinois,0,0,US
2020-03-14,Carroll,Illinois,0,0,US
2020-03-15,Carroll,Illinois,0,0,US
2020-03-16,Carroll,Illinois,0,0,US
2020-03-17,Carroll,Illinois,0,0,US
2020-03-18,Carroll,Illinois,0,0,US
2020-03-19,Carroll,Illinois,0,0,US
2020-03-20,Carroll,Illinois,0,0,US
2020-03-21,Carroll,Illinois,0,0,US
2020-03-22,Carroll,Illinois,0,0,US
2020-03-23,Carroll,Illinois,0,0,US
2020-03-24,Carroll,Illinois,0,0,US
2020-03-25,Carroll,Illinois,0,0,US
2020-03-26,Carroll,Illinois,0,0,US
2020-03-27,Carroll,Illinois,0,0,US
2020-03-28,Carroll,Illinois,1,0,US
2020-03-29,Carroll,Illinois,1,0,US
2020-03-30,Carroll,Illinois,1,0,US
2020-03-31,Carroll,Illinois,2,0,US
2020-04-01,Carroll,Illinois,3,1,US
2020-04-02,Carroll,Illinois,4,1,US
2020-04-03,Carroll,Illinois,4,1,US
2020-04-04,Carroll,Illinois,4,1,US
2020-04-05,Carroll,Illinois,4,1,US
2020-04-06,Carroll,Illinois,4,1,US
2020-04-07,Carroll,Illinois,5,1,US
2020-04-08,Carroll,Illinois,5,1,US
2020-04-09,Carroll,Illinois,5,1,US
2020-04-10,Carroll,Illinois,5,1,US
2020-04-11,Carroll,Illinois,5,1,US
2020-04-12,Carroll,Illinois,5,1,US
2020-04-13,Carroll,Illinois,5,1,US
2020-04-14,Carroll,Illinois,5,1,US
2020-04-15,Carroll,Illinois,5,1,US
2020-04-16,Carroll,Illinois,5,1,US
2020-04-17,Carroll,Illinois,5,1,US
2020-04-18,Carroll,Illinois,6,1,US
2020-04-19,Carroll,Illinois,6,1,US
2020-04-20,Carroll,Illinois,6,1,US
2020-04-21,Carroll,Illinois,7,2,US
2020-04-22,Carroll,Illinois,7,2,US
2020-04-23,Carroll,Illinois,7,2,US
2020-04-24,Carroll,Illinois,7,2,US
2020-04-25,Carroll,Illinois,9,2,US
2020-04-26,Carroll,Illinois,9,2,US
2020-04-27,Carroll,Illinois,9,2,US
2020-04-28,Carroll,Illinois,9,2,US
2020-04-29,Carroll,Illinois,9,2,US
2020-04-30,Carroll,Illinois,9,2,US
2020-05-01,Carroll,Illinois,9,2,US
2020-05-02,Carroll,Illinois,9,2,US
2020-05-03,Carroll,Illinois,10,2,US
2020-05-04,Carroll,Illinois,10,2,US
2020-05-05,Carroll,Illinois,10,2,US
2020-05-06,Carroll,Illinois,10,2,US
2020-05-07,Carroll,Illinois,10,2,US
2020-05-08,Carroll,Illinois,10,2,US
2020-05-09,Carroll,Illinois,10,2,US
2020-05-10,Carroll,Illinois,11,2,US
2020-05-11,Carroll,Illinois,11,2,US
2020-05-12,Carroll,Illinois,12,2,US
2020-05-13,Carroll,Illinois,12,2,US
2020-05-14,Carroll,Illinois,12,2,US
2020-05-15,Carroll,Illinois,12,2,US
2020-05-16,Carroll,Illinois,13,2,US
2020-05-17,Carroll,Illinois,14,2,US
2020-05-18,Carroll,Illinois,14,2,US
2020-05-19,Carroll,Illinois,14,2,US
2020-05-20,Carroll,Illinois,13,2,US
2020-05-21,Carroll,Illinois,13,2,US
2020-05-22,Carroll,Illinois,13,2,US
2020-05-23,Carroll,Illinois,13,2,US
2020-05-24,Carroll,Illinois,13,2,US
2020-05-25,Carroll,Illinois,13,2,US
2020-05-26,Carroll,Illinois,13,2,US
2020-05-27,Carroll,Illinois,14,2,US
2020-05-28,Carroll,Illinois,14,2,US
2020-05-29,Carroll,Illinois,14,2,US
2020-05-30,Carroll,Illinois,16,2,US
2020-05-31,Carroll,Illinois,15,2,US
2020-06-01,Carroll,Illinois,15,2,US
2020-06-02,Carroll,Illinois,15,2,US
2020-06-03,Carroll,Illinois,15,2,US
2020-06-04,Carroll,Illinois,15,2,US
2020-06-05,Carroll,Illinois,17,2,US
2020-06-06,Carroll,Illinois,17,2,US
2020-06-07,Carroll,Illinois,17,2,US
2020-06-08,Carroll,Illinois,18,2,US
2020-06-09,Carroll,Illinois,19,2,US
2020-06-10,Carroll,Illinois,19,2,US
2020-06-11,Carroll,Illinois,18,2,US
2020-06-12,Carroll,Illinois,18,2,US
2020-06-13,Carroll,Illinois,19,2,US
2020-06-14,Carroll,Illinois,19,2,US
2020-06-15,Carroll,Illinois,20,2,US
2020-06-16,Carroll,Illinois,20,2,US
2020-06-17,Carroll,Illinois,20,2,US
2020-06-18,Carroll,Illinois,18,2,US
2020-06-19,Carroll,Illinois,18,2,US
2020-06-20,Carroll,Illinois,18,2,US
2020-06-21,Carroll,Illinois,19,2,US
2020-06-22,Carroll,Illinois,19,2,US
2020-06-23,Carroll,Illinois,19,2,US
2020-06-24,Carroll,Illinois,21,2,US
2020-06-25,Carroll,Illinois,21,2,US
2020-06-26,Carroll,Illinois,21,2,US
2020-06-27,Carroll,Illinois,21,2,US
2020-06-28,Carroll,Illinois,21,2,US
2020-06-29,Carroll,Illinois,21,2,US
2020-06-30,Carroll,Illinois,21,2,US
2020-07-01,Carroll,Illinois,21,2,US
2020-07-02,Carroll,Illinois,21,2,US
2020-07-03,Carroll,Illinois,22,2,US
2020-07-04,Carroll,Illinois,22,2,US
2020-07-05,Carroll,Illinois,21,2,US
2020-07-06,Carroll,Illinois,21,2,US
2020-07-07,Carroll,Illinois,21,2,US
2020-07-08,Carroll,Illinois,21,2,US
2020-07-09,Carroll,Illinois,21,2,US
2020-07-10,Carroll,Illinois,21,2,US
2020-07-11,Carroll,Illinois,20,2,US
2020-07-12,Carroll,Illinois,21,2,US
2020-07-13,Carroll,Illinois,21,2,US
2020-07-14,Carroll,Illinois,21,2,US
2020-07-15,Carroll,Illinois,21,2,US
2020-07-16,Carroll,Illinois,21,2,US
2020-07-17,Carroll,Illinois,22,2,US
2020-07-18,Carroll,Illinois,24,2,US
2020-07-19,Carroll,Illinois,23,2,US
2020-07-20,Carroll,Illinois,23,2,US
2020-07-21,Carroll,Illinois,24,2,US
2020-07-22,Carroll,Illinois,24,2,US
2020-07-23,Carroll,Illinois,27,2,US
2020-07-24,Carroll,Illinois,29,2,US
2020-07-25,Carroll,Illinois,29,2,US
2020-07-26,Carroll,Illinois,33,2,US
2020-07-27,Carroll,Illinois,35,2,US
2020-07-28,Carroll,Illinois,36,2,US
2020-07-29,Carroll,Illinois,39,3,US
2020-07-30,Carroll,Illinois,43,3,US
2020-07-31,Carroll,Illinois,43,3,US
2020-08-01,Carroll,Illinois,44,3,US
2020-08-02,Carroll,Illinois,45,3,US
2020-08-03,Carroll,Illinois,46,3,US
2020-08-04,Carroll,Illinois,46,3,US
2020-08-05,Carroll,Illinois,46,4,US
2020-08-06,Carroll,Illinois,48,4,US
2020-08-07,Carroll,Illinois,50,4,US
2020-08-08,Carroll,Illinois,54,4,US
2020-08-09,Carroll,Illinois,56,4,US
2020-08-10,Carroll,Illinois,59,4,US
2020-08-11,Carroll,Illinois,61,4,US
2020-08-12,Carroll,Illinois,64,4,US
2020-08-13,Carroll,Illinois,68,4,US
2020-08-14,Carroll,Illinois,72,4,US
2020-08-15,Carroll,Illinois,79,4,US
2020-08-16,Carroll,Illinois,84,4,US
2020-08-17,Carroll,Illinois,89,4,US
2020-08-18,Carroll,Illinois,92,4,US
2020-08-19,Carroll,Illinois,94,4,US
2020-08-20,Carroll,Illinois,97,4,US
2020-08-21,Carroll,Illinois,104,4,US
2020-08-22,Carroll,Illinois,111,4,US
2020-08-23,Carroll,Illinois,114,4,US
2020-08-24,Carroll,Illinois,115,4,US
2020-08-25,Carroll,Illinois,113,4,US
2020-08-26,Carroll,Illinois,115,4,US
2020-08-27,Carroll,Illinois,125,4,US
2020-08-28,Carroll,Illinois,131,4,US
2020-08-29,Carroll,Illinois,132,4,US
2020-08-30,Carroll,Illinois,133,4,US
2020-08-31,Carroll,Illinois,134,4,US
2020-09-01,Carroll,Illinois,135,4,US
2020-09-02,Carroll,Illinois,138,4,US
2020-09-03,Carroll,Illinois,138,4,US
2020-09-04,Carroll,Illinois,146,4,US
2020-09-05,Carroll,Illinois,148,4,US
2020-09-06,Carroll,Illinois,148,4,US
2020-09-07,Carroll,Illinois,149,4,US
2020-09-08,Carroll,Illinois,150,4,US
2020-09-09,Carroll,Illinois,151,4,US
2020-09-10,Carroll,Illinois,156,4,US
2020-09-11,Carroll,Illinois,157,4,US
2020-09-12,Carroll,Illinois,158,4,US
2020-09-13,Carroll,Illinois,159,4,US
2020-09-14,Carroll,Illinois,194,4,US
2020-09-15,Carroll,Illinois,195,4,US
2020-09-16,Carroll,Illinois,198,4,US
2020-09-17,Carroll,Illinois,200,4,US
2020-09-18,Carroll,Illinois,202,4,US
2020-09-19,Carroll,Illinois,204,4,US
2020-09-20,Carroll,Illinois,204,4,US
2020-09-21,Carroll,Illinois,204,4,US
2020-09-22,Carroll,Illinois,212,4,US
2020-09-23,Carroll,Illinois,217,4,US
2020-09-24,Carroll,Illinois,218,4,US
2020-09-25,Carroll,Illinois,228,4,US
2020-09-26,Carroll,Illinois,227,4,US
2020-09-27,Carroll,Illinois,230,5,US
2020-09-28,Carroll,Illinois,235,5,US
2020-09-29,Carroll,Illinois,233,5,US
2020-09-30,Carroll,Illinois,238,6,US
2020-10-01,Carroll,Illinois,242,6,US
2020-10-02,Carroll,Illinois,243,6,US
2020-10-03,Carroll,Illinois,242,6,US
2020-10-04,Carroll,Illinois,243,6,US
2020-10-05,Carroll,Illinois,245,6,US
2020-10-06,Carroll,Illinois,251,6,US
2020-10-07,Carroll,Illinois,252,6,US
2020-10-08,Carroll,Illinois,259,6,US
2020-10-09,Carroll,Illinois,261,6,US
2020-10-10,Carroll,Illinois,266,6,US
2020-10-11,Carroll,Illinois,274,6,US
2020-10-12,Carroll,Illinois,277,6,US
2020-10-13,Carroll,Illinois,287,6,US
2020-10-14,Carroll,Illinois,293,6,US
2020-10-15,Carroll,Illinois,328,7,US
2020-10-16,Carroll,Illinois,336,7,US
2020-10-17,Carroll,Illinois,350,7,US
2020-10-18,Carroll,Illinois,356,7,US
2020-10-19,Carroll,Illinois,365,8,US
2020-10-20,Carroll,Illinois,367,8,US
2020-10-21,Carroll,Illinois,372,8,US
2020-10-22,Carroll,Illinois,383,9,US
2020-10-23,Carroll,Illinois,384,9,US
2020-10-24,Carroll,Illinois,401,11,US
2020-10-25,Carroll,Illinois,410,11,US
2020-10-26,Carroll,Illinois,419,11,US
2020-10-27,Carroll,Illinois,430,12,US
2020-10-28,Carroll,Illinois,437,12,US
2020-10-29,Carroll,Illinois,457,12,US
2020-10-30,Carroll,Illinois,490,13,US
2020-10-31,Carroll,Illinois,503,14,US
2020-11-01,Carroll,Illinois,506,14,US
2020-11-02,Carroll,Illinois,521,14,US
2020-11-03,Carroll,Illinois,559,14,US
2020-11-04,Carroll,Illinois,571,15,US
2020-11-05,Carroll,Illinois,620,16,US
2020-11-06,Carroll,Illinois,641,17,US
2020-11-07,Carroll,Illinois,670,17,US
2020-11-08,Carroll,Illinois,679,17,US
2020-11-09,Carroll,Illinois,723,18,US
2020-11-10,Carroll,Illinois,755,18,US
2020-11-11,Carroll,Illinois,787,21,US
2020-11-12,Carroll,Illinois,806,21,US
2020-11-13,Carroll,Illinois,838,22,US
2020-11-14,Carroll,Illinois,871,22,US
2020-11-15,Carroll,Illinois,881,23,US
2020-11-16,Carroll,Illinois,898,23,US
2020-11-17,Carroll,Illinois,911,23,US
2020-11-18,Carroll,Illinois,930,23,US
2020-11-19,Carroll,Illinois,941,23,US
2020-11-20,Carroll,Illinois,959,23,US
2020-11-21,Carroll,Illinois,966,24,US
2020-11-22,Carroll,Illinois,978,24,US
2020-11-23,Carroll,Illinois,984,24,US
2020-11-24,Carroll,Illinois,1001,24,US
2020-11-25,Carroll,Illinois,1013,24,US
2020-11-26,Carroll,Illinois,1028,24,US
2020-11-27,Carroll,Illinois,1047,24,US
2020-11-28,Carroll,Illinois,1063,24,US
2020-11-29,Carroll,Illinois,1070,24,US
2020-11-30,Carroll,Illinois,1073,24,US
2020-12-01,Carroll,Illinois,1084,25,US
2020-12-02,Carroll,Illinois,1090,25,US
2020-12-03,Carroll,Illinois,1109,27,US
2020-12-04,Carroll,Illinois,1125,27,US
2020-12-05,Carroll,Illinois,1141,27,US
2020-12-06,Carroll,Illinois,1156,27,US
2020-12-07,Carroll,Illinois,1162,27,US
2020-12-08,Carroll,Illinois,1184,27,US
2020-12-09,Carroll,Illinois,1188,27,US
2020-12-10,Carroll,Illinois,1200,27,US
2020-12-11,Carroll,Illinois,1208,28,US
2020-12-12,Carroll,Illinois,1216,28,US
2020-12-13,Carroll,Illinois,1218,28,US
2020-12-14,Carroll,Illinois,1219,28,US
2020-12-15,Carroll,Illinois,1230,28,US
2020-12-16,Carroll,Illinois,1232,28,US
2020-12-17,Carroll,Illinois,1245,29,US
2020-12-18,Carroll,Illinois,1253,29,US
2020-12-19,Carroll,Illinois,1263,29,US
2020-12-20,Carroll,Illinois,1268,29,US
2020-12-21,Carroll,Illinois,1269,29,US
2020-12-22,Carroll,Illinois,1272,29,US
2020-12-23,Carroll,Illinois,1277,30,US
2020-12-24,Carroll,Illinois,1284,30,US
2020-12-25,Carroll,Illinois,1284,30,US
2020-12-26,Carroll,Illinois,1300,30,US
2020-12-27,Carroll,Illinois,1306,30,US
2020-12-28,Carroll,Illinois,1314,30,US
2020-12-29,Carroll,Illinois,1320,31,US
2020-12-30,Carroll,Illinois,1326,31,US
2020-12-31,Carroll,Illinois,1333,31,US
