Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Carroll,New Hampshire,0,0,US
2020-01-23,Carroll,New Hampshire,0,0,US
2020-01-24,Carroll,New Hampshire,0,0,US
2020-01-25,Carroll,New Hampshire,0,0,US
2020-01-26,Carroll,New Hampshire,0,0,US
2020-01-27,Carroll,New Hampshire,0,0,US
2020-01-28,Carroll,New Hampshire,0,0,US
2020-01-29,Carroll,New Hampshire,0,0,US
2020-01-30,Carroll,New Hampshire,0,0,US
2020-01-31,Carroll,New Hampshire,0,0,US
2020-02-01,Carroll,New Hampshire,0,0,US
2020-02-02,Carroll,New Hampshire,0,0,US
2020-02-03,Carroll,New Hampshire,0,0,US
2020-02-04,Carroll,New Hampshire,0,0,US
2020-02-05,Carroll,New Hampshire,0,0,US
2020-02-06,Carroll,New Hampshire,0,0,US
2020-02-07,Carroll,New Hampshire,0,0,US
2020-02-08,Carroll,New Hampshire,0,0,US
2020-02-09,Carroll,New Hampshire,0,0,US
2020-02-10,Carroll,New Hampshire,0,0,US
2020-02-11,Carroll,New Hampshire,0,0,US
2020-02-12,Carroll,New Hampshire,0,0,US
2020-02-13,Carroll,New Hampshire,0,0,US
2020-02-14,Carroll,New Hampshire,0,0,US
2020-02-15,Carroll,New Hampshire,0,0,US
2020-02-16,Carroll,New Hampshire,0,0,US
2020-02-17,Carroll,New Hampshire,0,0,US
2020-02-18,Carroll,New Hampshire,0,0,US
2020-02-19,Carroll,New Hampshire,0,0,US
2020-02-20,Carroll,New Hampshire,0,0,US
2020-02-21,Carroll,New Hampshire,0,0,US
2020-02-22,Carroll,New Hampshire,0,0,US
2020-02-23,Carroll,New Hampshire,0,0,US
2020-02-24,Carroll,New Hampshire,0,0,US
2020-02-25,Carroll,New Hampshire,0,0,US
2020-02-26,Carroll,New Hampshire,0,0,US
2020-02-27,Carroll,New Hampshire,0,0,US
2020-02-28,Carroll,New Hampshire,0,0,US
2020-02-29,Carroll,New Hampshire,0,0,US
2020-03-01,Carroll,New Hampshire,0,0,US
2020-03-02,Carroll,New Hampshire,0,0,US
2020-03-03,Carroll,New Hampshire,0,0,US
2020-03-04,Carroll,New Hampshire,0,0,US
2020-03-05,Carroll,New Hampshire,0,0,US
2020-03-06,Carroll,New Hampshire,0,0,US
2020-03-07,Carroll,New Hampshire,0,0,US
2020-03-08,Carroll,New Hampshire,0,0,US
2020-03-09,Carroll,New Hampshire,0,0,US
2020-03-10,Carroll,New Hampshire,0,0,US
2020-03-11,Carroll,New Hampshire,0,0,US
2020-03-12,Carroll,New Hampshire,0,0,US
2020-03-13,Carroll,New Hampshire,0,0,US
2020-03-14,Carroll,New Hampshire,0,0,US
2020-03-15,Carroll,New Hampshire,0,0,US
2020-03-16,Carroll,New Hampshire,1,0,US
2020-03-17,Carroll,New Hampshire,1,0,US
2020-03-18,Carroll,New Hampshire,4,0,US
2020-03-19,Carroll,New Hampshire,4,0,US
2020-03-20,Carroll,New Hampshire,5,0,US
2020-03-21,Carroll,New Hampshire,5,0,US
2020-03-22,Carroll,New Hampshire,6,0,US
2020-03-23,Carroll,New Hampshire,6,0,US
2020-03-24,Carroll,New Hampshire,7,0,US
2020-03-25,Carroll,New Hampshire,7,0,US
2020-03-26,Carroll,New Hampshire,7,0,US
2020-03-27,Carroll,New Hampshire,7,0,US
2020-03-28,Carroll,New Hampshire,8,0,US
2020-03-29,Carroll,New Hampshire,8,0,US
2020-03-30,Carroll,New Hampshire,10,0,US
2020-03-31,Carroll,New Hampshire,12,0,US
2020-04-01,Carroll,New Hampshire,12,0,US
2020-04-02,Carroll,New Hampshire,14,0,US
2020-04-03,Carroll,New Hampshire,14,0,US
2020-04-04,Carroll,New Hampshire,17,0,US
2020-04-05,Carroll,New Hampshire,17,0,US
2020-04-06,Carroll,New Hampshire,19,0,US
2020-04-07,Carroll,New Hampshire,19,0,US
2020-04-08,Carroll,New Hampshire,19,0,US
2020-04-09,Carroll,New Hampshire,23,0,US
2020-04-10,Carroll,New Hampshire,23,0,US
2020-04-11,Carroll,New Hampshire,28,0,US
2020-04-12,Carroll,New Hampshire,28,0,US
2020-04-13,Carroll,New Hampshire,28,0,US
2020-04-14,Carroll,New Hampshire,29,0,US
2020-04-15,Carroll,New Hampshire,29,0,US
2020-04-16,Carroll,New Hampshire,29,0,US
2020-04-17,Carroll,New Hampshire,32,0,US
2020-04-18,Carroll,New Hampshire,30,0,US
2020-04-19,Carroll,New Hampshire,30,0,US
2020-04-20,Carroll,New Hampshire,30,0,US
2020-04-21,Carroll,New Hampshire,30,0,US
2020-04-22,Carroll,New Hampshire,30,0,US
2020-04-23,Carroll,New Hampshire,30,0,US
2020-04-24,Carroll,New Hampshire,30,0,US
2020-04-25,Carroll,New Hampshire,30,0,US
2020-04-26,Carroll,New Hampshire,30,0,US
2020-04-27,Carroll,New Hampshire,31,0,US
2020-04-28,Carroll,New Hampshire,31,0,US
2020-04-29,Carroll,New Hampshire,31,0,US
2020-04-30,Carroll,New Hampshire,31,0,US
2020-05-01,Carroll,New Hampshire,32,0,US
2020-05-02,Carroll,New Hampshire,32,0,US
2020-05-03,Carroll,New Hampshire,32,0,US
2020-05-04,Carroll,New Hampshire,33,0,US
2020-05-05,Carroll,New Hampshire,34,0,US
2020-05-06,Carroll,New Hampshire,34,0,US
2020-05-07,Carroll,New Hampshire,35,0,US
2020-05-08,Carroll,New Hampshire,36,0,US
2020-05-09,Carroll,New Hampshire,36,0,US
2020-05-10,Carroll,New Hampshire,37,0,US
2020-05-11,Carroll,New Hampshire,37,0,US
2020-05-12,Carroll,New Hampshire,37,0,US
2020-05-13,Carroll,New Hampshire,37,0,US
2020-05-14,Carroll,New Hampshire,39,0,US
2020-05-15,Carroll,New Hampshire,39,0,US
2020-05-16,Carroll,New Hampshire,41,0,US
2020-05-17,Carroll,New Hampshire,44,0,US
2020-05-18,Carroll,New Hampshire,44,0,US
2020-05-19,Carroll,New Hampshire,44,0,US
2020-05-20,Carroll,New Hampshire,44,0,US
2020-05-21,Carroll,New Hampshire,46,0,US
2020-05-22,Carroll,New Hampshire,46,0,US
2020-05-23,Carroll,New Hampshire,46,0,US
2020-05-24,Carroll,New Hampshire,46,0,US
2020-05-25,Carroll,New Hampshire,46,0,US
2020-05-26,Carroll,New Hampshire,46,0,US
2020-05-27,Carroll,New Hampshire,46,0,US
2020-05-28,Carroll,New Hampshire,46,0,US
2020-05-29,Carroll,New Hampshire,46,0,US
2020-05-30,Carroll,New Hampshire,46,0,US
2020-05-31,Carroll,New Hampshire,47,0,US
2020-06-01,Carroll,New Hampshire,48,0,US
2020-06-02,Carroll,New Hampshire,48,0,US
2020-06-03,Carroll,New Hampshire,48,0,US
2020-06-04,Carroll,New Hampshire,48,0,US
2020-06-05,Carroll,New Hampshire,48,0,US
2020-06-06,Carroll,New Hampshire,48,0,US
2020-06-07,Carroll,New Hampshire,48,0,US
2020-06-08,Carroll,New Hampshire,48,0,US
2020-06-09,Carroll,New Hampshire,48,0,US
2020-06-10,Carroll,New Hampshire,49,0,US
2020-06-11,Carroll,New Hampshire,49,0,US
2020-06-12,Carroll,New Hampshire,49,0,US
2020-06-13,Carroll,New Hampshire,49,0,US
2020-06-14,Carroll,New Hampshire,49,0,US
2020-06-15,Carroll,New Hampshire,49,0,US
2020-06-16,Carroll,New Hampshire,49,0,US
2020-06-17,Carroll,New Hampshire,49,0,US
2020-06-18,Carroll,New Hampshire,49,0,US
2020-06-19,Carroll,New Hampshire,51,0,US
2020-06-20,Carroll,New Hampshire,51,0,US
2020-06-21,Carroll,New Hampshire,52,0,US
2020-06-22,Carroll,New Hampshire,52,0,US
2020-06-23,Carroll,New Hampshire,52,0,US
