Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Carroll,Virginia,0,0,US
2020-01-23,Carroll,Virginia,0,0,US
2020-01-24,Carroll,Virginia,0,0,US
2020-01-25,Carroll,Virginia,0,0,US
2020-01-26,Carroll,Virginia,0,0,US
2020-01-27,Carroll,Virginia,0,0,US
2020-01-28,Carroll,Virginia,0,0,US
2020-01-29,Carroll,Virginia,0,0,US
2020-01-30,Carroll,Virginia,0,0,US
2020-01-31,Carroll,Virginia,0,0,US
2020-02-01,Carroll,Virginia,0,0,US
2020-02-02,Carroll,Virginia,0,0,US
2020-02-03,Carroll,Virginia,0,0,US
2020-02-04,Carroll,Virginia,0,0,US
2020-02-05,Carroll,Virginia,0,0,US
2020-02-06,Carroll,Virginia,0,0,US
2020-02-07,Carroll,Virginia,0,0,US
2020-02-08,Carroll,Virginia,0,0,US
2020-02-09,Carroll,Virginia,0,0,US
2020-02-10,Carroll,Virginia,0,0,US
2020-02-11,Carroll,Virginia,0,0,US
2020-02-12,Carroll,Virginia,0,0,US
2020-02-13,Carroll,Virginia,0,0,US
2020-02-14,Carroll,Virginia,0,0,US
2020-02-15,Carroll,Virginia,0,0,US
2020-02-16,Carroll,Virginia,0,0,US
2020-02-17,Carroll,Virginia,0,0,US
2020-02-18,Carroll,Virginia,0,0,US
2020-02-19,Carroll,Virginia,0,0,US
2020-02-20,Carroll,Virginia,0,0,US
2020-02-21,Carroll,Virginia,0,0,US
2020-02-22,Carroll,Virginia,0,0,US
2020-02-23,Carroll,Virginia,0,0,US
2020-02-24,Carroll,Virginia,0,0,US
2020-02-25,Carroll,Virginia,0,0,US
2020-02-26,Carroll,Virginia,0,0,US
2020-02-27,Carroll,Virginia,0,0,US
2020-02-28,Carroll,Virginia,0,0,US
2020-02-29,Carroll,Virginia,0,0,US
2020-03-01,Carroll,Virginia,0,0,US
2020-03-02,Carroll,Virginia,0,0,US
2020-03-03,Carroll,Virginia,0,0,US
2020-03-04,Carroll,Virginia,0,0,US
2020-03-05,Carroll,Virginia,0,0,US
2020-03-06,Carroll,Virginia,0,0,US
2020-03-07,Carroll,Virginia,0,0,US
2020-03-08,Carroll,Virginia,0,0,US
2020-03-09,Carroll,Virginia,0,0,US
2020-03-10,Carroll,Virginia,0,0,US
2020-03-11,Carroll,Virginia,0,0,US
2020-03-12,Carroll,Virginia,0,0,US
2020-03-13,Carroll,Virginia,0,0,US
2020-03-14,Carroll,Virginia,0,0,US
