Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Cass,Iowa,0,0,US
2020-01-23,Cass,Iowa,0,0,US
2020-01-24,Cass,Iowa,0,0,US
2020-01-25,Cass,Iowa,0,0,US
2020-01-26,Cass,Iowa,0,0,US
2020-01-27,Cass,Iowa,0,0,US
2020-01-28,Cass,Iowa,0,0,US
2020-01-29,Cass,Iowa,0,0,US
2020-01-30,Cass,Iowa,0,0,US
2020-01-31,Cass,Iowa,0,0,US
2020-02-01,Cass,Iowa,0,0,US
2020-02-02,Cass,Iowa,0,0,US
2020-02-03,Cass,Iowa,0,0,US
2020-02-04,Cass,Iowa,0,0,US
2020-02-05,Cass,Iowa,0,0,US
2020-02-06,Cass,Iowa,0,0,US
2020-02-07,Cass,Iowa,0,0,US
2020-02-08,Cass,Iowa,0,0,US
2020-02-09,Cass,Iowa,0,0,US
2020-02-10,Cass,Iowa,0,0,US
2020-02-11,Cass,Iowa,0,0,US
2020-02-12,Cass,Iowa,0,0,US
2020-02-13,Cass,Iowa,0,0,US
2020-02-14,Cass,Iowa,0,0,US
2020-02-15,Cass,Iowa,0,0,US
2020-02-16,Cass,Iowa,0,0,US
2020-02-17,Cass,Iowa,0,0,US
2020-02-18,Cass,Iowa,0,0,US
2020-02-19,Cass,Iowa,0,0,US
2020-02-20,Cass,Iowa,0,0,US
2020-02-21,Cass,Iowa,0,0,US
2020-02-22,Cass,Iowa,0,0,US
2020-02-23,Cass,Iowa,0,0,US
2020-02-24,Cass,Iowa,0,0,US
2020-02-25,Cass,Iowa,0,0,US
2020-02-26,Cass,Iowa,0,0,US
2020-02-27,Cass,Iowa,0,0,US
2020-02-28,Cass,Iowa,0,0,US
2020-02-29,Cass,Iowa,0,0,US
2020-03-01,Cass,Iowa,0,0,US
2020-03-02,Cass,Iowa,0,0,US
2020-03-03,Cass,Iowa,0,0,US
2020-03-04,Cass,Iowa,0,0,US
2020-03-05,Cass,Iowa,0,0,US
2020-03-06,Cass,Iowa,0,0,US
2020-03-07,Cass,Iowa,0,0,US
2020-03-08,Cass,Iowa,0,0,US
2020-03-09,Cass,Iowa,0,0,US
2020-03-10,Cass,Iowa,0,0,US
2020-03-11,Cass,Iowa,0,0,US
2020-03-12,Cass,Iowa,0,0,US
2020-03-13,Cass,Iowa,0,0,US
2020-03-14,Cass,Iowa,0,0,US
2020-03-15,Cass,Iowa,0,0,US
