Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Catano,Puerto Rico,0,0,US
2020-01-23,Catano,Puerto Rico,0,0,US
2020-01-24,Catano,Puerto Rico,0,0,US
2020-01-25,Catano,Puerto Rico,0,0,US
2020-01-26,Catano,Puerto Rico,0,0,US
2020-01-27,Catano,Puerto Rico,0,0,US
2020-01-28,Catano,Puerto Rico,0,0,US
2020-01-29,Catano,Puerto Rico,0,0,US
2020-01-30,Catano,Puerto Rico,0,0,US
2020-01-31,Catano,Puerto Rico,0,0,US
2020-02-01,Catano,Puerto Rico,0,0,US
2020-02-02,Catano,Puerto Rico,0,0,US
2020-02-03,Catano,Puerto Rico,0,0,US
2020-02-04,Catano,Puerto Rico,0,0,US
2020-02-05,Catano,Puerto Rico,0,0,US
2020-02-06,Catano,Puerto Rico,0,0,US
2020-02-07,Catano,Puerto Rico,0,0,US
2020-02-08,Catano,Puerto Rico,0,0,US
2020-02-09,Catano,Puerto Rico,0,0,US
2020-02-10,Catano,Puerto Rico,0,0,US
2020-02-11,Catano,Puerto Rico,0,0,US
2020-02-12,Catano,Puerto Rico,0,0,US
2020-02-13,Catano,Puerto Rico,0,0,US
2020-02-14,Catano,Puerto Rico,0,0,US
2020-02-15,Catano,Puerto Rico,0,0,US
2020-02-16,Catano,Puerto Rico,0,0,US
2020-02-17,Catano,Puerto Rico,0,0,US
2020-02-18,Catano,Puerto Rico,0,0,US
2020-02-19,Catano,Puerto Rico,0,0,US
2020-02-20,Catano,Puerto Rico,0,0,US
2020-02-21,Catano,Puerto Rico,0,0,US
2020-02-22,Catano,Puerto Rico,0,0,US
2020-02-23,Catano,Puerto Rico,0,0,US
2020-02-24,Catano,Puerto Rico,0,0,US
2020-02-25,Catano,Puerto Rico,0,0,US
2020-02-26,Catano,Puerto Rico,0,0,US
2020-02-27,Catano,Puerto Rico,0,0,US
2020-02-28,Catano,Puerto Rico,0,0,US
2020-02-29,Catano,Puerto Rico,0,0,US
2020-03-01,Catano,Puerto Rico,0,0,US
2020-03-02,Catano,Puerto Rico,0,0,US
2020-03-03,Catano,Puerto Rico,0,0,US
2020-03-04,Catano,Puerto Rico,0,0,US
2020-03-05,Catano,Puerto Rico,0,0,US
2020-03-06,Catano,Puerto Rico,0,0,US
2020-03-07,Catano,Puerto Rico,0,0,US
2020-03-08,Catano,Puerto Rico,0,0,US
2020-03-09,Catano,Puerto Rico,0,0,US
2020-03-10,Catano,Puerto Rico,0,0,US
2020-03-11,Catano,Puerto Rico,0,0,US
2020-03-12,Catano,Puerto Rico,0,0,US
2020-03-13,Catano,Puerto Rico,0,0,US
2020-03-14,Catano,Puerto Rico,0,0,US
2020-03-15,Catano,Puerto Rico,0,0,US
2020-03-16,Catano,Puerto Rico,0,0,US
2020-03-17,Catano,Puerto Rico,0,0,US
2020-03-18,Catano,Puerto Rico,0,0,US
2020-03-19,Catano,Puerto Rico,0,0,US
2020-03-20,Catano,Puerto Rico,0,0,US
2020-03-21,Catano,Puerto Rico,0,0,US
2020-03-22,Catano,Puerto Rico,0,0,US
2020-03-23,Catano,Puerto Rico,0,0,US
2020-03-24,Catano,Puerto Rico,0,0,US
2020-03-25,Catano,Puerto Rico,0,0,US
2020-03-26,Catano,Puerto Rico,0,0,US
2020-03-27,Catano,Puerto Rico,0,0,US
2020-03-28,Catano,Puerto Rico,0,0,US
2020-03-29,Catano,Puerto Rico,0,0,US
2020-03-30,Catano,Puerto Rico,0,0,US
2020-03-31,Catano,Puerto Rico,0,0,US
2020-04-01,Catano,Puerto Rico,0,0,US
2020-04-02,Catano,Puerto Rico,0,0,US
2020-04-03,Catano,Puerto Rico,0,0,US
2020-04-04,Catano,Puerto Rico,0,0,US
2020-04-05,Catano,Puerto Rico,0,0,US
2020-04-06,Catano,Puerto Rico,0,0,US
2020-04-07,Catano,Puerto Rico,0,0,US
2020-04-08,Catano,Puerto Rico,0,0,US
2020-04-09,Catano,Puerto Rico,0,0,US
