Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Catawba,North Carolina,0,0,US
2020-01-23,Catawba,North Carolina,0,0,US
2020-01-24,Catawba,North Carolina,0,0,US
2020-01-25,Catawba,North Carolina,0,0,US
2020-01-26,Catawba,North Carolina,0,0,US
2020-01-27,Catawba,North Carolina,0,0,US
2020-01-28,Catawba,North Carolina,0,0,US
2020-01-29,Catawba,North Carolina,0,0,US
2020-01-30,Catawba,North Carolina,0,0,US
2020-01-31,Catawba,North Carolina,0,0,US
2020-02-01,Catawba,North Carolina,0,0,US
2020-02-02,Catawba,North Carolina,0,0,US
2020-02-03,Catawba,North Carolina,0,0,US
2020-02-04,Catawba,North Carolina,0,0,US
2020-02-05,Catawba,North Carolina,0,0,US
2020-02-06,Catawba,North Carolina,0,0,US
2020-02-07,Catawba,North Carolina,0,0,US
2020-02-08,Catawba,North Carolina,0,0,US
2020-02-09,Catawba,North Carolina,0,0,US
2020-02-10,Catawba,North Carolina,0,0,US
2020-02-11,Catawba,North Carolina,0,0,US
2020-02-12,Catawba,North Carolina,0,0,US
2020-02-13,Catawba,North Carolina,0,0,US
2020-02-14,Catawba,North Carolina,0,0,US
2020-02-15,Catawba,North Carolina,0,0,US
2020-02-16,Catawba,North Carolina,0,0,US
2020-02-17,Catawba,North Carolina,0,0,US
2020-02-18,Catawba,North Carolina,0,0,US
2020-02-19,Catawba,North Carolina,0,0,US
2020-02-20,Catawba,North Carolina,0,0,US
2020-02-21,Catawba,North Carolina,0,0,US
2020-02-22,Catawba,North Carolina,0,0,US
2020-02-23,Catawba,North Carolina,0,0,US
2020-02-24,Catawba,North Carolina,0,0,US
2020-02-25,Catawba,North Carolina,0,0,US
2020-02-26,Catawba,North Carolina,0,0,US
2020-02-27,Catawba,North Carolina,0,0,US
2020-02-28,Catawba,North Carolina,0,0,US
2020-02-29,Catawba,North Carolina,0,0,US
2020-03-01,Catawba,North Carolina,0,0,US
2020-03-02,Catawba,North Carolina,0,0,US
2020-03-03,Catawba,North Carolina,0,0,US
2020-03-04,Catawba,North Carolina,0,0,US
2020-03-05,Catawba,North Carolina,0,0,US
2020-03-06,Catawba,North Carolina,0,0,US
2020-03-07,Catawba,North Carolina,0,0,US
2020-03-08,Catawba,North Carolina,0,0,US
2020-03-09,Catawba,North Carolina,0,0,US
2020-03-10,Catawba,North Carolina,0,0,US
2020-03-11,Catawba,North Carolina,0,0,US
2020-03-12,Catawba,North Carolina,0,0,US
2020-03-13,Catawba,North Carolina,0,0,US
2020-03-14,Catawba,North Carolina,0,0,US
2020-03-15,Catawba,North Carolina,0,0,US
2020-03-16,Catawba,North Carolina,0,0,US
2020-03-17,Catawba,North Carolina,0,0,US
2020-03-18,Catawba,North Carolina,0,0,US
2020-03-19,Catawba,North Carolina,0,0,US
2020-03-20,Catawba,North Carolina,1,0,US
2020-03-21,Catawba,North Carolina,1,0,US
2020-03-22,Catawba,North Carolina,1,0,US
2020-03-23,Catawba,North Carolina,4,0,US
2020-03-24,Catawba,North Carolina,4,0,US
2020-03-25,Catawba,North Carolina,5,0,US
2020-03-26,Catawba,North Carolina,7,0,US
2020-03-27,Catawba,North Carolina,11,0,US
2020-03-28,Catawba,North Carolina,14,0,US
2020-03-29,Catawba,North Carolina,15,0,US
2020-03-30,Catawba,North Carolina,15,0,US
2020-03-31,Catawba,North Carolina,16,0,US
2020-04-01,Catawba,North Carolina,16,0,US
2020-04-02,Catawba,North Carolina,16,0,US
2020-04-03,Catawba,North Carolina,16,1,US
2020-04-04,Catawba,North Carolina,21,1,US
2020-04-05,Catawba,North Carolina,25,1,US
2020-04-06,Catawba,North Carolina,25,1,US
2020-04-07,Catawba,North Carolina,26,1,US
2020-04-08,Catawba,North Carolina,26,1,US
2020-04-09,Catawba,North Carolina,30,1,US
2020-04-10,Catawba,North Carolina,32,1,US
2020-04-11,Catawba,North Carolina,33,1,US
2020-04-12,Catawba,North Carolina,35,1,US
2020-04-13,Catawba,North Carolina,36,1,US
2020-04-14,Catawba,North Carolina,38,1,US
2020-04-15,Catawba,North Carolina,40,1,US
2020-04-16,Catawba,North Carolina,41,1,US
2020-04-17,Catawba,North Carolina,41,1,US
2020-04-18,Catawba,North Carolina,41,1,US
2020-04-19,Catawba,North Carolina,41,1,US
2020-04-20,Catawba,North Carolina,42,1,US
2020-04-21,Catawba,North Carolina,43,1,US
2020-04-22,Catawba,North Carolina,46,1,US
2020-04-23,Catawba,North Carolina,48,1,US
2020-04-24,Catawba,North Carolina,48,1,US
2020-04-25,Catawba,North Carolina,52,1,US
