Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Cayey,Puerto Rico,0,0,US
2020-01-23,Cayey,Puerto Rico,0,0,US
2020-01-24,Cayey,Puerto Rico,0,0,US
2020-01-25,Cayey,Puerto Rico,0,0,US
2020-01-26,Cayey,Puerto Rico,0,0,US
2020-01-27,Cayey,Puerto Rico,0,0,US
2020-01-28,Cayey,Puerto Rico,0,0,US
2020-01-29,Cayey,Puerto Rico,0,0,US
2020-01-30,Cayey,Puerto Rico,0,0,US
2020-01-31,Cayey,Puerto Rico,0,0,US
2020-02-01,Cayey,Puerto Rico,0,0,US
2020-02-02,Cayey,Puerto Rico,0,0,US
2020-02-03,Cayey,Puerto Rico,0,0,US
2020-02-04,Cayey,Puerto Rico,0,0,US
2020-02-05,Cayey,Puerto Rico,0,0,US
2020-02-06,Cayey,Puerto Rico,0,0,US
2020-02-07,Cayey,Puerto Rico,0,0,US
2020-02-08,Cayey,Puerto Rico,0,0,US
2020-02-09,Cayey,Puerto Rico,0,0,US
2020-02-10,Cayey,Puerto Rico,0,0,US
2020-02-11,Cayey,Puerto Rico,0,0,US
2020-02-12,Cayey,Puerto Rico,0,0,US
2020-02-13,Cayey,Puerto Rico,0,0,US
2020-02-14,Cayey,Puerto Rico,0,0,US
2020-02-15,Cayey,Puerto Rico,0,0,US
2020-02-16,Cayey,Puerto Rico,0,0,US
2020-02-17,Cayey,Puerto Rico,0,0,US
2020-02-18,Cayey,Puerto Rico,0,0,US
2020-02-19,Cayey,Puerto Rico,0,0,US
2020-02-20,Cayey,Puerto Rico,0,0,US
2020-02-21,Cayey,Puerto Rico,0,0,US
2020-02-22,Cayey,Puerto Rico,0,0,US
2020-02-23,Cayey,Puerto Rico,0,0,US
2020-02-24,Cayey,Puerto Rico,0,0,US
2020-02-25,Cayey,Puerto Rico,0,0,US
2020-02-26,Cayey,Puerto Rico,0,0,US
2020-02-27,Cayey,Puerto Rico,0,0,US
2020-02-28,Cayey,Puerto Rico,0,0,US
2020-02-29,Cayey,Puerto Rico,0,0,US
2020-03-01,Cayey,Puerto Rico,0,0,US
2020-03-02,Cayey,Puerto Rico,0,0,US
2020-03-03,Cayey,Puerto Rico,0,0,US
2020-03-04,Cayey,Puerto Rico,0,0,US
2020-03-05,Cayey,Puerto Rico,0,0,US
2020-03-06,Cayey,Puerto Rico,0,0,US
2020-03-07,Cayey,Puerto Rico,0,0,US
2020-03-08,Cayey,Puerto Rico,0,0,US
2020-03-09,Cayey,Puerto Rico,0,0,US
2020-03-10,Cayey,Puerto Rico,0,0,US
2020-03-11,Cayey,Puerto Rico,0,0,US
2020-03-12,Cayey,Puerto Rico,0,0,US
2020-03-13,Cayey,Puerto Rico,0,0,US
2020-03-14,Cayey,Puerto Rico,0,0,US
2020-03-15,Cayey,Puerto Rico,0,0,US
2020-03-16,Cayey,Puerto Rico,0,0,US
2020-03-17,Cayey,Puerto Rico,0,0,US
2020-03-18,Cayey,Puerto Rico,0,0,US
2020-03-19,Cayey,Puerto Rico,0,0,US
2020-03-20,Cayey,Puerto Rico,0,0,US
2020-03-21,Cayey,Puerto Rico,0,0,US
2020-03-22,Cayey,Puerto Rico,0,0,US
2020-03-23,Cayey,Puerto Rico,0,0,US
2020-03-24,Cayey,Puerto Rico,0,0,US
2020-03-25,Cayey,Puerto Rico,0,0,US
2020-03-26,Cayey,Puerto Rico,0,0,US
2020-03-27,Cayey,Puerto Rico,0,0,US
2020-03-28,Cayey,Puerto Rico,0,0,US
2020-03-29,Cayey,Puerto Rico,0,0,US
2020-03-30,Cayey,Puerto Rico,0,0,US
2020-03-31,Cayey,Puerto Rico,0,0,US
2020-04-01,Cayey,Puerto Rico,0,0,US
2020-04-02,Cayey,Puerto Rico,0,0,US
2020-04-03,Cayey,Puerto Rico,0,0,US
2020-04-04,Cayey,Puerto Rico,0,0,US
2020-04-05,Cayey,Puerto Rico,0,0,US
2020-04-06,Cayey,Puerto Rico,0,0,US
2020-04-07,Cayey,Puerto Rico,0,0,US
2020-04-08,Cayey,Puerto Rico,0,0,US
2020-04-09,Cayey,Puerto Rico,0,0,US
2020-04-10,Cayey,Puerto Rico,0,0,US
2020-04-11,Cayey,Puerto Rico,0,0,US
2020-04-12,Cayey,Puerto Rico,0,0,US
2020-04-13,Cayey,Puerto Rico,0,0,US
2020-04-14,Cayey,Puerto Rico,0,0,US
2020-04-15,Cayey,Puerto Rico,0,0,US
2020-04-16,Cayey,Puerto Rico,0,0,US
2020-04-17,Cayey,Puerto Rico,0,0,US
2020-04-18,Cayey,Puerto Rico,0,0,US
2020-04-19,Cayey,Puerto Rico,0,0,US
2020-04-20,Cayey,Puerto Rico,0,0,US
2020-04-21,Cayey,Puerto Rico,0,0,US
2020-04-22,Cayey,Puerto Rico,0,0,US
2020-04-23,Cayey,Puerto Rico,0,0,US
2020-04-24,Cayey,Puerto Rico,0,0,US
2020-04-25,Cayey,Puerto Rico,5,0,US
2020-04-26,Cayey,Puerto Rico,5,0,US
2020-04-27,Cayey,Puerto Rico,5,0,US
2020-04-28,Cayey,Puerto Rico,5,0,US
2020-04-29,Cayey,Puerto Rico,5,0,US
2020-04-30,Cayey,Puerto Rico,5,0,US
2020-05-01,Cayey,Puerto Rico,5,0,US
2020-05-02,Cayey,Puerto Rico,5,0,US
2020-05-03,Cayey,Puerto Rico,5,0,US
2020-05-04,Cayey,Puerto Rico,5,0,US
2020-05-05,Cayey,Puerto Rico,5,0,US
2020-05-06,Cayey,Puerto Rico,5,0,US
2020-05-07,Cayey,Puerto Rico,5,0,US
2020-05-08,Cayey,Puerto Rico,5,0,US
2020-05-09,Cayey,Puerto Rico,5,0,US
2020-05-10,Cayey,Puerto Rico,5,0,US
2020-05-11,Cayey,Puerto Rico,5,0,US
2020-05-12,Cayey,Puerto Rico,5,0,US
2020-05-13,Cayey,Puerto Rico,5,0,US
2020-05-14,Cayey,Puerto Rico,6,0,US
2020-05-15,Cayey,Puerto Rico,7,0,US
2020-05-16,Cayey,Puerto Rico,7,0,US
2020-05-17,Cayey,Puerto Rico,7,0,US
2020-05-18,Cayey,Puerto Rico,9,0,US
2020-05-19,Cayey,Puerto Rico,9,0,US
2020-05-20,Cayey,Puerto Rico,9,0,US
2020-05-21,Cayey,Puerto Rico,10,0,US
2020-05-22,Cayey,Puerto Rico,10,0,US
2020-05-23,Cayey,Puerto Rico,10,0,US
2020-05-24,Cayey,Puerto Rico,10,0,US
2020-05-25,Cayey,Puerto Rico,10,0,US
2020-05-26,Cayey,Puerto Rico,10,0,US
2020-05-27,Cayey,Puerto Rico,10,0,US
2020-05-28,Cayey,Puerto Rico,10,0,US
2020-05-29,Cayey,Puerto Rico,10,0,US
2020-05-30,Cayey,Puerto Rico,10,0,US
2020-05-31,Cayey,Puerto Rico,10,0,US
2020-06-01,Cayey,Puerto Rico,10,0,US
2020-06-02,Cayey,Puerto Rico,10,0,US
2020-06-03,Cayey,Puerto Rico,10,0,US
2020-06-04,Cayey,Puerto Rico,11,0,US
2020-06-05,Cayey,Puerto Rico,11,0,US
2020-06-06,Cayey,Puerto Rico,11,0,US
2020-06-07,Cayey,Puerto Rico,11,0,US
2020-06-08,Cayey,Puerto Rico,11,0,US
2020-06-09,Cayey,Puerto Rico,11,0,US
2020-06-10,Cayey,Puerto Rico,11,0,US
2020-06-11,Cayey,Puerto Rico,11,0,US
2020-06-12,Cayey,Puerto Rico,11,0,US
2020-06-13,Cayey,Puerto Rico,11,0,US
2020-06-14,Cayey,Puerto Rico,11,0,US
2020-06-15,Cayey,Puerto Rico,11,0,US
2020-06-16,Cayey,Puerto Rico,11,0,US
2020-06-17,Cayey,Puerto Rico,11,0,US
2020-06-18,Cayey,Puerto Rico,11,0,US
2020-06-19,Cayey,Puerto Rico,10,0,US
2020-06-20,Cayey,Puerto Rico,11,0,US
2020-06-21,Cayey,Puerto Rico,12,0,US
2020-06-22,Cayey,Puerto Rico,12,0,US
2020-06-23,Cayey,Puerto Rico,12,0,US
2020-06-24,Cayey,Puerto Rico,12,0,US
2020-06-25,Cayey,Puerto Rico,12,0,US
2020-06-26,Cayey,Puerto Rico,12,0,US
2020-06-27,Cayey,Puerto Rico,12,0,US
2020-06-28,Cayey,Puerto Rico,12,0,US
2020-06-29,Cayey,Puerto Rico,12,0,US
2020-06-30,Cayey,Puerto Rico,12,0,US
2020-07-01,Cayey,Puerto Rico,12,0,US
2020-07-02,Cayey,Puerto Rico,12,0,US
2020-07-03,Cayey,Puerto Rico,12,0,US
2020-07-04,Cayey,Puerto Rico,12,0,US
2020-07-05,Cayey,Puerto Rico,12,0,US
2020-07-06,Cayey,Puerto Rico,12,0,US
2020-07-07,Cayey,Puerto Rico,13,0,US
2020-07-08,Cayey,Puerto Rico,13,0,US
2020-07-09,Cayey,Puerto Rico,13,0,US
2020-07-10,Cayey,Puerto Rico,13,0,US
2020-07-11,Cayey,Puerto Rico,13,0,US
2020-07-12,Cayey,Puerto Rico,13,0,US
2020-07-13,Cayey,Puerto Rico,14,0,US
2020-07-14,Cayey,Puerto Rico,14,0,US
2020-07-15,Cayey,Puerto Rico,18,0,US
2020-07-16,Cayey,Puerto Rico,18,0,US
2020-07-17,Cayey,Puerto Rico,18,0,US
2020-07-18,Cayey,Puerto Rico,20,0,US
2020-07-19,Cayey,Puerto Rico,22,0,US
2020-07-20,Cayey,Puerto Rico,23,0,US
2020-07-21,Cayey,Puerto Rico,23,0,US
2020-07-22,Cayey,Puerto Rico,24,0,US
2020-07-23,Cayey,Puerto Rico,25,0,US
2020-07-24,Cayey,Puerto Rico,25,0,US
2020-07-25,Cayey,Puerto Rico,25,0,US
2020-07-26,Cayey,Puerto Rico,25,0,US
2020-07-27,Cayey,Puerto Rico,26,0,US
2020-07-28,Cayey,Puerto Rico,26,0,US
2020-07-29,Cayey,Puerto Rico,26,0,US
2020-07-30,Cayey,Puerto Rico,26,0,US
2020-07-31,Cayey,Puerto Rico,26,0,US
2020-08-01,Cayey,Puerto Rico,29,0,US
2020-08-02,Cayey,Puerto Rico,29,0,US
2020-08-03,Cayey,Puerto Rico,33,0,US
2020-08-04,Cayey,Puerto Rico,35,0,US
2020-08-05,Cayey,Puerto Rico,36,0,US
2020-08-06,Cayey,Puerto Rico,36,0,US
2020-08-07,Cayey,Puerto Rico,36,0,US
2020-08-08,Cayey,Puerto Rico,38,0,US
2020-08-09,Cayey,Puerto Rico,38,0,US
2020-08-10,Cayey,Puerto Rico,39,0,US
2020-08-11,Cayey,Puerto Rico,40,0,US
2020-08-12,Cayey,Puerto Rico,40,0,US
2020-08-13,Cayey,Puerto Rico,42,0,US
2020-08-14,Cayey,Puerto Rico,43,0,US
2020-08-15,Cayey,Puerto Rico,44,0,US
2020-08-16,Cayey,Puerto Rico,44,0,US
2020-08-17,Cayey,Puerto Rico,46,0,US
2020-08-18,Cayey,Puerto Rico,47,0,US
2020-08-19,Cayey,Puerto Rico,47,0,US
2020-08-20,Cayey,Puerto Rico,47,0,US
2020-08-21,Cayey,Puerto Rico,49,0,US
2020-08-22,Cayey,Puerto Rico,50,0,US
2020-08-23,Cayey,Puerto Rico,50,0,US
2020-08-24,Cayey,Puerto Rico,52,0,US
2020-08-25,Cayey,Puerto Rico,52,0,US
2020-08-26,Cayey,Puerto Rico,52,0,US
2020-08-27,Cayey,Puerto Rico,53,0,US
2020-08-28,Cayey,Puerto Rico,53,0,US
2020-08-29,Cayey,Puerto Rico,54,0,US
2020-08-30,Cayey,Puerto Rico,54,0,US
2020-08-31,Cayey,Puerto Rico,58,0,US
2020-09-01,Cayey,Puerto Rico,59,0,US
2020-09-02,Cayey,Puerto Rico,60,0,US
2020-09-03,Cayey,Puerto Rico,60,0,US
2020-09-04,Cayey,Puerto Rico,59,0,US
2020-09-05,Cayey,Puerto Rico,59,0,US
2020-09-06,Cayey,Puerto Rico,59,0,US
2020-09-07,Cayey,Puerto Rico,62,0,US
2020-09-08,Cayey,Puerto Rico,63,0,US
