Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Centre,Pennsylvania,0,0,US
2020-01-23,Centre,Pennsylvania,0,0,US
2020-01-24,Centre,Pennsylvania,0,0,US
2020-01-25,Centre,Pennsylvania,0,0,US
2020-01-26,Centre,Pennsylvania,0,0,US
2020-01-27,Centre,Pennsylvania,0,0,US
2020-01-28,Centre,Pennsylvania,0,0,US
2020-01-29,Centre,Pennsylvania,0,0,US
2020-01-30,Centre,Pennsylvania,0,0,US
2020-01-31,Centre,Pennsylvania,0,0,US
2020-02-01,Centre,Pennsylvania,0,0,US
2020-02-02,Centre,Pennsylvania,0,0,US
2020-02-03,Centre,Pennsylvania,0,0,US
2020-02-04,Centre,Pennsylvania,0,0,US
2020-02-05,Centre,Pennsylvania,0,0,US
2020-02-06,Centre,Pennsylvania,0,0,US
2020-02-07,Centre,Pennsylvania,0,0,US
2020-02-08,Centre,Pennsylvania,0,0,US
2020-02-09,Centre,Pennsylvania,0,0,US
2020-02-10,Centre,Pennsylvania,0,0,US
2020-02-11,Centre,Pennsylvania,0,0,US
2020-02-12,Centre,Pennsylvania,0,0,US
2020-02-13,Centre,Pennsylvania,0,0,US
2020-02-14,Centre,Pennsylvania,0,0,US
2020-02-15,Centre,Pennsylvania,0,0,US
2020-02-16,Centre,Pennsylvania,0,0,US
2020-02-17,Centre,Pennsylvania,0,0,US
2020-02-18,Centre,Pennsylvania,0,0,US
2020-02-19,Centre,Pennsylvania,0,0,US
2020-02-20,Centre,Pennsylvania,0,0,US
2020-02-21,Centre,Pennsylvania,0,0,US
2020-02-22,Centre,Pennsylvania,0,0,US
2020-02-23,Centre,Pennsylvania,0,0,US
2020-02-24,Centre,Pennsylvania,0,0,US
2020-02-25,Centre,Pennsylvania,0,0,US
2020-02-26,Centre,Pennsylvania,0,0,US
2020-02-27,Centre,Pennsylvania,0,0,US
2020-02-28,Centre,Pennsylvania,0,0,US
2020-02-29,Centre,Pennsylvania,0,0,US
2020-03-01,Centre,Pennsylvania,0,0,US
2020-03-02,Centre,Pennsylvania,0,0,US
2020-03-03,Centre,Pennsylvania,0,0,US
2020-03-04,Centre,Pennsylvania,0,0,US
2020-03-05,Centre,Pennsylvania,0,0,US
2020-03-06,Centre,Pennsylvania,0,0,US
2020-03-07,Centre,Pennsylvania,0,0,US
