Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Chatham,Georgia,0,0,US
2020-01-23,Chatham,Georgia,0,0,US
2020-01-24,Chatham,Georgia,0,0,US
2020-01-25,Chatham,Georgia,0,0,US
2020-01-26,Chatham,Georgia,0,0,US
2020-01-27,Chatham,Georgia,0,0,US
2020-01-28,Chatham,Georgia,0,0,US
2020-01-29,Chatham,Georgia,0,0,US
2020-01-30,Chatham,Georgia,0,0,US
2020-01-31,Chatham,Georgia,0,0,US
2020-02-01,Chatham,Georgia,0,0,US
2020-02-02,Chatham,Georgia,0,0,US
2020-02-03,Chatham,Georgia,0,0,US
2020-02-04,Chatham,Georgia,0,0,US
2020-02-05,Chatham,Georgia,0,0,US
2020-02-06,Chatham,Georgia,0,0,US
2020-02-07,Chatham,Georgia,0,0,US
2020-02-08,Chatham,Georgia,0,0,US
2020-02-09,Chatham,Georgia,0,0,US
2020-02-10,Chatham,Georgia,0,0,US
2020-02-11,Chatham,Georgia,0,0,US
2020-02-12,Chatham,Georgia,0,0,US
2020-02-13,Chatham,Georgia,0,0,US
2020-02-14,Chatham,Georgia,0,0,US
2020-02-15,Chatham,Georgia,0,0,US
2020-02-16,Chatham,Georgia,0,0,US
2020-02-17,Chatham,Georgia,0,0,US
2020-02-18,Chatham,Georgia,0,0,US
2020-02-19,Chatham,Georgia,0,0,US
2020-02-20,Chatham,Georgia,0,0,US
2020-02-21,Chatham,Georgia,0,0,US
2020-02-22,Chatham,Georgia,0,0,US
2020-02-23,Chatham,Georgia,0,0,US
2020-02-24,Chatham,Georgia,0,0,US
2020-02-25,Chatham,Georgia,0,0,US
2020-02-26,Chatham,Georgia,0,0,US
2020-02-27,Chatham,Georgia,0,0,US
2020-02-28,Chatham,Georgia,0,0,US
2020-02-29,Chatham,Georgia,0,0,US
2020-03-01,Chatham,Georgia,0,0,US
2020-03-02,Chatham,Georgia,0,0,US
2020-03-03,Chatham,Georgia,0,0,US
2020-03-04,Chatham,Georgia,0,0,US
2020-03-05,Chatham,Georgia,0,0,US
2020-03-06,Chatham,Georgia,0,0,US
2020-03-07,Chatham,Georgia,0,0,US
2020-03-08,Chatham,Georgia,0,0,US
2020-03-09,Chatham,Georgia,0,0,US
2020-03-10,Chatham,Georgia,0,0,US
2020-03-11,Chatham,Georgia,0,0,US
2020-03-12,Chatham,Georgia,0,0,US
2020-03-13,Chatham,Georgia,0,0,US
2020-03-14,Chatham,Georgia,0,0,US
2020-03-15,Chatham,Georgia,0,0,US
2020-03-16,Chatham,Georgia,0,0,US
2020-03-17,Chatham,Georgia,0,0,US
2020-03-18,Chatham,Georgia,0,0,US
2020-03-19,Chatham,Georgia,0,0,US
2020-03-20,Chatham,Georgia,2,0,US
2020-03-21,Chatham,Georgia,4,0,US
2020-03-22,Chatham,Georgia,4,0,US
2020-03-23,Chatham,Georgia,4,0,US
2020-03-24,Chatham,Georgia,7,0,US
2020-03-25,Chatham,Georgia,7,0,US
2020-03-26,Chatham,Georgia,9,0,US
2020-03-27,Chatham,Georgia,10,0,US
2020-03-28,Chatham,Georgia,15,0,US
2020-03-29,Chatham,Georgia,15,0,US
2020-03-30,Chatham,Georgia,16,0,US
2020-03-31,Chatham,Georgia,26,2,US
2020-04-01,Chatham,Georgia,36,2,US
2020-04-02,Chatham,Georgia,44,2,US
2020-04-03,Chatham,Georgia,58,3,US
2020-04-04,Chatham,Georgia,64,3,US
2020-04-05,Chatham,Georgia,83,3,US
2020-04-06,Chatham,Georgia,104,3,US
2020-04-07,Chatham,Georgia,117,4,US
2020-04-08,Chatham,Georgia,125,4,US
2020-04-09,Chatham,Georgia,131,4,US
2020-04-10,Chatham,Georgia,136,5,US
2020-04-11,Chatham,Georgia,142,5,US
2020-04-12,Chatham,Georgia,147,5,US
2020-04-13,Chatham,Georgia,152,5,US
2020-04-14,Chatham,Georgia,157,5,US
2020-04-15,Chatham,Georgia,160,5,US
2020-04-16,Chatham,Georgia,161,5,US
2020-04-17,Chatham,Georgia,173,5,US
2020-04-18,Chatham,Georgia,177,5,US
2020-04-19,Chatham,Georgia,179,5,US
2020-04-20,Chatham,Georgia,185,6,US
2020-04-21,Chatham,Georgia,185,6,US
2020-04-22,Chatham,Georgia,193,7,US
2020-04-23,Chatham,Georgia,199,6,US
2020-04-24,Chatham,Georgia,205,6,US
2020-04-25,Chatham,Georgia,206,6,US
2020-04-26,Chatham,Georgia,206,6,US
2020-04-27,Chatham,Georgia,208,7,US
2020-04-28,Chatham,Georgia,217,7,US
