Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Chattahoochee,Georgia,0,0,US
2020-01-23,Chattahoochee,Georgia,0,0,US
2020-01-24,Chattahoochee,Georgia,0,0,US
2020-01-25,Chattahoochee,Georgia,0,0,US
2020-01-26,Chattahoochee,Georgia,0,0,US
2020-01-27,Chattahoochee,Georgia,0,0,US
2020-01-28,Chattahoochee,Georgia,0,0,US
2020-01-29,Chattahoochee,Georgia,0,0,US
2020-01-30,Chattahoochee,Georgia,0,0,US
2020-01-31,Chattahoochee,Georgia,0,0,US
2020-02-01,Chattahoochee,Georgia,0,0,US
2020-02-02,Chattahoochee,Georgia,0,0,US
2020-02-03,Chattahoochee,Georgia,0,0,US
2020-02-04,Chattahoochee,Georgia,0,0,US
2020-02-05,Chattahoochee,Georgia,0,0,US
2020-02-06,Chattahoochee,Georgia,0,0,US
2020-02-07,Chattahoochee,Georgia,0,0,US
2020-02-08,Chattahoochee,Georgia,0,0,US
2020-02-09,Chattahoochee,Georgia,0,0,US
2020-02-10,Chattahoochee,Georgia,0,0,US
2020-02-11,Chattahoochee,Georgia,0,0,US
2020-02-12,Chattahoochee,Georgia,0,0,US
2020-02-13,Chattahoochee,Georgia,0,0,US
2020-02-14,Chattahoochee,Georgia,0,0,US
2020-02-15,Chattahoochee,Georgia,0,0,US
2020-02-16,Chattahoochee,Georgia,0,0,US
2020-02-17,Chattahoochee,Georgia,0,0,US
2020-02-18,Chattahoochee,Georgia,0,0,US
2020-02-19,Chattahoochee,Georgia,0,0,US
2020-02-20,Chattahoochee,Georgia,0,0,US
2020-02-21,Chattahoochee,Georgia,0,0,US
2020-02-22,Chattahoochee,Georgia,0,0,US
2020-02-23,Chattahoochee,Georgia,0,0,US
2020-02-24,Chattahoochee,Georgia,0,0,US
2020-02-25,Chattahoochee,Georgia,0,0,US
2020-02-26,Chattahoochee,Georgia,0,0,US
2020-02-27,Chattahoochee,Georgia,0,0,US
2020-02-28,Chattahoochee,Georgia,0,0,US
2020-02-29,Chattahoochee,Georgia,0,0,US
2020-03-01,Chattahoochee,Georgia,0,0,US
2020-03-02,Chattahoochee,Georgia,0,0,US
2020-03-03,Chattahoochee,Georgia,0,0,US
2020-03-04,Chattahoochee,Georgia,0,0,US
2020-03-05,Chattahoochee,Georgia,0,0,US
2020-03-06,Chattahoochee,Georgia,0,0,US
2020-03-07,Chattahoochee,Georgia,0,0,US
2020-03-08,Chattahoochee,Georgia,0,0,US
2020-03-09,Chattahoochee,Georgia,0,0,US
2020-03-10,Chattahoochee,Georgia,0,0,US
2020-03-11,Chattahoochee,Georgia,0,0,US
2020-03-12,Chattahoochee,Georgia,0,0,US
2020-03-13,Chattahoochee,Georgia,0,0,US
2020-03-14,Chattahoochee,Georgia,0,0,US
2020-03-15,Chattahoochee,Georgia,0,0,US
2020-03-16,Chattahoochee,Georgia,0,0,US
2020-03-17,Chattahoochee,Georgia,0,0,US
2020-03-18,Chattahoochee,Georgia,0,0,US
2020-03-19,Chattahoochee,Georgia,0,0,US
2020-03-20,Chattahoochee,Georgia,0,0,US
2020-03-21,Chattahoochee,Georgia,0,0,US
2020-03-22,Chattahoochee,Georgia,0,0,US
2020-03-23,Chattahoochee,Georgia,0,0,US
2020-03-24,Chattahoochee,Georgia,0,0,US
2020-03-25,Chattahoochee,Georgia,0,0,US
2020-03-26,Chattahoochee,Georgia,0,0,US
2020-03-27,Chattahoochee,Georgia,0,0,US
2020-03-28,Chattahoochee,Georgia,1,0,US
2020-03-29,Chattahoochee,Georgia,1,0,US
2020-03-30,Chattahoochee,Georgia,1,0,US
2020-03-31,Chattahoochee,Georgia,1,0,US
2020-04-01,Chattahoochee,Georgia,2,0,US
2020-04-02,Chattahoochee,Georgia,2,0,US
2020-04-03,Chattahoochee,Georgia,2,0,US
2020-04-04,Chattahoochee,Georgia,2,0,US
2020-04-05,Chattahoochee,Georgia,2,0,US
2020-04-06,Chattahoochee,Georgia,2,0,US
2020-04-07,Chattahoochee,Georgia,2,0,US
