Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Chesapeake,Virginia,0,0,US
2020-01-23,Chesapeake,Virginia,0,0,US
2020-01-24,Chesapeake,Virginia,0,0,US
2020-01-25,Chesapeake,Virginia,0,0,US
2020-01-26,Chesapeake,Virginia,0,0,US
2020-01-27,Chesapeake,Virginia,0,0,US
2020-01-28,Chesapeake,Virginia,0,0,US
2020-01-29,Chesapeake,Virginia,0,0,US
2020-01-30,Chesapeake,Virginia,0,0,US
2020-01-31,Chesapeake,Virginia,0,0,US
2020-02-01,Chesapeake,Virginia,0,0,US
2020-02-02,Chesapeake,Virginia,0,0,US
2020-02-03,Chesapeake,Virginia,0,0,US
2020-02-04,Chesapeake,Virginia,0,0,US
2020-02-05,Chesapeake,Virginia,0,0,US
2020-02-06,Chesapeake,Virginia,0,0,US
2020-02-07,Chesapeake,Virginia,0,0,US
2020-02-08,Chesapeake,Virginia,0,0,US
2020-02-09,Chesapeake,Virginia,0,0,US
2020-02-10,Chesapeake,Virginia,0,0,US
2020-02-11,Chesapeake,Virginia,0,0,US
2020-02-12,Chesapeake,Virginia,0,0,US
2020-02-13,Chesapeake,Virginia,0,0,US
2020-02-14,Chesapeake,Virginia,0,0,US
2020-02-15,Chesapeake,Virginia,0,0,US
2020-02-16,Chesapeake,Virginia,0,0,US
2020-02-17,Chesapeake,Virginia,0,0,US
2020-02-18,Chesapeake,Virginia,0,0,US
2020-02-19,Chesapeake,Virginia,0,0,US
2020-02-20,Chesapeake,Virginia,0,0,US
2020-02-21,Chesapeake,Virginia,0,0,US
2020-02-22,Chesapeake,Virginia,0,0,US
2020-02-23,Chesapeake,Virginia,0,0,US
2020-02-24,Chesapeake,Virginia,0,0,US
2020-02-25,Chesapeake,Virginia,0,0,US
2020-02-26,Chesapeake,Virginia,0,0,US
2020-02-27,Chesapeake,Virginia,0,0,US
2020-02-28,Chesapeake,Virginia,0,0,US
2020-02-29,Chesapeake,Virginia,0,0,US
2020-03-01,Chesapeake,Virginia,0,0,US
2020-03-02,Chesapeake,Virginia,0,0,US
2020-03-03,Chesapeake,Virginia,0,0,US
2020-03-04,Chesapeake,Virginia,0,0,US
2020-03-05,Chesapeake,Virginia,0,0,US
2020-03-06,Chesapeake,Virginia,0,0,US
2020-03-07,Chesapeake,Virginia,0,0,US
2020-03-08,Chesapeake,Virginia,0,0,US
2020-03-09,Chesapeake,Virginia,0,0,US
2020-03-10,Chesapeake,Virginia,0,0,US
2020-03-11,Chesapeake,Virginia,0,0,US
2020-03-12,Chesapeake,Virginia,0,0,US
2020-03-13,Chesapeake,Virginia,0,0,US
2020-03-14,Chesapeake,Virginia,0,0,US
2020-03-15,Chesapeake,Virginia,0,0,US
2020-03-16,Chesapeake,Virginia,0,0,US
2020-03-17,Chesapeake,Virginia,0,0,US
2020-03-18,Chesapeake,Virginia,0,0,US
2020-03-19,Chesapeake,Virginia,0,0,US
2020-03-20,Chesapeake,Virginia,0,0,US
2020-03-21,Chesapeake,Virginia,0,0,US
2020-03-22,Chesapeake,Virginia,0,0,US
2020-03-23,Chesapeake,Virginia,0,0,US
2020-03-24,Chesapeake,Virginia,1,0,US
2020-03-25,Chesapeake,Virginia,3,0,US
2020-03-26,Chesapeake,Virginia,4,0,US
2020-03-27,Chesapeake,Virginia,5,0,US
2020-03-28,Chesapeake,Virginia,7,0,US
2020-03-29,Chesapeake,Virginia,17,0,US
2020-03-30,Chesapeake,Virginia,18,0,US
2020-03-31,Chesapeake,Virginia,23,0,US
2020-04-01,Chesapeake,Virginia,31,0,US
2020-04-02,Chesapeake,Virginia,39,0,US
2020-04-03,Chesapeake,Virginia,50,0,US
2020-04-04,Chesapeake,Virginia,65,0,US
2020-04-05,Chesapeake,Virginia,72,0,US
2020-04-06,Chesapeake,Virginia,77,0,US
2020-04-07,Chesapeake,Virginia,80,0,US
2020-04-08,Chesapeake,Virginia,99,0,US
2020-04-09,Chesapeake,Virginia,101,0,US
2020-04-10,Chesapeake,Virginia,109,0,US
2020-04-11,Chesapeake,Virginia,115,0,US
2020-04-12,Chesapeake,Virginia,121,0,US
2020-04-13,Chesapeake,Virginia,126,0,US
2020-04-14,Chesapeake,Virginia,136,0,US
2020-04-15,Chesapeake,Virginia,140,0,US
2020-04-16,Chesapeake,Virginia,143,3,US
2020-04-17,Chesapeake,Virginia,147,4,US
2020-04-18,Chesapeake,Virginia,154,4,US
2020-04-19,Chesapeake,Virginia,162,4,US
2020-04-20,Chesapeake,Virginia,166,5,US
2020-04-21,Chesapeake,Virginia,176,5,US
2020-04-22,Chesapeake,Virginia,180,5,US
2020-04-23,Chesapeake,Virginia,186,5,US
2020-04-24,Chesapeake,Virginia,197,5,US
2020-04-25,Chesapeake,Virginia,200,6,US
2020-04-26,Chesapeake,Virginia,208,6,US
2020-04-27,Chesapeake,Virginia,214,6,US
2020-04-28,Chesapeake,Virginia,220,6,US
2020-04-29,Chesapeake,Virginia,232,6,US
2020-04-30,Chesapeake,Virginia,242,6,US
2020-05-01,Chesapeake,Virginia,256,7,US
2020-05-02,Chesapeake,Virginia,263,7,US
2020-05-03,Chesapeake,Virginia,279,9,US
2020-05-04,Chesapeake,Virginia,284,9,US
2020-05-05,Chesapeake,Virginia,293,9,US
2020-05-06,Chesapeake,Virginia,306,9,US
2020-05-07,Chesapeake,Virginia,311,9,US
2020-05-08,Chesapeake,Virginia,316,9,US
2020-05-09,Chesapeake,Virginia,325,9,US
2020-05-10,Chesapeake,Virginia,328,9,US
2020-05-11,Chesapeake,Virginia,340,9,US
2020-05-12,Chesapeake,Virginia,343,9,US
2020-05-13,Chesapeake,Virginia,354,9,US
2020-05-14,Chesapeake,Virginia,362,9,US
2020-05-15,Chesapeake,Virginia,379,10,US
2020-05-16,Chesapeake,Virginia,380,10,US
2020-05-17,Chesapeake,Virginia,384,10,US
2020-05-18,Chesapeake,Virginia,387,10,US
2020-05-19,Chesapeake,Virginia,396,10,US
2020-05-20,Chesapeake,Virginia,401,12,US
2020-05-21,Chesapeake,Virginia,412,13,US
2020-05-22,Chesapeake,Virginia,419,13,US
2020-05-23,Chesapeake,Virginia,426,13,US
2020-05-24,Chesapeake,Virginia,433,13,US
2020-05-25,Chesapeake,Virginia,449,14,US
2020-05-26,Chesapeake,Virginia,459,14,US
2020-05-27,Chesapeake,Virginia,472,14,US
2020-05-28,Chesapeake,Virginia,481,14,US
2020-05-29,Chesapeake,Virginia,494,15,US
2020-05-30,Chesapeake,Virginia,520,15,US
2020-05-31,Chesapeake,Virginia,521,15,US
2020-06-01,Chesapeake,Virginia,535,15,US
2020-06-02,Chesapeake,Virginia,541,15,US
2020-06-03,Chesapeake,Virginia,548,15,US
2020-06-04,Chesapeake,Virginia,554,15,US
2020-06-05,Chesapeake,Virginia,563,15,US
2020-06-06,Chesapeake,Virginia,577,15,US
2020-06-07,Chesapeake,Virginia,592,15,US
2020-06-08,Chesapeake,Virginia,596,15,US
2020-06-09,Chesapeake,Virginia,605,15,US
2020-06-10,Chesapeake,Virginia,617,15,US
2020-06-11,Chesapeake,Virginia,622,15,US
2020-06-12,Chesapeake,Virginia,636,16,US
2020-06-13,Chesapeake,Virginia,650,16,US
2020-06-14,Chesapeake,Virginia,659,16,US
2020-06-15,Chesapeake,Virginia,672,16,US
2020-06-16,Chesapeake,Virginia,678,16,US
2020-06-17,Chesapeake,Virginia,684,16,US
2020-06-18,Chesapeake,Virginia,697,16,US
2020-06-19,Chesapeake,Virginia,709,16,US
2020-06-20,Chesapeake,Virginia,721,16,US
2020-06-21,Chesapeake,Virginia,733,16,US
2020-06-22,Chesapeake,Virginia,759,16,US
2020-06-23,Chesapeake,Virginia,774,16,US
2020-06-24,Chesapeake,Virginia,792,16,US
2020-06-25,Chesapeake,Virginia,800,16,US
2020-06-26,Chesapeake,Virginia,846,18,US
2020-06-27,Chesapeake,Virginia,854,20,US
2020-06-28,Chesapeake,Virginia,879,20,US
2020-06-29,Chesapeake,Virginia,887,20,US
2020-06-30,Chesapeake,Virginia,895,20,US
2020-07-01,Chesapeake,Virginia,925,20,US
2020-07-02,Chesapeake,Virginia,959,21,US
2020-07-03,Chesapeake,Virginia,972,21,US
