Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Cheyenne,Nebraska,0,0,US
2020-01-23,Cheyenne,Nebraska,0,0,US
2020-01-24,Cheyenne,Nebraska,0,0,US
2020-01-25,Cheyenne,Nebraska,0,0,US
2020-01-26,Cheyenne,Nebraska,0,0,US
2020-01-27,Cheyenne,Nebraska,0,0,US
2020-01-28,Cheyenne,Nebraska,0,0,US
2020-01-29,Cheyenne,Nebraska,0,0,US
2020-01-30,Cheyenne,Nebraska,0,0,US
2020-01-31,Cheyenne,Nebraska,0,0,US
2020-02-01,Cheyenne,Nebraska,0,0,US
2020-02-02,Cheyenne,Nebraska,0,0,US
2020-02-03,Cheyenne,Nebraska,0,0,US
2020-02-04,Cheyenne,Nebraska,0,0,US
2020-02-05,Cheyenne,Nebraska,0,0,US
2020-02-06,Cheyenne,Nebraska,0,0,US
2020-02-07,Cheyenne,Nebraska,0,0,US
2020-02-08,Cheyenne,Nebraska,0,0,US
2020-02-09,Cheyenne,Nebraska,0,0,US
2020-02-10,Cheyenne,Nebraska,0,0,US
2020-02-11,Cheyenne,Nebraska,0,0,US
2020-02-12,Cheyenne,Nebraska,0,0,US
2020-02-13,Cheyenne,Nebraska,0,0,US
2020-02-14,Cheyenne,Nebraska,0,0,US
2020-02-15,Cheyenne,Nebraska,0,0,US
2020-02-16,Cheyenne,Nebraska,0,0,US
2020-02-17,Cheyenne,Nebraska,0,0,US
2020-02-18,Cheyenne,Nebraska,0,0,US
2020-02-19,Cheyenne,Nebraska,0,0,US
2020-02-20,Cheyenne,Nebraska,0,0,US
2020-02-21,Cheyenne,Nebraska,0,0,US
2020-02-22,Cheyenne,Nebraska,0,0,US
2020-02-23,Cheyenne,Nebraska,0,0,US
2020-02-24,Cheyenne,Nebraska,0,0,US
2020-02-25,Cheyenne,Nebraska,0,0,US
2020-02-26,Cheyenne,Nebraska,0,0,US
2020-02-27,Cheyenne,Nebraska,0,0,US
2020-02-28,Cheyenne,Nebraska,0,0,US
2020-02-29,Cheyenne,Nebraska,0,0,US
2020-03-01,Cheyenne,Nebraska,0,0,US
2020-03-02,Cheyenne,Nebraska,0,0,US
2020-03-03,Cheyenne,Nebraska,0,0,US
2020-03-04,Cheyenne,Nebraska,0,0,US
2020-03-05,Cheyenne,Nebraska,0,0,US
2020-03-06,Cheyenne,Nebraska,0,0,US
2020-03-07,Cheyenne,Nebraska,0,0,US
2020-03-08,Cheyenne,Nebraska,0,0,US
2020-03-09,Cheyenne,Nebraska,0,0,US
2020-03-10,Cheyenne,Nebraska,0,0,US
2020-03-11,Cheyenne,Nebraska,0,0,US
2020-03-12,Cheyenne,Nebraska,0,0,US
2020-03-13,Cheyenne,Nebraska,0,0,US
2020-03-14,Cheyenne,Nebraska,0,0,US
2020-03-15,Cheyenne,Nebraska,0,0,US
2020-03-16,Cheyenne,Nebraska,0,0,US
2020-03-17,Cheyenne,Nebraska,0,0,US
2020-03-18,Cheyenne,Nebraska,0,0,US
2020-03-19,Cheyenne,Nebraska,0,0,US
2020-03-20,Cheyenne,Nebraska,0,0,US
2020-03-21,Cheyenne,Nebraska,0,0,US
