Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Childress,Texas,0,0,US
2020-01-23,Childress,Texas,0,0,US
2020-01-24,Childress,Texas,0,0,US
2020-01-25,Childress,Texas,0,0,US
2020-01-26,Childress,Texas,0,0,US
2020-01-27,Childress,Texas,0,0,US
2020-01-28,Childress,Texas,0,0,US
2020-01-29,Childress,Texas,0,0,US
2020-01-30,Childress,Texas,0,0,US
2020-01-31,Childress,Texas,0,0,US
2020-02-01,Childress,Texas,0,0,US
2020-02-02,Childress,Texas,0,0,US
2020-02-03,Childress,Texas,0,0,US
2020-02-04,Childress,Texas,0,0,US
2020-02-05,Childress,Texas,0,0,US
2020-02-06,Childress,Texas,0,0,US
2020-02-07,Childress,Texas,0,0,US
2020-02-08,Childress,Texas,0,0,US
2020-02-09,Childress,Texas,0,0,US
2020-02-10,Childress,Texas,0,0,US
2020-02-11,Childress,Texas,0,0,US
2020-02-12,Childress,Texas,0,0,US
2020-02-13,Childress,Texas,0,0,US
2020-02-14,Childress,Texas,0,0,US
2020-02-15,Childress,Texas,0,0,US
2020-02-16,Childress,Texas,0,0,US
2020-02-17,Childress,Texas,0,0,US
2020-02-18,Childress,Texas,0,0,US
2020-02-19,Childress,Texas,0,0,US
2020-02-20,Childress,Texas,0,0,US
2020-02-21,Childress,Texas,0,0,US
2020-02-22,Childress,Texas,0,0,US
2020-02-23,Childress,Texas,0,0,US
2020-02-24,Childress,Texas,0,0,US
2020-02-25,Childress,Texas,0,0,US
2020-02-26,Childress,Texas,0,0,US
2020-02-27,Childress,Texas,0,0,US
2020-02-28,Childress,Texas,0,0,US
2020-02-29,Childress,Texas,0,0,US
2020-03-01,Childress,Texas,0,0,US
2020-03-02,Childress,Texas,0,0,US
2020-03-03,Childress,Texas,0,0,US
2020-03-04,Childress,Texas,0,0,US
2020-03-05,Childress,Texas,0,0,US
2020-03-06,Childress,Texas,0,0,US
2020-03-07,Childress,Texas,0,0,US
2020-03-08,Childress,Texas,0,0,US
2020-03-09,Childress,Texas,0,0,US
2020-03-10,Childress,Texas,0,0,US
