Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Choctaw,Alabama,0,0,US
2020-01-23,Choctaw,Alabama,0,0,US
2020-01-24,Choctaw,Alabama,0,0,US
2020-01-25,Choctaw,Alabama,0,0,US
2020-01-26,Choctaw,Alabama,0,0,US
2020-01-27,Choctaw,Alabama,0,0,US
2020-01-28,Choctaw,Alabama,0,0,US
2020-01-29,Choctaw,Alabama,0,0,US
2020-01-30,Choctaw,Alabama,0,0,US
2020-01-31,Choctaw,Alabama,0,0,US
2020-02-01,Choctaw,Alabama,0,0,US
2020-02-02,Choctaw,Alabama,0,0,US
2020-02-03,Choctaw,Alabama,0,0,US
2020-02-04,Choctaw,Alabama,0,0,US
2020-02-05,Choctaw,Alabama,0,0,US
2020-02-06,Choctaw,Alabama,0,0,US
2020-02-07,Choctaw,Alabama,0,0,US
2020-02-08,Choctaw,Alabama,0,0,US
2020-02-09,Choctaw,Alabama,0,0,US
2020-02-10,Choctaw,Alabama,0,0,US
2020-02-11,Choctaw,Alabama,0,0,US
2020-02-12,Choctaw,Alabama,0,0,US
2020-02-13,Choctaw,Alabama,0,0,US
2020-02-14,Choctaw,Alabama,0,0,US
2020-02-15,Choctaw,Alabama,0,0,US
2020-02-16,Choctaw,Alabama,0,0,US
2020-02-17,Choctaw,Alabama,0,0,US
2020-02-18,Choctaw,Alabama,0,0,US
2020-02-19,Choctaw,Alabama,0,0,US
2020-02-20,Choctaw,Alabama,0,0,US
2020-02-21,Choctaw,Alabama,0,0,US
2020-02-22,Choctaw,Alabama,0,0,US
2020-02-23,Choctaw,Alabama,0,0,US
2020-02-24,Choctaw,Alabama,0,0,US
2020-02-25,Choctaw,Alabama,0,0,US
2020-02-26,Choctaw,Alabama,0,0,US
2020-02-27,Choctaw,Alabama,0,0,US
2020-02-28,Choctaw,Alabama,0,0,US
2020-02-29,Choctaw,Alabama,0,0,US
2020-03-01,Choctaw,Alabama,0,0,US
2020-03-02,Choctaw,Alabama,0,0,US
2020-03-03,Choctaw,Alabama,0,0,US
2020-03-04,Choctaw,Alabama,0,0,US
