Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Cimarron,Oklahoma,0,0,US
2020-01-23,Cimarron,Oklahoma,0,0,US
2020-01-24,Cimarron,Oklahoma,0,0,US
2020-01-25,Cimarron,Oklahoma,0,0,US
2020-01-26,Cimarron,Oklahoma,0,0,US
2020-01-27,Cimarron,Oklahoma,0,0,US
2020-01-28,Cimarron,Oklahoma,0,0,US
2020-01-29,Cimarron,Oklahoma,0,0,US
2020-01-30,Cimarron,Oklahoma,0,0,US
2020-01-31,Cimarron,Oklahoma,0,0,US
2020-02-01,Cimarron,Oklahoma,0,0,US
2020-02-02,Cimarron,Oklahoma,0,0,US
2020-02-03,Cimarron,Oklahoma,0,0,US
2020-02-04,Cimarron,Oklahoma,0,0,US
2020-02-05,Cimarron,Oklahoma,0,0,US
2020-02-06,Cimarron,Oklahoma,0,0,US
2020-02-07,Cimarron,Oklahoma,0,0,US
2020-02-08,Cimarron,Oklahoma,0,0,US
2020-02-09,Cimarron,Oklahoma,0,0,US
2020-02-10,Cimarron,Oklahoma,0,0,US
2020-02-11,Cimarron,Oklahoma,0,0,US
2020-02-12,Cimarron,Oklahoma,0,0,US
2020-02-13,Cimarron,Oklahoma,0,0,US
2020-02-14,Cimarron,Oklahoma,0,0,US
2020-02-15,Cimarron,Oklahoma,0,0,US
2020-02-16,Cimarron,Oklahoma,0,0,US
2020-02-17,Cimarron,Oklahoma,0,0,US
2020-02-18,Cimarron,Oklahoma,0,0,US
2020-02-19,Cimarron,Oklahoma,0,0,US
2020-02-20,Cimarron,Oklahoma,0,0,US
2020-02-21,Cimarron,Oklahoma,0,0,US
2020-02-22,Cimarron,Oklahoma,0,0,US
2020-02-23,Cimarron,Oklahoma,0,0,US
2020-02-24,Cimarron,Oklahoma,0,0,US
2020-02-25,Cimarron,Oklahoma,0,0,US
2020-02-26,Cimarron,Oklahoma,0,0,US
2020-02-27,Cimarron,Oklahoma,0,0,US
2020-02-28,Cimarron,Oklahoma,0,0,US
2020-02-29,Cimarron,Oklahoma,0,0,US
2020-03-01,Cimarron,Oklahoma,0,0,US
2020-03-02,Cimarron,Oklahoma,0,0,US
2020-03-03,Cimarron,Oklahoma,0,0,US
2020-03-04,Cimarron,Oklahoma,0,0,US
2020-03-05,Cimarron,Oklahoma,0,0,US
2020-03-06,Cimarron,Oklahoma,0,0,US
2020-03-07,Cimarron,Oklahoma,0,0,US
2020-03-08,Cimarron,Oklahoma,0,0,US
2020-03-09,Cimarron,Oklahoma,0,0,US
2020-03-10,Cimarron,Oklahoma,0,0,US
2020-03-11,Cimarron,Oklahoma,0,0,US
2020-03-12,Cimarron,Oklahoma,0,0,US
2020-03-13,Cimarron,Oklahoma,0,0,US
2020-03-14,Cimarron,Oklahoma,0,0,US
2020-03-15,Cimarron,Oklahoma,0,0,US
2020-03-16,Cimarron,Oklahoma,0,0,US
2020-03-17,Cimarron,Oklahoma,0,0,US
2020-03-18,Cimarron,Oklahoma,0,0,US
2020-03-19,Cimarron,Oklahoma,0,0,US
2020-03-20,Cimarron,Oklahoma,0,0,US
2020-03-21,Cimarron,Oklahoma,0,0,US
2020-03-22,Cimarron,Oklahoma,0,0,US
2020-03-23,Cimarron,Oklahoma,0,0,US
2020-03-24,Cimarron,Oklahoma,0,0,US
2020-03-25,Cimarron,Oklahoma,0,0,US
2020-03-26,Cimarron,Oklahoma,0,0,US
2020-03-27,Cimarron,Oklahoma,0,0,US
2020-03-28,Cimarron,Oklahoma,0,0,US
2020-03-29,Cimarron,Oklahoma,0,0,US
2020-03-30,Cimarron,Oklahoma,0,0,US
2020-03-31,Cimarron,Oklahoma,0,0,US
2020-04-01,Cimarron,Oklahoma,0,0,US
2020-04-02,Cimarron,Oklahoma,0,0,US
2020-04-03,Cimarron,Oklahoma,0,0,US
2020-04-04,Cimarron,Oklahoma,0,0,US
2020-04-05,Cimarron,Oklahoma,0,0,US
2020-04-06,Cimarron,Oklahoma,0,0,US
2020-04-07,Cimarron,Oklahoma,0,0,US
2020-04-08,Cimarron,Oklahoma,0,0,US
2020-04-09,Cimarron,Oklahoma,0,0,US
2020-04-10,Cimarron,Oklahoma,0,0,US
2020-04-11,Cimarron,Oklahoma,0,0,US
2020-04-12,Cimarron,Oklahoma,0,0,US
2020-04-13,Cimarron,Oklahoma,0,0,US
2020-04-14,Cimarron,Oklahoma,0,0,US
2020-04-15,Cimarron,Oklahoma,0,0,US
2020-04-16,Cimarron,Oklahoma,0,0,US
2020-04-17,Cimarron,Oklahoma,0,0,US
2020-04-18,Cimarron,Oklahoma,0,0,US
2020-04-19,Cimarron,Oklahoma,0,0,US
2020-04-20,Cimarron,Oklahoma,0,0,US
2020-04-21,Cimarron,Oklahoma,1,0,US
2020-04-22,Cimarron,Oklahoma,1,0,US
2020-04-23,Cimarron,Oklahoma,1,0,US
2020-04-24,Cimarron,Oklahoma,1,0,US
2020-04-25,Cimarron,Oklahoma,1,0,US
2020-04-26,Cimarron,Oklahoma,1,0,US
2020-04-27,Cimarron,Oklahoma,1,0,US
2020-04-28,Cimarron,Oklahoma,1,0,US
2020-04-29,Cimarron,Oklahoma,1,0,US
2020-04-30,Cimarron,Oklahoma,1,0,US
2020-05-01,Cimarron,Oklahoma,1,0,US
2020-05-02,Cimarron,Oklahoma,1,0,US
2020-05-03,Cimarron,Oklahoma,1,0,US
2020-05-04,Cimarron,Oklahoma,1,0,US
2020-05-05,Cimarron,Oklahoma,1,0,US
2020-05-06,Cimarron,Oklahoma,1,0,US
2020-05-07,Cimarron,Oklahoma,1,0,US
2020-05-08,Cimarron,Oklahoma,1,0,US
2020-05-09,Cimarron,Oklahoma,1,0,US
2020-05-10,Cimarron,Oklahoma,1,0,US
2020-05-11,Cimarron,Oklahoma,1,0,US
2020-05-12,Cimarron,Oklahoma,1,0,US
2020-05-13,Cimarron,Oklahoma,1,0,US
2020-05-14,Cimarron,Oklahoma,1,0,US
2020-05-15,Cimarron,Oklahoma,1,0,US
2020-05-16,Cimarron,Oklahoma,1,0,US
2020-05-17,Cimarron,Oklahoma,1,0,US
2020-05-18,Cimarron,Oklahoma,1,0,US
2020-05-19,Cimarron,Oklahoma,1,0,US
2020-05-20,Cimarron,Oklahoma,1,0,US
2020-05-21,Cimarron,Oklahoma,1,0,US
2020-05-22,Cimarron,Oklahoma,1,0,US
2020-05-23,Cimarron,Oklahoma,1,0,US
2020-05-24,Cimarron,Oklahoma,1,0,US
2020-05-25,Cimarron,Oklahoma,1,0,US
2020-05-26,Cimarron,Oklahoma,1,0,US
2020-05-27,Cimarron,Oklahoma,1,0,US
2020-05-28,Cimarron,Oklahoma,1,0,US
2020-05-29,Cimarron,Oklahoma,1,0,US
2020-05-30,Cimarron,Oklahoma,1,0,US
2020-05-31,Cimarron,Oklahoma,1,0,US
2020-06-01,Cimarron,Oklahoma,1,0,US
2020-06-02,Cimarron,Oklahoma,1,0,US
2020-06-03,Cimarron,Oklahoma,1,0,US
2020-06-04,Cimarron,Oklahoma,1,0,US
2020-06-05,Cimarron,Oklahoma,1,0,US
2020-06-06,Cimarron,Oklahoma,1,0,US
2020-06-07,Cimarron,Oklahoma,1,0,US
2020-06-08,Cimarron,Oklahoma,1,0,US
2020-06-09,Cimarron,Oklahoma,1,0,US
2020-06-10,Cimarron,Oklahoma,1,0,US
2020-06-11,Cimarron,Oklahoma,1,0,US
2020-06-12,Cimarron,Oklahoma,1,0,US
2020-06-13,Cimarron,Oklahoma,1,0,US
2020-06-14,Cimarron,Oklahoma,1,0,US
2020-06-15,Cimarron,Oklahoma,1,0,US
2020-06-16,Cimarron,Oklahoma,1,0,US
2020-06-17,Cimarron,Oklahoma,1,0,US
2020-06-18,Cimarron,Oklahoma,1,0,US
2020-06-19,Cimarron,Oklahoma,1,0,US
2020-06-20,Cimarron,Oklahoma,1,0,US
2020-06-21,Cimarron,Oklahoma,1,0,US
2020-06-22,Cimarron,Oklahoma,1,0,US
