Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Clackamas,Oregon,0,0,US
2020-01-23,Clackamas,Oregon,0,0,US
2020-01-24,Clackamas,Oregon,0,0,US
2020-01-25,Clackamas,Oregon,0,0,US
2020-01-26,Clackamas,Oregon,0,0,US
2020-01-27,Clackamas,Oregon,0,0,US
2020-01-28,Clackamas,Oregon,0,0,US
2020-01-29,Clackamas,Oregon,0,0,US
2020-01-30,Clackamas,Oregon,0,0,US
2020-01-31,Clackamas,Oregon,0,0,US
2020-02-01,Clackamas,Oregon,0,0,US
2020-02-02,Clackamas,Oregon,0,0,US
2020-02-03,Clackamas,Oregon,0,0,US
2020-02-04,Clackamas,Oregon,0,0,US
2020-02-05,Clackamas,Oregon,0,0,US
2020-02-06,Clackamas,Oregon,0,0,US
2020-02-07,Clackamas,Oregon,0,0,US
2020-02-08,Clackamas,Oregon,0,0,US
2020-02-09,Clackamas,Oregon,0,0,US
2020-02-10,Clackamas,Oregon,0,0,US
2020-02-11,Clackamas,Oregon,0,0,US
2020-02-12,Clackamas,Oregon,0,0,US
2020-02-13,Clackamas,Oregon,0,0,US
2020-02-14,Clackamas,Oregon,0,0,US
2020-02-15,Clackamas,Oregon,0,0,US
2020-02-16,Clackamas,Oregon,0,0,US
2020-02-17,Clackamas,Oregon,0,0,US
2020-02-18,Clackamas,Oregon,0,0,US
2020-02-19,Clackamas,Oregon,0,0,US
2020-02-20,Clackamas,Oregon,0,0,US
2020-02-21,Clackamas,Oregon,0,0,US
2020-02-22,Clackamas,Oregon,0,0,US
2020-02-23,Clackamas,Oregon,0,0,US
2020-02-24,Clackamas,Oregon,0,0,US
2020-02-25,Clackamas,Oregon,0,0,US
2020-02-26,Clackamas,Oregon,0,0,US
2020-02-27,Clackamas,Oregon,0,0,US
2020-02-28,Clackamas,Oregon,0,0,US
2020-02-29,Clackamas,Oregon,0,0,US
2020-03-01,Clackamas,Oregon,0,0,US
2020-03-02,Clackamas,Oregon,0,0,US
2020-03-03,Clackamas,Oregon,0,0,US
2020-03-04,Clackamas,Oregon,0,0,US
2020-03-05,Clackamas,Oregon,0,0,US
2020-03-06,Clackamas,Oregon,0,0,US
2020-03-07,Clackamas,Oregon,0,0,US
2020-03-08,Clackamas,Oregon,0,0,US
2020-03-09,Clackamas,Oregon,0,0,US
2020-03-10,Clackamas,Oregon,0,0,US
2020-03-11,Clackamas,Oregon,0,0,US
2020-03-12,Clackamas,Oregon,1,0,US
2020-03-13,Clackamas,Oregon,1,0,US
2020-03-14,Clackamas,Oregon,1,0,US
2020-03-15,Clackamas,Oregon,1,0,US
2020-03-16,Clackamas,Oregon,1,0,US
2020-03-17,Clackamas,Oregon,6,0,US
2020-03-18,Clackamas,Oregon,6,0,US
2020-03-19,Clackamas,Oregon,6,0,US
2020-03-20,Clackamas,Oregon,10,0,US
2020-03-21,Clackamas,Oregon,11,0,US
2020-03-22,Clackamas,Oregon,12,0,US
2020-03-23,Clackamas,Oregon,14,0,US
2020-03-24,Clackamas,Oregon,17,1,US
2020-03-25,Clackamas,Oregon,21,2,US
2020-03-26,Clackamas,Oregon,21,2,US
2020-03-27,Clackamas,Oregon,31,2,US
2020-03-28,Clackamas,Oregon,36,2,US
2020-03-29,Clackamas,Oregon,39,2,US
2020-03-30,Clackamas,Oregon,40,3,US
2020-03-31,Clackamas,Oregon,50,3,US
2020-04-01,Clackamas,Oregon,56,3,US
2020-04-02,Clackamas,Oregon,61,3,US
2020-04-03,Clackamas,Oregon,66,3,US
2020-04-04,Clackamas,Oregon,66,3,US
2020-04-05,Clackamas,Oregon,84,3,US
2020-04-06,Clackamas,Oregon,84,3,US
2020-04-07,Clackamas,Oregon,90,3,US
2020-04-08,Clackamas,Oregon,97,3,US
2020-04-09,Clackamas,Oregon,109,3,US
2020-04-10,Clackamas,Oregon,109,3,US
2020-04-11,Clackamas,Oregon,116,3,US
2020-04-12,Clackamas,Oregon,125,3,US
2020-04-13,Clackamas,Oregon,132,3,US
2020-04-14,Clackamas,Oregon,135,3,US
2020-04-15,Clackamas,Oregon,142,3,US
2020-04-16,Clackamas,Oregon,150,3,US
2020-04-17,Clackamas,Oregon,153,4,US
2020-04-18,Clackamas,Oregon,154,5,US
2020-04-19,Clackamas,Oregon,161,5,US
2020-04-20,Clackamas,Oregon,171,5,US
2020-04-21,Clackamas,Oregon,173,5,US
2020-04-22,Clackamas,Oregon,183,5,US
2020-04-23,Clackamas,Oregon,191,6,US
2020-04-24,Clackamas,Oregon,196,6,US
2020-04-25,Clackamas,Oregon,201,6,US
2020-04-26,Clackamas,Oregon,204,6,US
2020-04-27,Clackamas,Oregon,204,6,US
2020-04-28,Clackamas,Oregon,205,7,US
2020-04-29,Clackamas,Oregon,206,7,US
2020-04-30,Clackamas,Oregon,214,7,US
2020-05-01,Clackamas,Oregon,222,7,US
2020-05-02,Clackamas,Oregon,224,7,US
2020-05-03,Clackamas,Oregon,225,7,US
2020-05-04,Clackamas,Oregon,226,7,US
2020-05-05,Clackamas,Oregon,231,7,US
2020-05-06,Clackamas,Oregon,235,7,US
2020-05-07,Clackamas,Oregon,241,8,US
2020-05-08,Clackamas,Oregon,250,8,US
2020-05-09,Clackamas,Oregon,256,9,US
2020-05-10,Clackamas,Oregon,266,9,US
2020-05-11,Clackamas,Oregon,268,9,US
2020-05-12,Clackamas,Oregon,274,9,US
2020-05-13,Clackamas,Oregon,274,9,US
2020-05-14,Clackamas,Oregon,271,9,US
2020-05-15,Clackamas,Oregon,277,9,US
2020-05-16,Clackamas,Oregon,281,9,US
2020-05-17,Clackamas,Oregon,281,9,US
2020-05-18,Clackamas,Oregon,286,9,US
2020-05-19,Clackamas,Oregon,284,9,US
2020-05-20,Clackamas,Oregon,284,9,US
2020-05-21,Clackamas,Oregon,284,9,US
2020-05-22,Clackamas,Oregon,289,9,US
2020-05-23,Clackamas,Oregon,290,9,US
2020-05-24,Clackamas,Oregon,290,10,US
2020-05-25,Clackamas,Oregon,294,10,US
2020-05-26,Clackamas,Oregon,296,10,US
2020-05-27,Clackamas,Oregon,300,10,US
2020-05-28,Clackamas,Oregon,304,11,US
2020-05-29,Clackamas,Oregon,305,11,US
