Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Clark,Illinois,0,0,US
2020-01-23,Clark,Illinois,0,0,US
2020-01-24,Clark,Illinois,0,0,US
2020-01-25,Clark,Illinois,0,0,US
2020-01-26,Clark,Illinois,0,0,US
2020-01-27,Clark,Illinois,0,0,US
2020-01-28,Clark,Illinois,0,0,US
2020-01-29,Clark,Illinois,0,0,US
2020-01-30,Clark,Illinois,0,0,US
2020-01-31,Clark,Illinois,0,0,US
2020-02-01,Clark,Illinois,0,0,US
2020-02-02,Clark,Illinois,0,0,US
2020-02-03,Clark,Illinois,0,0,US
2020-02-04,Clark,Illinois,0,0,US
2020-02-05,Clark,Illinois,0,0,US
2020-02-06,Clark,Illinois,0,0,US
2020-02-07,Clark,Illinois,0,0,US
2020-02-08,Clark,Illinois,0,0,US
2020-02-09,Clark,Illinois,0,0,US
2020-02-10,Clark,Illinois,0,0,US
2020-02-11,Clark,Illinois,0,0,US
2020-02-12,Clark,Illinois,0,0,US
2020-02-13,Clark,Illinois,0,0,US
2020-02-14,Clark,Illinois,0,0,US
2020-02-15,Clark,Illinois,0,0,US
2020-02-16,Clark,Illinois,0,0,US
2020-02-17,Clark,Illinois,0,0,US
2020-02-18,Clark,Illinois,0,0,US
2020-02-19,Clark,Illinois,0,0,US
2020-02-20,Clark,Illinois,0,0,US
2020-02-21,Clark,Illinois,0,0,US
2020-02-22,Clark,Illinois,0,0,US
2020-02-23,Clark,Illinois,0,0,US
2020-02-24,Clark,Illinois,0,0,US
2020-02-25,Clark,Illinois,0,0,US
2020-02-26,Clark,Illinois,0,0,US
2020-02-27,Clark,Illinois,0,0,US
2020-02-28,Clark,Illinois,0,0,US
2020-02-29,Clark,Illinois,0,0,US
2020-03-01,Clark,Illinois,0,0,US
2020-03-02,Clark,Illinois,0,0,US
2020-03-03,Clark,Illinois,0,0,US
2020-03-04,Clark,Illinois,0,0,US
2020-03-05,Clark,Illinois,0,0,US
