Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Coke,Texas,0,0,US
2020-01-23,Coke,Texas,0,0,US
2020-01-24,Coke,Texas,0,0,US
2020-01-25,Coke,Texas,0,0,US
2020-01-26,Coke,Texas,0,0,US
2020-01-27,Coke,Texas,0,0,US
2020-01-28,Coke,Texas,0,0,US
2020-01-29,Coke,Texas,0,0,US
2020-01-30,Coke,Texas,0,0,US
2020-01-31,Coke,Texas,0,0,US
2020-02-01,Coke,Texas,0,0,US
2020-02-02,Coke,Texas,0,0,US
2020-02-03,Coke,Texas,0,0,US
2020-02-04,Coke,Texas,0,0,US
2020-02-05,Coke,Texas,0,0,US
2020-02-06,Coke,Texas,0,0,US
2020-02-07,Coke,Texas,0,0,US
2020-02-08,Coke,Texas,0,0,US
2020-02-09,Coke,Texas,0,0,US
2020-02-10,Coke,Texas,0,0,US
2020-02-11,Coke,Texas,0,0,US
2020-02-12,Coke,Texas,0,0,US
2020-02-13,Coke,Texas,0,0,US
2020-02-14,Coke,Texas,0,0,US
2020-02-15,Coke,Texas,0,0,US
2020-02-16,Coke,Texas,0,0,US
2020-02-17,Coke,Texas,0,0,US
2020-02-18,Coke,Texas,0,0,US
2020-02-19,Coke,Texas,0,0,US
2020-02-20,Coke,Texas,0,0,US
2020-02-21,Coke,Texas,0,0,US
2020-02-22,Coke,Texas,0,0,US
2020-02-23,Coke,Texas,0,0,US
2020-02-24,Coke,Texas,0,0,US
2020-02-25,Coke,Texas,0,0,US
2020-02-26,Coke,Texas,0,0,US
2020-02-27,Coke,Texas,0,0,US
2020-02-28,Coke,Texas,0,0,US
2020-02-29,Coke,Texas,0,0,US
2020-03-01,Coke,Texas,0,0,US
2020-03-02,Coke,Texas,0,0,US
2020-03-03,Coke,Texas,0,0,US
2020-03-04,Coke,Texas,0,0,US
2020-03-05,Coke,Texas,0,0,US
2020-03-06,Coke,Texas,0,0,US
2020-03-07,Coke,Texas,0,0,US
2020-03-08,Coke,Texas,0,0,US
2020-03-09,Coke,Texas,0,0,US
2020-03-10,Coke,Texas,0,0,US
2020-03-11,Coke,Texas,0,0,US
2020-03-12,Coke,Texas,0,0,US
2020-03-13,Coke,Texas,0,0,US
2020-03-14,Coke,Texas,0,0,US
2020-03-15,Coke,Texas,0,0,US
2020-03-16,Coke,Texas,0,0,US
2020-03-17,Coke,Texas,0,0,US
2020-03-18,Coke,Texas,0,0,US
2020-03-19,Coke,Texas,0,0,US
2020-03-20,Coke,Texas,0,0,US
2020-03-21,Coke,Texas,0,0,US
2020-03-22,Coke,Texas,0,0,US
2020-03-23,Coke,Texas,0,0,US
2020-03-24,Coke,Texas,0,0,US
2020-03-25,Coke,Texas,0,0,US
2020-03-26,Coke,Texas,0,0,US
2020-03-27,Coke,Texas,0,0,US
2020-03-28,Coke,Texas,0,0,US
2020-03-29,Coke,Texas,0,0,US
2020-03-30,Coke,Texas,0,0,US
2020-03-31,Coke,Texas,0,0,US
2020-04-01,Coke,Texas,0,0,US
2020-04-02,Coke,Texas,0,0,US
2020-04-03,Coke,Texas,0,0,US
2020-04-04,Coke,Texas,0,0,US
2020-04-05,Coke,Texas,0,0,US
2020-04-06,Coke,Texas,0,0,US
2020-04-07,Coke,Texas,0,0,US
2020-04-08,Coke,Texas,0,0,US
2020-04-09,Coke,Texas,0,0,US
2020-04-10,Coke,Texas,0,0,US
2020-04-11,Coke,Texas,0,0,US
2020-04-12,Coke,Texas,0,0,US
2020-04-13,Coke,Texas,0,0,US
2020-04-14,Coke,Texas,0,0,US
2020-04-15,Coke,Texas,0,0,US
2020-04-16,Coke,Texas,0,0,US
2020-04-17,Coke,Texas,0,0,US
2020-04-18,Coke,Texas,0,0,US
2020-04-19,Coke,Texas,0,0,US
2020-04-20,Coke,Texas,0,0,US
2020-04-21,Coke,Texas,0,0,US
2020-04-22,Coke,Texas,0,0,US
2020-04-23,Coke,Texas,0,0,US
2020-04-24,Coke,Texas,0,0,US
2020-04-25,Coke,Texas,0,0,US
2020-04-26,Coke,Texas,0,0,US
2020-04-27,Coke,Texas,0,0,US
2020-04-28,Coke,Texas,0,0,US
2020-04-29,Coke,Texas,0,0,US
2020-04-30,Coke,Texas,0,0,US
2020-05-01,Coke,Texas,0,0,US
2020-05-02,Coke,Texas,0,0,US
2020-05-03,Coke,Texas,0,0,US
2020-05-04,Coke,Texas,1,0,US
2020-05-05,Coke,Texas,1,0,US
2020-05-06,Coke,Texas,1,0,US
2020-05-07,Coke,Texas,1,0,US
2020-05-08,Coke,Texas,1,0,US
2020-05-09,Coke,Texas,1,0,US
2020-05-10,Coke,Texas,1,0,US
2020-05-11,Coke,Texas,1,0,US
2020-05-12,Coke,Texas,1,0,US
2020-05-13,Coke,Texas,1,0,US
2020-05-14,Coke,Texas,1,0,US
2020-05-15,Coke,Texas,1,0,US
2020-05-16,Coke,Texas,1,0,US
2020-05-17,Coke,Texas,1,0,US
2020-05-18,Coke,Texas,1,0,US
2020-05-19,Coke,Texas,1,0,US
2020-05-20,Coke,Texas,1,0,US
2020-05-21,Coke,Texas,1,0,US
2020-05-22,Coke,Texas,1,0,US
2020-05-23,Coke,Texas,1,0,US
2020-05-24,Coke,Texas,1,0,US
2020-05-25,Coke,Texas,1,0,US
2020-05-26,Coke,Texas,1,0,US
2020-05-27,Coke,Texas,1,0,US
2020-05-28,Coke,Texas,1,0,US
2020-05-29,Coke,Texas,1,0,US
2020-05-30,Coke,Texas,1,0,US
2020-05-31,Coke,Texas,1,0,US
2020-06-01,Coke,Texas,1,0,US
2020-06-02,Coke,Texas,1,0,US
2020-06-03,Coke,Texas,1,0,US
2020-06-04,Coke,Texas,1,0,US
2020-06-05,Coke,Texas,1,0,US
2020-06-06,Coke,Texas,1,0,US
2020-06-07,Coke,Texas,1,0,US
2020-06-08,Coke,Texas,1,0,US
2020-06-09,Coke,Texas,1,0,US
2020-06-10,Coke,Texas,2,0,US
2020-06-11,Coke,Texas,4,0,US
2020-06-12,Coke,Texas,4,0,US
2020-06-13,Coke,Texas,4,0,US
2020-06-14,Coke,Texas,4,0,US
2020-06-15,Coke,Texas,4,0,US
2020-06-16,Coke,Texas,4,0,US
2020-06-17,Coke,Texas,4,0,US
2020-06-18,Coke,Texas,4,0,US
2020-06-19,Coke,Texas,4,0,US
2020-06-20,Coke,Texas,4,0,US
2020-06-21,Coke,Texas,4,0,US
2020-06-22,Coke,Texas,4,0,US
2020-06-23,Coke,Texas,4,1,US
2020-06-24,Coke,Texas,4,1,US
2020-06-25,Coke,Texas,4,1,US
2020-06-26,Coke,Texas,4,1,US
2020-06-27,Coke,Texas,4,1,US
2020-06-28,Coke,Texas,4,1,US
2020-06-29,Coke,Texas,4,1,US
2020-06-30,Coke,Texas,4,1,US
2020-07-01,Coke,Texas,4,1,US
2020-07-02,Coke,Texas,4,1,US
2020-07-03,Coke,Texas,4,1,US
2020-07-04,Coke,Texas,4,1,US
