Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Conejos,Colorado,0,0,US
2020-01-23,Conejos,Colorado,0,0,US
2020-01-24,Conejos,Colorado,0,0,US
2020-01-25,Conejos,Colorado,0,0,US
2020-01-26,Conejos,Colorado,0,0,US
2020-01-27,Conejos,Colorado,0,0,US
2020-01-28,Conejos,Colorado,0,0,US
2020-01-29,Conejos,Colorado,0,0,US
2020-01-30,Conejos,Colorado,0,0,US
2020-01-31,Conejos,Colorado,0,0,US
2020-02-01,Conejos,Colorado,0,0,US
2020-02-02,Conejos,Colorado,0,0,US
2020-02-03,Conejos,Colorado,0,0,US
2020-02-04,Conejos,Colorado,0,0,US
2020-02-05,Conejos,Colorado,0,0,US
2020-02-06,Conejos,Colorado,0,0,US
2020-02-07,Conejos,Colorado,0,0,US
2020-02-08,Conejos,Colorado,0,0,US
2020-02-09,Conejos,Colorado,0,0,US
2020-02-10,Conejos,Colorado,0,0,US
2020-02-11,Conejos,Colorado,0,0,US
2020-02-12,Conejos,Colorado,0,0,US
2020-02-13,Conejos,Colorado,0,0,US
2020-02-14,Conejos,Colorado,0,0,US
2020-02-15,Conejos,Colorado,0,0,US
2020-02-16,Conejos,Colorado,0,0,US
2020-02-17,Conejos,Colorado,0,0,US
2020-02-18,Conejos,Colorado,0,0,US
2020-02-19,Conejos,Colorado,0,0,US
2020-02-20,Conejos,Colorado,0,0,US
2020-02-21,Conejos,Colorado,0,0,US
2020-02-22,Conejos,Colorado,0,0,US
2020-02-23,Conejos,Colorado,0,0,US
2020-02-24,Conejos,Colorado,0,0,US
2020-02-25,Conejos,Colorado,0,0,US
2020-02-26,Conejos,Colorado,0,0,US
2020-02-27,Conejos,Colorado,0,0,US
2020-02-28,Conejos,Colorado,0,0,US
2020-02-29,Conejos,Colorado,0,0,US
2020-03-01,Conejos,Colorado,0,0,US
2020-03-02,Conejos,Colorado,0,0,US
2020-03-03,Conejos,Colorado,0,0,US
2020-03-04,Conejos,Colorado,0,0,US
2020-03-05,Conejos,Colorado,0,0,US
2020-03-06,Conejos,Colorado,0,0,US
2020-03-07,Conejos,Colorado,0,0,US
2020-03-08,Conejos,Colorado,0,0,US
2020-03-09,Conejos,Colorado,0,0,US
2020-03-10,Conejos,Colorado,0,0,US
2020-03-11,Conejos,Colorado,0,0,US
2020-03-12,Conejos,Colorado,0,0,US
2020-03-13,Conejos,Colorado,0,0,US
2020-03-14,Conejos,Colorado,0,0,US
2020-03-15,Conejos,Colorado,0,0,US
2020-03-16,Conejos,Colorado,0,0,US
2020-03-17,Conejos,Colorado,0,0,US
2020-03-18,Conejos,Colorado,0,0,US
2020-03-19,Conejos,Colorado,0,0,US
2020-03-20,Conejos,Colorado,0,0,US
2020-03-21,Conejos,Colorado,0,0,US
2020-03-22,Conejos,Colorado,0,0,US
2020-03-23,Conejos,Colorado,0,0,US
2020-03-24,Conejos,Colorado,0,0,US
2020-03-25,Conejos,Colorado,0,0,US
2020-03-26,Conejos,Colorado,0,0,US
2020-03-27,Conejos,Colorado,0,0,US
2020-03-28,Conejos,Colorado,0,0,US
2020-03-29,Conejos,Colorado,0,0,US
2020-03-30,Conejos,Colorado,0,0,US
2020-03-31,Conejos,Colorado,0,0,US
2020-04-01,Conejos,Colorado,0,0,US
2020-04-02,Conejos,Colorado,0,0,US
2020-04-03,Conejos,Colorado,0,0,US
2020-04-04,Conejos,Colorado,0,0,US
2020-04-05,Conejos,Colorado,0,0,US
2020-04-06,Conejos,Colorado,0,0,US
2020-04-07,Conejos,Colorado,0,0,US
2020-04-08,Conejos,Colorado,0,0,US
2020-04-09,Conejos,Colorado,0,0,US
2020-04-10,Conejos,Colorado,0,0,US
2020-04-11,Conejos,Colorado,0,0,US
2020-04-12,Conejos,Colorado,0,0,US
2020-04-13,Conejos,Colorado,0,0,US
2020-04-14,Conejos,Colorado,0,0,US
2020-04-15,Conejos,Colorado,0,0,US
2020-04-16,Conejos,Colorado,0,0,US
2020-04-17,Conejos,Colorado,0,0,US
2020-04-18,Conejos,Colorado,0,0,US
2020-04-19,Conejos,Colorado,0,0,US
2020-04-20,Conejos,Colorado,0,0,US
2020-04-21,Conejos,Colorado,0,0,US
2020-04-22,Conejos,Colorado,0,0,US
2020-04-23,Conejos,Colorado,0,0,US
2020-04-24,Conejos,Colorado,0,0,US
2020-04-25,Conejos,Colorado,0,0,US
2020-04-26,Conejos,Colorado,0,0,US
2020-04-27,Conejos,Colorado,0,0,US
2020-04-28,Conejos,Colorado,0,0,US
