Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Corson,South Dakota,0,0,US
2020-01-23,Corson,South Dakota,0,0,US
2020-01-24,Corson,South Dakota,0,0,US
2020-01-25,Corson,South Dakota,0,0,US
2020-01-26,Corson,South Dakota,0,0,US
2020-01-27,Corson,South Dakota,0,0,US
2020-01-28,Corson,South Dakota,0,0,US
2020-01-29,Corson,South Dakota,0,0,US
2020-01-30,Corson,South Dakota,0,0,US
2020-01-31,Corson,South Dakota,0,0,US
2020-02-01,Corson,South Dakota,0,0,US
2020-02-02,Corson,South Dakota,0,0,US
2020-02-03,Corson,South Dakota,0,0,US
2020-02-04,Corson,South Dakota,0,0,US
2020-02-05,Corson,South Dakota,0,0,US
2020-02-06,Corson,South Dakota,0,0,US
2020-02-07,Corson,South Dakota,0,0,US
2020-02-08,Corson,South Dakota,0,0,US
2020-02-09,Corson,South Dakota,0,0,US
2020-02-10,Corson,South Dakota,0,0,US
2020-02-11,Corson,South Dakota,0,0,US
2020-02-12,Corson,South Dakota,0,0,US
2020-02-13,Corson,South Dakota,0,0,US
2020-02-14,Corson,South Dakota,0,0,US
2020-02-15,Corson,South Dakota,0,0,US
2020-02-16,Corson,South Dakota,0,0,US
2020-02-17,Corson,South Dakota,0,0,US
2020-02-18,Corson,South Dakota,0,0,US
2020-02-19,Corson,South Dakota,0,0,US
2020-02-20,Corson,South Dakota,0,0,US
2020-02-21,Corson,South Dakota,0,0,US
2020-02-22,Corson,South Dakota,0,0,US
2020-02-23,Corson,South Dakota,0,0,US
2020-02-24,Corson,South Dakota,0,0,US
2020-02-25,Corson,South Dakota,0,0,US
2020-02-26,Corson,South Dakota,0,0,US
2020-02-27,Corson,South Dakota,0,0,US
2020-02-28,Corson,South Dakota,0,0,US
2020-02-29,Corson,South Dakota,0,0,US
2020-03-01,Corson,South Dakota,0,0,US
2020-03-02,Corson,South Dakota,0,0,US
2020-03-03,Corson,South Dakota,0,0,US
2020-03-04,Corson,South Dakota,0,0,US
2020-03-05,Corson,South Dakota,0,0,US
2020-03-06,Corson,South Dakota,0,0,US
2020-03-07,Corson,South Dakota,0,0,US
2020-03-08,Corson,South Dakota,0,0,US
2020-03-09,Corson,South Dakota,0,0,US
2020-03-10,Corson,South Dakota,0,0,US
2020-03-11,Corson,South Dakota,0,0,US
2020-03-12,Corson,South Dakota,0,0,US
2020-03-13,Corson,South Dakota,0,0,US
2020-03-14,Corson,South Dakota,0,0,US
2020-03-15,Corson,South Dakota,0,0,US
2020-03-16,Corson,South Dakota,0,0,US
2020-03-17,Corson,South Dakota,0,0,US
2020-03-18,Corson,South Dakota,0,0,US
2020-03-19,Corson,South Dakota,0,0,US
2020-03-20,Corson,South Dakota,0,0,US
2020-03-21,Corson,South Dakota,0,0,US
2020-03-22,Corson,South Dakota,0,0,US
2020-03-23,Corson,South Dakota,0,0,US
2020-03-24,Corson,South Dakota,0,0,US
2020-03-25,Corson,South Dakota,0,0,US
2020-03-26,Corson,South Dakota,0,0,US
2020-03-27,Corson,South Dakota,0,0,US
2020-03-28,Corson,South Dakota,0,0,US
2020-03-29,Corson,South Dakota,0,0,US
2020-03-30,Corson,South Dakota,0,0,US
2020-03-31,Corson,South Dakota,0,0,US
2020-04-01,Corson,South Dakota,0,0,US
2020-04-02,Corson,South Dakota,0,0,US
2020-04-03,Corson,South Dakota,0,0,US
2020-04-04,Corson,South Dakota,0,0,US
2020-04-05,Corson,South Dakota,0,0,US
2020-04-06,Corson,South Dakota,0,0,US
2020-04-07,Corson,South Dakota,0,0,US
2020-04-08,Corson,South Dakota,0,0,US
2020-04-09,Corson,South Dakota,1,0,US
2020-04-10,Corson,South Dakota,1,0,US
2020-04-11,Corson,South Dakota,1,0,US
2020-04-12,Corson,South Dakota,1,0,US
2020-04-13,Corson,South Dakota,1,0,US
2020-04-14,Corson,South Dakota,1,0,US
2020-04-15,Corson,South Dakota,1,0,US
