Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Covington,Virginia,0,0,US
2020-01-23,Covington,Virginia,0,0,US
2020-01-24,Covington,Virginia,0,0,US
2020-01-25,Covington,Virginia,0,0,US
2020-01-26,Covington,Virginia,0,0,US
2020-01-27,Covington,Virginia,0,0,US
2020-01-28,Covington,Virginia,0,0,US
2020-01-29,Covington,Virginia,0,0,US
2020-01-30,Covington,Virginia,0,0,US
2020-01-31,Covington,Virginia,0,0,US
2020-02-01,Covington,Virginia,0,0,US
2020-02-02,Covington,Virginia,0,0,US
2020-02-03,Covington,Virginia,0,0,US
2020-02-04,Covington,Virginia,0,0,US
2020-02-05,Covington,Virginia,0,0,US
2020-02-06,Covington,Virginia,0,0,US
2020-02-07,Covington,Virginia,0,0,US
2020-02-08,Covington,Virginia,0,0,US
2020-02-09,Covington,Virginia,0,0,US
2020-02-10,Covington,Virginia,0,0,US
2020-02-11,Covington,Virginia,0,0,US
2020-02-12,Covington,Virginia,0,0,US
2020-02-13,Covington,Virginia,0,0,US
2020-02-14,Covington,Virginia,0,0,US
2020-02-15,Covington,Virginia,0,0,US
2020-02-16,Covington,Virginia,0,0,US
2020-02-17,Covington,Virginia,0,0,US
2020-02-18,Covington,Virginia,0,0,US
2020-02-19,Covington,Virginia,0,0,US
2020-02-20,Covington,Virginia,0,0,US
2020-02-21,Covington,Virginia,0,0,US
2020-02-22,Covington,Virginia,0,0,US
2020-02-23,Covington,Virginia,0,0,US
2020-02-24,Covington,Virginia,0,0,US
2020-02-25,Covington,Virginia,0,0,US
2020-02-26,Covington,Virginia,0,0,US
2020-02-27,Covington,Virginia,0,0,US
2020-02-28,Covington,Virginia,0,0,US
2020-02-29,Covington,Virginia,0,0,US
2020-03-01,Covington,Virginia,0,0,US
2020-03-02,Covington,Virginia,0,0,US
2020-03-03,Covington,Virginia,0,0,US
2020-03-04,Covington,Virginia,0,0,US
2020-03-05,Covington,Virginia,0,0,US
2020-03-06,Covington,Virginia,0,0,US
2020-03-07,Covington,Virginia,0,0,US
2020-03-08,Covington,Virginia,0,0,US
2020-03-09,Covington,Virginia,0,0,US
2020-03-10,Covington,Virginia,0,0,US
2020-03-11,Covington,Virginia,0,0,US
2020-03-12,Covington,Virginia,0,0,US
2020-03-13,Covington,Virginia,0,0,US
2020-03-14,Covington,Virginia,0,0,US
2020-03-15,Covington,Virginia,0,0,US
2020-03-16,Covington,Virginia,0,0,US
2020-03-17,Covington,Virginia,0,0,US
2020-03-18,Covington,Virginia,0,0,US
2020-03-19,Covington,Virginia,0,0,US
2020-03-20,Covington,Virginia,0,0,US
2020-03-21,Covington,Virginia,0,0,US
2020-03-22,Covington,Virginia,0,0,US
2020-03-23,Covington,Virginia,0,0,US
2020-03-24,Covington,Virginia,0,0,US
2020-03-25,Covington,Virginia,0,0,US
2020-03-26,Covington,Virginia,0,0,US
2020-03-27,Covington,Virginia,0,0,US
2020-03-28,Covington,Virginia,0,0,US
2020-03-29,Covington,Virginia,0,0,US
2020-03-30,Covington,Virginia,0,0,US
2020-03-31,Covington,Virginia,0,0,US
2020-04-01,Covington,Virginia,1,0,US
2020-04-02,Covington,Virginia,1,0,US
2020-04-03,Covington,Virginia,1,0,US
2020-04-04,Covington,Virginia,1,0,US
2020-04-05,Covington,Virginia,1,0,US
2020-04-06,Covington,Virginia,1,0,US
2020-04-07,Covington,Virginia,1,0,US
2020-04-08,Covington,Virginia,1,0,US
2020-04-09,Covington,Virginia,1,0,US
2020-04-10,Covington,Virginia,1,0,US
2020-04-11,Covington,Virginia,1,0,US
2020-04-12,Covington,Virginia,1,0,US
2020-04-13,Covington,Virginia,1,0,US
2020-04-14,Covington,Virginia,1,0,US
2020-04-15,Covington,Virginia,1,0,US
2020-04-16,Covington,Virginia,1,0,US
2020-04-17,Covington,Virginia,1,0,US
2020-04-18,Covington,Virginia,1,0,US
2020-04-19,Covington,Virginia,1,0,US
2020-04-20,Covington,Virginia,1,0,US
2020-04-21,Covington,Virginia,1,0,US
2020-04-22,Covington,Virginia,1,0,US
2020-04-23,Covington,Virginia,1,0,US
2020-04-24,Covington,Virginia,1,0,US
2020-04-25,Covington,Virginia,1,0,US
2020-04-26,Covington,Virginia,1,0,US
2020-04-27,Covington,Virginia,1,0,US
2020-04-28,Covington,Virginia,1,0,US
2020-04-29,Covington,Virginia,1,0,US
2020-04-30,Covington,Virginia,1,0,US
2020-05-01,Covington,Virginia,1,0,US
