Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Cowley,Kansas,0,0,US
2020-01-23,Cowley,Kansas,0,0,US
2020-01-24,Cowley,Kansas,0,0,US
2020-01-25,Cowley,Kansas,0,0,US
2020-01-26,Cowley,Kansas,0,0,US
2020-01-27,Cowley,Kansas,0,0,US
2020-01-28,Cowley,Kansas,0,0,US
2020-01-29,Cowley,Kansas,0,0,US
2020-01-30,Cowley,Kansas,0,0,US
2020-01-31,Cowley,Kansas,0,0,US
2020-02-01,Cowley,Kansas,0,0,US
2020-02-02,Cowley,Kansas,0,0,US
2020-02-03,Cowley,Kansas,0,0,US
2020-02-04,Cowley,Kansas,0,0,US
2020-02-05,Cowley,Kansas,0,0,US
2020-02-06,Cowley,Kansas,0,0,US
2020-02-07,Cowley,Kansas,0,0,US
2020-02-08,Cowley,Kansas,0,0,US
2020-02-09,Cowley,Kansas,0,0,US
2020-02-10,Cowley,Kansas,0,0,US
2020-02-11,Cowley,Kansas,0,0,US
2020-02-12,Cowley,Kansas,0,0,US
2020-02-13,Cowley,Kansas,0,0,US
2020-02-14,Cowley,Kansas,0,0,US
2020-02-15,Cowley,Kansas,0,0,US
2020-02-16,Cowley,Kansas,0,0,US
2020-02-17,Cowley,Kansas,0,0,US
2020-02-18,Cowley,Kansas,0,0,US
2020-02-19,Cowley,Kansas,0,0,US
2020-02-20,Cowley,Kansas,0,0,US
2020-02-21,Cowley,Kansas,0,0,US
2020-02-22,Cowley,Kansas,0,0,US
2020-02-23,Cowley,Kansas,0,0,US
2020-02-24,Cowley,Kansas,0,0,US
2020-02-25,Cowley,Kansas,0,0,US
2020-02-26,Cowley,Kansas,0,0,US
2020-02-27,Cowley,Kansas,0,0,US
2020-02-28,Cowley,Kansas,0,0,US
2020-02-29,Cowley,Kansas,0,0,US
2020-03-01,Cowley,Kansas,0,0,US
2020-03-02,Cowley,Kansas,0,0,US
2020-03-03,Cowley,Kansas,0,0,US
2020-03-04,Cowley,Kansas,0,0,US
2020-03-05,Cowley,Kansas,0,0,US
2020-03-06,Cowley,Kansas,0,0,US
2020-03-07,Cowley,Kansas,0,0,US
2020-03-08,Cowley,Kansas,0,0,US
2020-03-09,Cowley,Kansas,0,0,US
2020-03-10,Cowley,Kansas,0,0,US
2020-03-11,Cowley,Kansas,0,0,US
2020-03-12,Cowley,Kansas,0,0,US
2020-03-13,Cowley,Kansas,0,0,US
2020-03-14,Cowley,Kansas,0,0,US
2020-03-15,Cowley,Kansas,0,0,US
2020-03-16,Cowley,Kansas,0,0,US
2020-03-17,Cowley,Kansas,0,0,US
2020-03-18,Cowley,Kansas,0,0,US
2020-03-19,Cowley,Kansas,0,0,US
2020-03-20,Cowley,Kansas,0,0,US
2020-03-21,Cowley,Kansas,0,0,US
