Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Crawford,Kansas,0,0,US
2020-01-23,Crawford,Kansas,0,0,US
2020-01-24,Crawford,Kansas,0,0,US
2020-01-25,Crawford,Kansas,0,0,US
2020-01-26,Crawford,Kansas,0,0,US
2020-01-27,Crawford,Kansas,0,0,US
2020-01-28,Crawford,Kansas,0,0,US
2020-01-29,Crawford,Kansas,0,0,US
2020-01-30,Crawford,Kansas,0,0,US
2020-01-31,Crawford,Kansas,0,0,US
2020-02-01,Crawford,Kansas,0,0,US
2020-02-02,Crawford,Kansas,0,0,US
2020-02-03,Crawford,Kansas,0,0,US
2020-02-04,Crawford,Kansas,0,0,US
2020-02-05,Crawford,Kansas,0,0,US
2020-02-06,Crawford,Kansas,0,0,US
2020-02-07,Crawford,Kansas,0,0,US
2020-02-08,Crawford,Kansas,0,0,US
2020-02-09,Crawford,Kansas,0,0,US
2020-02-10,Crawford,Kansas,0,0,US
2020-02-11,Crawford,Kansas,0,0,US
2020-02-12,Crawford,Kansas,0,0,US
2020-02-13,Crawford,Kansas,0,0,US
2020-02-14,Crawford,Kansas,0,0,US
2020-02-15,Crawford,Kansas,0,0,US
2020-02-16,Crawford,Kansas,0,0,US
2020-02-17,Crawford,Kansas,0,0,US
2020-02-18,Crawford,Kansas,0,0,US
2020-02-19,Crawford,Kansas,0,0,US
2020-02-20,Crawford,Kansas,0,0,US
2020-02-21,Crawford,Kansas,0,0,US
2020-02-22,Crawford,Kansas,0,0,US
2020-02-23,Crawford,Kansas,0,0,US
2020-02-24,Crawford,Kansas,0,0,US
2020-02-25,Crawford,Kansas,0,0,US
2020-02-26,Crawford,Kansas,0,0,US
2020-02-27,Crawford,Kansas,0,0,US
2020-02-28,Crawford,Kansas,0,0,US
2020-02-29,Crawford,Kansas,0,0,US
2020-03-01,Crawford,Kansas,0,0,US
2020-03-02,Crawford,Kansas,0,0,US
2020-03-03,Crawford,Kansas,0,0,US
2020-03-04,Crawford,Kansas,0,0,US
2020-03-05,Crawford,Kansas,0,0,US
2020-03-06,Crawford,Kansas,0,0,US
2020-03-07,Crawford,Kansas,0,0,US
2020-03-08,Crawford,Kansas,0,0,US
2020-03-09,Crawford,Kansas,0,0,US
2020-03-10,Crawford,Kansas,0,0,US
2020-03-11,Crawford,Kansas,0,0,US
2020-03-12,Crawford,Kansas,0,0,US
2020-03-13,Crawford,Kansas,0,0,US
2020-03-14,Crawford,Kansas,0,0,US
2020-03-15,Crawford,Kansas,0,0,US
2020-03-16,Crawford,Kansas,0,0,US
2020-03-17,Crawford,Kansas,0,0,US
2020-03-18,Crawford,Kansas,0,0,US
2020-03-19,Crawford,Kansas,0,0,US
2020-03-20,Crawford,Kansas,0,0,US
2020-03-21,Crawford,Kansas,0,0,US
2020-03-22,Crawford,Kansas,0,0,US
2020-03-23,Crawford,Kansas,2,0,US
2020-03-24,Crawford,Kansas,2,0,US
2020-03-25,Crawford,Kansas,2,0,US
2020-03-26,Crawford,Kansas,3,0,US
2020-03-27,Crawford,Kansas,3,0,US
2020-03-28,Crawford,Kansas,3,0,US
2020-03-29,Crawford,Kansas,4,0,US
2020-03-30,Crawford,Kansas,5,0,US
2020-03-31,Crawford,Kansas,5,1,US
2020-04-01,Crawford,Kansas,5,1,US
2020-04-02,Crawford,Kansas,5,1,US
2020-04-03,Crawford,Kansas,4,1,US
2020-04-04,Crawford,Kansas,4,1,US
2020-04-05,Crawford,Kansas,6,1,US
2020-04-06,Crawford,Kansas,4,1,US
2020-04-07,Crawford,Kansas,6,1,US
2020-04-08,Crawford,Kansas,4,1,US
2020-04-09,Crawford,Kansas,6,1,US
2020-04-10,Crawford,Kansas,6,1,US
2020-04-11,Crawford,Kansas,6,1,US
2020-04-12,Crawford,Kansas,6,1,US
2020-04-13,Crawford,Kansas,6,1,US
2020-04-14,Crawford,Kansas,6,1,US
2020-04-15,Crawford,Kansas,6,1,US
2020-04-16,Crawford,Kansas,6,1,US
2020-04-17,Crawford,Kansas,6,1,US
2020-04-18,Crawford,Kansas,6,1,US
2020-04-19,Crawford,Kansas,6,1,US
2020-04-20,Crawford,Kansas,6,1,US
2020-04-21,Crawford,Kansas,6,1,US
2020-04-22,Crawford,Kansas,6,1,US
2020-04-23,Crawford,Kansas,6,1,US
2020-04-24,Crawford,Kansas,6,1,US
2020-04-25,Crawford,Kansas,6,1,US
2020-04-26,Crawford,Kansas,7,1,US
2020-04-27,Crawford,Kansas,7,1,US
2020-04-28,Crawford,Kansas,7,1,US
2020-04-29,Crawford,Kansas,7,1,US
2020-04-30,Crawford,Kansas,8,1,US
2020-05-01,Crawford,Kansas,8,1,US
2020-05-02,Crawford,Kansas,8,1,US
2020-05-03,Crawford,Kansas,8,1,US
2020-05-04,Crawford,Kansas,8,1,US
2020-05-05,Crawford,Kansas,8,1,US
2020-05-06,Crawford,Kansas,8,1,US
2020-05-07,Crawford,Kansas,8,1,US
2020-05-08,Crawford,Kansas,8,1,US
2020-05-09,Crawford,Kansas,8,1,US
2020-05-10,Crawford,Kansas,8,1,US
2020-05-11,Crawford,Kansas,8,1,US
2020-05-12,Crawford,Kansas,8,1,US
2020-05-13,Crawford,Kansas,8,1,US
2020-05-14,Crawford,Kansas,8,1,US
2020-05-15,Crawford,Kansas,8,1,US
2020-05-16,Crawford,Kansas,8,1,US
2020-05-17,Crawford,Kansas,8,1,US
2020-05-18,Crawford,Kansas,8,1,US
2020-05-19,Crawford,Kansas,8,1,US
2020-05-20,Crawford,Kansas,8,1,US
2020-05-21,Crawford,Kansas,8,1,US
2020-05-22,Crawford,Kansas,8,1,US
2020-05-23,Crawford,Kansas,8,1,US
2020-05-24,Crawford,Kansas,8,1,US
2020-05-25,Crawford,Kansas,8,1,US
2020-05-26,Crawford,Kansas,8,1,US
2020-05-27,Crawford,Kansas,8,1,US
2020-05-28,Crawford,Kansas,8,1,US
2020-05-29,Crawford,Kansas,8,1,US
2020-05-30,Crawford,Kansas,8,1,US
2020-05-31,Crawford,Kansas,8,1,US
2020-06-01,Crawford,Kansas,8,1,US
2020-06-02,Crawford,Kansas,8,1,US
2020-06-03,Crawford,Kansas,8,1,US
2020-06-04,Crawford,Kansas,8,1,US
2020-06-05,Crawford,Kansas,8,1,US
2020-06-06,Crawford,Kansas,8,1,US
2020-06-07,Crawford,Kansas,8,1,US
2020-06-08,Crawford,Kansas,8,1,US
2020-06-09,Crawford,Kansas,10,1,US
2020-06-10,Crawford,Kansas,13,1,US
2020-06-11,Crawford,Kansas,14,1,US
2020-06-12,Crawford,Kansas,20,1,US
2020-06-13,Crawford,Kansas,24,1,US
2020-06-14,Crawford,Kansas,44,1,US
2020-06-15,Crawford,Kansas,98,1,US
2020-06-16,Crawford,Kansas,98,1,US
2020-06-17,Crawford,Kansas,156,1,US
2020-06-18,Crawford,Kansas,156,1,US
2020-06-19,Crawford,Kansas,167,1,US
2020-06-20,Crawford,Kansas,167,1,US
2020-06-21,Crawford,Kansas,167,1,US
2020-06-22,Crawford,Kansas,192,1,US
2020-06-23,Crawford,Kansas,192,1,US
2020-06-24,Crawford,Kansas,220,1,US
2020-06-25,Crawford,Kansas,220,1,US
2020-06-26,Crawford,Kansas,246,1,US
2020-06-27,Crawford,Kansas,246,1,US
2020-06-28,Crawford,Kansas,246,1,US
2020-06-29,Crawford,Kansas,256,1,US
2020-06-30,Crawford,Kansas,256,1,US
2020-07-01,Crawford,Kansas,262,1,US
2020-07-02,Crawford,Kansas,262,1,US
2020-07-03,Crawford,Kansas,266,1,US
2020-07-04,Crawford,Kansas,266,1,US
2020-07-05,Crawford,Kansas,266,1,US
2020-07-06,Crawford,Kansas,275,1,US
2020-07-07,Crawford,Kansas,275,1,US
2020-07-08,Crawford,Kansas,291,1,US
2020-07-09,Crawford,Kansas,291,1,US
2020-07-10,Crawford,Kansas,298,1,US
2020-07-11,Crawford,Kansas,298,1,US
2020-07-12,Crawford,Kansas,298,1,US
2020-07-13,Crawford,Kansas,313,1,US
2020-07-14,Crawford,Kansas,313,1,US
2020-07-15,Crawford,Kansas,322,1,US
2020-07-16,Crawford,Kansas,322,1,US
2020-07-17,Crawford,Kansas,326,1,US
2020-07-18,Crawford,Kansas,326,1,US
2020-07-19,Crawford,Kansas,326,1,US
2020-07-20,Crawford,Kansas,341,1,US
2020-07-21,Crawford,Kansas,341,1,US
2020-07-22,Crawford,Kansas,351,1,US
2020-07-23,Crawford,Kansas,351,1,US
2020-07-24,Crawford,Kansas,358,1,US
2020-07-25,Crawford,Kansas,358,1,US
2020-07-26,Crawford,Kansas,358,1,US
2020-07-27,Crawford,Kansas,364,1,US
2020-07-28,Crawford,Kansas,364,1,US
2020-07-29,Crawford,Kansas,366,1,US
2020-07-30,Crawford,Kansas,366,1,US
2020-07-31,Crawford,Kansas,368,1,US
2020-08-01,Crawford,Kansas,368,1,US
2020-08-02,Crawford,Kansas,368,1,US
2020-08-03,Crawford,Kansas,377,1,US
2020-08-04,Crawford,Kansas,377,1,US
2020-08-05,Crawford,Kansas,377,1,US
2020-08-06,Crawford,Kansas,377,1,US
2020-08-07,Crawford,Kansas,380,1,US
2020-08-08,Crawford,Kansas,380,1,US
2020-08-09,Crawford,Kansas,380,1,US
2020-08-10,Crawford,Kansas,385,1,US
2020-08-11,Crawford,Kansas,385,1,US
2020-08-12,Crawford,Kansas,389,1,US
2020-08-13,Crawford,Kansas,389,1,US
2020-08-14,Crawford,Kansas,395,1,US
2020-08-15,Crawford,Kansas,415,1,US
2020-08-16,Crawford,Kansas,415,1,US
2020-08-17,Crawford,Kansas,400,1,US
2020-08-18,Crawford,Kansas,400,1,US
2020-08-19,Crawford,Kansas,405,1,US
2020-08-20,Crawford,Kansas,405,1,US
2020-08-21,Crawford,Kansas,413,1,US
2020-08-22,Crawford,Kansas,413,1,US
2020-08-23,Crawford,Kansas,413,1,US
2020-08-24,Crawford,Kansas,421,1,US
2020-08-25,Crawford,Kansas,421,1,US
2020-08-26,Crawford,Kansas,440,1,US
2020-08-27,Crawford,Kansas,440,1,US
2020-08-28,Crawford,Kansas,459,1,US
2020-08-29,Crawford,Kansas,518,3,US
2020-08-30,Crawford,Kansas,518,3,US
2020-08-31,Crawford,Kansas,602,3,US
2020-09-01,Crawford,Kansas,602,3,US
2020-09-02,Crawford,Kansas,689,3,US
2020-09-03,Crawford,Kansas,689,3,US
2020-09-04,Crawford,Kansas,769,4,US
2020-09-05,Crawford,Kansas,769,4,US
2020-09-06,Crawford,Kansas,769,4,US
2020-09-07,Crawford,Kansas,769,4,US
2020-09-08,Crawford,Kansas,769,4,US
2020-09-09,Crawford,Kansas,819,5,US
2020-09-10,Crawford,Kansas,819,5,US
2020-09-11,Crawford,Kansas,858,5,US
2020-09-12,Crawford,Kansas,858,5,US
2020-09-13,Crawford,Kansas,858,5,US
2020-09-14,Crawford,Kansas,858,5,US
2020-09-15,Crawford,Kansas,858,5,US
2020-09-16,Crawford,Kansas,858,5,US
2020-09-17,Crawford,Kansas,858,5,US
2020-09-18,Crawford,Kansas,951,6,US
2020-09-19,Crawford,Kansas,951,6,US
2020-09-20,Crawford,Kansas,975,6,US
2020-09-21,Crawford,Kansas,978,6,US
2020-09-22,Crawford,Kansas,1011,6,US
2020-09-23,Crawford,Kansas,1011,6,US
2020-09-24,Crawford,Kansas,1038,6,US
2020-09-25,Crawford,Kansas,1041,8,US
2020-09-26,Crawford,Kansas,1041,8,US
2020-09-27,Crawford,Kansas,1070,8,US
2020-09-28,Crawford,Kansas,1070,8,US
2020-09-29,Crawford,Kansas,1098,8,US
2020-09-30,Crawford,Kansas,1098,8,US
2020-10-01,Crawford,Kansas,1128,8,US
2020-10-02,Crawford,Kansas,1131,8,US
2020-10-03,Crawford,Kansas,1131,8,US
2020-10-04,Crawford,Kansas,1163,8,US
2020-10-05,Crawford,Kansas,1163,8,US
2020-10-06,Crawford,Kansas,1191,8,US
2020-10-07,Crawford,Kansas,1191,8,US
2020-10-08,Crawford,Kansas,1223,8,US
2020-10-09,Crawford,Kansas,1223,8,US
2020-10-10,Crawford,Kansas,1223,8,US
2020-10-11,Crawford,Kansas,1256,8,US
2020-10-12,Crawford,Kansas,1256,8,US
2020-10-13,Crawford,Kansas,1294,8,US
2020-10-14,Crawford,Kansas,1294,8,US
2020-10-15,Crawford,Kansas,1326,10,US
2020-10-16,Crawford,Kansas,1326,10,US
2020-10-17,Crawford,Kansas,1326,10,US
2020-10-18,Crawford,Kansas,1351,10,US
2020-10-19,Crawford,Kansas,1351,10,US
2020-10-20,Crawford,Kansas,1381,10,US
2020-10-21,Crawford,Kansas,1381,10,US
2020-10-22,Crawford,Kansas,1421,10,US
2020-10-23,Crawford,Kansas,1421,10,US
2020-10-24,Crawford,Kansas,1421,10,US
2020-10-25,Crawford,Kansas,1446,10,US
2020-10-26,Crawford,Kansas,1446,10,US
2020-10-27,Crawford,Kansas,1475,12,US
2020-10-28,Crawford,Kansas,1475,12,US
2020-10-29,Crawford,Kansas,1527,12,US
2020-10-30,Crawford,Kansas,1527,12,US
2020-10-31,Crawford,Kansas,1527,12,US
2020-11-01,Crawford,Kansas,1546,12,US
2020-11-02,Crawford,Kansas,1546,14,US
2020-11-03,Crawford,Kansas,1605,14,US
2020-11-04,Crawford,Kansas,1605,14,US
2020-11-05,Crawford,Kansas,1656,14,US
2020-11-06,Crawford,Kansas,1656,14,US
2020-11-07,Crawford,Kansas,1656,14,US
2020-11-08,Crawford,Kansas,1718,14,US
2020-11-09,Crawford,Kansas,1718,14,US
2020-11-10,Crawford,Kansas,1718,14,US
2020-11-11,Crawford,Kansas,1810,14,US
2020-11-12,Crawford,Kansas,1810,14,US
2020-11-13,Crawford,Kansas,1882,14,US
2020-11-14,Crawford,Kansas,1882,14,US
2020-11-15,Crawford,Kansas,1882,14,US
2020-11-16,Crawford,Kansas,1944,14,US
2020-11-17,Crawford,Kansas,1944,14,US
2020-11-18,Crawford,Kansas,2026,14,US
2020-11-19,Crawford,Kansas,2026,17,US
2020-11-20,Crawford,Kansas,2103,17,US
2020-11-21,Crawford,Kansas,2103,17,US
2020-11-22,Crawford,Kansas,2103,17,US
2020-11-23,Crawford,Kansas,2175,17,US
2020-11-24,Crawford,Kansas,2175,17,US
2020-11-25,Crawford,Kansas,2290,17,US
2020-11-26,Crawford,Kansas,2290,17,US
2020-11-27,Crawford,Kansas,2350,17,US
2020-11-28,Crawford,Kansas,2350,17,US
2020-11-29,Crawford,Kansas,2350,17,US
2020-11-30,Crawford,Kansas,2427,18,US
2020-12-01,Crawford,Kansas,2427,18,US
2020-12-02,Crawford,Kansas,2507,18,US
2020-12-03,Crawford,Kansas,2507,18,US
2020-12-04,Crawford,Kansas,2601,18,US
2020-12-05,Crawford,Kansas,2601,18,US
2020-12-06,Crawford,Kansas,2601,18,US
2020-12-07,Crawford,Kansas,2665,18,US
2020-12-08,Crawford,Kansas,2665,18,US
2020-12-09,Crawford,Kansas,2756,19,US
2020-12-10,Crawford,Kansas,2756,19,US
2020-12-11,Crawford,Kansas,2815,23,US
2020-12-12,Crawford,Kansas,2815,23,US
2020-12-13,Crawford,Kansas,2815,23,US
2020-12-14,Crawford,Kansas,2862,24,US
2020-12-15,Crawford,Kansas,2862,24,US
2020-12-16,Crawford,Kansas,2941,24,US
2020-12-17,Crawford,Kansas,2941,24,US
2020-12-18,Crawford,Kansas,3048,26,US
2020-12-19,Crawford,Kansas,3048,26,US
2020-12-20,Crawford,Kansas,3048,26,US
2020-12-21,Crawford,Kansas,3109,27,US
2020-12-22,Crawford,Kansas,3109,27,US
2020-12-23,Crawford,Kansas,3159,27,US
2020-12-24,Crawford,Kansas,3159,27,US
2020-12-25,Crawford,Kansas,3159,27,US
2020-12-26,Crawford,Kansas,3159,27,US
2020-12-27,Crawford,Kansas,3159,27,US
2020-12-28,Crawford,Kansas,3244,29,US
2020-12-29,Crawford,Kansas,3244,29,US
2020-12-30,Crawford,Kansas,3379,32,US
2020-12-31,Crawford,Kansas,3379,32,US
2021-01-01,Crawford,Kansas,3454,34,US
2021-01-02,Crawford,Kansas,3454,34,US
2021-01-03,Crawford,Kansas,3454,34,US
2021-01-04,Crawford,Kansas,3537,34,US
2021-01-05,Crawford,Kansas,3537,34,US
2021-01-06,Crawford,Kansas,3648,34,US
2021-01-07,Crawford,Kansas,3648,34,US
2021-01-08,Crawford,Kansas,3724,34,US
2021-01-09,Crawford,Kansas,3724,34,US
2021-01-10,Crawford,Kansas,3724,34,US
2021-01-11,Crawford,Kansas,3797,34,US
2021-01-12,Crawford,Kansas,3797,34,US
2021-01-13,Crawford,Kansas,3882,52,US
2021-01-14,Crawford,Kansas,3882,52,US
2021-01-15,Crawford,Kansas,3927,53,US
2021-01-16,Crawford,Kansas,3927,53,US
2021-01-17,Crawford,Kansas,3927,53,US
2021-01-18,Crawford,Kansas,3966,53,US
2021-01-19,Crawford,Kansas,3966,53,US
2021-01-20,Crawford,Kansas,4026,53,US
2021-01-21,Crawford,Kansas,4026,53,US
2021-01-22,Crawford,Kansas,4056,54,US
2021-01-23,Crawford,Kansas,4056,54,US
2021-01-24,Crawford,Kansas,4056,54,US
2021-01-25,Crawford,Kansas,4095,55,US
2021-01-26,Crawford,Kansas,4095,55,US
2021-01-27,Crawford,Kansas,4166,56,US
2021-01-28,Crawford,Kansas,4166,56,US
2021-01-29,Crawford,Kansas,4199,58,US
2021-01-30,Crawford,Kansas,4199,58,US
2021-01-31,Crawford,Kansas,4199,58,US
2021-02-01,Crawford,Kansas,4222,59,US
2021-02-02,Crawford,Kansas,4222,59,US
2021-02-03,Crawford,Kansas,4283,61,US
2021-02-04,Crawford,Kansas,4283,61,US
2021-02-05,Crawford,Kansas,4317,62,US
2021-02-06,Crawford,Kansas,4317,62,US
2021-02-07,Crawford,Kansas,4317,62,US
2021-02-08,Crawford,Kansas,4353,63,US
2021-02-09,Crawford,Kansas,4353,63,US
2021-02-10,Crawford,Kansas,4384,63,US
2021-02-11,Crawford,Kansas,4384,63,US
2021-02-12,Crawford,Kansas,4413,64,US
2021-02-13,Crawford,Kansas,4413,64,US
2021-02-14,Crawford,Kansas,4413,64,US
2021-02-15,Crawford,Kansas,4428,65,US
2021-02-16,Crawford,Kansas,4428,65,US
2021-02-17,Crawford,Kansas,4453,68,US
2021-02-18,Crawford,Kansas,4453,68,US
2021-02-19,Crawford,Kansas,4466,68,US
2021-02-20,Crawford,Kansas,4466,68,US
2021-02-21,Crawford,Kansas,4466,68,US
2021-02-22,Crawford,Kansas,4482,68,US
2021-02-23,Crawford,Kansas,4482,68,US
2021-02-24,Crawford,Kansas,4494,70,US
2021-02-25,Crawford,Kansas,4494,70,US
2021-02-26,Crawford,Kansas,4502,70,US
2021-02-27,Crawford,Kansas,4502,70,US
2021-02-28,Crawford,Kansas,4502,70,US
2021-03-01,Crawford,Kansas,4514,70,US
2021-03-02,Crawford,Kansas,4514,70,US
2021-03-03,Crawford,Kansas,4528,70,US
2021-03-04,Crawford,Kansas,4528,70,US
2021-03-05,Crawford,Kansas,4537,70,US
2021-03-06,Crawford,Kansas,4537,70,US
2021-03-07,Crawford,Kansas,4537,70,US
2021-03-08,Crawford,Kansas,4545,70,US
2021-03-09,Crawford,Kansas,4545,70,US
2021-03-10,Crawford,Kansas,4559,70,US
2021-03-11,Crawford,Kansas,4559,70,US
2021-03-12,Crawford,Kansas,4569,73,US
2021-03-13,Crawford,Kansas,4569,73,US
2021-03-14,Crawford,Kansas,4569,73,US
2021-03-15,Crawford,Kansas,4578,73,US
2021-03-16,Crawford,Kansas,4578,73,US
2021-03-17,Crawford,Kansas,4594,73,US
2021-03-18,Crawford,Kansas,4594,73,US
2021-03-19,Crawford,Kansas,4605,73,US
2021-03-20,Crawford,Kansas,4605,73,US
2021-03-21,Crawford,Kansas,4605,73,US
2021-03-22,Crawford,Kansas,4610,74,US
2021-03-23,Crawford,Kansas,4610,74,US
2021-03-24,Crawford,Kansas,4616,75,US
2021-03-25,Crawford,Kansas,4616,75,US
2021-03-26,Crawford,Kansas,4622,76,US
2021-03-27,Crawford,Kansas,4622,76,US
2021-03-28,Crawford,Kansas,4622,76,US
2021-03-29,Crawford,Kansas,4627,76,US
2021-03-30,Crawford,Kansas,4627,76,US
2021-03-31,Crawford,Kansas,4638,76,US
2021-04-01,Crawford,Kansas,4638,76,US
2021-04-02,Crawford,Kansas,4648,76,US
2021-04-03,Crawford,Kansas,4648,76,US
2021-04-04,Crawford,Kansas,4648,76,US
2021-04-05,Crawford,Kansas,4651,76,US
2021-04-06,Crawford,Kansas,4651,76,US
2021-04-07,Crawford,Kansas,4661,76,US
2021-04-08,Crawford,Kansas,4661,76,US
2021-04-09,Crawford,Kansas,4664,76,US
2021-04-10,Crawford,Kansas,4664,76,US
2021-04-11,Crawford,Kansas,4664,76,US
2021-04-12,Crawford,Kansas,4672,76,US
2021-04-13,Crawford,Kansas,4672,76,US
2021-04-14,Crawford,Kansas,4681,76,US
2021-04-15,Crawford,Kansas,4681,76,US
2021-04-16,Crawford,Kansas,4686,76,US
2021-04-17,Crawford,Kansas,4686,76,US
2021-04-18,Crawford,Kansas,4686,76,US
2021-04-19,Crawford,Kansas,4692,76,US
2021-04-20,Crawford,Kansas,4692,76,US
2021-04-21,Crawford,Kansas,4698,77,US
2021-04-22,Crawford,Kansas,4698,77,US
2021-04-23,Crawford,Kansas,4704,77,US
2021-04-24,Crawford,Kansas,4704,77,US
2021-04-25,Crawford,Kansas,4704,77,US
2021-04-26,Crawford,Kansas,4710,77,US
2021-04-27,Crawford,Kansas,4710,77,US
2021-04-28,Crawford,Kansas,4717,77,US
2021-04-29,Crawford,Kansas,4717,77,US
2021-04-30,Crawford,Kansas,4719,77,US
2021-05-01,Crawford,Kansas,4719,77,US
2021-05-02,Crawford,Kansas,4719,77,US
2021-05-03,Crawford,Kansas,4724,77,US
2021-05-04,Crawford,Kansas,4724,77,US
2021-05-05,Crawford,Kansas,4727,77,US
2021-05-06,Crawford,Kansas,4727,77,US
2021-05-07,Crawford,Kansas,4731,77,US
2021-05-08,Crawford,Kansas,4731,77,US
2021-05-09,Crawford,Kansas,4731,77,US
2021-05-10,Crawford,Kansas,4733,77,US
2021-05-11,Crawford,Kansas,4733,77,US
2021-05-12,Crawford,Kansas,4735,77,US
2021-05-13,Crawford,Kansas,4735,77,US
2021-05-14,Crawford,Kansas,4735,77,US
2021-05-15,Crawford,Kansas,4735,77,US
2021-05-16,Crawford,Kansas,4735,77,US
2021-05-17,Crawford,Kansas,4735,77,US
2021-05-18,Crawford,Kansas,4735,77,US
2021-05-19,Crawford,Kansas,4739,78,US
2021-05-20,Crawford,Kansas,4739,78,US
2021-05-21,Crawford,Kansas,4742,78,US
2021-05-22,Crawford,Kansas,4742,78,US
2021-05-23,Crawford,Kansas,4742,78,US
2021-05-24,Crawford,Kansas,4749,78,US
2021-05-25,Crawford,Kansas,4749,78,US
2021-05-26,Crawford,Kansas,4751,78,US
2021-05-27,Crawford,Kansas,4751,78,US
2021-05-28,Crawford,Kansas,4752,77,US
2021-05-29,Crawford,Kansas,4752,77,US
2021-05-30,Crawford,Kansas,4752,77,US
2021-05-31,Crawford,Kansas,4752,77,US
2021-06-01,Crawford,Kansas,4752,77,US
2021-06-02,Crawford,Kansas,4759,77,US
2021-06-03,Crawford,Kansas,4759,77,US
2021-06-04,Crawford,Kansas,4762,77,US
2021-06-05,Crawford,Kansas,4762,77,US
2021-06-06,Crawford,Kansas,4762,77,US
2021-06-07,Crawford,Kansas,4768,78,US
2021-06-08,Crawford,Kansas,4768,78,US
2021-06-09,Crawford,Kansas,4780,78,US
2021-06-10,Crawford,Kansas,4780,78,US
2021-06-11,Crawford,Kansas,4787,78,US
2021-06-12,Crawford,Kansas,4787,78,US
2021-06-13,Crawford,Kansas,4787,78,US
2021-06-14,Crawford,Kansas,4789,78,US
2021-06-15,Crawford,Kansas,4789,78,US
2021-06-16,Crawford,Kansas,4802,78,US
2021-06-17,Crawford,Kansas,4802,78,US
2021-06-18,Crawford,Kansas,4808,78,US
2021-06-19,Crawford,Kansas,4808,78,US
2021-06-20,Crawford,Kansas,4808,78,US
2021-06-21,Crawford,Kansas,4813,78,US
2021-06-22,Crawford,Kansas,4813,78,US
2021-06-23,Crawford,Kansas,4842,78,US
2021-06-24,Crawford,Kansas,4842,78,US
2021-06-25,Crawford,Kansas,4853,78,US
2021-06-26,Crawford,Kansas,4853,78,US
2021-06-27,Crawford,Kansas,4853,78,US
2021-06-28,Crawford,Kansas,4866,78,US
2021-06-29,Crawford,Kansas,4866,78,US
2021-06-30,Crawford,Kansas,4885,78,US
2021-07-01,Crawford,Kansas,4885,78,US
