Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Culpeper,Virginia,0,0,US
2020-01-23,Culpeper,Virginia,0,0,US
2020-01-24,Culpeper,Virginia,0,0,US
2020-01-25,Culpeper,Virginia,0,0,US
2020-01-26,Culpeper,Virginia,0,0,US
2020-01-27,Culpeper,Virginia,0,0,US
2020-01-28,Culpeper,Virginia,0,0,US
2020-01-29,Culpeper,Virginia,0,0,US
2020-01-30,Culpeper,Virginia,0,0,US
2020-01-31,Culpeper,Virginia,0,0,US
2020-02-01,Culpeper,Virginia,0,0,US
2020-02-02,Culpeper,Virginia,0,0,US
2020-02-03,Culpeper,Virginia,0,0,US
2020-02-04,Culpeper,Virginia,0,0,US
2020-02-05,Culpeper,Virginia,0,0,US
2020-02-06,Culpeper,Virginia,0,0,US
2020-02-07,Culpeper,Virginia,0,0,US
2020-02-08,Culpeper,Virginia,0,0,US
2020-02-09,Culpeper,Virginia,0,0,US
2020-02-10,Culpeper,Virginia,0,0,US
2020-02-11,Culpeper,Virginia,0,0,US
2020-02-12,Culpeper,Virginia,0,0,US
2020-02-13,Culpeper,Virginia,0,0,US
2020-02-14,Culpeper,Virginia,0,0,US
2020-02-15,Culpeper,Virginia,0,0,US
2020-02-16,Culpeper,Virginia,0,0,US
2020-02-17,Culpeper,Virginia,0,0,US
2020-02-18,Culpeper,Virginia,0,0,US
2020-02-19,Culpeper,Virginia,0,0,US
2020-02-20,Culpeper,Virginia,0,0,US
2020-02-21,Culpeper,Virginia,0,0,US
2020-02-22,Culpeper,Virginia,0,0,US
2020-02-23,Culpeper,Virginia,0,0,US
2020-02-24,Culpeper,Virginia,0,0,US
2020-02-25,Culpeper,Virginia,0,0,US
2020-02-26,Culpeper,Virginia,0,0,US
2020-02-27,Culpeper,Virginia,0,0,US
2020-02-28,Culpeper,Virginia,0,0,US
2020-02-29,Culpeper,Virginia,0,0,US
2020-03-01,Culpeper,Virginia,0,0,US
2020-03-02,Culpeper,Virginia,0,0,US
2020-03-03,Culpeper,Virginia,0,0,US
2020-03-04,Culpeper,Virginia,0,0,US
2020-03-05,Culpeper,Virginia,0,0,US
2020-03-06,Culpeper,Virginia,0,0,US
2020-03-07,Culpeper,Virginia,0,0,US
2020-03-08,Culpeper,Virginia,0,0,US
2020-03-09,Culpeper,Virginia,0,0,US
2020-03-10,Culpeper,Virginia,0,0,US
2020-03-11,Culpeper,Virginia,0,0,US
2020-03-12,Culpeper,Virginia,0,0,US
2020-03-13,Culpeper,Virginia,0,0,US
2020-03-14,Culpeper,Virginia,0,0,US
2020-03-15,Culpeper,Virginia,0,0,US
2020-03-16,Culpeper,Virginia,0,0,US
2020-03-17,Culpeper,Virginia,0,0,US
2020-03-18,Culpeper,Virginia,0,0,US
2020-03-19,Culpeper,Virginia,0,0,US
2020-03-20,Culpeper,Virginia,0,0,US
2020-03-21,Culpeper,Virginia,0,0,US
2020-03-22,Culpeper,Virginia,2,0,US
2020-03-23,Culpeper,Virginia,2,0,US
2020-03-24,Culpeper,Virginia,2,0,US
2020-03-25,Culpeper,Virginia,2,0,US
