Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Custer,South Dakota,0,0,US
2020-01-23,Custer,South Dakota,0,0,US
2020-01-24,Custer,South Dakota,0,0,US
2020-01-25,Custer,South Dakota,0,0,US
2020-01-26,Custer,South Dakota,0,0,US
2020-01-27,Custer,South Dakota,0,0,US
2020-01-28,Custer,South Dakota,0,0,US
2020-01-29,Custer,South Dakota,0,0,US
2020-01-30,Custer,South Dakota,0,0,US
2020-01-31,Custer,South Dakota,0,0,US
2020-02-01,Custer,South Dakota,0,0,US
2020-02-02,Custer,South Dakota,0,0,US
2020-02-03,Custer,South Dakota,0,0,US
2020-02-04,Custer,South Dakota,0,0,US
2020-02-05,Custer,South Dakota,0,0,US
2020-02-06,Custer,South Dakota,0,0,US
2020-02-07,Custer,South Dakota,0,0,US
2020-02-08,Custer,South Dakota,0,0,US
2020-02-09,Custer,South Dakota,0,0,US
2020-02-10,Custer,South Dakota,0,0,US
2020-02-11,Custer,South Dakota,0,0,US
2020-02-12,Custer,South Dakota,0,0,US
2020-02-13,Custer,South Dakota,0,0,US
2020-02-14,Custer,South Dakota,0,0,US
2020-02-15,Custer,South Dakota,0,0,US
2020-02-16,Custer,South Dakota,0,0,US
2020-02-17,Custer,South Dakota,0,0,US
2020-02-18,Custer,South Dakota,0,0,US
2020-02-19,Custer,South Dakota,0,0,US
2020-02-20,Custer,South Dakota,0,0,US
2020-02-21,Custer,South Dakota,0,0,US
2020-02-22,Custer,South Dakota,0,0,US
2020-02-23,Custer,South Dakota,0,0,US
2020-02-24,Custer,South Dakota,0,0,US
2020-02-25,Custer,South Dakota,0,0,US
2020-02-26,Custer,South Dakota,0,0,US
2020-02-27,Custer,South Dakota,0,0,US
2020-02-28,Custer,South Dakota,0,0,US
2020-02-29,Custer,South Dakota,0,0,US
2020-03-01,Custer,South Dakota,0,0,US
2020-03-02,Custer,South Dakota,0,0,US
2020-03-03,Custer,South Dakota,0,0,US
2020-03-04,Custer,South Dakota,0,0,US
2020-03-05,Custer,South Dakota,0,0,US
2020-03-06,Custer,South Dakota,0,0,US
2020-03-07,Custer,South Dakota,0,0,US
2020-03-08,Custer,South Dakota,0,0,US
2020-03-09,Custer,South Dakota,0,0,US
2020-03-10,Custer,South Dakota,0,0,US
2020-03-11,Custer,South Dakota,0,0,US
2020-03-12,Custer,South Dakota,0,0,US
2020-03-13,Custer,South Dakota,0,0,US
2020-03-14,Custer,South Dakota,0,0,US
2020-03-15,Custer,South Dakota,0,0,US
2020-03-16,Custer,South Dakota,0,0,US
