Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Dare,North Carolina,0,0,US
2020-01-23,Dare,North Carolina,0,0,US
2020-01-24,Dare,North Carolina,0,0,US
2020-01-25,Dare,North Carolina,0,0,US
2020-01-26,Dare,North Carolina,0,0,US
2020-01-27,Dare,North Carolina,0,0,US
2020-01-28,Dare,North Carolina,0,0,US
2020-01-29,Dare,North Carolina,0,0,US
2020-01-30,Dare,North Carolina,0,0,US
2020-01-31,Dare,North Carolina,0,0,US
2020-02-01,Dare,North Carolina,0,0,US
2020-02-02,Dare,North Carolina,0,0,US
2020-02-03,Dare,North Carolina,0,0,US
2020-02-04,Dare,North Carolina,0,0,US
2020-02-05,Dare,North Carolina,0,0,US
2020-02-06,Dare,North Carolina,0,0,US
2020-02-07,Dare,North Carolina,0,0,US
2020-02-08,Dare,North Carolina,0,0,US
2020-02-09,Dare,North Carolina,0,0,US
2020-02-10,Dare,North Carolina,0,0,US
2020-02-11,Dare,North Carolina,0,0,US
2020-02-12,Dare,North Carolina,0,0,US
2020-02-13,Dare,North Carolina,0,0,US
2020-02-14,Dare,North Carolina,0,0,US
2020-02-15,Dare,North Carolina,0,0,US
2020-02-16,Dare,North Carolina,0,0,US
2020-02-17,Dare,North Carolina,0,0,US
2020-02-18,Dare,North Carolina,0,0,US
2020-02-19,Dare,North Carolina,0,0,US
2020-02-20,Dare,North Carolina,0,0,US
2020-02-21,Dare,North Carolina,0,0,US
2020-02-22,Dare,North Carolina,0,0,US
2020-02-23,Dare,North Carolina,0,0,US
2020-02-24,Dare,North Carolina,0,0,US
2020-02-25,Dare,North Carolina,0,0,US
2020-02-26,Dare,North Carolina,0,0,US
2020-02-27,Dare,North Carolina,0,0,US
2020-02-28,Dare,North Carolina,0,0,US
2020-02-29,Dare,North Carolina,0,0,US
2020-03-01,Dare,North Carolina,0,0,US
2020-03-02,Dare,North Carolina,0,0,US
2020-03-03,Dare,North Carolina,0,0,US
2020-03-04,Dare,North Carolina,0,0,US
2020-03-05,Dare,North Carolina,0,0,US
2020-03-06,Dare,North Carolina,0,0,US
2020-03-07,Dare,North Carolina,0,0,US
2020-03-08,Dare,North Carolina,0,0,US
2020-03-09,Dare,North Carolina,0,0,US
2020-03-10,Dare,North Carolina,0,0,US
2020-03-11,Dare,North Carolina,0,0,US
2020-03-12,Dare,North Carolina,0,0,US
2020-03-13,Dare,North Carolina,0,0,US
2020-03-14,Dare,North Carolina,0,0,US
2020-03-15,Dare,North Carolina,0,0,US
