Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Davidson,Tennessee,0,0,US
2020-01-23,Davidson,Tennessee,0,0,US
2020-01-24,Davidson,Tennessee,0,0,US
2020-01-25,Davidson,Tennessee,0,0,US
2020-01-26,Davidson,Tennessee,0,0,US
2020-01-27,Davidson,Tennessee,0,0,US
2020-01-28,Davidson,Tennessee,0,0,US
2020-01-29,Davidson,Tennessee,0,0,US
2020-01-30,Davidson,Tennessee,0,0,US
2020-01-31,Davidson,Tennessee,0,0,US
2020-02-01,Davidson,Tennessee,0,0,US
2020-02-02,Davidson,Tennessee,0,0,US
2020-02-03,Davidson,Tennessee,0,0,US
2020-02-04,Davidson,Tennessee,0,0,US
2020-02-05,Davidson,Tennessee,0,0,US
2020-02-06,Davidson,Tennessee,0,0,US
2020-02-07,Davidson,Tennessee,0,0,US
2020-02-08,Davidson,Tennessee,0,0,US
2020-02-09,Davidson,Tennessee,0,0,US
2020-02-10,Davidson,Tennessee,0,0,US
2020-02-11,Davidson,Tennessee,0,0,US
2020-02-12,Davidson,Tennessee,0,0,US
2020-02-13,Davidson,Tennessee,0,0,US
2020-02-14,Davidson,Tennessee,0,0,US
2020-02-15,Davidson,Tennessee,0,0,US
2020-02-16,Davidson,Tennessee,0,0,US
2020-02-17,Davidson,Tennessee,0,0,US
2020-02-18,Davidson,Tennessee,0,0,US
2020-02-19,Davidson,Tennessee,0,0,US
2020-02-20,Davidson,Tennessee,0,0,US
2020-02-21,Davidson,Tennessee,0,0,US
2020-02-22,Davidson,Tennessee,0,0,US
2020-02-23,Davidson,Tennessee,0,0,US
2020-02-24,Davidson,Tennessee,0,0,US
2020-02-25,Davidson,Tennessee,0,0,US
2020-02-26,Davidson,Tennessee,0,0,US
2020-02-27,Davidson,Tennessee,0,0,US
2020-02-28,Davidson,Tennessee,0,0,US
2020-02-29,Davidson,Tennessee,0,0,US
2020-03-01,Davidson,Tennessee,0,0,US
2020-03-02,Davidson,Tennessee,0,0,US
2020-03-03,Davidson,Tennessee,0,0,US
2020-03-04,Davidson,Tennessee,0,0,US
2020-03-05,Davidson,Tennessee,0,0,US
2020-03-06,Davidson,Tennessee,0,0,US
2020-03-07,Davidson,Tennessee,0,0,US
2020-03-08,Davidson,Tennessee,1,0,US
2020-03-09,Davidson,Tennessee,1,0,US
2020-03-10,Davidson,Tennessee,1,0,US
2020-03-11,Davidson,Tennessee,2,0,US
2020-03-12,Davidson,Tennessee,6,0,US
2020-03-13,Davidson,Tennessee,10,0,US
2020-03-14,Davidson,Tennessee,14,0,US
2020-03-15,Davidson,Tennessee,14,0,US
2020-03-16,Davidson,Tennessee,25,0,US
2020-03-17,Davidson,Tennessee,42,0,US
2020-03-18,Davidson,Tennessee,58,0,US
2020-03-19,Davidson,Tennessee,75,0,US
2020-03-20,Davidson,Tennessee,101,1,US
2020-03-21,Davidson,Tennessee,140,1,US
2020-03-22,Davidson,Tennessee,167,2,US
2020-03-23,Davidson,Tennessee,164,2,US
2020-03-24,Davidson,Tennessee,253,2,US
2020-03-25,Davidson,Tennessee,257,2,US
2020-03-26,Davidson,Tennessee,293,2,US
2020-03-27,Davidson,Tennessee,312,2,US
2020-03-28,Davidson,Tennessee,376,2,US
2020-03-29,Davidson,Tennessee,394,2,US
2020-03-30,Davidson,Tennessee,443,3,US
2020-03-31,Davidson,Tennessee,541,3,US
2020-04-01,Davidson,Tennessee,651,4,US
2020-04-02,Davidson,Tennessee,694,6,US
2020-04-03,Davidson,Tennessee,766,6,US
2020-04-04,Davidson,Tennessee,805,6,US
2020-04-05,Davidson,Tennessee,899,6,US
2020-04-06,Davidson,Tennessee,945,7,US
2020-04-07,Davidson,Tennessee,989,9,US
2020-04-08,Davidson,Tennessee,1029,13,US
2020-04-09,Davidson,Tennessee,1093,13,US
2020-04-10,Davidson,Tennessee,1121,13,US
2020-04-11,Davidson,Tennessee,1197,13,US
2020-04-12,Davidson,Tennessee,1233,13,US
2020-04-13,Davidson,Tennessee,1291,16,US
2020-04-14,Davidson,Tennessee,1333,18,US
2020-04-15,Davidson,Tennessee,1408,19,US
2020-04-16,Davidson,Tennessee,1452,19,US
2020-04-17,Davidson,Tennessee,1577,19,US
2020-04-18,Davidson,Tennessee,1623,19,US
2020-04-19,Davidson,Tennessee,1723,19,US
2020-04-20,Davidson,Tennessee,1759,19,US
2020-04-21,Davidson,Tennessee,1804,20,US
2020-04-22,Davidson,Tennessee,1954,20,US
2020-04-23,Davidson,Tennessee,1992,21,US
2020-04-24,Davidson,Tennessee,2157,21,US
2020-04-25,Davidson,Tennessee,2221,22,US
2020-04-26,Davidson,Tennessee,2293,23,US
2020-04-27,Davidson,Tennessee,2383,25,US
2020-04-28,Davidson,Tennessee,2426,25,US
2020-04-29,Davidson,Tennessee,2576,25,US
2020-04-30,Davidson,Tennessee,2624,28,US
2020-05-01,Davidson,Tennessee,2752,28,US
2020-05-02,Davidson,Tennessee,2796,28,US
2020-05-03,Davidson,Tennessee,2950,28,US
2020-05-04,Davidson,Tennessee,3067,29,US
2020-05-05,Davidson,Tennessee,3102,30,US
2020-05-06,Davidson,Tennessee,3170,31,US
2020-05-07,Davidson,Tennessee,3297,31,US
2020-05-08,Davidson,Tennessee,3335,31,US
2020-05-09,Davidson,Tennessee,3397,31,US
2020-05-10,Davidson,Tennessee,3439,31,US
2020-05-11,Davidson,Tennessee,3515,32,US
2020-05-12,Davidson,Tennessee,3591,33,US
2020-05-13,Davidson,Tennessee,3700,37,US
2020-05-14,Davidson,Tennessee,3757,40,US
2020-05-15,Davidson,Tennessee,3785,41,US
2020-05-16,Davidson,Tennessee,3861,41,US
2020-05-17,Davidson,Tennessee,4020,44,US
2020-05-18,Davidson,Tennessee,4116,44,US
2020-05-19,Davidson,Tennessee,4206,46,US
2020-05-20,Davidson,Tennessee,4267,48,US
2020-05-21,Davidson,Tennessee,4312,48,US
