Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Daviess,Indiana,0,0,US
2020-01-23,Daviess,Indiana,0,0,US
2020-01-24,Daviess,Indiana,0,0,US
2020-01-25,Daviess,Indiana,0,0,US
2020-01-26,Daviess,Indiana,0,0,US
2020-01-27,Daviess,Indiana,0,0,US
2020-01-28,Daviess,Indiana,0,0,US
2020-01-29,Daviess,Indiana,0,0,US
2020-01-30,Daviess,Indiana,0,0,US
2020-01-31,Daviess,Indiana,0,0,US
2020-02-01,Daviess,Indiana,0,0,US
2020-02-02,Daviess,Indiana,0,0,US
2020-02-03,Daviess,Indiana,0,0,US
2020-02-04,Daviess,Indiana,0,0,US
2020-02-05,Daviess,Indiana,0,0,US
2020-02-06,Daviess,Indiana,0,0,US
2020-02-07,Daviess,Indiana,0,0,US
2020-02-08,Daviess,Indiana,0,0,US
2020-02-09,Daviess,Indiana,0,0,US
2020-02-10,Daviess,Indiana,0,0,US
2020-02-11,Daviess,Indiana,0,0,US
2020-02-12,Daviess,Indiana,0,0,US
2020-02-13,Daviess,Indiana,0,0,US
2020-02-14,Daviess,Indiana,0,0,US
2020-02-15,Daviess,Indiana,0,0,US
2020-02-16,Daviess,Indiana,0,0,US
2020-02-17,Daviess,Indiana,0,0,US
2020-02-18,Daviess,Indiana,0,0,US
2020-02-19,Daviess,Indiana,0,0,US
2020-02-20,Daviess,Indiana,0,0,US
2020-02-21,Daviess,Indiana,0,0,US
2020-02-22,Daviess,Indiana,0,0,US
2020-02-23,Daviess,Indiana,0,0,US
2020-02-24,Daviess,Indiana,0,0,US
2020-02-25,Daviess,Indiana,0,0,US
2020-02-26,Daviess,Indiana,0,0,US
2020-02-27,Daviess,Indiana,0,0,US
2020-02-28,Daviess,Indiana,0,0,US
2020-02-29,Daviess,Indiana,0,0,US
2020-03-01,Daviess,Indiana,0,0,US
2020-03-02,Daviess,Indiana,0,0,US
2020-03-03,Daviess,Indiana,0,0,US
2020-03-04,Daviess,Indiana,0,0,US
2020-03-05,Daviess,Indiana,0,0,US
2020-03-06,Daviess,Indiana,0,0,US
2020-03-07,Daviess,Indiana,0,0,US
2020-03-08,Daviess,Indiana,0,0,US
2020-03-09,Daviess,Indiana,0,0,US
2020-03-10,Daviess,Indiana,0,0,US
2020-03-11,Daviess,Indiana,0,0,US
2020-03-12,Daviess,Indiana,0,0,US
2020-03-13,Daviess,Indiana,0,0,US
2020-03-14,Daviess,Indiana,0,0,US
2020-03-15,Daviess,Indiana,0,0,US
2020-03-16,Daviess,Indiana,0,0,US
2020-03-17,Daviess,Indiana,0,0,US
2020-03-18,Daviess,Indiana,0,0,US
2020-03-19,Daviess,Indiana,0,0,US
2020-03-20,Daviess,Indiana,0,0,US
2020-03-21,Daviess,Indiana,0,0,US
2020-03-22,Daviess,Indiana,0,0,US
2020-03-23,Daviess,Indiana,0,0,US
2020-03-24,Daviess,Indiana,0,0,US
2020-03-25,Daviess,Indiana,0,0,US
2020-03-26,Daviess,Indiana,0,0,US
2020-03-27,Daviess,Indiana,0,0,US
2020-03-28,Daviess,Indiana,0,0,US
2020-03-29,Daviess,Indiana,0,0,US
2020-03-30,Daviess,Indiana,0,0,US
2020-03-31,Daviess,Indiana,0,0,US
2020-04-01,Daviess,Indiana,0,0,US
2020-04-02,Daviess,Indiana,0,0,US
2020-04-03,Daviess,Indiana,0,0,US
2020-04-04,Daviess,Indiana,0,0,US
2020-04-05,Daviess,Indiana,2,0,US
2020-04-06,Daviess,Indiana,2,0,US
2020-04-07,Daviess,Indiana,4,0,US
2020-04-08,Daviess,Indiana,5,1,US
2020-04-09,Daviess,Indiana,8,1,US
2020-04-10,Daviess,Indiana,9,1,US
2020-04-11,Daviess,Indiana,9,1,US
2020-04-12,Daviess,Indiana,10,1,US
2020-04-13,Daviess,Indiana,10,1,US
2020-04-14,Daviess,Indiana,12,1,US
2020-04-15,Daviess,Indiana,21,1,US
2020-04-16,Daviess,Indiana,24,1,US
2020-04-17,Daviess,Indiana,27,1,US
2020-04-18,Daviess,Indiana,29,2,US
2020-04-19,Daviess,Indiana,34,3,US
2020-04-20,Daviess,Indiana,34,3,US
2020-04-21,Daviess,Indiana,38,5,US
2020-04-22,Daviess,Indiana,38,6,US
2020-04-23,Daviess,Indiana,38,7,US
2020-04-24,Daviess,Indiana,42,8,US
2020-04-25,Daviess,Indiana,43,9,US
2020-04-26,Daviess,Indiana,43,9,US
2020-04-27,Daviess,Indiana,45,9,US
2020-04-28,Daviess,Indiana,46,11,US
2020-04-29,Daviess,Indiana,47,11,US
