Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Delaware,Indiana,0,0,US
2020-01-23,Delaware,Indiana,0,0,US
2020-01-24,Delaware,Indiana,0,0,US
2020-01-25,Delaware,Indiana,0,0,US
2020-01-26,Delaware,Indiana,0,0,US
2020-01-27,Delaware,Indiana,0,0,US
2020-01-28,Delaware,Indiana,0,0,US
2020-01-29,Delaware,Indiana,0,0,US
2020-01-30,Delaware,Indiana,0,0,US
2020-01-31,Delaware,Indiana,0,0,US
2020-02-01,Delaware,Indiana,0,0,US
2020-02-02,Delaware,Indiana,0,0,US
2020-02-03,Delaware,Indiana,0,0,US
2020-02-04,Delaware,Indiana,0,0,US
2020-02-05,Delaware,Indiana,0,0,US
2020-02-06,Delaware,Indiana,0,0,US
2020-02-07,Delaware,Indiana,0,0,US
2020-02-08,Delaware,Indiana,0,0,US
2020-02-09,Delaware,Indiana,0,0,US
2020-02-10,Delaware,Indiana,0,0,US
2020-02-11,Delaware,Indiana,0,0,US
2020-02-12,Delaware,Indiana,0,0,US
2020-02-13,Delaware,Indiana,0,0,US
2020-02-14,Delaware,Indiana,0,0,US
2020-02-15,Delaware,Indiana,0,0,US
2020-02-16,Delaware,Indiana,0,0,US
2020-02-17,Delaware,Indiana,0,0,US
2020-02-18,Delaware,Indiana,0,0,US
2020-02-19,Delaware,Indiana,0,0,US
2020-02-20,Delaware,Indiana,0,0,US
2020-02-21,Delaware,Indiana,0,0,US
2020-02-22,Delaware,Indiana,0,0,US
2020-02-23,Delaware,Indiana,0,0,US
2020-02-24,Delaware,Indiana,0,0,US
2020-02-25,Delaware,Indiana,0,0,US
2020-02-26,Delaware,Indiana,0,0,US
2020-02-27,Delaware,Indiana,0,0,US
2020-02-28,Delaware,Indiana,0,0,US
2020-02-29,Delaware,Indiana,0,0,US
2020-03-01,Delaware,Indiana,0,0,US
2020-03-02,Delaware,Indiana,0,0,US
2020-03-03,Delaware,Indiana,0,0,US
2020-03-04,Delaware,Indiana,0,0,US
