Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Divide,North Dakota,0,0,US
2020-01-23,Divide,North Dakota,0,0,US
2020-01-24,Divide,North Dakota,0,0,US
2020-01-25,Divide,North Dakota,0,0,US
2020-01-26,Divide,North Dakota,0,0,US
2020-01-27,Divide,North Dakota,0,0,US
2020-01-28,Divide,North Dakota,0,0,US
2020-01-29,Divide,North Dakota,0,0,US
2020-01-30,Divide,North Dakota,0,0,US
2020-01-31,Divide,North Dakota,0,0,US
2020-02-01,Divide,North Dakota,0,0,US
2020-02-02,Divide,North Dakota,0,0,US
2020-02-03,Divide,North Dakota,0,0,US
2020-02-04,Divide,North Dakota,0,0,US
2020-02-05,Divide,North Dakota,0,0,US
2020-02-06,Divide,North Dakota,0,0,US
2020-02-07,Divide,North Dakota,0,0,US
2020-02-08,Divide,North Dakota,0,0,US
2020-02-09,Divide,North Dakota,0,0,US
2020-02-10,Divide,North Dakota,0,0,US
2020-02-11,Divide,North Dakota,0,0,US
2020-02-12,Divide,North Dakota,0,0,US
2020-02-13,Divide,North Dakota,0,0,US
2020-02-14,Divide,North Dakota,0,0,US
2020-02-15,Divide,North Dakota,0,0,US
2020-02-16,Divide,North Dakota,0,0,US
2020-02-17,Divide,North Dakota,0,0,US
2020-02-18,Divide,North Dakota,0,0,US
2020-02-19,Divide,North Dakota,0,0,US
2020-02-20,Divide,North Dakota,0,0,US
2020-02-21,Divide,North Dakota,0,0,US
2020-02-22,Divide,North Dakota,0,0,US
2020-02-23,Divide,North Dakota,0,0,US
2020-02-24,Divide,North Dakota,0,0,US
2020-02-25,Divide,North Dakota,0,0,US
2020-02-26,Divide,North Dakota,0,0,US
2020-02-27,Divide,North Dakota,0,0,US
2020-02-28,Divide,North Dakota,0,0,US
2020-02-29,Divide,North Dakota,0,0,US
2020-03-01,Divide,North Dakota,0,0,US
2020-03-02,Divide,North Dakota,0,0,US
2020-03-03,Divide,North Dakota,0,0,US
2020-03-04,Divide,North Dakota,0,0,US
2020-03-05,Divide,North Dakota,0,0,US
2020-03-06,Divide,North Dakota,0,0,US
2020-03-07,Divide,North Dakota,0,0,US
2020-03-08,Divide,North Dakota,0,0,US
2020-03-09,Divide,North Dakota,0,0,US
2020-03-10,Divide,North Dakota,0,0,US
2020-03-11,Divide,North Dakota,0,0,US
2020-03-12,Divide,North Dakota,0,0,US
2020-03-13,Divide,North Dakota,0,0,US
2020-03-14,Divide,North Dakota,0,0,US
2020-03-15,Divide,North Dakota,0,0,US
2020-03-16,Divide,North Dakota,0,0,US
2020-03-17,Divide,North Dakota,0,0,US
2020-03-18,Divide,North Dakota,0,0,US
2020-03-19,Divide,North Dakota,0,0,US
2020-03-20,Divide,North Dakota,0,0,US
2020-03-21,Divide,North Dakota,0,0,US
2020-03-22,Divide,North Dakota,0,0,US
2020-03-23,Divide,North Dakota,0,0,US
2020-03-24,Divide,North Dakota,0,0,US
2020-03-25,Divide,North Dakota,0,0,US
2020-03-26,Divide,North Dakota,0,0,US
2020-03-27,Divide,North Dakota,0,0,US
2020-03-28,Divide,North Dakota,1,0,US
2020-03-29,Divide,North Dakota,1,0,US
2020-03-30,Divide,North Dakota,1,0,US
2020-03-31,Divide,North Dakota,1,0,US
2020-04-01,Divide,North Dakota,1,0,US
2020-04-02,Divide,North Dakota,1,0,US
2020-04-03,Divide,North Dakota,1,0,US
2020-04-04,Divide,North Dakota,1,0,US
2020-04-05,Divide,North Dakota,1,0,US
2020-04-06,Divide,North Dakota,1,0,US
2020-04-07,Divide,North Dakota,1,0,US
2020-04-08,Divide,North Dakota,1,0,US
2020-04-09,Divide,North Dakota,1,0,US
2020-04-10,Divide,North Dakota,1,0,US
2020-04-11,Divide,North Dakota,1,0,US
2020-04-12,Divide,North Dakota,1,0,US
2020-04-13,Divide,North Dakota,1,0,US
2020-04-14,Divide,North Dakota,1,0,US
2020-04-15,Divide,North Dakota,1,0,US
2020-04-16,Divide,North Dakota,1,0,US
2020-04-17,Divide,North Dakota,1,0,US
2020-04-18,Divide,North Dakota,1,0,US
2020-04-19,Divide,North Dakota,1,0,US
2020-04-20,Divide,North Dakota,1,0,US
2020-04-21,Divide,North Dakota,1,0,US
