Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Dixon,Nebraska,0,0,US
2020-01-23,Dixon,Nebraska,0,0,US
2020-01-24,Dixon,Nebraska,0,0,US
2020-01-25,Dixon,Nebraska,0,0,US
2020-01-26,Dixon,Nebraska,0,0,US
2020-01-27,Dixon,Nebraska,0,0,US
2020-01-28,Dixon,Nebraska,0,0,US
2020-01-29,Dixon,Nebraska,0,0,US
2020-01-30,Dixon,Nebraska,0,0,US
2020-01-31,Dixon,Nebraska,0,0,US
2020-02-01,Dixon,Nebraska,0,0,US
2020-02-02,Dixon,Nebraska,0,0,US
2020-02-03,Dixon,Nebraska,0,0,US
2020-02-04,Dixon,Nebraska,0,0,US
2020-02-05,Dixon,Nebraska,0,0,US
2020-02-06,Dixon,Nebraska,0,0,US
2020-02-07,Dixon,Nebraska,0,0,US
2020-02-08,Dixon,Nebraska,0,0,US
2020-02-09,Dixon,Nebraska,0,0,US
2020-02-10,Dixon,Nebraska,0,0,US
2020-02-11,Dixon,Nebraska,0,0,US
2020-02-12,Dixon,Nebraska,0,0,US
2020-02-13,Dixon,Nebraska,0,0,US
2020-02-14,Dixon,Nebraska,0,0,US
2020-02-15,Dixon,Nebraska,0,0,US
2020-02-16,Dixon,Nebraska,0,0,US
2020-02-17,Dixon,Nebraska,0,0,US
2020-02-18,Dixon,Nebraska,0,0,US
2020-02-19,Dixon,Nebraska,0,0,US
2020-02-20,Dixon,Nebraska,0,0,US
2020-02-21,Dixon,Nebraska,0,0,US
2020-02-22,Dixon,Nebraska,0,0,US
2020-02-23,Dixon,Nebraska,0,0,US
2020-02-24,Dixon,Nebraska,0,0,US
2020-02-25,Dixon,Nebraska,0,0,US
2020-02-26,Dixon,Nebraska,0,0,US
2020-02-27,Dixon,Nebraska,0,0,US
2020-02-28,Dixon,Nebraska,0,0,US
2020-02-29,Dixon,Nebraska,0,0,US
2020-03-01,Dixon,Nebraska,0,0,US
2020-03-02,Dixon,Nebraska,0,0,US
2020-03-03,Dixon,Nebraska,0,0,US
2020-03-04,Dixon,Nebraska,0,0,US
2020-03-05,Dixon,Nebraska,0,0,US
2020-03-06,Dixon,Nebraska,0,0,US
2020-03-07,Dixon,Nebraska,0,0,US
2020-03-08,Dixon,Nebraska,0,0,US
2020-03-09,Dixon,Nebraska,0,0,US
2020-03-10,Dixon,Nebraska,0,0,US
2020-03-11,Dixon,Nebraska,0,0,US
2020-03-12,Dixon,Nebraska,0,0,US
2020-03-13,Dixon,Nebraska,0,0,US
2020-03-14,Dixon,Nebraska,0,0,US
2020-03-15,Dixon,Nebraska,0,0,US
2020-03-16,Dixon,Nebraska,0,0,US
2020-03-17,Dixon,Nebraska,0,0,US
2020-03-18,Dixon,Nebraska,0,0,US
2020-03-19,Dixon,Nebraska,0,0,US
2020-03-20,Dixon,Nebraska,0,0,US
2020-03-21,Dixon,Nebraska,0,0,US
2020-03-22,Dixon,Nebraska,0,0,US
2020-03-23,Dixon,Nebraska,0,0,US
2020-03-24,Dixon,Nebraska,0,0,US
2020-03-25,Dixon,Nebraska,0,0,US
2020-03-26,Dixon,Nebraska,0,0,US
2020-03-27,Dixon,Nebraska,0,0,US
2020-03-28,Dixon,Nebraska,0,0,US
2020-03-29,Dixon,Nebraska,0,0,US
2020-03-30,Dixon,Nebraska,0,0,US
2020-03-31,Dixon,Nebraska,0,0,US
2020-04-01,Dixon,Nebraska,0,0,US
2020-04-02,Dixon,Nebraska,0,0,US
2020-04-03,Dixon,Nebraska,0,0,US
2020-04-04,Dixon,Nebraska,0,0,US
2020-04-05,Dixon,Nebraska,0,0,US
2020-04-06,Dixon,Nebraska,0,0,US
2020-04-07,Dixon,Nebraska,0,0,US
2020-04-08,Dixon,Nebraska,0,0,US
2020-04-09,Dixon,Nebraska,0,0,US
2020-04-10,Dixon,Nebraska,0,0,US
2020-04-11,Dixon,Nebraska,0,0,US
2020-04-12,Dixon,Nebraska,0,0,US
2020-04-13,Dixon,Nebraska,0,0,US
2020-04-14,Dixon,Nebraska,0,0,US
2020-04-15,Dixon,Nebraska,0,0,US
2020-04-16,Dixon,Nebraska,0,0,US
2020-04-17,Dixon,Nebraska,0,0,US
2020-04-18,Dixon,Nebraska,0,0,US
2020-04-19,Dixon,Nebraska,0,0,US
2020-04-20,Dixon,Nebraska,1,0,US
2020-04-21,Dixon,Nebraska,1,0,US
2020-04-22,Dixon,Nebraska,1,0,US
2020-04-23,Dixon,Nebraska,1,0,US
2020-04-24,Dixon,Nebraska,1,0,US
2020-04-25,Dixon,Nebraska,2,0,US
2020-04-26,Dixon,Nebraska,2,0,US
2020-04-27,Dixon,Nebraska,3,0,US
2020-04-28,Dixon,Nebraska,3,0,US
2020-04-29,Dixon,Nebraska,5,0,US
2020-04-30,Dixon,Nebraska,7,0,US
2020-05-01,Dixon,Nebraska,7,0,US
2020-05-02,Dixon,Nebraska,12,0,US
2020-05-03,Dixon,Nebraska,13,0,US
2020-05-04,Dixon,Nebraska,14,0,US
2020-05-05,Dixon,Nebraska,14,0,US
2020-05-06,Dixon,Nebraska,14,0,US
2020-05-07,Dixon,Nebraska,15,0,US
2020-05-08,Dixon,Nebraska,23,0,US
