Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Douglas,Wisconsin,0,0,US
2020-01-23,Douglas,Wisconsin,0,0,US
2020-01-24,Douglas,Wisconsin,0,0,US
2020-01-25,Douglas,Wisconsin,0,0,US
2020-01-26,Douglas,Wisconsin,0,0,US
2020-01-27,Douglas,Wisconsin,0,0,US
2020-01-28,Douglas,Wisconsin,0,0,US
2020-01-29,Douglas,Wisconsin,0,0,US
2020-01-30,Douglas,Wisconsin,0,0,US
2020-01-31,Douglas,Wisconsin,0,0,US
2020-02-01,Douglas,Wisconsin,0,0,US
2020-02-02,Douglas,Wisconsin,0,0,US
2020-02-03,Douglas,Wisconsin,0,0,US
2020-02-04,Douglas,Wisconsin,0,0,US
2020-02-05,Douglas,Wisconsin,0,0,US
2020-02-06,Douglas,Wisconsin,0,0,US
2020-02-07,Douglas,Wisconsin,0,0,US
2020-02-08,Douglas,Wisconsin,0,0,US
2020-02-09,Douglas,Wisconsin,0,0,US
2020-02-10,Douglas,Wisconsin,0,0,US
2020-02-11,Douglas,Wisconsin,0,0,US
2020-02-12,Douglas,Wisconsin,0,0,US
2020-02-13,Douglas,Wisconsin,0,0,US
2020-02-14,Douglas,Wisconsin,0,0,US
2020-02-15,Douglas,Wisconsin,0,0,US
2020-02-16,Douglas,Wisconsin,0,0,US
2020-02-17,Douglas,Wisconsin,0,0,US
2020-02-18,Douglas,Wisconsin,0,0,US
2020-02-19,Douglas,Wisconsin,0,0,US
2020-02-20,Douglas,Wisconsin,0,0,US
2020-02-21,Douglas,Wisconsin,0,0,US
2020-02-22,Douglas,Wisconsin,0,0,US
2020-02-23,Douglas,Wisconsin,0,0,US
2020-02-24,Douglas,Wisconsin,0,0,US
2020-02-25,Douglas,Wisconsin,0,0,US
2020-02-26,Douglas,Wisconsin,0,0,US
2020-02-27,Douglas,Wisconsin,0,0,US
2020-02-28,Douglas,Wisconsin,0,0,US
2020-02-29,Douglas,Wisconsin,0,0,US
2020-03-01,Douglas,Wisconsin,0,0,US
2020-03-02,Douglas,Wisconsin,0,0,US
2020-03-03,Douglas,Wisconsin,0,0,US
2020-03-04,Douglas,Wisconsin,0,0,US
2020-03-05,Douglas,Wisconsin,0,0,US
2020-03-06,Douglas,Wisconsin,0,0,US
2020-03-07,Douglas,Wisconsin,0,0,US
2020-03-08,Douglas,Wisconsin,0,0,US
2020-03-09,Douglas,Wisconsin,0,0,US
2020-03-10,Douglas,Wisconsin,0,0,US
2020-03-11,Douglas,Wisconsin,0,0,US
2020-03-12,Douglas,Wisconsin,0,0,US
2020-03-13,Douglas,Wisconsin,0,0,US
2020-03-14,Douglas,Wisconsin,0,0,US
2020-03-15,Douglas,Wisconsin,0,0,US
2020-03-16,Douglas,Wisconsin,0,0,US
2020-03-17,Douglas,Wisconsin,0,0,US
2020-03-18,Douglas,Wisconsin,0,0,US
2020-03-19,Douglas,Wisconsin,0,0,US
2020-03-20,Douglas,Wisconsin,1,0,US
2020-03-21,Douglas,Wisconsin,1,0,US
2020-03-22,Douglas,Wisconsin,1,0,US
2020-03-23,Douglas,Wisconsin,2,0,US
2020-03-24,Douglas,Wisconsin,4,0,US
2020-03-25,Douglas,Wisconsin,4,0,US
2020-03-26,Douglas,Wisconsin,4,0,US
2020-03-27,Douglas,Wisconsin,5,0,US
2020-03-28,Douglas,Wisconsin,6,0,US
2020-03-29,Douglas,Wisconsin,6,0,US
2020-03-30,Douglas,Wisconsin,6,0,US
2020-03-31,Douglas,Wisconsin,6,0,US
2020-04-01,Douglas,Wisconsin,7,0,US
2020-04-02,Douglas,Wisconsin,7,0,US
2020-04-03,Douglas,Wisconsin,7,0,US
2020-04-04,Douglas,Wisconsin,7,0,US
2020-04-05,Douglas,Wisconsin,7,0,US
2020-04-06,Douglas,Wisconsin,7,0,US
2020-04-07,Douglas,Wisconsin,7,0,US
2020-04-08,Douglas,Wisconsin,7,0,US
2020-04-09,Douglas,Wisconsin,7,0,US
2020-04-10,Douglas,Wisconsin,7,0,US
2020-04-11,Douglas,Wisconsin,7,0,US
2020-04-12,Douglas,Wisconsin,7,0,US
2020-04-13,Douglas,Wisconsin,7,0,US
2020-04-14,Douglas,Wisconsin,7,0,US
2020-04-15,Douglas,Wisconsin,7,0,US
2020-04-16,Douglas,Wisconsin,7,0,US
2020-04-17,Douglas,Wisconsin,7,0,US
2020-04-18,Douglas,Wisconsin,8,0,US
2020-04-19,Douglas,Wisconsin,8,0,US
2020-04-20,Douglas,Wisconsin,8,0,US
2020-04-21,Douglas,Wisconsin,8,0,US
2020-04-22,Douglas,Wisconsin,8,0,US
2020-04-23,Douglas,Wisconsin,9,0,US
2020-04-24,Douglas,Wisconsin,9,0,US
2020-04-25,Douglas,Wisconsin,9,0,US
2020-04-26,Douglas,Wisconsin,9,0,US
2020-04-27,Douglas,Wisconsin,9,0,US
2020-04-28,Douglas,Wisconsin,9,0,US
2020-04-29,Douglas,Wisconsin,9,0,US
2020-04-30,Douglas,Wisconsin,9,0,US
2020-05-01,Douglas,Wisconsin,9,0,US
2020-05-02,Douglas,Wisconsin,9,0,US
2020-05-03,Douglas,Wisconsin,9,0,US
2020-05-04,Douglas,Wisconsin,9,0,US
2020-05-05,Douglas,Wisconsin,9,0,US
2020-05-06,Douglas,Wisconsin,10,0,US
2020-05-07,Douglas,Wisconsin,10,0,US
2020-05-08,Douglas,Wisconsin,10,0,US
2020-05-09,Douglas,Wisconsin,11,0,US
2020-05-10,Douglas,Wisconsin,11,0,US
2020-05-11,Douglas,Wisconsin,11,0,US
2020-05-12,Douglas,Wisconsin,11,0,US
2020-05-13,Douglas,Wisconsin,11,0,US
2020-05-14,Douglas,Wisconsin,12,0,US
2020-05-15,Douglas,Wisconsin,12,0,US
2020-05-16,Douglas,Wisconsin,12,0,US
2020-05-17,Douglas,Wisconsin,12,0,US
2020-05-18,Douglas,Wisconsin,13,0,US
2020-05-19,Douglas,Wisconsin,15,0,US
2020-05-20,Douglas,Wisconsin,15,0,US
2020-05-21,Douglas,Wisconsin,15,0,US
2020-05-22,Douglas,Wisconsin,16,0,US
2020-05-23,Douglas,Wisconsin,17,0,US
2020-05-24,Douglas,Wisconsin,17,0,US
2020-05-25,Douglas,Wisconsin,18,0,US
2020-05-26,Douglas,Wisconsin,19,0,US
2020-05-27,Douglas,Wisconsin,19,0,US
2020-05-28,Douglas,Wisconsin,19,0,US
2020-05-29,Douglas,Wisconsin,19,0,US
2020-05-30,Douglas,Wisconsin,19,0,US
2020-05-31,Douglas,Wisconsin,19,0,US
2020-06-01,Douglas,Wisconsin,19,0,US
2020-06-02,Douglas,Wisconsin,19,0,US
2020-06-03,Douglas,Wisconsin,19,0,US
2020-06-04,Douglas,Wisconsin,19,0,US
2020-06-05,Douglas,Wisconsin,19,0,US
2020-06-06,Douglas,Wisconsin,20,0,US
2020-06-07,Douglas,Wisconsin,20,0,US
2020-06-08,Douglas,Wisconsin,20,0,US
2020-06-09,Douglas,Wisconsin,20,0,US
2020-06-10,Douglas,Wisconsin,20,0,US
2020-06-11,Douglas,Wisconsin,20,0,US
2020-06-12,Douglas,Wisconsin,20,0,US
2020-06-13,Douglas,Wisconsin,20,0,US
2020-06-14,Douglas,Wisconsin,20,0,US
2020-06-15,Douglas,Wisconsin,20,0,US
2020-06-16,Douglas,Wisconsin,20,0,US
2020-06-17,Douglas,Wisconsin,20,0,US
2020-06-18,Douglas,Wisconsin,20,0,US
2020-06-19,Douglas,Wisconsin,20,0,US
2020-06-20,Douglas,Wisconsin,20,0,US
2020-06-21,Douglas,Wisconsin,20,0,US
2020-06-22,Douglas,Wisconsin,20,0,US
2020-06-23,Douglas,Wisconsin,20,0,US
2020-06-24,Douglas,Wisconsin,20,0,US
2020-06-25,Douglas,Wisconsin,20,0,US
2020-06-26,Douglas,Wisconsin,22,0,US
2020-06-27,Douglas,Wisconsin,22,0,US
2020-06-28,Douglas,Wisconsin,24,0,US
2020-06-29,Douglas,Wisconsin,24,0,US
2020-06-30,Douglas,Wisconsin,25,0,US
2020-07-01,Douglas,Wisconsin,30,0,US
2020-07-02,Douglas,Wisconsin,31,0,US
2020-07-03,Douglas,Wisconsin,39,0,US
2020-07-04,Douglas,Wisconsin,39,0,US
2020-07-05,Douglas,Wisconsin,41,0,US
2020-07-06,Douglas,Wisconsin,41,0,US
2020-07-07,Douglas,Wisconsin,46,0,US
2020-07-08,Douglas,Wisconsin,47,0,US
2020-07-09,Douglas,Wisconsin,48,0,US
2020-07-10,Douglas,Wisconsin,50,0,US
2020-07-11,Douglas,Wisconsin,56,0,US
2020-07-12,Douglas,Wisconsin,60,0,US
2020-07-13,Douglas,Wisconsin,61,0,US
2020-07-14,Douglas,Wisconsin,63,0,US
2020-07-15,Douglas,Wisconsin,64,0,US
2020-07-16,Douglas,Wisconsin,66,0,US
2020-07-17,Douglas,Wisconsin,66,0,US
2020-07-18,Douglas,Wisconsin,74,0,US
2020-07-19,Douglas,Wisconsin,75,0,US
2020-07-20,Douglas,Wisconsin,75,0,US
2020-07-21,Douglas,Wisconsin,75,0,US
2020-07-22,Douglas,Wisconsin,77,0,US
2020-07-23,Douglas,Wisconsin,82,0,US
2020-07-24,Douglas,Wisconsin,87,0,US
2020-07-25,Douglas,Wisconsin,89,0,US
2020-07-26,Douglas,Wisconsin,92,0,US
2020-07-27,Douglas,Wisconsin,92,0,US
2020-07-28,Douglas,Wisconsin,96,0,US
2020-07-29,Douglas,Wisconsin,102,0,US
2020-07-30,Douglas,Wisconsin,110,0,US
2020-07-31,Douglas,Wisconsin,113,0,US
2020-08-01,Douglas,Wisconsin,122,0,US
2020-08-02,Douglas,Wisconsin,133,0,US
2020-08-03,Douglas,Wisconsin,135,0,US
2020-08-04,Douglas,Wisconsin,139,0,US
2020-08-05,Douglas,Wisconsin,145,0,US
2020-08-06,Douglas,Wisconsin,149,0,US
2020-08-07,Douglas,Wisconsin,159,0,US
2020-08-08,Douglas,Wisconsin,172,0,US
2020-08-09,Douglas,Wisconsin,173,0,US
2020-08-10,Douglas,Wisconsin,186,0,US
2020-08-11,Douglas,Wisconsin,191,0,US
2020-08-12,Douglas,Wisconsin,198,0,US
2020-08-13,Douglas,Wisconsin,207,0,US
2020-08-14,Douglas,Wisconsin,212,0,US
2020-08-15,Douglas,Wisconsin,218,0,US
2020-08-16,Douglas,Wisconsin,223,0,US
2020-08-17,Douglas,Wisconsin,225,0,US
2020-08-18,Douglas,Wisconsin,225,0,US
2020-08-19,Douglas,Wisconsin,231,0,US
2020-08-20,Douglas,Wisconsin,233,0,US
2020-08-21,Douglas,Wisconsin,235,0,US
2020-08-22,Douglas,Wisconsin,238,0,US
2020-08-23,Douglas,Wisconsin,239,0,US
2020-08-24,Douglas,Wisconsin,241,0,US
2020-08-25,Douglas,Wisconsin,242,0,US
2020-08-26,Douglas,Wisconsin,243,0,US
2020-08-27,Douglas,Wisconsin,244,0,US
2020-08-28,Douglas,Wisconsin,244,0,US
2020-08-29,Douglas,Wisconsin,249,0,US
2020-08-30,Douglas,Wisconsin,249,0,US
2020-08-31,Douglas,Wisconsin,252,0,US
2020-09-01,Douglas,Wisconsin,257,0,US
2020-09-02,Douglas,Wisconsin,258,0,US
2020-09-03,Douglas,Wisconsin,264,0,US
2020-09-04,Douglas,Wisconsin,270,0,US
2020-09-05,Douglas,Wisconsin,280,0,US
2020-09-06,Douglas,Wisconsin,285,0,US
2020-09-07,Douglas,Wisconsin,288,0,US
2020-09-08,Douglas,Wisconsin,292,0,US
2020-09-09,Douglas,Wisconsin,297,0,US
2020-09-10,Douglas,Wisconsin,298,0,US
2020-09-11,Douglas,Wisconsin,306,0,US
2020-09-12,Douglas,Wisconsin,319,0,US
2020-09-13,Douglas,Wisconsin,328,0,US
2020-09-14,Douglas,Wisconsin,334,0,US
2020-09-15,Douglas,Wisconsin,336,0,US
2020-09-16,Douglas,Wisconsin,342,0,US
2020-09-17,Douglas,Wisconsin,351,0,US
2020-09-18,Douglas,Wisconsin,359,0,US
2020-09-19,Douglas,Wisconsin,376,0,US
2020-09-20,Douglas,Wisconsin,378,0,US
2020-09-21,Douglas,Wisconsin,390,0,US
2020-09-22,Douglas,Wisconsin,393,0,US
2020-09-23,Douglas,Wisconsin,397,0,US
2020-09-24,Douglas,Wisconsin,405,0,US
2020-09-25,Douglas,Wisconsin,417,0,US
2020-09-26,Douglas,Wisconsin,441,0,US
2020-09-27,Douglas,Wisconsin,455,0,US
2020-09-28,Douglas,Wisconsin,489,0,US
2020-09-29,Douglas,Wisconsin,493,0,US
2020-09-30,Douglas,Wisconsin,503,0,US
2020-10-01,Douglas,Wisconsin,522,0,US
2020-10-02,Douglas,Wisconsin,531,0,US
2020-10-03,Douglas,Wisconsin,540,0,US
2020-10-04,Douglas,Wisconsin,546,0,US
2020-10-05,Douglas,Wisconsin,551,0,US
2020-10-06,Douglas,Wisconsin,559,0,US
2020-10-07,Douglas,Wisconsin,566,0,US
