Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Duplin,North Carolina,0,0,US
2020-01-23,Duplin,North Carolina,0,0,US
2020-01-24,Duplin,North Carolina,0,0,US
2020-01-25,Duplin,North Carolina,0,0,US
2020-01-26,Duplin,North Carolina,0,0,US
2020-01-27,Duplin,North Carolina,0,0,US
2020-01-28,Duplin,North Carolina,0,0,US
2020-01-29,Duplin,North Carolina,0,0,US
2020-01-30,Duplin,North Carolina,0,0,US
2020-01-31,Duplin,North Carolina,0,0,US
2020-02-01,Duplin,North Carolina,0,0,US
2020-02-02,Duplin,North Carolina,0,0,US
2020-02-03,Duplin,North Carolina,0,0,US
2020-02-04,Duplin,North Carolina,0,0,US
2020-02-05,Duplin,North Carolina,0,0,US
2020-02-06,Duplin,North Carolina,0,0,US
2020-02-07,Duplin,North Carolina,0,0,US
2020-02-08,Duplin,North Carolina,0,0,US
2020-02-09,Duplin,North Carolina,0,0,US
2020-02-10,Duplin,North Carolina,0,0,US
2020-02-11,Duplin,North Carolina,0,0,US
2020-02-12,Duplin,North Carolina,0,0,US
2020-02-13,Duplin,North Carolina,0,0,US
2020-02-14,Duplin,North Carolina,0,0,US
2020-02-15,Duplin,North Carolina,0,0,US
2020-02-16,Duplin,North Carolina,0,0,US
2020-02-17,Duplin,North Carolina,0,0,US
2020-02-18,Duplin,North Carolina,0,0,US
2020-02-19,Duplin,North Carolina,0,0,US
2020-02-20,Duplin,North Carolina,0,0,US
2020-02-21,Duplin,North Carolina,0,0,US
2020-02-22,Duplin,North Carolina,0,0,US
2020-02-23,Duplin,North Carolina,0,0,US
2020-02-24,Duplin,North Carolina,0,0,US
2020-02-25,Duplin,North Carolina,0,0,US
2020-02-26,Duplin,North Carolina,0,0,US
2020-02-27,Duplin,North Carolina,0,0,US
2020-02-28,Duplin,North Carolina,0,0,US
2020-02-29,Duplin,North Carolina,0,0,US
2020-03-01,Duplin,North Carolina,0,0,US
2020-03-02,Duplin,North Carolina,0,0,US
2020-03-03,Duplin,North Carolina,0,0,US
2020-03-04,Duplin,North Carolina,0,0,US
2020-03-05,Duplin,North Carolina,0,0,US
2020-03-06,Duplin,North Carolina,0,0,US
2020-03-07,Duplin,North Carolina,0,0,US
2020-03-08,Duplin,North Carolina,0,0,US
2020-03-09,Duplin,North Carolina,0,0,US
2020-03-10,Duplin,North Carolina,0,0,US
2020-03-11,Duplin,North Carolina,0,0,US
2020-03-12,Duplin,North Carolina,0,0,US
2020-03-13,Duplin,North Carolina,0,0,US
2020-03-14,Duplin,North Carolina,0,0,US
2020-03-15,Duplin,North Carolina,0,0,US
2020-03-16,Duplin,North Carolina,0,0,US
2020-03-17,Duplin,North Carolina,0,0,US
2020-03-18,Duplin,North Carolina,1,0,US
2020-03-19,Duplin,North Carolina,2,0,US
2020-03-20,Duplin,North Carolina,2,0,US
2020-03-21,Duplin,North Carolina,2,0,US
2020-03-22,Duplin,North Carolina,2,0,US
2020-03-23,Duplin,North Carolina,2,0,US
2020-03-24,Duplin,North Carolina,2,0,US
2020-03-25,Duplin,North Carolina,2,0,US
2020-03-26,Duplin,North Carolina,2,0,US
2020-03-27,Duplin,North Carolina,2,0,US
2020-03-28,Duplin,North Carolina,2,0,US
2020-03-29,Duplin,North Carolina,2,0,US
2020-03-30,Duplin,North Carolina,2,0,US
2020-03-31,Duplin,North Carolina,2,0,US
2020-04-01,Duplin,North Carolina,2,0,US
2020-04-02,Duplin,North Carolina,4,0,US
2020-04-03,Duplin,North Carolina,5,0,US
2020-04-04,Duplin,North Carolina,5,0,US
2020-04-05,Duplin,North Carolina,5,0,US
2020-04-06,Duplin,North Carolina,6,0,US
2020-04-07,Duplin,North Carolina,7,0,US
2020-04-08,Duplin,North Carolina,12,0,US
2020-04-09,Duplin,North Carolina,13,0,US
2020-04-10,Duplin,North Carolina,14,0,US
2020-04-11,Duplin,North Carolina,16,0,US
2020-04-12,Duplin,North Carolina,16,0,US
2020-04-13,Duplin,North Carolina,17,0,US
2020-04-14,Duplin,North Carolina,17,0,US
2020-04-15,Duplin,North Carolina,18,0,US
2020-04-16,Duplin,North Carolina,20,0,US
2020-04-17,Duplin,North Carolina,23,0,US
2020-04-18,Duplin,North Carolina,26,0,US
2020-04-19,Duplin,North Carolina,29,0,US
2020-04-20,Duplin,North Carolina,33,0,US
2020-04-21,Duplin,North Carolina,36,0,US
2020-04-22,Duplin,North Carolina,41,0,US
2020-04-23,Duplin,North Carolina,45,0,US
2020-04-24,Duplin,North Carolina,59,0,US
2020-04-25,Duplin,North Carolina,67,0,US
2020-04-26,Duplin,North Carolina,73,0,US
2020-04-27,Duplin,North Carolina,77,0,US
2020-04-28,Duplin,North Carolina,79,0,US
2020-04-29,Duplin,North Carolina,99,0,US
2020-04-30,Duplin,North Carolina,112,0,US
2020-05-01,Duplin,North Carolina,117,0,US
2020-05-02,Duplin,North Carolina,122,0,US
2020-05-03,Duplin,North Carolina,131,0,US
2020-05-04,Duplin,North Carolina,139,1,US
2020-05-05,Duplin,North Carolina,149,2,US
2020-05-06,Duplin,North Carolina,165,3,US
2020-05-07,Duplin,North Carolina,190,3,US
2020-05-08,Duplin,North Carolina,225,3,US
2020-05-09,Duplin,North Carolina,251,3,US
2020-05-10,Duplin,North Carolina,267,4,US
2020-05-11,Duplin,North Carolina,271,4,US
2020-05-12,Duplin,North Carolina,281,4,US
2020-05-13,Duplin,North Carolina,307,6,US
2020-05-14,Duplin,North Carolina,341,6,US
2020-05-15,Duplin,North Carolina,373,11,US
2020-05-16,Duplin,North Carolina,392,11,US
2020-05-17,Duplin,North Carolina,418,11,US
2020-05-18,Duplin,North Carolina,470,11,US
2020-05-19,Duplin,North Carolina,480,11,US
2020-05-20,Duplin,North Carolina,521,12,US
2020-05-21,Duplin,North Carolina,567,12,US
2020-05-22,Duplin,North Carolina,610,13,US
2020-05-23,Duplin,North Carolina,645,13,US
2020-05-24,Duplin,North Carolina,676,13,US
2020-05-25,Duplin,North Carolina,692,13,US
2020-05-26,Duplin,North Carolina,733,16,US
2020-05-27,Duplin,North Carolina,743,16,US
2020-05-28,Duplin,North Carolina,777,16,US
2020-05-29,Duplin,North Carolina,822,16,US
2020-05-30,Duplin,North Carolina,860,16,US
2020-05-31,Duplin,North Carolina,876,18,US
2020-06-01,Duplin,North Carolina,895,18,US
2020-06-02,Duplin,North Carolina,914,18,US
2020-06-03,Duplin,North Carolina,944,20,US
2020-06-04,Duplin,North Carolina,983,20,US
2020-06-05,Duplin,North Carolina,1005,20,US
2020-06-06,Duplin,North Carolina,1042,20,US
2020-06-07,Duplin,North Carolina,1087,20,US
2020-06-08,Duplin,North Carolina,1099,20,US
2020-06-09,Duplin,North Carolina,1113,20,US
2020-06-10,Duplin,North Carolina,1135,20,US
2020-06-11,Duplin,North Carolina,1172,20,US
2020-06-12,Duplin,North Carolina,1184,20,US
2020-06-13,Duplin,North Carolina,1224,20,US
2020-06-14,Duplin,North Carolina,1260,20,US
2020-06-15,Duplin,North Carolina,1269,20,US
2020-06-16,Duplin,North Carolina,1275,20,US
2020-06-17,Duplin,North Carolina,1309,20,US
2020-06-18,Duplin,North Carolina,1342,20,US
2020-06-19,Duplin,North Carolina,1375,20,US
2020-06-20,Duplin,North Carolina,1388,20,US
2020-06-21,Duplin,North Carolina,1408,20,US
2020-06-22,Duplin,North Carolina,1413,28,US
2020-06-23,Duplin,North Carolina,1424,28,US
2020-06-24,Duplin,North Carolina,1433,28,US
2020-06-25,Duplin,North Carolina,1461,28,US
2020-06-26,Duplin,North Carolina,1478,28,US
2020-06-27,Duplin,North Carolina,1491,28,US
2020-06-28,Duplin,North Carolina,1509,28,US
2020-06-29,Duplin,North Carolina,1516,28,US
2020-06-30,Duplin,North Carolina,1532,28,US
2020-07-01,Duplin,North Carolina,1555,28,US
2020-07-02,Duplin,North Carolina,1568,28,US
2020-07-03,Duplin,North Carolina,1581,28,US
2020-07-04,Duplin,North Carolina,1598,28,US
2020-07-05,Duplin,North Carolina,1610,28,US
2020-07-06,Duplin,North Carolina,1623,28,US
2020-07-07,Duplin,North Carolina,1641,28,US
2020-07-08,Duplin,North Carolina,1656,28,US
2020-07-09,Duplin,North Carolina,1665,29,US
2020-07-10,Duplin,North Carolina,1681,32,US
2020-07-11,Duplin,North Carolina,1691,33,US
2020-07-12,Duplin,North Carolina,1701,33,US
2020-07-13,Duplin,North Carolina,1718,33,US
2020-07-14,Duplin,North Carolina,1747,33,US
2020-07-15,Duplin,North Carolina,1754,33,US
2020-07-16,Duplin,North Carolina,1762,33,US
2020-07-17,Duplin,North Carolina,1769,33,US
2020-07-18,Duplin,North Carolina,1791,33,US
2020-07-19,Duplin,North Carolina,1801,33,US
2020-07-20,Duplin,North Carolina,1820,35,US
2020-07-21,Duplin,North Carolina,1843,35,US
2020-07-22,Duplin,North Carolina,1859,35,US
2020-07-23,Duplin,North Carolina,1875,40,US
2020-07-24,Duplin,North Carolina,1887,40,US
2020-07-25,Duplin,North Carolina,1906,40,US
2020-07-26,Duplin,North Carolina,1922,40,US
2020-07-27,Duplin,North Carolina,1939,40,US
2020-07-28,Duplin,North Carolina,1952,42,US
2020-07-29,Duplin,North Carolina,1962,42,US
2020-07-30,Duplin,North Carolina,1978,42,US
2020-07-31,Duplin,North Carolina,1990,42,US
2020-08-01,Duplin,North Carolina,1999,42,US
2020-08-02,Duplin,North Carolina,2000,42,US
2020-08-03,Duplin,North Carolina,2010,43,US
2020-08-04,Duplin,North Carolina,2020,47,US
2020-08-05,Duplin,North Carolina,2034,48,US
2020-08-06,Duplin,North Carolina,2046,48,US
2020-08-07,Duplin,North Carolina,2070,48,US
2020-08-08,Duplin,North Carolina,2074,48,US
2020-08-09,Duplin,North Carolina,2076,48,US
2020-08-10,Duplin,North Carolina,2086,48,US
2020-08-11,Duplin,North Carolina,2096,48,US
2020-08-12,Duplin,North Carolina,2105,48,US
2020-08-13,Duplin,North Carolina,2114,48,US
2020-08-14,Duplin,North Carolina,2124,48,US
