Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Ector,Texas,0,0,US
2020-01-23,Ector,Texas,0,0,US
2020-01-24,Ector,Texas,0,0,US
2020-01-25,Ector,Texas,0,0,US
2020-01-26,Ector,Texas,0,0,US
2020-01-27,Ector,Texas,0,0,US
2020-01-28,Ector,Texas,0,0,US
2020-01-29,Ector,Texas,0,0,US
2020-01-30,Ector,Texas,0,0,US
2020-01-31,Ector,Texas,0,0,US
2020-02-01,Ector,Texas,0,0,US
2020-02-02,Ector,Texas,0,0,US
2020-02-03,Ector,Texas,0,0,US
2020-02-04,Ector,Texas,0,0,US
2020-02-05,Ector,Texas,0,0,US
2020-02-06,Ector,Texas,0,0,US
2020-02-07,Ector,Texas,0,0,US
2020-02-08,Ector,Texas,0,0,US
2020-02-09,Ector,Texas,0,0,US
2020-02-10,Ector,Texas,0,0,US
2020-02-11,Ector,Texas,0,0,US
2020-02-12,Ector,Texas,0,0,US
2020-02-13,Ector,Texas,0,0,US
2020-02-14,Ector,Texas,0,0,US
2020-02-15,Ector,Texas,0,0,US
2020-02-16,Ector,Texas,0,0,US
2020-02-17,Ector,Texas,0,0,US
2020-02-18,Ector,Texas,0,0,US
2020-02-19,Ector,Texas,0,0,US
2020-02-20,Ector,Texas,0,0,US
2020-02-21,Ector,Texas,0,0,US
2020-02-22,Ector,Texas,0,0,US
2020-02-23,Ector,Texas,0,0,US
2020-02-24,Ector,Texas,0,0,US
2020-02-25,Ector,Texas,0,0,US
2020-02-26,Ector,Texas,0,0,US
2020-02-27,Ector,Texas,0,0,US
2020-02-28,Ector,Texas,0,0,US
2020-02-29,Ector,Texas,0,0,US
2020-03-01,Ector,Texas,0,0,US
2020-03-02,Ector,Texas,0,0,US
2020-03-03,Ector,Texas,0,0,US
2020-03-04,Ector,Texas,0,0,US
2020-03-05,Ector,Texas,0,0,US
2020-03-06,Ector,Texas,0,0,US
2020-03-07,Ector,Texas,0,0,US
2020-03-08,Ector,Texas,0,0,US
2020-03-09,Ector,Texas,0,0,US
2020-03-10,Ector,Texas,0,0,US
2020-03-11,Ector,Texas,0,0,US
2020-03-12,Ector,Texas,0,0,US
2020-03-13,Ector,Texas,0,0,US
2020-03-14,Ector,Texas,0,0,US
2020-03-15,Ector,Texas,0,0,US
2020-03-16,Ector,Texas,0,0,US
2020-03-17,Ector,Texas,0,0,US
2020-03-18,Ector,Texas,0,0,US
2020-03-19,Ector,Texas,0,0,US
2020-03-20,Ector,Texas,0,0,US
2020-03-21,Ector,Texas,0,0,US
2020-03-22,Ector,Texas,0,0,US
2020-03-23,Ector,Texas,0,0,US
2020-03-24,Ector,Texas,0,0,US
2020-03-25,Ector,Texas,0,0,US
2020-03-26,Ector,Texas,0,0,US
2020-03-27,Ector,Texas,0,0,US
2020-03-28,Ector,Texas,1,0,US
2020-03-29,Ector,Texas,3,0,US
2020-03-30,Ector,Texas,7,0,US
2020-03-31,Ector,Texas,10,0,US
2020-04-01,Ector,Texas,11,0,US
2020-04-02,Ector,Texas,17,0,US
2020-04-03,Ector,Texas,23,0,US
2020-04-04,Ector,Texas,25,0,US
2020-04-05,Ector,Texas,26,0,US
2020-04-06,Ector,Texas,30,0,US
2020-04-07,Ector,Texas,30,1,US
2020-04-08,Ector,Texas,34,1,US
2020-04-09,Ector,Texas,37,1,US
2020-04-10,Ector,Texas,38,1,US
2020-04-11,Ector,Texas,38,1,US
2020-04-12,Ector,Texas,40,2,US
2020-04-13,Ector,Texas,42,2,US
2020-04-14,Ector,Texas,43,2,US
2020-04-15,Ector,Texas,46,2,US
2020-04-16,Ector,Texas,48,2,US
2020-04-17,Ector,Texas,49,2,US
2020-04-18,Ector,Texas,49,4,US
2020-04-19,Ector,Texas,49,4,US
2020-04-20,Ector,Texas,51,4,US
2020-04-21,Ector,Texas,52,4,US
2020-04-22,Ector,Texas,53,4,US
2020-04-23,Ector,Texas,54,4,US
2020-04-24,Ector,Texas,56,4,US
2020-04-25,Ector,Texas,58,4,US
2020-04-26,Ector,Texas,58,4,US
2020-04-27,Ector,Texas,60,4,US
2020-04-28,Ector,Texas,61,4,US
2020-04-29,Ector,Texas,61,4,US
2020-04-30,Ector,Texas,61,4,US
2020-05-01,Ector,Texas,61,4,US
2020-05-02,Ector,Texas,61,4,US
2020-05-03,Ector,Texas,61,4,US
2020-05-04,Ector,Texas,66,4,US
2020-05-05,Ector,Texas,68,4,US
2020-05-06,Ector,Texas,71,4,US
2020-05-07,Ector,Texas,76,4,US
2020-05-08,Ector,Texas,77,4,US
2020-05-09,Ector,Texas,79,4,US
2020-05-10,Ector,Texas,79,4,US
2020-05-11,Ector,Texas,80,4,US
2020-05-12,Ector,Texas,80,4,US
2020-05-13,Ector,Texas,81,4,US
2020-05-14,Ector,Texas,84,4,US
2020-05-15,Ector,Texas,88,4,US
2020-05-16,Ector,Texas,88,4,US
2020-05-17,Ector,Texas,88,4,US
2020-05-18,Ector,Texas,90,4,US
2020-05-19,Ector,Texas,98,4,US
2020-05-20,Ector,Texas,102,4,US
2020-05-21,Ector,Texas,105,4,US
2020-05-22,Ector,Texas,106,4,US
2020-05-23,Ector,Texas,108,4,US
2020-05-24,Ector,Texas,109,4,US
2020-05-25,Ector,Texas,111,4,US
2020-05-26,Ector,Texas,111,4,US
2020-05-27,Ector,Texas,111,5,US
2020-05-28,Ector,Texas,112,5,US
2020-05-29,Ector,Texas,115,5,US
2020-05-30,Ector,Texas,115,5,US
2020-05-31,Ector,Texas,118,5,US
2020-06-01,Ector,Texas,120,5,US
2020-06-02,Ector,Texas,125,5,US
2020-06-03,Ector,Texas,127,5,US
2020-06-04,Ector,Texas,144,5,US
2020-06-05,Ector,Texas,145,5,US
2020-06-06,Ector,Texas,145,5,US
2020-06-07,Ector,Texas,145,5,US
2020-06-08,Ector,Texas,146,5,US
2020-06-09,Ector,Texas,156,6,US
2020-06-10,Ector,Texas,165,6,US
2020-06-11,Ector,Texas,166,6,US
2020-06-12,Ector,Texas,171,6,US
2020-06-13,Ector,Texas,171,6,US
2020-06-14,Ector,Texas,172,6,US
2020-06-15,Ector,Texas,177,6,US
2020-06-16,Ector,Texas,182,6,US
2020-06-17,Ector,Texas,185,7,US
2020-06-18,Ector,Texas,187,7,US
2020-06-19,Ector,Texas,191,7,US
2020-06-20,Ector,Texas,205,7,US
2020-06-21,Ector,Texas,211,7,US
2020-06-22,Ector,Texas,226,7,US
2020-06-23,Ector,Texas,238,7,US
2020-06-24,Ector,Texas,268,7,US
2020-06-25,Ector,Texas,297,7,US
2020-06-26,Ector,Texas,308,7,US
2020-06-27,Ector,Texas,311,7,US
2020-06-28,Ector,Texas,313,7,US
2020-06-29,Ector,Texas,336,7,US
2020-06-30,Ector,Texas,359,7,US
2020-07-01,Ector,Texas,367,7,US
2020-07-02,Ector,Texas,374,9,US
2020-07-03,Ector,Texas,384,9,US
2020-07-04,Ector,Texas,402,9,US
2020-07-05,Ector,Texas,446,9,US
2020-07-06,Ector,Texas,491,9,US
2020-07-07,Ector,Texas,558,11,US
2020-07-08,Ector,Texas,589,11,US
2020-07-09,Ector,Texas,609,13,US
2020-07-10,Ector,Texas,630,13,US
2020-07-11,Ector,Texas,650,14,US
2020-07-12,Ector,Texas,657,14,US
2020-07-13,Ector,Texas,698,14,US
2020-07-14,Ector,Texas,722,19,US
2020-07-15,Ector,Texas,782,19,US
2020-07-16,Ector,Texas,803,22,US
2020-07-17,Ector,Texas,818,22,US
2020-07-18,Ector,Texas,823,27,US
2020-07-19,Ector,Texas,847,27,US
2020-07-20,Ector,Texas,884,33,US
2020-07-21,Ector,Texas,918,33,US
2020-07-22,Ector,Texas,960,34,US
2020-07-23,Ector,Texas,988,34,US
2020-07-24,Ector,Texas,1026,35,US
2020-07-25,Ector,Texas,1044,35,US
2020-07-26,Ector,Texas,1062,35,US
2020-07-27,Ector,Texas,1098,42,US
2020-07-28,Ector,Texas,1131,42,US
2020-07-29,Ector,Texas,1135,42,US
2020-07-30,Ector,Texas,1174,49,US
2020-07-31,Ector,Texas,1200,49,US
2020-08-01,Ector,Texas,1208,49,US
2020-08-02,Ector,Texas,1209,49,US
2020-08-03,Ector,Texas,1234,49,US
2020-08-04,Ector,Texas,1267,52,US
2020-08-05,Ector,Texas,1336,52,US
