Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,El Paso,Texas,0,0,US
2020-01-23,El Paso,Texas,0,0,US
2020-01-24,El Paso,Texas,0,0,US
2020-01-25,El Paso,Texas,0,0,US
2020-01-26,El Paso,Texas,0,0,US
2020-01-27,El Paso,Texas,0,0,US
2020-01-28,El Paso,Texas,0,0,US
2020-01-29,El Paso,Texas,0,0,US
2020-01-30,El Paso,Texas,0,0,US
2020-01-31,El Paso,Texas,0,0,US
2020-02-01,El Paso,Texas,0,0,US
2020-02-02,El Paso,Texas,0,0,US
2020-02-03,El Paso,Texas,0,0,US
2020-02-04,El Paso,Texas,0,0,US
2020-02-05,El Paso,Texas,0,0,US
2020-02-06,El Paso,Texas,0,0,US
2020-02-07,El Paso,Texas,0,0,US
2020-02-08,El Paso,Texas,0,0,US
2020-02-09,El Paso,Texas,0,0,US
2020-02-10,El Paso,Texas,0,0,US
2020-02-11,El Paso,Texas,0,0,US
2020-02-12,El Paso,Texas,0,0,US
2020-02-13,El Paso,Texas,0,0,US
2020-02-14,El Paso,Texas,0,0,US
2020-02-15,El Paso,Texas,0,0,US
2020-02-16,El Paso,Texas,0,0,US
2020-02-17,El Paso,Texas,0,0,US
2020-02-18,El Paso,Texas,0,0,US
2020-02-19,El Paso,Texas,0,0,US
2020-02-20,El Paso,Texas,0,0,US
2020-02-21,El Paso,Texas,0,0,US
2020-02-22,El Paso,Texas,0,0,US
2020-02-23,El Paso,Texas,0,0,US
2020-02-24,El Paso,Texas,0,0,US
2020-02-25,El Paso,Texas,0,0,US
2020-02-26,El Paso,Texas,0,0,US
2020-02-27,El Paso,Texas,0,0,US
2020-02-28,El Paso,Texas,0,0,US
2020-02-29,El Paso,Texas,0,0,US
2020-03-01,El Paso,Texas,0,0,US
2020-03-02,El Paso,Texas,0,0,US
2020-03-03,El Paso,Texas,0,0,US
2020-03-04,El Paso,Texas,0,0,US
2020-03-05,El Paso,Texas,0,0,US
2020-03-06,El Paso,Texas,0,0,US
2020-03-07,El Paso,Texas,0,0,US
2020-03-08,El Paso,Texas,0,0,US
2020-03-09,El Paso,Texas,0,0,US
2020-03-10,El Paso,Texas,0,0,US
2020-03-11,El Paso,Texas,0,0,US
2020-03-12,El Paso,Texas,0,0,US
2020-03-13,El Paso,Texas,0,0,US
2020-03-14,El Paso,Texas,1,0,US
2020-03-15,El Paso,Texas,1,0,US
2020-03-16,El Paso,Texas,2,0,US
2020-03-17,El Paso,Texas,3,0,US
2020-03-18,El Paso,Texas,3,0,US
2020-03-19,El Paso,Texas,6,0,US
2020-03-20,El Paso,Texas,6,0,US
2020-03-21,El Paso,Texas,7,0,US
2020-03-22,El Paso,Texas,7,0,US
2020-03-23,El Paso,Texas,9,0,US
2020-03-24,El Paso,Texas,10,0,US
2020-03-25,El Paso,Texas,16,0,US
2020-03-26,El Paso,Texas,28,0,US
2020-03-27,El Paso,Texas,28,0,US
2020-03-28,El Paso,Texas,38,0,US
2020-03-29,El Paso,Texas,42,0,US
2020-03-30,El Paso,Texas,40,0,US
2020-03-31,El Paso,Texas,53,0,US
2020-04-01,El Paso,Texas,45,0,US
2020-04-02,El Paso,Texas,52,0,US
2020-04-03,El Paso,Texas,64,0,US
2020-04-04,El Paso,Texas,72,0,US
2020-04-05,El Paso,Texas,78,0,US
2020-04-06,El Paso,Texas,92,0,US
2020-04-07,El Paso,Texas,118,0,US
2020-04-08,El Paso,Texas,149,0,US
