Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Essex,Vermont,0,0,US
2020-01-23,Essex,Vermont,0,0,US
2020-01-24,Essex,Vermont,0,0,US
2020-01-25,Essex,Vermont,0,0,US
2020-01-26,Essex,Vermont,0,0,US
2020-01-27,Essex,Vermont,0,0,US
2020-01-28,Essex,Vermont,0,0,US
2020-01-29,Essex,Vermont,0,0,US
2020-01-30,Essex,Vermont,0,0,US
2020-01-31,Essex,Vermont,0,0,US
2020-02-01,Essex,Vermont,0,0,US
2020-02-02,Essex,Vermont,0,0,US
2020-02-03,Essex,Vermont,0,0,US
2020-02-04,Essex,Vermont,0,0,US
2020-02-05,Essex,Vermont,0,0,US
2020-02-06,Essex,Vermont,0,0,US
2020-02-07,Essex,Vermont,0,0,US
2020-02-08,Essex,Vermont,0,0,US
2020-02-09,Essex,Vermont,0,0,US
2020-02-10,Essex,Vermont,0,0,US
2020-02-11,Essex,Vermont,0,0,US
2020-02-12,Essex,Vermont,0,0,US
2020-02-13,Essex,Vermont,0,0,US
2020-02-14,Essex,Vermont,0,0,US
2020-02-15,Essex,Vermont,0,0,US
2020-02-16,Essex,Vermont,0,0,US
2020-02-17,Essex,Vermont,0,0,US
2020-02-18,Essex,Vermont,0,0,US
2020-02-19,Essex,Vermont,0,0,US
2020-02-20,Essex,Vermont,0,0,US
2020-02-21,Essex,Vermont,0,0,US
2020-02-22,Essex,Vermont,0,0,US
2020-02-23,Essex,Vermont,0,0,US
2020-02-24,Essex,Vermont,0,0,US
2020-02-25,Essex,Vermont,0,0,US
2020-02-26,Essex,Vermont,0,0,US
2020-02-27,Essex,Vermont,0,0,US
2020-02-28,Essex,Vermont,0,0,US
2020-02-29,Essex,Vermont,0,0,US
2020-03-01,Essex,Vermont,0,0,US
2020-03-02,Essex,Vermont,0,0,US
2020-03-03,Essex,Vermont,0,0,US
2020-03-04,Essex,Vermont,0,0,US
2020-03-05,Essex,Vermont,0,0,US
2020-03-06,Essex,Vermont,0,0,US
2020-03-07,Essex,Vermont,0,0,US
2020-03-08,Essex,Vermont,0,0,US
2020-03-09,Essex,Vermont,0,0,US
2020-03-10,Essex,Vermont,0,0,US
2020-03-11,Essex,Vermont,0,0,US
2020-03-12,Essex,Vermont,0,0,US
2020-03-13,Essex,Vermont,0,0,US
2020-03-14,Essex,Vermont,0,0,US
2020-03-15,Essex,Vermont,0,0,US
2020-03-16,Essex,Vermont,0,0,US
2020-03-17,Essex,Vermont,0,0,US
2020-03-18,Essex,Vermont,0,0,US
2020-03-19,Essex,Vermont,0,0,US
2020-03-20,Essex,Vermont,0,0,US
2020-03-21,Essex,Vermont,0,0,US
2020-03-22,Essex,Vermont,0,0,US
2020-03-23,Essex,Vermont,0,0,US
2020-03-24,Essex,Vermont,0,0,US
2020-03-25,Essex,Vermont,0,0,US
2020-03-26,Essex,Vermont,0,0,US
2020-03-27,Essex,Vermont,0,0,US
2020-03-28,Essex,Vermont,0,0,US
2020-03-29,Essex,Vermont,0,0,US
2020-03-30,Essex,Vermont,0,0,US
2020-03-31,Essex,Vermont,0,0,US
2020-04-01,Essex,Vermont,0,0,US
2020-04-02,Essex,Vermont,0,0,US
2020-04-03,Essex,Vermont,0,0,US
2020-04-04,Essex,Vermont,0,0,US
2020-04-05,Essex,Vermont,0,0,US
2020-04-06,Essex,Vermont,0,0,US
2020-04-07,Essex,Vermont,0,0,US
2020-04-08,Essex,Vermont,0,0,US
