Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Evangeline,Louisiana,0,0,US
2020-01-23,Evangeline,Louisiana,0,0,US
2020-01-24,Evangeline,Louisiana,0,0,US
2020-01-25,Evangeline,Louisiana,0,0,US
2020-01-26,Evangeline,Louisiana,0,0,US
2020-01-27,Evangeline,Louisiana,0,0,US
2020-01-28,Evangeline,Louisiana,0,0,US
2020-01-29,Evangeline,Louisiana,0,0,US
2020-01-30,Evangeline,Louisiana,0,0,US
2020-01-31,Evangeline,Louisiana,0,0,US
2020-02-01,Evangeline,Louisiana,0,0,US
2020-02-02,Evangeline,Louisiana,0,0,US
2020-02-03,Evangeline,Louisiana,0,0,US
2020-02-04,Evangeline,Louisiana,0,0,US
2020-02-05,Evangeline,Louisiana,0,0,US
2020-02-06,Evangeline,Louisiana,0,0,US
2020-02-07,Evangeline,Louisiana,0,0,US
2020-02-08,Evangeline,Louisiana,0,0,US
2020-02-09,Evangeline,Louisiana,0,0,US
2020-02-10,Evangeline,Louisiana,0,0,US
2020-02-11,Evangeline,Louisiana,0,0,US
2020-02-12,Evangeline,Louisiana,0,0,US
2020-02-13,Evangeline,Louisiana,0,0,US
2020-02-14,Evangeline,Louisiana,0,0,US
2020-02-15,Evangeline,Louisiana,0,0,US
2020-02-16,Evangeline,Louisiana,0,0,US
2020-02-17,Evangeline,Louisiana,0,0,US
2020-02-18,Evangeline,Louisiana,0,0,US
2020-02-19,Evangeline,Louisiana,0,0,US
2020-02-20,Evangeline,Louisiana,0,0,US
2020-02-21,Evangeline,Louisiana,0,0,US
2020-02-22,Evangeline,Louisiana,0,0,US
2020-02-23,Evangeline,Louisiana,0,0,US
2020-02-24,Evangeline,Louisiana,0,0,US
2020-02-25,Evangeline,Louisiana,0,0,US
2020-02-26,Evangeline,Louisiana,0,0,US
2020-02-27,Evangeline,Louisiana,0,0,US
2020-02-28,Evangeline,Louisiana,0,0,US
2020-02-29,Evangeline,Louisiana,0,0,US
2020-03-01,Evangeline,Louisiana,0,0,US
2020-03-02,Evangeline,Louisiana,0,0,US
2020-03-03,Evangeline,Louisiana,0,0,US
2020-03-04,Evangeline,Louisiana,0,0,US
2020-03-05,Evangeline,Louisiana,0,0,US
2020-03-06,Evangeline,Louisiana,0,0,US
2020-03-07,Evangeline,Louisiana,0,0,US
2020-03-08,Evangeline,Louisiana,0,0,US
2020-03-09,Evangeline,Louisiana,0,0,US
2020-03-10,Evangeline,Louisiana,0,0,US
2020-03-11,Evangeline,Louisiana,0,0,US
2020-03-12,Evangeline,Louisiana,0,0,US
2020-03-13,Evangeline,Louisiana,0,0,US
2020-03-14,Evangeline,Louisiana,0,0,US
2020-03-15,Evangeline,Louisiana,0,0,US
2020-03-16,Evangeline,Louisiana,0,0,US
2020-03-17,Evangeline,Louisiana,0,0,US
2020-03-18,Evangeline,Louisiana,0,0,US
2020-03-19,Evangeline,Louisiana,0,0,US
2020-03-20,Evangeline,Louisiana,0,0,US
2020-03-21,Evangeline,Louisiana,2,0,US
2020-03-22,Evangeline,Louisiana,2,0,US
2020-03-23,Evangeline,Louisiana,2,0,US
2020-03-24,Evangeline,Louisiana,2,0,US
2020-03-25,Evangeline,Louisiana,2,0,US
2020-03-26,Evangeline,Louisiana,2,0,US
2020-03-27,Evangeline,Louisiana,4,0,US
2020-03-28,Evangeline,Louisiana,4,0,US
2020-03-29,Evangeline,Louisiana,4,0,US
2020-03-30,Evangeline,Louisiana,8,0,US
2020-03-31,Evangeline,Louisiana,10,0,US
2020-04-01,Evangeline,Louisiana,11,0,US
2020-04-02,Evangeline,Louisiana,16,0,US
2020-04-03,Evangeline,Louisiana,18,0,US
2020-04-04,Evangeline,Louisiana,19,0,US
2020-04-05,Evangeline,Louisiana,19,0,US
2020-04-06,Evangeline,Louisiana,23,0,US
2020-04-07,Evangeline,Louisiana,23,0,US
2020-04-08,Evangeline,Louisiana,25,0,US
2020-04-09,Evangeline,Louisiana,31,0,US
2020-04-10,Evangeline,Louisiana,35,0,US
2020-04-11,Evangeline,Louisiana,34,0,US
2020-04-12,Evangeline,Louisiana,36,0,US
2020-04-13,Evangeline,Louisiana,38,0,US
2020-04-14,Evangeline,Louisiana,39,0,US
2020-04-15,Evangeline,Louisiana,40,0,US
2020-04-16,Evangeline,Louisiana,41,0,US
2020-04-17,Evangeline,Louisiana,42,0,US
2020-04-18,Evangeline,Louisiana,43,0,US
2020-04-19,Evangeline,Louisiana,43,0,US
2020-04-20,Evangeline,Louisiana,43,0,US
