Date,Admin2,Province/State,Confirmed,Deaths,Country/Region
2020-01-22,Fayette,Texas,0,0,US
2020-01-23,Fayette,Texas,0,0,US
2020-01-24,Fayette,Texas,0,0,US
2020-01-25,Fayette,Texas,0,0,US
2020-01-26,Fayette,Texas,0,0,US
2020-01-27,Fayette,Texas,0,0,US
2020-01-28,Fayette,Texas,0,0,US
2020-01-29,Fayette,Texas,0,0,US
2020-01-30,Fayette,Texas,0,0,US
2020-01-31,Fayette,Texas,0,0,US
2020-02-01,Fayette,Texas,0,0,US
2020-02-02,Fayette,Texas,0,0,US
2020-02-03,Fayette,Texas,0,0,US
2020-02-04,Fayette,Texas,0,0,US
2020-02-05,Fayette,Texas,0,0,US
2020-02-06,Fayette,Texas,0,0,US
2020-02-07,Fayette,Texas,0,0,US
2020-02-08,Fayette,Texas,0,0,US
2020-02-09,Fayette,Texas,0,0,US
2020-02-10,Fayette,Texas,0,0,US
2020-02-11,Fayette,Texas,0,0,US
2020-02-12,Fayette,Texas,0,0,US
2020-02-13,Fayette,Texas,0,0,US
2020-02-14,Fayette,Texas,0,0,US
2020-02-15,Fayette,Texas,0,0,US
2020-02-16,Fayette,Texas,0,0,US
2020-02-17,Fayette,Texas,0,0,US
2020-02-18,Fayette,Texas,0,0,US
2020-02-19,Fayette,Texas,0,0,US
2020-02-20,Fayette,Texas,0,0,US
2020-02-21,Fayette,Texas,0,0,US
2020-02-22,Fayette,Texas,0,0,US
2020-02-23,Fayette,Texas,0,0,US
2020-02-24,Fayette,Texas,0,0,US
2020-02-25,Fayette,Texas,0,0,US
2020-02-26,Fayette,Texas,0,0,US
2020-02-27,Fayette,Texas,0,0,US
2020-02-28,Fayette,Texas,0,0,US
2020-02-29,Fayette,Texas,0,0,US
2020-03-01,Fayette,Texas,0,0,US
2020-03-02,Fayette,Texas,0,0,US
2020-03-03,Fayette,Texas,0,0,US
2020-03-04,Fayette,Texas,0,0,US
2020-03-05,Fayette,Texas,0,0,US
2020-03-06,Fayette,Texas,0,0,US
2020-03-07,Fayette,Texas,0,0,US
2020-03-08,Fayette,Texas,0,0,US
2020-03-09,Fayette,Texas,0,0,US
2020-03-10,Fayette,Texas,0,0,US
2020-03-11,Fayette,Texas,0,0,US
2020-03-12,Fayette,Texas,0,0,US
2020-03-13,Fayette,Texas,0,0,US
2020-03-14,Fayette,Texas,0,0,US
2020-03-15,Fayette,Texas,0,0,US
2020-03-16,Fayette,Texas,0,0,US
